건축년도,년,법정동,보증금액,연립다세대,월,월세금액,일,전용면적,지번,지역코드,층
1982,2011,아현동,500,(717-1),1,35,3,37.01,717-1,11440,-1
1988,2011,아현동,"6,000",(구85-712),1,0,5,35.52,763-2,11440,2
1985,2011,아현동,"7,000",(706-4),1,0,8,32.38,706-4,11440,3
1985,2011,아현동,"7,000",(712-2),1,0,8,46.22,712-2,11440,1
2007,2011,아현동,"9,000",(700-6),1,0,8,57.3,700-6,11440,3
1986,2011,아현동,500,(695-5),1,30,12,30.96,695-5,11440,1
1985,2011,아현동,"10,000",(723-0),1,0,12,73.44,723,11440,2
1992,2011,아현동,"11,000",현대파크A,1,0,14,60.96,701-5,11440,1
1983,2011,아현동,"13,000",(697-3),1,0,14,59.1,697-3,11440,3
1984,2011,아현동,"5,500",27구획1호,1,0,15,41.49,762,11440,3
1977,2011,아현동,"3,000",(659-6),1,0,20,45.88,659-6,11440,2
1988,2011,아현동,"5,800",(715-8),1,0,24,38.58,715-8,11440,1
1988,2011,아현동,"6,000",(구393-21),1,0,26,57.26,746-4,11440,
1988,2011,아현동,"6,000",(구393-21),1,0,26,57.26,746-4,11440,3
1978,2011,아현동,"3,000",(679-3),1,0,27,46.61,679-3,11440,-1
1976,2011,아현동,"3,800",(657-3),1,0,28,46.56,657-3,11440,1
1975,2011,아현동,"5,000",(678-4),1,0,29,36,678-4,11440,1
2007,2011,아현동,"10,000",(705-6),1,0,31,52.59,705-6,11440,2
2002,2011,공덕동,"12,000",중앙빌라,1,0,4,50.4,105-174,11440,3
2007,2011,공덕동,"13,000",(117-1)정인아트빌,1,0,6,29.89,117-1,11440,5
2002,2011,공덕동,"7,000",나루빌,1,0,6,21.54,110-62,11440,5
2003,2011,공덕동,"9,500",(113-20),1,0,12,35.97,113-20,11440,2
2002,2011,공덕동,"15,000",고은빌,1,0,14,53.29,105-147,11440,1
2006,2011,공덕동,"12,000",(105-224),1,0,19,35.91,105-224,11440,3
2002,2011,공덕동,"4,000",진타워텔,1,80,20,65.23,105-175,11440,4
2006,2011,공덕동,"16,000",세종파크빌리지,1,0,21,63.35,105-191,11440,3
2001,2011,공덕동,"8,000",권정주택A동,1,0,26,25.83,105-117,11440,1
2002,2011,공덕동,"17,000",중앙빌라,1,0,28,68.88,105-174,11440,3
2006,2011,공덕동,"15,500",(105-166) 세종파크빌리지,1,0,31,65.16,105-166,11440,1
2007,2011,공덕동,"10,000",(117-40)상상아트힐,1,50,31,64.56,117-40,11440,4
2003,2011,신공덕동,"6,000",(20-18),1,0,6,52.45,20-18,11440,4
2008,2011,도화동,"3,000",주하힐하우스,1,70,18,42.15,196-1,11440,5
2003,2011,도화동,"3,000",(190-0),1,40,18,24.36,190,11440,2
2010,2011,용강동,"13,500",샤인빌,1,0,7,29.95,494-96,11440,4
2002,2011,용강동,"8,500",(209-0),1,0,15,46.12,209,11440,2
2008,2011,용강동,"4,000",용강파크빌,1,60,15,32.07,494-106,11440,4
2008,2011,용강동,"17,000",정광,1,0,17,52.73,494-98,11440,5
2005,2011,용강동,"5,000",(105-0),1,0,17,23.71,105,11440,5
2007,2011,용강동,"13,000",(116-9),1,0,20,37.42,116-9,11440,3
2008,2011,용강동,"16,000",정광,1,0,23,51.9,494-98,11440,2
2005,2011,용강동,"16,000",(494-86),1,0,26,61.08,494-86,11440,4
2002,2011,용강동,"6,000",(494-111),1,0,26,17.95,494-111,11440,2
2002,2011,용강동,500,용강빌라,1,50,26,43.88,62-1,11440,4
2003,2011,토정동,"14,000",유니원빌,1,0,14,58.68,3-36,11440,1
2008,2011,마포동,"11,000",마포빌리지,1,0,21,51.62,292-86,11440,4
1994,2011,대흥동,"3,500",대흥동빌라,1,0,7,38.05,18-108,11440,
1996,2011,대흥동,"3,000",(16-29),1,0,10,18.39,16-29,11440,3
1996,2011,대흥동,"4,000",(13-119),1,0,10,16.75,13-119,11440,2
1992,2011,대흥동,"12,000",덕현빌라,1,0,11,68.24,20-44,11440,3
1986,2011,대흥동,"2,000",(147-0),1,35,13,38.61,147,11440,1
1996,2011,대흥동,500,(13-119),1,30,17,21.7,13-119,11440,1
1987,2011,대흥동,"5,500",(36-15),1,0,21,39.92,36-15,11440,
1992,2011,염리동,"7,000",(27-84),1,0,6,58.15,27-84,11440,1
1975,2011,염리동,"9,000",(487-15),1,0,20,49.19,487-15,11440,
2010,2011,염리동,"16,000",정원2차,1,0,27,73.83,27-223,11440,4
1991,2011,염리동,"5,200",(24-128),1,0,29,39.6,24-128,11440,1
1997,2011,신수동,"1,500",(93-146),1,20,6,21.6,93-146,11440,
2011,2011,신수동,"8,500",신구주택,1,0,8,21.2,91-319,11440,3
2011,2011,신수동,"5,000",신구주택,1,25,9,18.3,91-319,11440,3
2011,2011,신수동,"8,500",신구주택,1,0,11,26,91-319,11440,
2011,2011,신수동,"14,000",신구주택,1,0,11,29.985,91-319,11440,4
2011,2011,신수동,"8,500",신구주택,1,0,11,21.2,91-319,11440,3
2005,2011,신수동,"4,000",(93-31),1,25,12,106.38,93-31,11440,3
2011,2011,신수동,"14,000",신구주택,1,0,13,29.985,91-319,11440,4
1981,2011,신수동,"11,000",(95-5),1,0,15,78.35,95-5,11440,3
1993,2011,신수동,"6,500",(449-11),1,0,17,35.05,449-11,11440,1
2007,2011,신수동,"12,500",(91-129),1,0,17,50.53,91-129,11440,2
2009,2011,신수동,"14,000",대명파크빌,1,0,21,46.92,91-199,11440,5
2002,2011,신수동,"6,000",신수동다세대주택,1,0,22,20.05,69-63,11440,1
2011,2011,신수동,"13,000",(423-2),1,0,25,29.41,423-2,11440,
2004,2011,신수동,"1,000",(88-22),1,40,26,59.28,88-22,11440,5
2003,2011,신수동,"4,000",클래식빌,1,40,27,47.76,184-2,11440,-1
1991,2011,신수동,"7,500",(93-204),1,0,28,41.82,93-204,11440,
2003,2011,신수동,"1,000",(62-87),1,30,29,15.08,62-87,11440,3
2003,2011,신수동,"7,000",진아트빌,1,0,29,19.84,89-3,11440,5
2008,2011,신수동,"17,000",성보주택,1,0,29,81.7,394-1,11440,3
2004,2011,신수동,"13,500",(89-2),1,0,31,44.07,89-2,11440,3
2003,2011,현석동,"10,000",현대파크빌,1,0,7,37.98,23,11440,4
1993,2011,현석동,"1,500",연우빌라(9-2),1,50,15,37.61,9-2,11440,1
1993,2011,현석동,"3,000",연우빌라(9-2),1,50,21,46.33,9-2,11440,4
1990,2011,현석동,500,연우빌라 가동 나동,1,30,25,36.38,139-7,11440,
1997,2011,구수동,"5,500",용암빌라(나동),1,0,4,21.6,22-3,11440,2
1997,2011,구수동,"7,800",용암빌라(가동),1,7,19,41.18,22,11440,4
2008,2011,구수동,"9,000",(79-9),1,30,21,62.34,79-9,11440,2
2008,2011,구수동,"14,000",(79-9),1,0,26,60,79-9,11440,2
1997,2011,구수동,"3,800",용암빌라(가동),1,0,30,25.95,22,11440,-1
2001,2011,창전동,"12,000",트윈스빌라 에이동,1,0,4,51.83,6-79,11440,4
1996,2011,창전동,"1,000",애플그린빌라,1,50,5,39.07,6-146,11440,4
2002,2011,창전동,"8,000",(390-13),1,0,7,24.58,390-13,11440,2
2002,2011,창전동,"1,000",(6-243),1,50,8,30,6-243,11440,
1993,2011,창전동,300,동궁그린빌라,1,45,11,37.35,6-109,11440,
2002,2011,창전동,"5,500",(390-13),1,0,17,13.99,390-13,11440,4
2002,2011,창전동,"1,000",썬샤인빌라,1,55,18,19.36,6-122,11440,3
2002,2011,창전동,"6,000",뉴빌리지,1,0,21,24.09,30-13,11440,2
1992,2011,창전동,"3,000",홍익빌라,1,20,21,45.12,27-17,11440,-1
1992,2011,창전동,"1,500",홍익타운,1,65,22,40.55,436-1,11440,
2002,2011,창전동,"13,000",뉴빌리지,1,10,22,60.8,30-13,11440,3
1996,2011,창전동,"4,000",애플그린빌라,1,30,22,27.81,6-146,11440,3
2002,2011,창전동,"5,500",(6-243),1,0,23,38.34,6-243,11440,1
1992,2011,창전동,"2,500",홍익타운,1,65,26,38.65,436-1,11440,3
1989,2011,창전동,"4,000",대주빌라 2동,1,0,27,39.84,26-8,11440,
2009,2011,창전동,"14,500",창전빌라,1,0,27,62.2,34-4,11440,3
1993,2011,창전동,"6,500",성원하이츠빌라,1,0,28,50.46,6-168,11440,-1
2001,2011,창전동,"7,000",(6-191),1,0,29,25.83,6-191,11440,1
1989,2011,창전동,"7,000",삼익빌라,1,0,31,36.48,6-46,11440,
2006,2011,상수동,"6,500",(340-7),1,0,3,26.67,340-7,11440,
2008,2011,상수동,"10,000",상수,1,0,3,35.12,335-1,11440,2
2008,2011,상수동,"13,000",상수그린파크빌,1,0,4,46.9,335-10,11440,4
2002,2011,상수동,"9,000",상수동143-16다세대주택,1,10,5,53.18,143-16,11440,1
2009,2011,상수동,"3,000",(321-12),1,60,8,59.8,321-12,11440,
2008,2011,상수동,"12,000",(335-6),1,0,8,43.77,335-6,11440,4
2008,2011,상수동,"9,000",상수아르빌,1,0,8,25.68,337-14,11440,2
2002,2011,상수동,"5,000",상수동주택,1,10,12,19.89,93-66,11440,2
2003,2011,상수동,"12,000",(345-6),1,0,12,45.8,345-6,11440,2
2008,2011,상수동,"3,000",(335-14),1,70,14,43.19,335-14,11440,1
2002,2011,상수동,"5,000",(93-62),1,32,15,42.54,93-62,11440,2
2008,2011,상수동,"11,000",(335-2),1,0,15,37.74,335-2,11440,2
1991,2011,상수동,"2,500",상원빌라,1,55,17,31.98,86-46,11440,1
2009,2011,상수동,"14,500",(339-1),1,0,19,57.75,339-1,11440,3
2002,2011,상수동,"5,500",정원주택,1,0,19,30.96,9-10,11440,2
2008,2011,상수동,"11,500",해피홈,1,0,19,38.28,335-19,11440,2
2008,2011,상수동,"10,500",리버빌,1,0,21,27.53,335-3,11440,4
2002,2011,상수동,"1,000",FINEVILLE,1,50,22,35.88,143-20,11440,2
2008,2011,상수동,"7,500",리버하우스,1,0,24,25.2,335-27,11440,5
2002,2011,상수동,"6,000",(93-62),1,0,24,17.94,93-62,11440,2
2002,2011,상수동,"1,000",상수동주택,1,50,25,39.37,21,11440,3
2002,2011,상수동,200,정원주택,1,30,28,47.74,9-10,11440,5
1990,2011,당인동,"4,000",(12-15),1,40,5,36.69,12-15,11440,2
1990,2011,당인동,"2,000",(12-10),1,60,8,36.8,12-10,11440,1
2008,2011,당인동,"3,500",당인쉐르빌,1,53,18,31.7,13-1,11440,2
1986,2011,당인동,"5,000",(15-2),1,0,26,31.6,15-2,11440,1
2008,2011,당인동,"2,000",규선아트빌,1,80,31,40.48,14-23,11440,5
1989,2011,서교동,"9,000",청기와빌라7동,1,0,3,37.2,449-27,11440,2
1986,2011,서교동,"7,000",서교가든빌라다동,1,0,3,45.9,384-18,11440,-1
1986,2011,서교동,"8,500",(328-2),1,0,3,41.25,328-2,11440,
2002,2011,서교동,"9,000",이하우스,1,0,4,36.2,403-7,11440,
2002,2011,서교동,"3,000",서교동H씨빌딩,1,45,4,21.49,364-29,11440,4
1998,2011,서교동,"4,000",아인하우스,1,15,6,79.09,469-2,11440,3
2010,2011,서교동,"20,000",한라쉐르빌3동,1,0,6,59.46,480-28,11440,3
1991,2011,서교동,"9,700",한일빌리지,1,0,6,27.52,395-127,11440,2
2000,2011,서교동,"15,000",청기와빌리지,1,0,7,63.3,482-19,11440,1
2001,2011,서교동,"7,000",이혜빌딩,1,0,8,32.13,451-45,11440,3
1994,2011,서교동,"9,000",현대빌라,1,0,8,42,475-18,11440,3
2001,2011,서교동,"5,000",(335-7),1,10,8,19.52,335-7,11440,2
1994,2011,서교동,"3,500",유성주택,1,45,8,42.64,477-2,11440,3
2003,2011,서교동,"10,000",(328-65),1,25,8,34.59,328-65,11440,4
2003,2011,서교동,"10,000",(328-65),1,20,8,49.59,328-65,11440,2
1988,2011,서교동,"9,000",서교하이츠빌라A동,1,0,10,30.71,382-6,11440,1
2010,2011,서교동,"18,000",한라쉐르빌3동,1,0,11,57.94,480-28,11440,4
2002,2011,서교동,"4,000",스퀘어빌,1,30,12,29.75,355-28,11440,4
2010,2011,서교동,"20,000",한라쉐르빌3동,1,0,12,59.46,480-28,11440,2
2002,2011,서교동,"7,500",(346-27),1,0,13,20.14,346-27,11440,2
2006,2011,서교동,"21,500",(396-5),1,0,14,57.53,396-5,11440,5
