건축년도,년,법정동,보증금액,연립다세대,월,월세금액,일,전용면적,지번,지역코드,층
1981,2011,염창동,"6,500",진우,1,0,4,59.61,283-2,11500,3
2010,2011,염창동,"2,000",명주빌하모니,1,60,15,29.95,241-16,11500,5
1991,2011,염창동,"4,000",국제빌라나동,1,0,18,48.54,277-63,11500,
1996,2011,염창동,500,서건,1,37,19,26.23,279-24,11500,2
1989,2011,염창동,"3,500",(253-13),1,0,25,41.05,253-13,11500,3
1991,2011,염창동,"6,800",한성맨션,1,0,27,52.8,276-14,11500,1
1986,2011,염창동,"3,000",대근빌라D동,1,40,28,40.95,253-9,11500,3
2002,2011,등촌동,"1,000",우림,1,40,6,35.06,530-14,11500,
2002,2011,등촌동,"15,500",보람타운,1,0,6,59.62,366-132,11500,5
1995,2011,등촌동,"4,000",서광주택8동,1,30,6,38.89,633-36,11500,4
1996,2011,등촌동,"7,500",우성그린빌라(365-96),1,0,7,46.86,365-96,11500,4
1992,2011,등촌동,"3,000",진주빌라(가),1,40,8,39.12,365-172,11500,3
2002,2011,등촌동,"12,000",성호주택,1,0,8,58.33,516-27,11500,1
1989,2011,등촌동,"8,000",연세나동,1,0,10,37.39,643-47,11500,2
1991,2011,등촌동,"8,500",정은빌라,1,0,10,35.57,654-33,11500,2
2002,2011,등촌동,"12,000",동아빌라트가동,1,0,11,79.53,575-11,11500,
1987,2011,등촌동,"5,800",(365-139),1,0,12,34.22,365-139,11500,
1993,2011,등촌동,"10,500",한성빌라(2차),1,0,17,52.68,515-17,11500,4
2001,2011,등촌동,"3,500",흥양훼미리(365-126),1,45,17,62.64,365-126,11500,-1
2002,2011,등촌동,"15,000",보람타운,1,0,17,59.62,366-132,11500,3
2002,2011,등촌동,"7,000",동서타운(656-40),1,20,20,41.14,656-40,11500,3
1994,2011,등촌동,"7,500",현대하이츠빌라,1,0,20,37,365-183,11500,3
2008,2011,등촌동,"12,000",대원베스트빌,1,0,21,53.52,365-13,11500,2
1996,2011,등촌동,"6,500",영남주택,1,0,22,31.15,636-8,11500,2
1991,2011,등촌동,"9,500",연우빌라(633-31)(3동),1,0,22,39.87,633-31,11500,3
2002,2011,등촌동,"13,000",쌍용빌라트,1,0,22,64.72,516-26,11500,2
2003,2011,등촌동,"12,000",녹십초훼미리타운9동,1,0,25,58.14,662-8,11500,5
2002,2011,등촌동,"8,000",롯데아트빌,1,0,25,42.975,517-21,11500,5
2003,2011,등촌동,"2,000",녹십초훼미리타운5동,1,80,27,61.86,662-13,11500,2
1988,2011,등촌동,"10,000",두보하이츠빌라,1,0,29,79.2,515-44,11500,2
2002,2011,등촌동,"6,500",나산맨션(5차),1,0,29,31.2,574-7,11500,4
2002,2011,등촌동,"11,000",오성트레빌,1,0,29,53.88,365-182,11500,1
2009,2011,등촌동,"13,000",(516-1),1,0,29,60.04,516-1,11500,4
1986,2011,화곡동,"2,500",벌꿀빌라B동,1,0,1,37,351-87,11500,
2001,2011,화곡동,"11,000",대신주택,1,0,1,68.18,400-1,11500,5
2008,2011,화곡동,"9,500",선경베스트빌(98-119),1,0,3,40.24,98-119,11500,5
1991,2011,화곡동,"11,000",(102-183),1,0,3,119.79,102-183,11500,2
2001,2011,화곡동,"5,000",두산빌라,1,37,3,56.79,967-26,11500,4
1985,2011,화곡동,"7,000",우성연립(1134-7),1,0,3,51.3,1134-7,11500,
2002,2011,화곡동,"8,800",신영탑스빌A,1,0,3,49.2,861-34,11500,3
2001,2011,화곡동,"13,000",(1036-25),1,0,3,72,1036-25,11500,4
1984,2011,화곡동,"7,500","산호A,B",1,0,3,55.04,1007-5,11500,2
2002,2011,화곡동,"9,500",복지홈타운3동,1,0,3,44.42,100-36,11500,4
2008,2011,화곡동,"12,000",양림아트빌,1,0,3,59.4,158-16,11500,3
1995,2011,화곡동,"10,000",광명빌라9차,1,0,3,48.84,98-124,11500,3
1986,2011,화곡동,"5,000",(789-4),1,0,4,33.8,789-4,11500,1
2008,2011,화곡동,"3,000",다나네스트빌(410-261),1,40,4,41.04,410-261,11500,2
2002,2011,화곡동,"9,000",한성아트빌(462-12),1,0,5,54.54,462-12,11500,2
2009,2011,화곡동,"11,000",홍주렉스빌,1,0,5,65.37,355-39,11500,2
1996,2011,화곡동,"7,500",청송평화하이맨션,1,0,5,52.11,408-72,11500,3
2000,2011,화곡동,"14,000",성은빌라,1,0,5,64.96,369-60,11500,1
2010,2011,화곡동,"13,000",근상프리즘아트빌,1,0,5,55.3,379-50,11500,4
2004,2011,화곡동,"10,000",드림빌(367-110),1,0,5,47.45,367-110,11500,3
2008,2011,화곡동,"8,500",명진빌라(971-7),1,0,5,76.22,971-7,11500,4
1991,2011,화곡동,"7,000",이레빌라(56-507),1,0,5,45,56-507,11500,2
2008,2011,화곡동,"11,000",동진하이빌,1,0,6,64.82,98-28,11500,2
2010,2011,화곡동,"13,000",훼미리빌,1,0,6,54.34,1040-21,11500,3
2009,2011,화곡동,"12,500",한울자이빌(1016-11),1,0,6,50.14,1016-11,11500,3
2000,2011,화곡동,"16,000",진명빌딩,1,0,6,69.57,1008-26,11500,8
2001,2011,화곡동,"7,000",두산빌라B,1,0,6,59.25,424-19,11500,-1
2001,2011,화곡동,"9,000",동화빌라(56-339),1,0,6,59.92,56-339,11500,1
1993,2011,화곡동,"4,000",태성빌라(56-215),1,0,6,36.9,56-215,11500,2
2004,2011,화곡동,"13,000",청우하이츠빌,1,0,6,62.93,70-38,11500,4
2002,2011,화곡동,"1,000",영주주택,1,20,6,23.64,956-1,11500,-1
2000,2011,화곡동,"10,000",새한빌리지,1,0,7,64.42,410-218,11500,2
2002,2011,화곡동,"8,000",동현아트빌,1,0,7,62.1,393-6,11500,-1
1991,2011,화곡동,500,진양빌라,1,45,7,36.87,1033-50,11500,2
2002,2011,화곡동,"9,500",삼인빌라(59-43),1,0,7,59.45,59-43,11500,3
2008,2011,화곡동,"10,500",다성이즈빌,1,0,7,49.8,341-40,11500,3
2008,2011,화곡동,"2,300",샤론인텔리안 II,1,70,7,59.42,59-14,11500,2
2008,2011,화곡동,"2,600",해피하이츠,1,50,7,45.02,773-14,11500,4
1998,2011,화곡동,"7,000",곰달래마을,1,0,7,84.95,159-30,11500,1
2002,2011,화곡동,"4,000",삼성훼미리타운,1,30,7,44.71,964-3,11500,3
2001,2011,화곡동,"10,000",명진주택,1,0,7,60.12,346-40,11500,3
2007,2011,화곡동,"9,500",계명주택(396-9),1,0,7,46.74,396-9,11500,4
2010,2011,화곡동,"14,500",하늘재,1,0,8,71.76,355-41,11500,3
1993,2011,화곡동,"1,000",유공하이츠빌라,1,55,8,48.24,341-49,11500,4
2010,2011,화곡동,"9,000",그린힐(105-384),1,0,8,33.94,105-384,11500,5
2001,2011,화곡동,"8,500",동우맨션다동,1,0,8,50.4,408-80,11500,2
2000,2011,화곡동,"11,000",계명주택나동,1,0,8,58.32,1054-1,11500,4
2002,2011,화곡동,"5,000",메트로빌라,1,0,8,28.25,1050-18,11500,5
2000,2011,화곡동,"3,000",파랑새빌라트,1,70,8,70.47,1036-14,11500,1
1991,2011,화곡동,"1,000",동화빌라7차,1,30,8,37.2,932-10,11500,
2000,2011,화곡동,"10,000",현대빌라가동(748-25),1,0,8,62.86,748-25,11500,3
1985,2011,화곡동,"7,000","대경1동,2동",1,0,8,51.12,476-40,11500,3
2001,2011,화곡동,"9,000",성대빌라,1,0,8,59.95,474-22,11500,2
2009,2011,화곡동,"13,000",한울자이빌(1016-11),1,0,9,50.14,1016-11,11500,2
