건축년도,년,법정동,보증금액,연립다세대,월,월세금액,일,전용면적,지번,지역코드,층
1994,2011,신도림동,"6,000",(396-31),1,0,20,49.91,396-31,11530,-1
1995,2011,구로동,"5,000",(738-23),1,8,3,34.58,738-23,11530,4
2003,2011,구로동,"15,000",대원파크빌(570-55),1,0,5,79.59,570-55,11530,3
1996,2011,구로동,"8,000",계영주택,1,50,6,72.18,748-28,11530,3
1993,2011,구로동,"1,500",(770-48),1,30,7,34.65,770-48,11530,1
2002,2011,구로동,"2,000",부흥주택(476-55),1,60,8,56.46,476-55,11530,2
1971,2011,구로동,"9,500",(171-14),1,0,8,59.93,171-14,11530,
2003,2011,구로동,"13,000",영아트빌,1,0,11,53.91,429-122,11530,3
1996,2011,구로동,"3,000",(799-10),1,55,12,53.03,799-10,11530,4
1996,2011,구로동,"5,000",(799-10),1,30,12,53.03,799-10,11530,4
1980,2011,구로동,"2,500",구로연립,1,0,12,59.18,548,11530,2
2002,2011,구로동,"8,000",은빈홈타운,1,0,12,34.74,339-54,11530,4
1996,2011,구로동,"5,000",(807-25),1,5,13,19.11,807-25,11530,1
1995,2011,구로동,"2,000",성은빌라(792-70),1,45,15,48.45,792-70,11530,3
1996,2011,구로동,"6,500",(797-27),1,0,15,43.16,797-27,11530,
2004,2011,구로동,"14,000",청암하이츠빌A동,1,0,16,68.04,570-144,11530,2
1989,2011,구로동,"10,000","삼정파크빌라 다동,라동",1,0,19,50.71,552-91,11530,1
2004,2011,구로동,"12,000",영화아트빌,1,0,20,40.14,313-51,11530,4
1983,2011,구로동,"11,000",대흥연립,1,0,21,84.78,142-2,11530,3
1998,2011,구로동,"9,000",(803-38),1,0,22,59.96,803-38,11530,4
1987,2011,구로동,"7,000",배원연립,1,0,24,36.03,166-34,11530,2
1997,2011,구로동,"11,500",거창아트빌라(796-2),1,0,24,59.1,796-2,11530,3
2007,2011,구로동,"6,500",(780-94),1,0,25,39.2,780-94,11530,3
1985,2011,구로동,"1,000",(252-76),1,40,27,58.21,252-76,11530,1
2007,2011,구로동,"15,200",초롱빌라,1,0,28,68.64,459-4,11530,3
1996,2011,구로동,"2,000",(739-37),1,40,28,43.98,739-37,11530,5
1996,2011,구로동,"6,000",(738-9),1,0,30,35.4,738-9,11530,4
1981,2011,구로동,"6,000",세명빌라(252-11),1,0,31,40.65,252-11,11530,-1
1997,2011,구로동,"11,000",거창아트빌라(796-2),1,0,31,59.1,796-2,11530,2
2005,2011,가리봉동,"4,000",부흥빌라(6-1),1,60,12,66.58,775-4,11530,2
2007,2011,가리봉동,"14,000",한솔빌라6차,1,0,15,81.36,772,11530,3
1994,2011,가리봉동,"1,000",(134-106),1,40,17,35.45,134-106,11530,4
1994,2011,가리봉동,"3,000",(134-51),1,0,28,33.51,134-51,11530,3
1991,2011,고척동,"1,000",공원하이츠빌라,1,30,3,52.12,241-21,11530,2
2002,2011,고척동,"10,000",(46-7),1,0,4,60.24,46-7,11530,3
1982,2011,고척동,"6,200",계림연립 바동,1,0,5,54.48,249-118,11530,2
