건축년도,년,법정동,보증금액,연립다세대,월,월세금액,일,전용면적,지번,지역코드,층
2003,2011,영등포동,"9,000",경산맨션(618-240),1,0,10,33.36,618-240,11560,2
2009,2011,영등포동,"12,000",예인빌,1,0,15,61.01,620-88,11560,4
2003,2011,영등포동,"9,000",경산맨션(618-240),1,0,16,33.36,618-240,11560,2
2002,2011,영등포동,"8,000",대권빌라(618-45),1,10,27,38.42,618-45,11560,5
2004,2011,영등포동,"15,000",한국드림빌(592-38),1,0,29,77.38,592-38,11560,4
1998,2011,영등포동7가,"3,000",신아아트빌(94-296),1,30,8,53.39,94-296,11560,4
2002,2011,당산동1가,"13,000",(312-0),1,0,1,48.92,312,11560,4
2003,2011,당산동3가,"15,000",금화빌라트(442-0),1,0,17,42.02,442,11560,4
2002,2011,당산동4가,"6,000",성보빌라(32-99),1,65,17,64.05,32-99,11560,2
2008,2011,당산동6가,"16,000",스카이빌,1,0,5,62.34,237-15,11560,4
1986,2011,당산동6가,"5,000",금호주택 6동(103-13),1,40,6,41.15,103-13,11560,2
2003,2011,당산동6가,"12,000",M.E빌(110-87),1,0,10,41.97,110-87,11560,3
2009,2011,당산동6가,"17,000",당산타워빌,1,0,25,60,110-66,11560,3
2004,2011,당산동,"15,300",전망좋은 빌라 B,1,0,10,59.37,121-319,11560,5
2008,2011,도림동,"17,000",도림빌,1,0,29,68.62,202-43,11560,4
2009,2011,도림동,"5,000",신흥캐스빌,1,0,29,58.9,93-1,11560,2
2002,2011,양평동2가,"11,000",(34-8),1,0,14,63.81,34-8,11560,3
2010,2011,양평동4가,"2,000",(182-1),1,38,3,20.52,182-1,11560,2
2010,2011,양평동4가,"9,000",파크빌Ⅱ,1,0,9,30,170,11560,3
2010,2011,양평동4가,"3,000",파크빌Ⅱ,1,40,11,30,170,11560,5
2010,2011,양평동4가,"9,500",파크빌Ⅱ,1,0,13,30,170,11560,3
2010,2011,양평동4가,"9,000",파크빌Ⅱ,1,0,17,30,170,11560,4
2010,2011,양평동4가,"9,000",파크빌Ⅱ,1,0,22,30,170,11560,5
2011,2011,양평동4가,"10,000",은석,1,0,22,29.59,225-1,11560,5
2010,2011,양평동4가,"1,000",파크빌Ⅱ,1,60,25,30,170,11560,2
2010,2011,양평동4가,"1,000",(271-1),1,50,27,24.03,271-1,11560,2
2010,2011,양평동4가,"2,000",(271-1),1,30,27,16.12,271-1,11560,3
2000,2011,양평동4가,"13,000",하나빌리지(224-1),1,0,27,61.26,224-1,11560,4
2010,2011,양평동4가,"2,000",파크빌Ⅱ,1,50,31,30,170,11560,2
1984,2011,양평동4가,"6,500",약산,1,0,31,33.92,160-2,11560,4
2010,2011,양평동6가,"8,000",주하빌,1,0,15,29.7,58,11560,5
2010,2011,양평동6가,"6,000",강변애 A동,1,60,20,60.81,88,11560,3
2002,2011,신길동,"6,000",행복홈타운(1670-0),1,0,5,35.195,1670,11560,2
1996,2011,신길동,"13,500",백양하이츠5차(407-42),1,0,5,56.56,407-42,11560,
2010,2011,신길동,"12,000",범프라임,1,0,6,29.72,36-1,11560,4
2000,2011,신길동,"10,000",(187-13),1,0,6,59.73,187-13,11560,3
