건축년도,년,법정동,보증금액,연립다세대,월,월세금액,일,전용면적,지번,지역코드,층
2002,2011,방배동,"4,000",(858-15),1,80,1,71.97,858-15,11650,5
2010,2011,방배동,"25,000",(928-36),1,0,2,63.83,928-36,11650,4
2001,2011,방배동,"2,000",방배하이빌(963-11),1,35,3,21.42,963-11,11650,5
2002,2011,방배동,"30,000",영동스카이빌,1,0,3,74.3,839-1,11650,4
2008,2011,방배동,"27,000",명빌딩,1,0,4,113.24,833-32,11650,4
1994,2011,방배동,"23,000",(854-21),1,0,4,103.71,854-21,11650,3
2004,2011,방배동,"13,000",제비울,1,40,4,63.85,941-18,11650,4
2010,2011,방배동,"33,000",그레이스 빌,1,0,4,72.54,838-31,11650,2
1987,2011,방배동,"15,000",동문공원빌라,1,0,5,67.41,973-1,11650,2
1988,2011,방배동,"11,000",강남그린빌라(996-1),1,0,5,49.92,996-1,11650,
2002,2011,방배동,"2,000",방배리빙,1,80,5,46.41,819-17,11650,4
2004,2011,방배동,"23,000",성원빌딩,1,0,5,67.8,767-22,11650,4
1986,2011,방배동,"9,000",(978-41),1,0,6,41.54,978-41,11650,1
2007,2011,방배동,"15,000",아이파크빌,1,0,6,40.87,763-19,11650,2
2009,2011,방배동,"4,500",자이빌,1,0,7,63.94,862-27,11650,5
1988,2011,방배동,"70,000",중앙하이츠(799-10),1,0,7,225.15,799-10,11650,1
2003,2011,방배동,"8,000",송학빌라,1,20,7,33.83,832-34,11650,4
2001,2011,방배동,"25,000",토티하우스,1,0,7,69.96,938-21,11650,4
2002,2011,방배동,"9,500",(981-31),1,10,8,35.55,981-31,11650,2
2003,2011,방배동,"19,000",이안,1,0,8,61.93,833-30,11650,3
2006,2011,방배동,"20,000",둥지,1,0,8,36.61,464-3,11650,4
1986,2011,방배동,"9,000",(459-29),1,0,8,36.76,459-29,11650,1
2007,2011,방배동,"21,000",덕산골드빌,1,0,8,70.83,457-30,11650,2
2001,2011,방배동,"7,000",두리빌,1,0,8,29.13,794-10,11650,2
2004,2011,방배동,"10,000",신스빌,1,50,8,58.28,465-12,11650,3
1992,2011,방배동,"22,000",청송빌라,1,0,8,68.9,763-10,11650,1
2011,2011,방배동,"4,000",드림하이2,1,55,10,28.59,451-14,11650,2
2003,2011,방배동,"26,000",한솔하이츠빌,1,0,10,80.49,790-9,11650,3
2002,2011,방배동,"1,000",오렌지빌,1,70,10,30.36,864-11,11650,2
1993,2011,방배동,"26,000",방배타운(143-10),1,0,10,109.34,143-10,11650,4
2003,2011,방배동,"1,000",용정타운,1,66,10,26.92,463-3,11650,2
1997,2011,방배동,"6,500",(457-28),1,0,10,58.32,457-28,11650,
2002,2011,방배동,"23,000",현대베스트빌,1,0,10,74.69,922-3,11650,3
2004,2011,방배동,"10,000",신스빌,1,46,11,58.28,465-12,11650,2
1994,2011,방배동,"22,000",하나빌라,1,0,11,74.98,480-6,11650,4
1998,2011,방배동,"45,000",그랜드하우스,1,0,11,188.89,850-20,11650,3
2004,2011,방배동,"14,000",신스빌,1,26,11,58.28,465-12,11650,3
1996,2011,방배동,"10,000",(454-3),1,20,11,84.96,454-3,11650,3
1992,2011,방배동,"30,000",한국빌라(593-77),1,0,11,107.85,593-77,11650,3
2009,2011,방배동,"22,000",(828-13),1,0,12,58.19,828-13,11650,5
2007,2011,방배동,"21,000",방배팰리스,1,0,12,65.61,978-6,11650,2
1995,2011,방배동,"24,000",현대힐스빌라,1,50,12,145.17,803-2,11650,2
2001,2011,방배동,"20,000",토티하우스,1,0,12,61.2,938-21,11650,2
2008,2011,방배동,"3,000",(794-4),1,110,12,48.15,794-4,11650,4
2007,2011,방배동,"23,000",아이파크빌,1,0,13,69.44,763-19,11650,4
2002,2011,방배동,"20,000",기린하이츠,1,0,13,73.66,530-100,11650,2
2011,2011,방배동,"2,000",드림하이2,1,70,13,28.59,451-14,11650,3
1988,2011,방배동,"6,000",성원빌라,1,0,13,49.8,980-31,11650,
1987,2011,방배동,"9,500",초원빌라(530-106),1,0,14,46.94,530-106,11650,2
1994,2011,방배동,"18,000",(434-12),1,0,14,70.84,434-12,11650,2
2003,2011,방배동,"18,000",코지빌,1,0,14,56.29,927-25,11650,2
1996,2011,방배동,"23,000",(471-1),1,0,14,103.09,471-1,11650,2
