건축년도,년,법정동,보증금액,연립다세대,월,월세금액,일,전용면적,지번,지역코드,층
1986,2011,명일동,"7,000",(100-0),1,0,4,50.28,100,11740,
1996,2011,명일동,"18,000",진양그린빌리지,1,0,7,84.89,312-182,11740,3
1986,2011,명일동,"7,500",(228-8),1,0,10,49.99,228-8,11740,1
2010,2011,명일동,"8,500",솔파크,1,0,10,18.31,351-12,11740,5
1986,2011,명일동,"6,000",덕유주택,1,0,11,33.48,122,11740,
2004,2011,명일동,"11,000",삼보아트빌,1,0,11,45.05,312-236,11740,5
1990,2011,명일동,"11,000",현대하이츠,1,0,13,52.71,263-2,11740,1
1992,2011,명일동,"7,000",재경아트빌라,1,80,19,84.93,328-8,11740,1
2010,2011,명일동,"13,000",솔파크,1,0,19,26.04,351-12,11740,4
1986,2011,명일동,"7,000",(242-0),1,0,20,53.48,242,11740,
2002,2011,명일동,"12,000",(312-240),1,0,20,49.38,312-240,11740,3
2010,2011,명일동,"4,000",솔파크,1,35,27,19.39,351-12,11740,3
1986,2011,고덕동,"6,000",상명주택,1,0,13,44.72,276,11740,2
1986,2011,고덕동,"7,000",(196-6),1,0,18,51.04,196-6,11740,1
1986,2011,고덕동,"5,000",상명주택,1,0,19,44.72,276,11740,-1
1987,2011,고덕동,"1,000",우성주택,1,40,29,41.18,281-8,11740,1
1986,2011,상일동,"22,500",벽산빌라,1,0,3,79.47,152,11740,2
2008,2011,상일동,"15,000",파란아침,1,0,5,68.41,312,11740,5
2011,2011,상일동,"16,000",강동아트빌,1,0,7,70.6,318-4,11740,5
1986,2011,상일동,"29,000",현대빌라,1,0,7,115.665,172,11740,1
1987,2011,상일동,"32,000",효성빌라,1,0,8,131.64,176,11740,3
2007,2011,상일동,"13,500",예인빌라,1,0,12,54.81,333-2,11740,5
1987,2011,상일동,"32,000",효성빌라,1,0,12,131.64,176,11740,3
1987,2011,상일동,"7,000",정호빌라,1,0,12,49.2,197,11740,3
1986,2011,상일동,"7,000",승일주택,1,0,12,38.39,333,11740,1
