거래금액,년,대지면적,법정동,연면적,월,일,주택유형,지역코드,건축년도
"45,000",2010,82.6,통인동,42.98,1,29,단독,11110,
"62,000",2010,120.3,누하동,52.89,1,19,단독,11110,
"110,000",2010,89.2,체부동,146.9,1,15,단독,11110,1900
"75,300",2010,89.3,익선동,53.85,1,29,단독,11110,1900
"56,500",2010,72.7,낙원동,47.27,1,16,단독,11110,1900
"45,500",2010,108.5,낙원동,64.23,1,27,단독,11110,1900
"100,000",2010,152.1,가회동,56.2,1,19,단독,11110,1900
"40,000",2010,105.8,원남동,47.11,1,7,단독,11110,1900
"86,500",2010,148.8,연지동,410.28,1,5,단독,11110,1996
"65,000",2010,153.7,연지동,49.59,1,22,단독,11110,1900
"32,500",2010,102.5,이화동,130.02,1,22,단독,11110,1900
"32,500",2010,102.5,이화동,92.9,1,22,단독,11110,1965
"55,000",2010,33.1,충신동,41,1,8,단독,11110,1900
"40,000",2010,26.8,충신동,42.98,1,12,단독,11110,1900
"29,200",2010,47.2,충신동,23.55,1,15,단독,11110,
"53,300",2010,62.8,충신동,100.38,1,15,단독,11110,1900
"32,300",2010,52.9,충신동,23.14,1,15,단독,11110,1900
"69,000",2010,155.4,충신동,156.82,1,24,단독,11110,1965
"60,000",2010,135.6,충신동,332.28,1,27,단독,11110,1995
"140,000",2010,320.6,혜화동,171.43,1,4,단독,11110,2002
"35,500",2010,115.4,명륜4가,56.6,1,22,단독,11110,1970
"25,000",2010,76.4,명륜3가,140.63,1,28,단독,11110,1996
"18,000",2010,39,창신동,19.83,1,23,단독,11110,
"48,500",2010,62.8,송월동,61.16,1,18,단독,11110,
"102,970",2010,158.7,홍파동,213.78,1,2,단독,11110,
"45,000",2010,62.8,홍파동,26.18,1,27,단독,11110,
"89,500",2010,460,부암동,53.52,1,15,단독,11110,1968
"93,000",2010,288,홍지동,281,1,23,단독,11110,
"61,000",2010,92.6,효자동,51.31,2,19,단독,11110,
"34,000",2010,68.4,누하동,36.36,2,3,단독,11110,
"49,500",2010,93.2,필운동,50.05,2,3,단독,11110,
"39,150",2010,96.8,필운동,40.4,2,26,단독,11110,
"56,250",2010,148.7,사직동,97.57,2,15,단독,11110,1900
"85,000",2010,128.3,삼청동,220.68,2,13,단독,11110,
"37,000",2010,31.7,안국동,26.25,2,20,단독,11110,
"80,000",2010,102.5,가회동,53.72,2,10,단독,11110,
"57,000",2010,79.3,계동,45.62,2,15,단독,11110,
"15,000",2010,33.1,계동,19.83,2,28,단독,11110,
"40,000",2010,91.6,동숭동,120.9,2,20,다가구,11110,
"103,500",2010,148.8,명륜1가,131.18,2,25,단독,11110,1900
"100,000",2010,140.2,명륜2가,252.56,2,6,단독,11110,2001
"27,000",2010,49.6,명륜4가,26.78,2,18,단독,11110,1900
"91,000",2010,185.1,명륜3가,99.56,2,11,단독,11110,2007
