거래금액,건축년도,년,대지면적,법정동,연면적,월,일,주택유형,지역코드
"261,965",1965,2010,86.6,을지로3가,122.82,1,20,단독,11140
"142,800",,2010,69.4,입정동,49.59,1,20,단독,11140
"455,600",1950,2010,221.5,입정동,134.97,1,20,단독,11140
"165,055",1950,2010,99.2,입정동,56.2,1,22,단독,11140
"102,600",1950,2010,59.5,입정동,42.98,1,22,단독,11140
"319,670",1950,2010,155.4,산림동,115.7,1,20,단독,11140
"27,000",,2010,45.5,신당동,113.64,1,4,다가구,11140
"91,000",,2010,185,신당동,269.62,1,9,단독,11140
"43,000",1950,2010,76,신당동,80.66,1,18,단독,11140
"20,500",1976,2010,69.39,신당동,59.5,1,22,단독,11140
"34,000",1950,2010,60,신당동,26.45,1,29,단독,11140
"44,000",1960,2010,19.86,흥인동,57.16,1,18,단독,11140
"20,000",1939,2010,50,황학동,23.14,1,22,단독,11140
"70,000",1960,2010,176.2,남산동2가,109.09,2,22,단독,11140
"24,600",,2010,42,필동3가,53.38,2,9,단독,11140
"77,000",2001,2010,78.3,필동3가,97.74,2,18,단독,11140
"49,700",,2010,83,필동3가,64.13,2,22,단독,11140
"125,288",1971,2010,159.3,장충동2가,243.56,2,24,단독,11140
"95,400",1950,2010,59.5,을지로4가,74.38,2,22,단독,11140
"68,000",1972,2010,65.6,오장동,53.92,2,8,단독,11140
"320,000",1961,2010,278.7,오장동,190.12,2,19,단독,11140
"40,000",1968,2010,109,신당동,121.19,2,1,단독,11140
"217,500",,2010,228,신당동,749.23,2,4,단독,11140
"37,000",,2010,46,신당동,39.67,2,22,단독,11140
"20,000",,2010,26,신당동,19.83,2,27,단독,11140
"50,750",1994,2010,95.9,만리동2가,192.48,2,20,다가구,11140
"20,000",1935,2010,33.1,남산동2가,47.14,3,12,단독,11140
"57,000",1950,2010,89.6,필동3가,33.06,3,12,단독,11140
"46,000",,2010,122.3,예장동,102.68,3,6,단독,11140
"271,500",,2010,400,장충동1가,1176.67,3,29,다가구,11140
"52,800",2004,2010,107.1,장충동2가,99.08,3,11,단독,11140
"16,000",1950,2010,42.3,쌍림동,35.54,3,25,단독,11140
"113,850",1950,2010,67.8,을지로4가,83.48,3,5,단독,11140
"51,150",1950,2010,33.1,을지로4가,24.26,3,5,단독,11140
"117,800",1950,2010,62.89,입정동,32.93,3,15,단독,11140
"178,266",1950,2010,89.3,입정동,59.5,3,15,단독,11140
"108,172",1950,2010,56.2,입정동,41.39,3,16,단독,11140
"88,922",1950,2010,39.7,산림동,23.5,3,16,단독,11140
"237,315",1960,2010,120.7,산림동,79.53,3,17,단독,11140
"30,000",1950,2010,46,신당동,45.49,3,2,단독,11140
"39,000",1950,2010,73,신당동,59.5,3,9,단독,11140
"40,000",,2010,103,신당동,29.75,3,18,단독,11140
"38,000",1950,2010,33.95,신당동,59.74,3,23,단독,11140
"22,000",1977,2010,26,신당동,15.21,3,23,단독,11140
"27,400",1936,2010,60,신당동,23.14,3,24,단독,11140
"139,000",1991,2010,198,신당동,630.12,3,24,단독,11140
"17,500",,2010,26.4,흥인동,26.45,3,12,단독,11140
"61,700",1950,2010,37.4,인현동2가,69.42,4,5,단독,11140
"136,160",1950,2010,82.6,인현동2가,95.77,4,5,단독,11140
"145,000",1950,2010,89.3,인현동2가,93.82,4,5,단독,11140
"9,000",,2010,26.8,필동3가,19.01,4,13,단독,11140
"103,000",1950,2010,59.5,을지로4가,132.23,4,5,단독,11140
"320,500",,2010,168.9,을지로4가,109.39,4,6,단독,11140
"159,856",1950,2010,83.6,을지로4가,61.49,4,6,단독,11140
"113,300",1950,2010,34.05,주교동,40.99,4,6,단독,11140
