거래금액,건축년도,년,대지면적,법정동,연면적,월,일,주택유형,지역코드
"61,500",1993,2010,131.2,후암동,198.9,1,13,단독,11170
"27,510",1968,2010,139.3,후암동,209.59,1,20,단독,11170
"56,700",,2010,66.1,후암동,72.73,1,20,단독,11170
"84,000",1979,2010,140.8,용산동2가,201.61,1,12,단독,11170
"36,000",1985,2010,80.3,용산동2가,51.83,1,20,단독,11170
"43,900",,2010,55.2,용산동2가,25.39,1,22,단독,11170
"57,500",,2010,84.1,용산동2가,126.09,1,22,다가구,11170
"25,000",1935,2010,8.9,청파동2가,31.4,1,6,단독,11170
"30,000",1980,2010,63.8,청파동3가,36.3,1,15,단독,11170
"65,000",,2010,91.1,원효로1가,47.97,1,21,단독,11170
"108,000",,2010,61.8,한강로1가,41.12,1,11,단독,11170
"140,000",1940,2010,80.3,한강로1가,79.34,1,27,단독,11170
"126,000",,2010,66.4,한강로1가,93.16,1,29,단독,11170
"290,000",,2010,248.9,용산동3가,97.92,1,29,단독,11170
"430,000",,2010,210.6,한강로3가,93.73,1,18,단독,11170
"165,000",,2010,92.6,한강로3가,159,1,20,다가구,11170
"92,400",,2010,92.6,한강로3가,45.79,1,23,단독,11170
"87,000",,2010,88.3,한강로3가,46.81,1,26,단독,11170
"93,000",,2010,81.6,한강로3가,145.83,1,28,다가구,11170
"101,600",,2010,168,이태원동,164.33,1,12,단독,11170
"31,500",,2010,52,이태원동,71.73,1,15,단독,11170
"89,000",1992,2010,165,이태원동,262.64,1,25,단독,11170
"58,500",,2010,53,한남동,57.42,1,6,단독,11170
"30,000",1980,2010,16,한남동,28,1,6,단독,11170
"73,000",,2010,92,한남동,38.38,1,25,단독,11170
"68,000",,2010,64,한남동,109.5,1,25,다가구,11170
"45,000",1985,2010,97.5,한남동,124.11,1,29,단독,11170
"75,000",,2010,89,보광동,144.86,1,6,다가구,11170
"72,800",,2010,73,보광동,117.86,1,12,다가구,11170
"67,000",,2010,63,보광동,79.07,1,13,다가구,11170
"66,000",,2010,83,보광동,55.74,1,20,단독,11170
"76,700",,2010,102,보광동,157.23,1,22,다가구,11170
"76,000",,2010,99,보광동,132.84,1,22,단독,11170
"125,000",,2010,169,보광동,51.27,1,29,단독,11170
