거래금액,년,대지면적,법정동,연면적,월,일,주택유형,지역코드,건축년도
"45,450",2010,73,하왕십리동,39.08,1,11,단독,11200,
"22,000",2010,35.25,하왕십리동,23.14,1,12,단독,11200,
"67,000",2010,93,하왕십리동,151.35,1,14,다가구,11200,
"32,200",2010,17,하왕십리동,19,1,16,단독,11200,1982
"59,500",2010,86,하왕십리동,51.5,1,21,단독,11200,
"40,000",2010,63,하왕십리동,149.26,1,30,단독,11200,2007
"37,000",2010,66,하왕십리동,99.84,1,31,다가구,11200,
"66,300",2010,99.8,홍익동,132.14,1,6,단독,11200,
"243,000",2010,174.9,도선동,512.96,1,7,단독,11200,1990
"110,000",2010,166,도선동,477,1,26,다가구,11200,
"52,000",2010,75,행당동,89.06,1,16,다가구,11200,
"22,000",2010,17.2,행당동,27.6,1,18,단독,11200,
"45,500",2010,94,행당동,44.63,1,28,단독,11200,
"34,900",2010,64.5,금호동4가,33.06,1,9,단독,11200,
"55,000",2010,76,옥수동,120.99,1,9,단독,11200,
"175,000",2010,152,성수동1가,81.45,1,5,단독,11200,1969
"74,000",2010,142,송정동,169.6,1,25,단독,11200,1971
"57,000",2010,120.3,용답동,199.21,1,8,단독,11200,
"54,800",2010,113.4,용답동,193.08,1,21,다가구,11200,
"40,000",2010,70.8,용답동,98.58,1,28,다가구,11200,
"51,700",2010,69,상왕십리동,36.36,2,5,단독,11200,
"73,500",2010,105,상왕십리동,125.32,2,27,단독,11200,
"46,300",2010,53,하왕십리동,23.14,2,23,단독,11200,
"16,300",2010,27.1,하왕십리동,25.32,2,24,단독,11200,
"115,000",2010,177.8,도선동,390.39,2,25,다가구,11200,
"47,000",2010,114.4,마장동,135.29,2,2,단독,11200,1977
"46,000",2010,108.4,마장동,56.2,2,11,단독,11200,1943
"41,000",2010,144.28,마장동,72.73,2,12,단독,11200,
"32,000",2010,100.3,마장동,37.19,2,22,단독,11200,
"17,500",2010,56,마장동,49.59,2,26,단독,11200,1980
"48,000",2010,122.7,사근동,145.12,2,22,단독,11200,1977
"130,000",2010,163,행당동,392.19,2,17,다가구,11200,
"35,000",2010,50,행당동,11.12,2,23,단독,11200,
"56,000",2010,99,행당동,141.81,2,27,단독,11200,
"73,000",2010,149.5,옥수동,232.56,2,5,다가구,11200,
"70,000",2010,66,성수동1가,113.13,2,9,다가구,11200,
"74,000",2010,123,성수동1가,246.96,2,12,다가구,11200,
"59,500",2010,92.6,성수동2가,143.09,2,2,다가구,11200,1970
"62,000",2010,53,성수동2가,90.4,2,4,다가구,11200,
"55,000",2010,112,송정동,178.64,2,7,단독,11200,1974
"42,000",2010,110.1,용답동,171.98,2,3,다가구,11200,
"4,458",2010,7,상왕십리동,9.8,3,2,단독,11200,1990
"50,000",2010,89,상왕십리동,131.36,3,15,단독,11200,1994
"13,000",2010,17.5,하왕십리동,38.04,3,15,단독,11200,1986
"42,350",2010,56,하왕십리동,91.51,3,19,다가구,11200,
"47,650",2010,63,하왕십리동,102,3,19,다가구,11200,
"54,900",2010,96,하왕십리동,50.08,3,26,단독,11200,
"27,000",2010,85.9,도선동,41.26,3,23,단독,11200,
"260,000",2010,353.7,마장동,861.82,3,4,다가구,11200,1977
"24,500",2010,62.3,마장동,108.95,3,6,단독,11200,1991
"66,900",2010,126.6,마장동,154.07,3,11,단독,11200,
"40,500",2010,92.9,마장동,137.49,3,17,다가구,11200,1989
"40,000",2010,149,마장동,118.5,3,28,단독,11200,2003
"41,400",2010,69,행당동,91.34,3,8,다가구,11200,
"55,200",2010,79,행당동,94.4,3,29,다가구,11200,1998
"22,000",2010,17,금호동3가,66.12,3,3,단독,11200,
"31,500",2010,44,금호동3가,22.1,3,23,단독,11200,
"20,000",2010,51.05,금호동4가,17.8,3,19,단독,11200,1958
"40,000",2010,64.25,옥수동,316.95,3,4,다가구,11200,1995
"48,000",2010,99.8,옥수동,150.45,3,17,단독,11200,
"73,500",2010,144.4,옥수동,241.48,3,29,다가구,11200,
"75,000",2010,100.5,성수동1가,179.07,3,16,다가구,11200,1994
"59,500",2010,95.2,성수동1가,196.37,3,23,다가구,11200,
"177,000",2010,221,성수동2가,526.85,3,30,다가구,11200,
"47,500",2010,102.1,용답동,165.86,3,3,다가구,11200,
"42,000",2010,69,하왕십리동,123.28,4,5,다가구,11200,1988
"17,500",2010,36,하왕십리동,37.92,4,9,다가구,11200,
"12,900",2010,13.25,하왕십리동,21,4,28,단독,11200,
"11,200",2010,9.84,하왕십리동,34.07,4,29,단독,11200,1995
"70,000",2010,119.4,홍익동,265.8,4,27,다가구,11200,
"27,000",2010,52.89,마장동,155.77,4,10,다가구,11200,
"93,000",2010,129,마장동,215.58,4,13,다가구,11200,
"31,000",2010,71.4,마장동,29.75,4,14,단독,11200,
"23,500",2010,69,마장동,32.67,4,30,단독,11200,1967
"70,000",2010,185,사근동,151.3,4,3,단독,11200,
"66,500",2010,116,사근동,148.68,4,12,단독,11200,1975
"18,000",2010,94,사근동,184.26,4,13,단독,11200,2006
"97,500",2010,165,행당동,297.38,4,2,단독,11200,
"54,000",2010,119,행당동,76.11,4,2,단독,11200,
"60,000",2010,102,행당동,181.5,4,2,단독,11200,1979
"110,000",2010,106,행당동,405.01,4,7,다가구,11200,
"57,000",2010,93.3,옥수동,152.72,4,28,다가구,11200,
"70,000",2010,142,성수동2가,160.38,4,1,단독,11200,
"365,000",2010,574.9,성수동2가,472.63,4,1,다가구,11200,1974
"30,000",2010,66,성수동2가,33.02,4,24,단독,11200,
"2,000",2010,3.31,용답동,10.02,4,16,다가구,11200,1979
"47,000",2010,87.3,홍익동,153.36,5,20,다가구,11200,1991
"100,000",2010,159.7,도선동,249.91,5,19,단독,11200,1986
"63,500",2010,119,행당동,143.89,5,7,단독,11200,
"99,000",2010,159,행당동,249.18,5,18,다가구,11200,
"40,000",2010,63,성수동1가,91.86,5,19,단독,11200,1990
"12,500",2010,17.3,하왕십리동,36.48,6,22,다가구,11200,1995
"41,000",2010,69,하왕십리동,180.77,6,29,다가구,11200,1968
"40,000",2010,91.6,도선동,42.24,6,6,단독,11200,1985
"47,000",2010,107.1,도선동,72.1,6,6,단독,11200,
"33,000",2010,75,도선동,49.59,6,6,다가구,11200,1982
"60,000",2010,100,행당동,41.32,6,15,단독,11200,1959
"66,000",2010,111.1,금호동2가,175.87,6,17,다가구,11200,1991
"26,700",2010,51.2,금호동3가,32.8,6,17,단독,11200,
"71,000",2010,156.7,금호동3가,344.72,6,18,다가구,11200,1993
"19,300",2010,76,금호동3가,39.11,6,20,단독,11200,1968
"97,000",2010,129,성수동1가,76.72,6,1,단독,11200,1970
"68,000",2010,100.5,성수동1가,194.04,6,10,다가구,11200,1997
"93,867",2010,99,성수동1가,155.42,6,15,다가구,11200,1986
"198,163",2010,209,성수동1가,297.6,6,15,다가구,11200,
"109,498",2010,125,성수동1가,264.89,6,15,다가구,11200,1994
"137,320",2010,89,성수동1가,214.2,6,15,다가구,11200,1986
"185,997",2010,202,성수동1가,306.02,6,15,다가구,11200,1987
"144,119",2010,152,성수동1가,299.6,6,15,다가구,11200,1994
"189,406",2010,215,성수동1가,247.11,6,15,다가구,11200,1988
"162,442",2010,175,성수동1가,247.11,6,15,다가구,11200,1988
"188,759",2010,185,성수동1가,374.76,6,15,다가구,11200,1992
"735,765",2010,776,성수동1가,333.17,6,15,단독,11200,1964
"74,904",2010,79,성수동1가,131.99,6,15,다가구,11200,1993
"77,000",2010,146.3,성수동2가,372.32,6,28,단독,11200,
"35,587",2010,43,하왕십리동,36.99,7,8,단독,11200,1965
"18,300",2010,39.58,하왕십리동,28,7,13,단독,11200,1985
"90,000",2010,159,하왕십리동,221.33,7,30,다가구,11200,1937
"62,000",2010,77.7,홍익동,143.75,7,9,단독,11200,1993
"33,100",2010,57.2,도선동,105.54,7,2,다가구,11200,1987
"77,500",2010,166.9,도선동,198.18,7,12,단독,11200,1973
"22,000",2010,40,도선동,19.83,7,13,단독,11200,1997
