거래금액,년,대지면적,법정동,연면적,월,일,주택유형,지역코드,건축년도
"60,000",2010,121,중곡동,198.62,1,3,다가구,11215,
"72,000",2010,145.8,중곡동,258.27,1,9,다가구,11215,
"40,000",2010,132.2,중곡동,65.52,1,11,다가구,11215,
"25,000",2010,112.1,중곡동,109.95,1,11,단독,11215,1972
"25,000",2010,112.1,중곡동,109.95,1,14,단독,11215,1972
"48,000",2010,109.1,중곡동,179.46,1,20,다가구,11215,
"83,900",2010,154.4,중곡동,266.95,1,21,단독,11215,2004
"47,500",2010,108.4,중곡동,162.06,1,22,다가구,11215,
"99,000",2010,215.9,중곡동,490.86,1,23,단독,11215,
"58,000",2010,148.4,중곡동,234.09,1,25,다가구,11215,
"44,000",2010,96.2,중곡동,119.36,1,27,다가구,11215,
"63,000",2010,138.5,중곡동,223.92,1,28,단독,11215,
"119,800",2010,202,구의동,416.43,1,20,단독,11215,
"117,000",2010,195,구의동,393.41,1,21,다가구,11215,
"61,000",2010,130.6,구의동,207.75,1,27,단독,11215,
"54,000",2010,96,구의동,62.28,1,28,단독,11215,
"105,500",2010,165,구의동,148.66,1,30,단독,11215,
"60,500",2010,102,광장동,134.57,1,30,다가구,11215,
"77,000",2010,135,자양동,264.7,1,9,다가구,11215,
"26,500",2010,36,자양동,46.74,1,12,단독,11215,
"73,000",2010,143.1,자양동,174.64,1,16,단독,11215,
"60,000",2010,110.7,자양동,190.55,1,20,단독,11215,1990
"98,500",2010,187.5,자양동,297.09,1,25,다가구,11215,
"56,000",2010,125,자양동,171.62,1,25,단독,11215,1977
"50,000",2010,89,자양동,129.48,1,25,다가구,11215,
"77,000",2010,166.8,자양동,248.27,1,26,단독,11215,
"62,000",2010,113.4,자양동,136.43,1,31,단독,11215,
"64,000",2010,107.4,화양동,187.74,1,13,단독,11215,1995
"99,000",2010,167.4,화양동,247.32,1,16,단독,11215,
"77,500",2010,122.3,화양동,181.04,1,28,단독,11215,1989
"134,000",2010,134.9,화양동,322.15,1,29,단독,11215,2009
"44,300",2010,93,군자동,56.36,1,18,단독,11215,1972
"40,600",2010,93.6,중곡동,161.9,2,1,단독,11215,
"77,000",2010,157.7,중곡동,250.4,2,1,단독,11215,
"88,000",2010,150.7,중곡동,243.98,2,6,단독,11215,
"60,700",2010,148.8,중곡동,203.03,2,8,단독,11215,
"46,000",2010,116,중곡동,181.82,2,10,다가구,11215,
"130,000",2010,245.3,중곡동,451.74,2,12,단독,11215,2002
"34,000",2010,84.6,중곡동,76.95,2,16,단독,11215,
"38,000",2010,99.5,중곡동,170.16,2,17,다가구,11215,
"170,000",2010,188.1,중곡동,375.72,2,17,다가구,11215,2008
"39,600",2010,109.8,중곡동,109.82,2,20,단독,11215,1971
"59,500",2010,114.7,중곡동,238.58,2,20,다가구,11215,
"74,000",2010,147.8,중곡동,322.56,2,24,다가구,11215,
"80,000",2010,176.5,중곡동,123.63,2,24,단독,11215,
"150,000",2010,202.3,능동,302.3,2,2,다가구,11215,
"113,500",2010,165.6,능동,246.79,2,12,다가구,11215,
"69,500",2010,166,구의동,167.26,2,2,단독,11215,1983
"90,000",2010,150.4,구의동,295.15,2,3,단독,11215,
"28,000",2010,62.8,구의동,73.15,2,6,단독,11215,
"149,450",2010,420.8,구의동,657.5,2,10,다가구,11215,1994
"64,000",2010,167.6,구의동,123.01,2,18,단독,11215,1969
"89,500",2010,162,구의동,329.77,2,22,다가구,11215,
"86,000",2010,185.8,구의동,263.51,2,23,단독,11215,
"49,950",2010,68,구의동,62.28,2,26,단독,11215,
"120,000",2010,373.7,구의동,157.03,2,26,단독,11215,1977
"60,000",2010,122.7,자양동,259.04,2,1,다가구,11215,
"48,700",2010,88.5,자양동,150.68,2,19,단독,11215,1994
"70,500",2010,146.8,자양동,198.72,2,19,단독,11215,1988
"89,500",2010,172,자양동,143.8,2,23,단독,11215,1978
"60,000",2010,83,자양동,138.44,2,24,단독,11215,
"122,000",2010,185.1,자양동,380.34,2,27,다가구,11215,
"63,800",2010,112.4,화양동,180.45,2,11,다가구,11215,
"82,000",2010,130.9,화양동,136.78,2,12,단독,11215,1969
"195,000",2010,260.5,화양동,530.1,2,23,단독,11215,1987
"240,000",2010,262.2,화양동,600.2,2,23,다가구,11215,
"33,000",2010,109,군자동,70.02,2,9,단독,11215,
"82,750",2010,171,군자동,208.26,2,18,다가구,11215,
"85,000",2010,159.3,군자동,177.82,2,26,단독,11215,1975
"107,500",2010,225.8,중곡동,289.29,3,1,단독,11215,
"86,000",2010,170.6,중곡동,164.63,3,10,다가구,11215,
"43,000",2010,94.2,중곡동,147.72,3,11,단독,11215,
"45,200",2010,92.2,중곡동,143.76,3,12,다가구,11215,
"62,750",2010,181.8,중곡동,163.82,3,13,단독,11215,
"133,000",2010,160.3,중곡동,433.5,3,25,단독,11215,
"102,000",2010,221,중곡동,406.02,3,25,다가구,11215,
"118,000",2010,225,중곡동,539.36,3,25,다가구,11215,
"37,000",2010,101.8,중곡동,122.13,3,26,단독,11215,
"94,000",2010,165.6,중곡동,446.22,3,26,다가구,11215,
"57,500",2010,165.3,중곡동,96.2,3,29,단독,11215,1974
"47,500",2010,96.2,중곡동,163.05,3,29,단독,11215,
"75,000",2010,121.6,중곡동,214.26,3,31,단독,11215,
"59,000",2010,114,능동,149.91,3,1,다가구,11215,
"51,000",2010,108.8,능동,111.54,3,2,단독,11215,
"55,000",2010,104.1,능동,112.41,3,3,단독,11215,
"114,500",2010,166.6,능동,378.72,3,6,다가구,11215,
"92,000",2010,164,능동,259.44,3,18,다가구,11215,
"129,000",2010,271.4,구의동,147.11,3,3,단독,11215,
"57,000",2010,133.9,구의동,249.48,3,8,다가구,11215,
"61,000",2010,145,구의동,229.27,3,10,단독,11215,1990
"119,000",2010,230.4,구의동,194.05,3,11,단독,11215,1978
"51,000",2010,113.4,구의동,94.57,3,16,단독,11215,1975
"140,000",2010,142.1,구의동,283.52,3,16,다가구,11215,
"54,250",2010,114.7,구의동,106.58,3,23,단독,11215,1972
"70,900",2010,109.1,자양동,160.56,3,3,단독,11215,1989
"36,000",2010,60,자양동,34.64,3,4,단독,11215,
"80,000",2010,145,자양동,172.76,3,11,단독,11215,1976
"120,000",2010,153.8,자양동,467.28,3,26,다가구,11215,
"117,000",2010,133.9,화양동,368.76,3,22,다가구,11215,
"165,000",2010,349.8,군자동,328.44,3,6,단독,11215,
"65,800",2010,122.3,군자동,253.08,3,20,다가구,11215,
"43,000",2010,92.2,중곡동,135.96,4,3,다가구,11215,
"88,000",2010,150.7,중곡동,243.98,4,6,단독,11215,
"34,500",2010,92.2,중곡동,145.51,4,8,다가구,11215,
"75,000",2010,142.5,중곡동,221.88,4,8,다가구,11215,
"76,000",2010,168.6,중곡동,144.46,4,17,단독,11215,
"46,000",2010,102.5,중곡동,169.37,4,21,다가구,11215,
"62,000",2010,153.4,중곡동,242.28,4,22,다가구,11215,
"165,000",2010,220.6,능동,330.36,4,5,다가구,11215,
"86,000",2010,153.4,구의동,330.83,4,2,단독,11215,1996
"64,000",2010,119,구의동,158.46,4,15,단독,11215,
