거래금액,건축년도,년,대지면적,법정동,연면적,월,일,주택유형,지역코드
"45,000",1967,2010,125.6,신설동,144.04,1,8,단독,11230
"87,000",1971,2010,203.6,용두동,203.47,1,3,단독,11230
"38,780",1958,2010,91.6,용두동,39.9,1,3,단독,11230
"36,000",,2010,86,용두동,42.97,1,10,단독,11230
"45,905",1959,2010,89.9,용두동,66.11,1,25,단독,11230
"78,125",1957,2010,153,용두동,76.7,1,25,단독,11230
"29,514",1959,2010,57.8,용두동,66.11,1,25,단독,11230
"33,000",,2010,75,제기동,41.14,1,7,단독,11230
"20,000",1966,2010,59.5,제기동,32.07,1,15,단독,11230
"21,000",,2010,72.5,제기동,52.9,1,28,단독,11230
"20,800",,2010,86,제기동,32.73,1,28,단독,11230
"33,000",1974,2010,130,전농동,158.71,1,6,단독,11230
"38,800",,2010,69,전농동,105.79,1,12,다가구,11230
"23,000",,2010,78,전농동,45.42,1,15,단독,11230
"22,020",,2010,52,전농동,29.75,1,18,단독,11230
"20,800",1983,2010,43,전농동,38.14,1,25,단독,11230
"40,000",1989,2010,132,답십리동,188.64,1,8,단독,11230
"40,000",,2010,79,답십리동,119.6,1,25,다가구,11230
"13,000",,2010,20,답십리동,35.9,1,25,단독,11230
"37,000",,2010,96,장안동,155.5,1,9,다가구,11230
"45,000",,2010,119,장안동,202.52,1,13,다가구,11230
"98,000",,2010,274.6,장안동,292.85,1,18,단독,11230
"58,500",1996,2010,129,청량리동,198.38,1,10,단독,11230
"25,200",,2010,89,회기동,139.9,1,9,단독,11230
"23,000",,2010,112,회기동,68.99,1,19,단독,11230
"26,500",,2010,70,회기동,90.68,1,25,다가구,11230
"21,300",,2010,56,휘경동,32.83,1,15,단독,11230
"59,000",,2010,155,휘경동,163.62,1,20,단독,11230
"9,000",1980,2010,26,휘경동,29.75,1,24,단독,11230
"24,500",,2010,69,이문동,42.88,1,6,단독,11230
"55,150",,2010,119,이문동,161.31,1,9,다가구,11230
"51,300",,2010,89,이문동,144.7,1,12,다가구,11230
"18,000",1966,2010,53,이문동,27.41,1,21,단독,11230
"26,000",,2010,66,이문동,110.34,1,23,다가구,11230
"40,300",,2010,96,이문동,110.58,1,23,다가구,11230
"26,200",1967,2010,73,이문동,55.8,1,26,단독,11230
"17,000",,2010,39.7,용두동,24.54,2,4,단독,11230
"5,000",1985,2010,14.5,용두동,13.4,2,5,단독,11230
"44,100",1974,2010,99.2,용두동,115.34,2,22,단독,11230
"17,200",1980,2010,35,용두동,14.55,2,24,단독,11230
"18,000",1961,2010,60.2,용두동,30.38,2,25,단독,11230
"14,000",,2010,16,제기동,42.21,2,1,단독,11230
"54,000",,2010,111.4,제기동,87.34,2,8,단독,11230
"18,000",1985,2010,60.5,제기동,36.47,2,10,단독,11230
"67,500",,2010,166,제기동,162.64,2,16,단독,11230
"50,000",,2010,121.6,전농동,48.6,2,5,단독,11230
"22,000",1960,2010,40,전농동,23.5,2,11,단독,11230
"36,800",,2010,76,전농동,118.8,2,16,다가구,11230
"48,000",,2010,106,전농동,181.23,2,18,다가구,11230
"28,500",,2010,66,전농동,56.73,2,20,단독,11230
"177,300",1946,2010,250.6,전농동,94.45,2,24,단독,11230
"33,100",,2010,73,전농동,115.92,2,27,다가구,11230
"18,000",,2010,34.4,답십리동,14.88,2,2,단독,11230
"51,300",1976,2010,125.3,답십리동,89.32,2,10,단독,11230
"23,500",,2010,58,답십리동,42.98,2,17,단독,11230
"16,500",,2010,43,답십리동,33.06,2,17,단독,11230
"38,900",,2010,109,답십리동,59.7,2,19,단독,11230
"34,500",,2010,93,답십리동,39.79,2,20,단독,11230
"24,000",,2010,66,답십리동,40.86,2,22,단독,11230
"39,700",,2010,89,답십리동,47.44,2,27,단독,11230
"28,900",,2010,93,장안동,62.7,2,23,단독,11230
"60,000",,2010,146.3,장안동,216.15,2,23,단독,11230
"72,600",1990,2010,175,청량리동,324.14,2,8,단독,11230
"34,000",,2010,118.48,청량리동,189.9,2,11,다가구,11230
"33,500",1980,2010,89,청량리동,92.92,2,11,단독,11230
"24,700",1980,2010,63,청량리동,79.68,2,23,단독,11230
"74,000",,2010,128,휘경동,297.46,2,3,다가구,11230
"12,700",,2010,36,휘경동,18,2,6,단독,11230
"35,000",1994,2010,93,휘경동,148.6,2,16,단독,11230
"58,900",1973,2010,126,휘경동,185.43,2,17,단독,11230
"38,200",,2010,89,휘경동,148.28,2,25,다가구,11230
"50,000",1970,2010,126,휘경동,91.34,2,27,단독,11230
"45,000",,2010,116,이문동,76.36,2,2,단독,11230
"19,800",,2010,30,이문동,26.61,2,2,단독,11230
"19,000",1980,2010,55,이문동,19.83,2,4,단독,11230
"78,000",,2010,212,이문동,247.05,2,5,다가구,11230
"24,000",1967,2010,83,이문동,58.18,2,10,단독,11230
"16,300",1970,2010,30,이문동,26.61,2,27,단독,11230
"35,000",1970,2010,93,이문동,46.09,2,27,단독,11230
"56,400",,2010,124.3,신설동,127.41,3,9,단독,11230
"72,000",,2010,131.83,용두동,200.17,3,3,단독,11230
"35,500",,2010,89,용두동,136.55,3,13,단독,11230
"100,000",1978,2010,181.6,용두동,197.79,3,16,단독,11230
"32,000",1985,2010,73.4,용두동,42.99,3,24,단독,11230
"25,600",1965,2010,163.6,제기동,95.87,3,3,단독,11230
"40,000",1994,2010,119,제기동,183.09,3,3,단독,11230
"94,500",,2010,228,제기동,97.51,3,6,단독,11230
"35,000",,2010,112,제기동,33.05,3,8,단독,11230
"19,000",,2010,53.9,제기동,36.93,3,13,단독,11230
"13,500",1977,2010,38.25,제기동,45.82,3,22,단독,11230
"23,254",1985,2010,54,제기동,112.46,3,25,단독,11230
