거래금액,년,대지면적,법정동,연면적,월,일,주택유형,지역코드,건축년도
"46,000",2010,118,면목동,176.82,1,1,다가구,11260,
"20,400",2010,62.2,면목동,52.07,1,7,단독,11260,
"44,600",2010,111.4,면목동,196,1,13,다가구,11260,
"18,200",2010,87.3,면목동,62.28,1,14,단독,11260,
"43,000",2010,111.4,면목동,150.84,1,17,단독,11260,1983
"36,300",2010,98.2,면목동,113.62,1,18,단독,11260,
"28,000",2010,83.3,면목동,82.18,1,18,단독,11260,2002
"33,000",2010,96.2,면목동,143.56,1,18,다가구,11260,
"36,000",2010,98.2,면목동,72.21,1,18,단독,11260,
"48,000",2010,125.6,면목동,189.51,1,22,다가구,11260,
"69,500",2010,132.9,면목동,312.16,1,27,다가구,11260,
"68,000",2010,151.4,면목동,241.36,1,27,단독,11260,2009
"74,000",2010,192.7,면목동,203.47,1,28,단독,11260,1973
"39,500",2010,96.9,면목동,236.4,1,29,단독,11260,1992
"50,000",2010,115.4,면목동,186.3,1,29,다가구,11260,
"34,500",2010,104.7,면목동,153.42,1,29,다가구,11260,1990
"35,700",2010,92.6,면목동,135.14,1,29,단독,11260,
"37,000",2010,99,상봉동,119.63,1,4,단독,11260,1972
"46,000",2010,95.5,상봉동,130.81,1,8,다가구,11260,1994
"50,000",2010,132,상봉동,131.07,1,22,다가구,11260,
"36,500",2010,108.8,상봉동,179.83,1,23,다가구,11260,
"65,000",2010,119.3,상봉동,148.62,1,28,다가구,11260,
"63,000",2010,134.6,상봉동,128.55,1,31,단독,11260,
"42,000",2010,130.6,중화동,198.65,1,12,단독,11260,1993
"34,500",2010,119,중화동,62.25,1,19,단독,11260,
"85,000",2010,161.3,묵동,511.3,1,9,다가구,11260,
"54,500",2010,153.7,묵동,163.86,1,11,단독,11260,
"75,000",2010,164.3,묵동,163.32,1,15,단독,11260,
"31,900",2010,118,묵동,73.95,1,26,단독,11260,
"45,000",2010,129,묵동,219.8,1,28,다가구,11260,
"32,000",2010,109.1,망우동,95.54,1,9,단독,11260,1978
"36,700",2010,116.4,망우동,186.49,1,9,다가구,11260,
"60,000",2010,142.2,망우동,336.95,1,18,다가구,11260,
"34,800",2010,112.1,망우동,128.43,1,21,다가구,11260,
"48,100",2010,122.6,망우동,194.61,1,27,다가구,11260,
"32,000",2010,118.4,망우동,125.06,1,29,단독,11260,
"33,470",2010,120.6,망우동,85.62,1,31,단독,11260,
"28,500",2010,76.4,신내동,127,1,12,다가구,11260,
"48,000",2010,101,신내동,151.58,1,26,단독,11260,
"25,000",2010,119,면목동,73.26,2,1,단독,11260,1975
"52,800",2010,118,면목동,271.32,2,2,다가구,11260,
"88,500",2010,158.4,면목동,410.66,2,3,다가구,11260,
"46,980",2010,115,면목동,169.68,2,3,단독,11260,1990
"24,500",2010,100.5,면목동,46.45,2,5,단독,11260,
"65,500",2010,134.6,면목동,324.66,2,6,단독,11260,1992
"23,000",2010,77,면목동,55.9,2,7,단독,11260,
"119,000",2010,209.2,면목동,391.14,2,9,다가구,11260,
"43,300",2010,116.7,면목동,199.96,2,10,단독,11260,1993
"30,500",2010,90.6,면목동,147.74,2,11,다가구,11260,
"46,000",2010,104.4,면목동,170.97,2,12,다가구,11260,
"17,000",2010,75.09,면목동,35.04,2,17,단독,11260,1971
"32,000",2010,103.1,면목동,152.16,2,20,단독,11260,1988
"39,000",2010,101.5,면목동,166.44,2,21,단독,11260,1994
"13,000",2010,54.66,면목동,41.32,2,22,단독,11260,
"38,000",2010,128.9,면목동,73.16,2,23,단독,11260,1971
"13,200",2010,89.6,면목동,84.86,2,23,단독,11260,1978
"30,600",2010,69,면목동,46.54,2,24,단독,11260,
"56,500",2010,128.9,면목동,144.75,2,24,다가구,11260,
"40,000",2010,106.4,면목동,171.6,2,26,다가구,11260,
"39,000",2010,99.5,면목동,149.04,2,27,다가구,11260,
"70,000",2010,178,면목동,208.98,2,27,단독,11260,
"40,500",2010,110.7,상봉동,164.43,2,2,단독,11260,
"41,500",2010,126.9,상봉동,177.12,2,6,단독,11260,1988
"40,000",2010,93.6,상봉동,143.27,2,10,다가구,11260,
"48,400",2010,97.2,상봉동,145.88,2,16,다가구,11260,1992
"15,000",2010,50,상봉동,46.36,2,20,단독,11260,1985
"65,000",2010,184.8,상봉동,249.57,2,20,다가구,11260,
"36,500",2010,89.2,상봉동,127.51,2,22,다가구,11260,
"30,500",2010,79,상봉동,134.42,2,23,다가구,11260,
"24,000",2010,66,상봉동,100.18,2,24,다가구,11260,
"36,000",2010,117.4,중화동,168.9,2,4,다가구,11260,
"31,500",2010,88.9,중화동,145.47,2,5,다가구,11260,
"30,000",2010,102,중화동,71.14,2,22,단독,11260,1971
"36,200",2010,111.7,중화동,197.82,2,26,단독,11260,1993
"98,000",2010,200,중화동,430.71,2,27,다가구,11260,
"50,000",2010,129.9,묵동,126.85,2,2,다가구,11260,
"38,430",2010,121,묵동,94.4,2,7,단독,11260,
"40,000",2010,130.9,묵동,150.64,2,10,단독,11260,
"89,300",2010,190.9,묵동,358.53,2,23,단독,11260,
"44,000",2010,132,망우동,211.11,2,1,단독,11260,1988
"68,400",2010,150.7,망우동,74.32,2,5,단독,11260,1983
"28,600",2010,78.7,망우동,57.78,2,5,단독,11260,1971
"34,600",2010,114.4,망우동,89.95,2,7,단독,11260,
"42,200",2010,118.4,망우동,196.8,2,19,다가구,11260,
"71,200",2010,189.8,망우동,109.16,2,24,단독,11260,1976
"39,150",2010,107.4,망우동,167.08,2,25,다가구,11260,
"45,000",2010,133.6,망우동,220.02,2,28,다가구,11260,
"42,900",2010,116,면목동,188.56,3,2,다가구,11260,
"41,000",2010,110.4,면목동,192.8,3,3,단독,11260,
"65,000",2010,126.9,면목동,252.67,3,3,다가구,11260,
"49,500",2010,145.1,면목동,208.24,3,4,단독,11260,1985
"60,000",2010,165,면목동,157.55,3,4,다가구,11260,
