거래금액,년,대지면적,법정동,연면적,월,일,주택유형,지역코드,건축년도
"21,600",2010,56,성북동,29.75,1,10,단독,11290,
"59,000",2010,123.4,성북동,49.88,1,15,단독,11290,1983
"32,000",2010,119,성북동,71.41,1,16,단독,11290,
"15,650",2010,42,성북동,40,1,20,단독,11290,1980
"56,000",2010,195,성북동,59.17,1,22,단독,11290,1980
"34,000",2010,92,성북동,36.4,1,30,단독,11290,
"190,000",2010,441,성북동,266.11,1,31,단독,11290,
"17,000",2010,56,돈암동,26.51,1,14,단독,11290,1959
"24,950",2010,61,돈암동,32.76,1,18,단독,11290,
"86,000",2010,193,돈암동,180.96,1,27,단독,11290,
"10,500",2010,52.6,삼선동1가,27.74,1,19,단독,11290,
"34,000",2010,82.6,삼선동2가,55.4,1,22,단독,11290,1968
"22,000",2010,24.8,동선동1가,33.26,1,26,단독,11290,1976
"46,000",2010,108.4,동선동2가,46.28,1,28,단독,11290,1950
"46,200",2010,153.4,안암동2가,91.63,1,20,단독,11290,1980
"22,000",2010,57.2,안암동2가,26.31,1,22,단독,11290,1957
"50,000",2010,136.2,안암동4가,179.55,1,25,다가구,11290,
"46,200",2010,109,안암동5가,69.81,1,13,단독,11290,
"200,000",2010,298,안암동5가,622.68,1,18,다가구,11290,
"301,000",2010,414.8,보문동5가,1216.33,1,28,다가구,11290,
"47,000",2010,141.5,보문동5가,62.81,1,28,단독,11290,
"12,250",2010,13.89,보문동6가,49.59,1,3,다가구,11290,
"25,000",2010,46.28,보문동6가,33.05,1,26,단독,11290,
"11,000",2010,11.2,보문동1가,8.4,1,31,단독,11290,
"12,500",2010,20,보문동3가,12.47,1,9,단독,11290,
"13,000",2010,23,보문동3가,16.53,1,9,단독,11290,
"19,500",2010,33,보문동3가,36.36,1,22,단독,11290,
"31,300",2010,116,정릉동,144.05,1,8,다가구,11290,
"37,530",2010,92,정릉동,151.98,1,10,단독,11290,1994
"55,500",2010,167,정릉동,161.64,1,11,단독,11290,1983
"52,000",2010,118,정릉동,117.65,1,17,단독,11290,1979
"47,500",2010,122,정릉동,215.28,1,23,다가구,11290,
"12,900",2010,76,정릉동,102.31,1,28,단독,11290,1982
"60,800",2010,161.98,길음동,320.06,1,21,다가구,11290,
"33,000",2010,104,종암동,171.83,1,8,단독,11290,
"30,000",2010,86,종암동,117.12,1,19,다가구,11290,
"17,000",2010,30,종암동,20.3,1,21,단독,11290,1966
"27,300",2010,63,종암동,40.16,1,22,단독,11290,1985
"40,000",2010,118,하월곡동,111.21,1,14,단독,11290,1978
"57,950",2010,101,하월곡동,226.15,1,16,다가구,11290,
"15,300",2010,40,하월곡동,46.02,1,18,단독,11290,
"32,000",2010,93,하월곡동,148.59,1,19,단독,11290,1991
"28,000",2010,102,하월곡동,65.19,1,20,단독,11290,1971
"68,000",2010,102,하월곡동,180.9,1,22,다가구,11290,
"57,000",2010,136,하월곡동,191.36,1,23,단독,11290,1991
"42,300",2010,109,하월곡동,149.31,1,24,다가구,11290,
"48,000",2010,99,장위동,166.89,1,5,다가구,11290,
"60,000",2010,152,장위동,123.5,1,7,다가구,11290,
"46,500",2010,102,장위동,170.16,1,13,단독,11290,
"46,500",2010,102,장위동,179.19,1,14,다가구,11290,
"51,000",2010,132,장위동,204.39,1,14,단독,11290,
"37,000",2010,89,장위동,54.54,1,18,단독,11290,
"24,000",2010,63,장위동,54.54,1,20,단독,11290,
"26,500",2010,69,장위동,39.83,1,28,단독,11290,
"30,800",2010,69,장위동,54.54,1,29,단독,11290,
"39,000",2010,86,장위동,118.85,1,30,다가구,11290,
"40,000",2010,83,석관동,144.86,1,8,다가구,11290,
"41,000",2010,136,석관동,73.35,1,9,단독,11290,
"170,000",2010,332,성북동,290.98,2,1,단독,11290,
"205,000",2010,456,성북동,367.2,2,4,단독,11290,
"35,000",2010,111,성북동,59,2,10,단독,11290,1985
"32,000",2010,90,성북동,41.85,2,11,단독,11290,
"43,000",2010,90.2,성북동1가,52.9,2,6,단독,11290,
"48,600",2010,90.2,성북동1가,42.98,2,6,단독,11290,
"11,300",2010,27,돈암동,39.67,2,3,단독,11290,1980
"79,000",2010,152.1,동소문동6가,305.3,2,5,단독,11290,1994
"66,500",2010,97.2,동선동1가,150.3,2,3,단독,11290,1995
"64,500",2010,185.4,동선동4가,221.42,2,1,단독,11290,
"25,000",2010,71.8,안암동3가,26.45,2,19,단독,11290,
"27,000",2010,63,안암동5가,29.75,2,4,단독,11290,
"45,000",2010,139.2,보문동5가,94.97,2,23,단독,11290,
"85,000",2010,168.6,보문동6가,214.86,2,22,다가구,11290,
"60,000",2010,202.6,보문동6가,110.78,2,23,단독,11290,
"16,300",2010,49.9,보문동1가,19.83,2,3,단독,11290,1938
"8,100",2010,16,보문동3가,33.06,2,26,단독,11290,
"20,000",2010,35.34,정릉동,51.79,2,2,다가구,11290,
"25,000",2010,116,정릉동,81.09,2,4,단독,11290,
"29,000",2010,87,정릉동,36.92,2,11,단독,11290,
"30,700",2010,84,정릉동,123.29,2,22,단독,11290,
"47,500",2010,200,정릉동,58.58,2,24,단독,11290,
"18,900",2010,34.4,길음동,26.45,2,2,단독,11290,
"28,737",2010,76,종암동,28.99,2,4,단독,11290,
"48,000",2010,122,종암동,161.76,2,22,단독,11290,1977
"95,500",2010,198,하월곡동,243.16,2,1,단독,11290,
"143,000",2010,460,하월곡동,47.83,2,3,단독,11290,
"18,500",2010,89,하월곡동,56.2,2,20,단독,11290,
"30,000",2010,83,장위동,52.89,2,1,단독,11290,1966
"55,000",2010,165,장위동,370.26,2,5,다가구,11290,
"41,500",2010,112,장위동,74.8,2,5,단독,11290,
"72,000",2010,198,장위동,247.44,2,10,단독,11290,1976
