거래금액,년,대지면적,법정동,연면적,월,일,주택유형,지역코드,건축년도
"17,500",2010,56,미아동,42.14,1,1,단독,11305,
"32,050",2010,83,미아동,133.43,1,11,다가구,11305,
"85,000",2010,122,미아동,202.48,1,12,다가구,11305,2003
"22,000",2010,55.4,미아동,42.69,1,19,단독,11305,
"36,500",2010,100.8,미아동,73.78,1,21,단독,11305,1969
"25,500",2010,112,미아동,76.6,1,26,단독,11305,1977
"18,000",2010,109,미아동,99.6,1,26,단독,11305,1996
"60,000",2010,168.9,미아동,196.56,1,29,단독,11305,
"63,000",2010,154,미아동,161.66,1,29,단독,11305,
"27,000",2010,105.1,번동,67.01,1,4,단독,11305,1970
"50,000",2010,182.1,번동,193.69,1,5,단독,11305,1973
"66,000",2010,130.9,번동,326.99,1,20,단독,11305,
"50,000",2010,134.2,번동,86.81,1,21,단독,11305,
"25,000",2010,83,수유동,53.09,1,4,단독,11305,
"16,500",2010,71.4,수유동,38.84,1,10,단독,11305,
"60,700",2010,158,수유동,221.67,1,12,다가구,11305,
"55,000",2010,129.3,수유동,149.96,1,15,다가구,11305,1993
"48,000",2010,121.2,수유동,183.87,1,15,다가구,11305,
"18,200",2010,86,수유동,53.52,1,18,단독,11305,
"35,000",2010,120.3,수유동,183.18,1,20,단독,11305,1989
"32,000",2010,116,수유동,179.82,1,21,다가구,11305,
"99,000",2010,221,수유동,632.88,1,21,단독,11305,
"55,000",2010,175,수유동,108.39,1,22,단독,11305,1976
"27,000",2010,84.3,수유동,61.22,1,25,단독,11305,
"26,000",2010,89.3,수유동,51.76,1,25,단독,11305,
"34,000",2010,142,수유동,54.81,1,29,단독,11305,1961
"39,000",2010,94.5,미아동,179.33,2,1,다가구,11305,
"31,500",2010,116.7,미아동,79.34,2,3,단독,11305,
"19,000",2010,46,미아동,27.2,2,3,단독,11305,
"47,500",2010,104.8,미아동,222.81,2,3,다가구,11305,
"22,000",2010,67.1,미아동,86.51,2,5,단독,11305,
"16,000",2010,67.1,미아동,49.66,2,5,단독,11305,
"35,800",2010,93,미아동,119.7,2,7,다가구,11305,
