거래금액,건축년도,년,대지면적,법정동,연면적,월,일,주택유형,지역코드
"34,850",1983,2010,136,쌍문동,188.1,1,2,단독,11320
"60,300",,2010,111.7,쌍문동,161.42,1,16,단독,11320
"49,000",,2010,109.1,쌍문동,80.36,1,27,단독,11320
"42,000",,2010,122.3,방학동,182.58,1,19,다가구,11320
"35,000",,2010,165,창동,101.69,1,7,단독,11320
"26,000",,2010,96,창동,53.49,1,20,단독,11320
"26,750",,2010,74.2,창동,38.05,1,22,단독,11320
"29,500",,2010,122.3,창동,170.67,1,28,다가구,11320
"24,500",1975,2010,129,창동,64.63,1,28,단독,11320
"17,500",,2010,68.1,도봉동,57.68,1,3,단독,11320
"62,000",,2010,185.8,도봉동,249.49,1,25,단독,11320
"37,500",1990,2010,112.8,도봉동,194.8,1,31,단독,11320
"55,000",,2010,170,쌍문동,243,2,3,단독,11320
"56,500",,2010,148.1,쌍문동,221.07,2,5,다가구,11320
"12,200",1972,2010,74.3,쌍문동,57,2,8,단독,11320
"46,360",,2010,92.9,쌍문동,69.02,2,10,단독,11320
"25,000",,2010,106,쌍문동,78.78,2,25,단독,11320
"42,000",,2010,122.3,방학동,182.58,2,2,다가구,11320
"61,200",,2010,190.1,방학동,192.96,2,3,단독,11320
"40,000",,2010,126.1,방학동,198.78,2,6,다가구,11320
"53,000",1990,2010,167.1,방학동,246.06,2,15,단독,11320
"49,000",1994,2010,129.7,방학동,293.07,2,25,단독,11320
"55,200",,2010,146.8,방학동,244.74,2,27,다가구,11320
"17,000",,2010,54.69,창동,37.25,2,1,단독,11320
"90,300",,2010,172.1,창동,426.05,2,11,다가구,11320
"35,000",,2010,116,창동,179.6,2,25,다가구,11320
"43,700",,2010,116.7,창동,80.3,2,25,단독,11320
"30,800",,2010,89.6,창동,145.7,2,25,다가구,11320
"30,000",1980,2010,50,도봉동,23.72,2,4,단독,11320
"15,000",1968,2010,89,도봉동,58.08,2,15,단독,11320
"53,000",,2010,193.5,쌍문동,98.78,3,5,단독,11320
"45,000",,2010,106,쌍문동,211.71,3,8,다가구,11320
"51,000",,2010,104.5,쌍문동,79.14,3,12,단독,11320
"29,600",,2010,99,쌍문동,65.85,3,13,단독,11320
"30,500",,2010,102,쌍문동,65.85,3,13,단독,11320
"40,800",,2010,141,쌍문동,204.21,3,19,단독,11320
"28,300",,2010,96,쌍문동,132.66,3,19,단독,11320
"35,000",,2010,120.7,방학동,190.2,3,24,다가구,11320
"63,000",,2010,190.4,방학동,249.12,3,29,다가구,11320
"48,900",1991,2010,118.2,창동,199.83,3,6,단독,11320
