거래금액,년,대지면적,법정동,연면적,월,일,주택유형,지역코드,건축년도
"73,500",2010,195,월계동,233.38,1,10,단독,11350,
"12,000",2010,66,월계동,52.89,1,19,단독,11350,
"42,500",2010,145,월계동,133.46,1,28,단독,11350,
"45,000",2010,159,상계동,298.99,1,16,다가구,11350,
"88,950",2010,202,공릉동,249,2,4,단독,11350,
"190,000",2010,269.3,공릉동,594.82,2,23,다가구,11350,
"36,150",2010,93,상계동,150.24,2,3,단독,11350,1992
"40,000",2010,108,상계동,226.15,2,10,다가구,11350,
"15,000",2010,88.1,상계동,26.45,2,13,단독,11350,1970
"31,000",2010,107,상계동,128.54,2,17,다가구,11350,
"30,800",2010,146,중계동,71.58,2,8,단독,11350,1988
"32,000",2010,110,중계동,44.43,2,25,단독,11350,
"35,000",2010,149,월계동,82.08,3,10,단독,11350,1977
"45,000",2010,172,월계동,293.25,3,22,다가구,11350,1998
"70,000",2010,178,월계동,186.78,3,24,다가구,11350,1978
"72,000",2010,184,월계동,211.73,3,30,단독,11350,
"38,900",2010,106,공릉동,79.54,3,8,단독,11350,
"84,000",2010,195.1,공릉동,202.02,3,9,단독,11350,2003
"96,000",2010,227,공릉동,345.03,3,12,단독,11350,
"47,000",2010,172,공릉동,127.54,3,25,단독,11350,
"40,300",2010,102,공릉동,126.42,3,25,단독,11350,
"36,800",2010,106,공릉동,168.15,3,27,다가구,11350,
"110,000",2010,224.8,공릉동,268.64,3,27,다가구,11350,
"21,000",2010,63,하계동,42,3,25,단독,11350,1986
"16,800",2010,69,상계동,42.64,3,2,단독,11350,1971
"45,300",2010,116,상계동,219,3,11,다가구,11350,
"77,000",2010,202,상계동,438.22,3,15,단독,11350,1983
"55,000",2010,149,상계동,201.22,3,15,단독,11350,
"88,000",2010,202,상계동,453.3,3,15,단독,11350,1985
"15,000",2010,27.62,상계동,33.09,3,21,단독,11350,1993
"44,000",2010,169,상계동,101.02,3,22,단독,11350,
