거래금액,건축년도,년,대지면적,법정동,연면적,월,일,주택유형,지역코드
"17,000",1918,2010,13,수색동,29.75,1,26,단독,11380
"9,000",1988,2010,27.67,녹번동,46.53,1,4,다가구,11380
"25,000",2004,2010,69,녹번동,99.96,1,10,단독,11380
"8,200",1989,2010,30,녹번동,41.35,1,11,단독,11380
"11,200",,2010,24.5,녹번동,38.16,1,14,다가구,11380
"80,000",,2010,221,불광동,467.94,1,4,다가구,11380
"53,500",1993,2010,139,불광동,279.36,1,5,단독,11380
"13,500",1990,2010,34,불광동,46.75,1,11,다가구,11380
"120,000",2008,2010,167,불광동,295.33,1,11,단독,11380
"42,852",,2010,145,불광동,225.96,1,12,다가구,11380
"23,500",1971,2010,86,불광동,49.49,1,13,단독,11380
"7,400",1989,2010,23.5,불광동,34.82,1,15,단독,11380
"57,000",,2010,182,불광동,249.18,1,16,다가구,11380
"13,500",1990,2010,34,불광동,46.75,1,18,다가구,11380
"17,000",,2010,25,불광동,47.22,1,19,다가구,11380
"17,800",,2010,45.3,불광동,40.29,1,19,다가구,11380
"18,000",1973,2010,40,불광동,28,1,20,단독,11380
"14,500",,2010,21.47,불광동,42.27,1,30,다가구,11380
"11,400",,2010,19.05,불광동,36,1,30,다가구,11380
"22,000",1971,2010,139,갈현동,64.07,1,5,단독,11380
"42,000",,2010,155,갈현동,136.39,1,6,단독,11380
"46,500",1990,2010,134.9,갈현동,201.78,1,11,단독,11380
"45,000",1972,2010,155,갈현동,65.49,1,15,단독,11380
"48,750",,2010,128.6,갈현동,65.42,1,20,단독,11380
"33,600",1974,2010,139,갈현동,106.41,1,21,단독,11380
"10,300",,2010,27.5,갈현동,40.84,1,24,다가구,11380
"60,000",,2010,160.3,갈현동,231.54,1,25,단독,11380
"12,000",,2010,24.57,구산동,36.08,1,15,다가구,11380
"61,300",,2010,197,구산동,130.91,1,30,단독,11380
"71,000",,2010,160.7,대조동,263.38,1,8,다가구,11380
"300,000",1967,2010,95.9,대조동,261.21,1,13,단독,11380
"11,300",,2010,28.05,대조동,41.45,1,29,단독,11380
"16,000",,2010,45.46,응암동,62.25,1,4,다가구,11380
"15,000",1989,2010,24.89,응암동,35.09,1,4,다가구,11380
"43,000",,2010,152,응암동,70.68,1,5,단독,11380
"10,400",1991,2010,38.38,응암동,54.14,1,5,다가구,11380
"13,600",1990,2010,36.83,응암동,41.55,1,15,다가구,11380
"14,200",,2010,42.14,응암동,64.68,1,16,다가구,11380
