거래금액,건축년도,년,대지면적,법정동,연면적,월,일,주택유형,지역코드
"55,900",1935,2010,142.1,충정로3가,66.12,1,30,단독,11410
"25,000",1964,2010,69.4,옥천동,43.67,1,11,단독,11410
"12,500",,2010,14,북아현동,9.59,1,4,단독,11410
"35,000",,2010,56.96,북아현동,43.97,1,6,단독,11410
"54,500",,2010,70.7,북아현동,153,1,7,단독,11410
"50,000",,2010,86.6,북아현동,179.42,1,11,다가구,11410
"20,000",,2010,26.8,북아현동,23.1,1,12,단독,11410
"22,000",,2010,44,북아현동,40,1,12,단독,11410
"69,000",,2010,202,북아현동,85.95,1,13,단독,11410
"30,000",,2010,55,북아현동,47.83,1,14,단독,11410
"54,000",,2010,118.1,북아현동,141.75,1,14,단독,11410
"42,000",,2010,69,북아현동,149.46,1,14,다가구,11410
"43,000",,2010,63,북아현동,103.5,1,15,다가구,11410
"15,000",,2010,17.12,북아현동,32.56,1,19,단독,11410
"33,000",,2010,72.1,북아현동,39.67,1,21,단독,11410
"38,000",,2010,63.1,북아현동,33.06,1,21,단독,11410
"31,500",,2010,44.6,북아현동,89.26,1,21,단독,11410
"28,000",,2010,39.7,북아현동,91,1,21,단독,11410
"42,000",1936,2010,66,북아현동,36.36,1,23,단독,11410
"39,000",,2010,97.66,북아현동,49.1,1,29,단독,11410
"32,000",1994,2010,46,홍제동,82.14,1,12,단독,11410
"32,500",,2010,116,홍제동,40,1,14,단독,11410
"55,100",,2010,126,홍제동,246.72,1,19,다가구,11410
"60,000",,2010,119,홍제동,122.31,1,26,단독,11410
"35,000",,2010,52.9,대현동,33.06,1,2,단독,11410
"150,000",2002,2010,322.3,연희동,958.26,1,6,다가구,11410
"165,000",,2010,416,연희동,268.94,1,21,단독,11410
"97,000",,2010,307.1,연희동,228.4,1,29,단독,11410
"38,300",,2010,119,홍은동,178.98,1,17,다가구,11410
"7,000",1990,2010,27.67,홍은동,38.73,1,20,단독,11410
"30,000",,2010,89,홍은동,145.08,1,22,다가구,11410
"31,970",,2010,101,홍은동,118.98,1,26,다가구,11410
"23,000",,2010,89,홍은동,39.67,1,30,단독,11410
"42,000",,2010,119,북가좌동,73.82,1,14,단독,11410
"40,000",1976,2010,143.4,북가좌동,96.82,1,15,단독,11410
"62,800",,2010,139.5,북가좌동,311.54,1,16,다가구,11410
"22,000",1989,2010,30.86,북가좌동,47.16,1,16,단독,11410
"39,000",1979,2010,103.5,북가좌동,110.42,1,21,단독,11410
"10,500",1989,2010,26.93,북가좌동,36.99,1,26,단독,11410
"39,900",1970,2010,116,남가좌동,44.53,1,4,단독,11410
"21,950",,2010,30.5,남가좌동,41.61,1,9,다가구,11410
"27,916",,2010,53,남가좌동,33.22,1,13,단독,11410
"24,800",,2010,45,남가좌동,66.78,1,13,다가구,11410
"55,000",,2010,195.7,남가좌동,164.19,1,17,단독,11410
"44,565",,2010,102,남가좌동,173.61,1,20,단독,11410
"11,200",1970,2010,20.33,남가좌동,33.28,1,20,단독,11410
"41,400",,2010,83,남가좌동,140.71,1,23,다가구,11410
"45,624",,2010,102,남가좌동,114.09,1,27,단독,11410
"15,000",,2010,22.45,남가좌동,33.39,1,28,단독,11410
"37,700",,2010,106,남가좌동,149.94,1,28,단독,11410
"29,500",,2010,48.57,옥천동,78.46,2,5,단독,11410
"57,700",,2010,95.9,옥천동,227.68,2,10,다가구,11410
"20,000",,2010,23,영천동,29.75,2,19,단독,11410
"72,000",,2010,218,북아현동,202.91,2,1,단독,11410
"52,000",,2010,89.9,북아현동,143.55,2,3,다가구,11410
"41,900",,2010,65,북아현동,162.2,2,4,다가구,11410
"52,600",,2010,91.6,북아현동,119.77,2,6,다가구,11410
"52,800",,2010,115.81,북아현동,171.57,2,10,단독,11410
"50,000",,2010,281,북아현동,103.47,2,10,단독,11410
"11,000",,2010,19.73,북아현동,40.95,2,10,다가구,11410
"66,300",,2010,115,홍제동,336.67,2,2,다가구,11410
"52,000",,2010,195,홍제동,427.45,2,4,다가구,11410
"20,000",1970,2010,66,홍제동,82.65,2,20,단독,11410
"73,000",1970,2010,66.1,대신동,66.12,2,12,단독,11410
"105,000",1962,2010,99.2,대신동,45.62,2,12,단독,11410
"10,000",,2010,160.7,대신동,249.96,2,26,다가구,11410
"35,000",1986,2010,56,창천동,35.45,2,5,단독,11410
"52,500",,2010,96,창천동,114.87,2,16,다가구,11410
"150,000",1967,2010,294.5,창천동,251.37,2,16,단독,11410
"52,000",,2010,132.2,연희동,125.06,2,6,단독,11410
"16,000",1971,2010,70.1,연희동,48.13,2,9,단독,11410
"65,000",,2010,190.4,연희동,154.71,2,10,단독,11410
"227,000",,2010,380,연희동,1020.4,2,11,다가구,11410
"50,000",1990,2010,112.4,연희동,243.9,2,17,단독,11410
"37,000",,2010,162,연희동,145.65,2,17,단독,11410
"33,000",,2010,83,연희동,118.44,2,23,다가구,11410
"140,000",1971,2010,336.2,연희동,309.49,2,23,단독,11410
"42,500",,2010,148,연희동,109.95,2,28,단독,11410
"50,000",,2010,278,홍은동,31.67,2,3,단독,11410
"68,000",,2010,192.4,홍은동,187.3,2,5,단독,11410
"27,200",,2010,64,홍은동,94.08,2,6,단독,11410
"41,500",,2010,113.7,홍은동,81.45,2,17,단독,11410
"60,000",1997,2010,115.4,북가좌동,272.4,2,9,다가구,11410
"78,383",,2010,180.8,북가좌동,416.56,2,9,다가구,11410
"46,000",,2010,122,북가좌동,218.73,2,17,단독,11410
"33,000",,2010,112,북가좌동,49.19,2,18,단독,11410
"60,000",1997,2010,115.4,북가좌동,272.4,2,19,다가구,11410
"70,000",,2010,153.1,북가좌동,348.17,2,24,다가구,11410
"48,100",1977,2010,131.6,북가좌동,124.31,2,24,단독,11410
"50,000",,2010,136,남가좌동,157.32,2,2,단독,11410
"73,000",,2010,208,남가좌동,135.68,2,8,단독,11410
"24,300",,2010,25,남가좌동,55.7,2,11,다가구,11410
"28,625",,2010,73,남가좌동,42.74,2,15,단독,11410
"50,000",,2010,152,남가좌동,223.52,2,19,다가구,11410
"33,500",,2010,108.4,남가좌동,163.44,2,19,단독,11410
"43,600",,2010,122,남가좌동,182.49,2,24,다가구,11410
"55,270",,2010,162,남가좌동,91.4,2,24,단독,11410
