거래금액,년,대지면적,법정동,연면적,월,일,주택유형,지역코드,건축년도
"62,000",2010,86.9,아현동,124.44,1,14,단독,11440,
"38,400",2010,60,아현동,71.4,1,16,다가구,11440,
"10,500",2010,19.8,아현동,35.53,1,20,단독,11440,
"51,500",2010,89,아현동,56.6,1,24,단독,11440,
"36,000",2010,65.5,도화동,84.69,1,20,단독,11440,1970
"45,500",2010,116,용강동,75.3,1,12,단독,11440,
"41,000",2010,83,대흥동,40.17,1,25,단독,11440,
"48,500",2010,96,대흥동,52.07,1,29,단독,11440,
"29,800",2010,42.3,대흥동,33,1,31,단독,11440,
"40,000",2010,56,염리동,43.25,1,29,단독,11440,
"11,000",2010,69.4,노고산동,60.16,1,8,단독,11440,1970
"39,050",2010,76,신수동,48.63,1,31,단독,11440,
"55,800",2010,112,현석동,59.31,1,30,단독,11440,
"42,500",2010,63,상수동,41.62,1,10,단독,11440,1981
"16,000",2010,23.15,서교동,28.5,1,7,단독,11440,
"182,000",2010,171.2,서교동,396.97,1,26,다가구,11440,
"152,000",2010,198.7,동교동,161.55,1,11,단독,11440,
"104,000",2010,195.4,합정동,349.89,1,11,다가구,11440,1992
"74,000",2010,168.6,망원동,98.78,1,23,단독,11440,
"17,000",2010,53.2,망원동,49.59,1,25,단독,11440,
"116,000",2010,274,성산동,249.29,1,7,다가구,11440,
"62,700",2010,111,성산동,247.05,1,23,단독,11440,
"34,000",2010,50.6,아현동,55.54,2,12,단독,11440,
"17,000",2010,25,아현동,26.45,2,24,단독,11440,
"35,000",2010,76,공덕동,26.45,2,1,단독,11440,
"32,000",2010,69,공덕동,173.88,2,6,단독,11440,
"3,134",2010,8,신공덕동,24.23,2,10,단독,11440,1961
"42,000",2010,62.8,도화동,98.31,2,20,다가구,11440,
"73,000",2010,163.61,대흥동,46.35,2,4,단독,11440,1965
"75,000",2010,168.2,대흥동,269.28,2,10,단독,11440,1993
"71,000",2010,148,대흥동,149.46,2,19,단독,11440,1994
"38,000",2010,65.1,염리동,73.8,2,2,다가구,11440,
"70,000",2010,98.5,염리동,45.26,2,3,단독,11440,
"47,800",2010,81,염리동,97.3,2,7,다가구,11440,
"10,000",2010,26,염리동,44.28,2,17,다가구,11440,
"36,000",2010,40,염리동,26.45,2,26,단독,11440,
"81,000",2010,112.3,노고산동,27.17,2,3,단독,11440,
"16,800",2010,24.78,노고산동,78.02,2,16,단독,11440,1964
"16,000",2010,86,창전동,43.07,2,10,단독,11440,1971
"69,700",2010,160.7,서교동,137.98,2,16,단독,11440,
"127,000",2010,228.4,서교동,206.68,2,24,단독,11440,
"220,000",2010,321.3,동교동,641.06,2,11,다가구,11440,
"47,000",2010,150.1,동교동,199.89,2,16,단독,11440,1993
"108,750",2010,124,합정동,149.13,2,2,단독,11440,1989
"17,000",2010,120.1,망원동,130.28,2,2,단독,11440,1977
"85,000",2010,148.1,망원동,157.92,2,2,단독,11440,
"60,500",2010,149,연남동,216.42,2,3,단독,11440,
"34,800",2010,96,성산동,117.57,2,9,단독,11440,1989
"67,000",2010,146.1,성산동,112.49,2,26,단독,11440,
"22,800",2010,34.5,아현동,68.85,3,20,단독,11440,1984
"51,000",2010,100,공덕동,226.38,3,2,다가구,11440,
"49,600",2010,82,공덕동,200.85,3,3,단독,11440,2003
"46,600",2010,60,공덕동,26.45,3,4,단독,11440,1970
