거래금액,년,대지면적,법정동,연면적,월,일,주택유형,지역코드,건축년도
"49,000",2010,90.4,신정동,145.47,1,7,다가구,11470,
"51,000",2010,89.2,신정동,145.47,1,7,단독,11470,1993
"192,500",2010,372.2,신정동,659.12,1,8,다가구,11470,1996
"21,000",2010,103.3,신정동,145.67,1,13,단독,11470,
"50,000",2010,88.1,신정동,146.68,1,25,단독,11470,
"51,400",2010,90.3,신정동,149.7,1,27,다가구,11470,
"42,000",2010,159.9,신정동,135.53,1,30,단독,11470,
"79,000",2010,197.9,목동,169.44,1,14,단독,11470,
"52,500",2010,127,목동,240.56,1,14,단독,11470,
"36,300",2010,63,목동,35.7,1,15,단독,11470,1971
"106,027",2010,263.5,목동,171.55,1,18,단독,11470,
"45,600",2010,85.2,목동,149.59,1,23,다가구,11470,
"80,000",2010,243,목동,501.22,1,25,단독,11470,1996
"60,000",2010,165.5,신월동,200.16,1,4,단독,11470,1984
"29,000",2010,53.2,신월동,100.49,1,7,다가구,11470,
"4,000",2010,9.94,신월동,26.53,1,14,단독,11470,2007
"12,000",2010,39.76,신월동,106.13,1,15,단독,11470,2007
"82,000",2010,129.4,신월동,298.48,1,26,단독,11470,1992
"37,000",2010,121,신월동,191.04,1,28,다가구,11470,
"65,000",2010,109.6,신정동,128.28,2,2,다가구,11470,
"135,000",2010,264.3,신정동,507.6,2,3,단독,11470,1983
"48,500",2010,90.8,신정동,135.36,2,12,다가구,11470,
"50,700",2010,88.2,신정동,145.76,2,19,단독,11470,
"52,700",2010,89,신정동,204.43,2,21,단독,11470,1992
"79,500",2010,138.8,신정동,199.8,2,26,다가구,11470,
"94,500",2010,200,목동,465.12,2,5,다가구,11470,
"115,000",2010,131.6,목동,298.44,2,12,단독,11470,2010
"47,500",2010,132,목동,203.56,2,20,다가구,11470,
"41,400",2010,121.2,신월동,286.29,2,8,다가구,11470,
"38,500",2010,181.2,신월동,145.11,2,12,다가구,11470,1998
"50,000",2010,123.2,신월동,198.48,2,19,다가구,11470,1991
"55,000",2010,130,신월동,301.28,2,22,다가구,11470,
"38,000",2010,129.3,신월동,190.62,2,28,단독,11470,
"43,000",2010,89.4,신정동,146.11,3,2,단독,11470,1991
"51,200",2010,121.5,신정동,141.62,3,5,다가구,11470,
"49,000",2010,117,신정동,137.52,3,5,다가구,11470,
"40,000",2010,127.5,신정동,271.5,3,10,단독,11470,1994
"51,000",2010,88.9,신정동,149.7,3,10,다가구,11470,
"45,500",2010,116.4,신정동,172.74,3,10,단독,11470,
"52,000",2010,87.4,신정동,149.36,3,11,다가구,11470,1993
"21,700",2010,103.3,신정동,145.67,3,11,단독,11470,
"52,000",2010,123.4,신정동,216.18,3,18,다가구,11470,
"37,000",2010,91,신정동,57.92,3,20,단독,11470,
