거래금액,건축년도,년,대지면적,법정동,연면적,월,일,주택유형,지역코드
"53,645",1996,2010,181.4,화곡동,242.67,1,8,단독,11500
"46,300",,2010,153,화곡동,71.74,1,8,단독,11500
"59,000",,2010,159.5,화곡동,270.07,1,13,단독,11500
"89,500",,2010,169.2,화곡동,298.74,1,14,다가구,11500
"59,500",,2010,172.1,화곡동,163.31,1,15,단독,11500
"57,000",1979,2010,198.1,화곡동,151.07,1,15,단독,11500
"39,000",1974,2010,146.1,화곡동,69.59,1,20,단독,11500
"56,000",,2010,157.7,화곡동,276.36,1,21,다가구,11500
"40,500",,2010,117.7,화곡동,183.36,1,23,다가구,11500
"47,000",,2010,147.4,화곡동,214.92,1,25,단독,11500
"86,000",,2010,197.3,화곡동,127.94,1,25,다가구,11500
"63,600",,2010,165.3,화곡동,245.49,1,26,단독,11500
"34,000",,2010,133.8,화곡동,118.65,1,27,단독,11500
"74,500",,2010,165.5,화곡동,160,1,30,단독,11500
"235,000",,2010,483.4,내발산동,144.65,1,27,단독,11500
"79,500",,2010,165,공항동,353.15,1,14,다가구,11500
"84,000",,2010,166,공항동,378.13,1,15,다가구,11500
"70,000",,2010,200,방화동,249.69,1,21,단독,11500
"79,300",,2010,139,방화동,82.97,1,29,단독,11500
"23,500",,2010,93,등촌동,49.58,2,2,단독,11500
"31,500",1989,2010,149,등촌동,223.29,2,10,단독,11500
"50,000",,2010,132,등촌동,199.46,2,17,단독,11500
"83,500",,2010,192,등촌동,419.76,2,19,다가구,11500
"82,000",,2010,192.1,등촌동,397.96,2,20,다가구,11500
"99,000",,2010,179.4,등촌동,376.02,2,25,다가구,11500
"32,000",1992,2010,117.3,화곡동,188.34,2,1,단독,11500
"68,500",,2010,207.6,화곡동,291.32,2,4,다가구,11500
"70,000",,2010,185,화곡동,150.99,2,5,단독,11500
"65,000",,2010,149.1,화곡동,296.96,2,7,단독,11500
"68,000",,2010,190.5,화곡동,76.82,2,9,단독,11500
"57,000",,2010,155,화곡동,78.68,2,11,단독,11500
"70,000",,2010,196.7,화곡동,399.5,2,15,다가구,11500
"89,000",,2010,207.9,화곡동,511.81,2,16,다가구,11500
"35,000",1977,2010,201.3,화곡동,94.88,2,19,단독,11500
"26,000",,2010,116,화곡동,197.31,2,22,다가구,11500
"74,500",,2010,186.7,화곡동,210.94,2,24,다가구,11500
"60,000",,2010,155.7,화곡동,252.3,2,24,다가구,11500
"154,700",,2010,203.6,화곡동,102.31,2,25,단독,11500
"88,000",,2010,205.3,화곡동,183.15,2,25,단독,11500
"40,000",1984,2010,83,공항동,51.5,2,5,단독,11500
"60,000",,2010,142,공항동,229.23,2,11,다가구,11500
"85,700",2002,2010,175.5,공항동,419.65,2,12,단독,11500
"23,500",,2010,69,공항동,33.06,2,18,단독,11500
"60,000",,2010,166,방화동,276.33,2,19,다가구,11500
"107,000",,2010,218,방화동,300.99,2,20,다가구,11500
"72,000",,2010,146.4,염창동,144.13,3,15,단독,11500
"42,700",1979,2010,91,등촌동,100.17,3,4,단독,11500
"47,075",,2010,111.9,등촌동,211.5,3,18,다가구,11500
"75,500",,2010,170.2,화곡동,371.16,3,1,다가구,11500
"62,000",,2010,193.4,화곡동,88.54,3,1,단독,11500
"95,000",,2010,211.2,화곡동,301.34,3,1,단독,11500
"59,000",,2010,162.5,화곡동,299.41,3,3,다가구,11500
"59,400",1983,2010,185,화곡동,183.52,3,3,단독,11500
"38,000",1970,2010,172,화곡동,101.45,3,4,단독,11500
"28,000",1991,2010,95.2,화곡동,167.04,3,8,다가구,11500
"120,000",,2010,257,화곡동,616.32,3,8,다가구,11500
"166,000",,2010,431.1,화곡동,162.64,3,11,단독,11500
"50,000",,2010,133.2,화곡동,227.55,3,11,다가구,11500
"45,000",,2010,143.7,화곡동,211.92,3,12,다가구,11500
"55,980",,2010,134.1,화곡동,205.61,3,13,다가구,11500
"77,000",1995,2010,199.9,화곡동,268.39,3,14,단독,11500
"40,903",,2010,125.6,화곡동,221.64,3,15,다가구,11500
"38,860",,2010,107.1,화곡동,53.52,3,15,다가구,11500
"72,000",,2010,183.7,화곡동,286.65,3,16,다가구,11500
"66,262",,2010,190,화곡동,291.49,3,16,다가구,11500
"58,330",,2010,175.3,화곡동,87.6,3,17,단독,11500
"49,850",,2010,124.7,화곡동,187.99,3,17,단독,11500
"28,500",1971,2010,103.8,화곡동,59.51,3,17,단독,11500
"110,700",,2010,267.8,화곡동,605.68,3,19,다가구,11500
"67,600",,2010,171.9,화곡동,66.02,3,24,단독,11500
"27,500",1973,2010,103.5,화곡동,59.5,3,24,단독,11500
"140,000",,2010,238.4,화곡동,300.47,3,25,다가구,11500
"52,800",,2010,135.8,화곡동,197.37,3,25,다가구,11500
"65,000",,2010,149,화곡동,182.98,3,25,다가구,11500
"40,000",1990,2010,153,화곡동,225.9,3,29,단독,11500
"54,800",,2010,155,화곡동,264.06,3,30,다가구,11500
"70,000",,2010,202.8,화곡동,91.24,3,31,단독,11500
"61,600",,2010,145,내발산동,214.14,3,22,다가구,11500
"63,000",1988,2010,166.7,공항동,245.49,3,3,단독,11500
"86,200",,2010,228,공항동,390.13,3,8,단독,11500
"50,700",,2010,126,공항동,194.61,3,18,다가구,11500
"211,106",1965,2010,621,방화동,107.35,3,4,단독,11500
"62,500",,2010,139,방화동,66.08,3,8,단독,11500
"50,000",2009,2010,116,방화동,97,3,10,단독,11500
"40,340",,2010,112,방화동,52.89,3,11,단독,11500
"44,000",1970,2010,112,방화동,73.08,3,15,단독,11500
"28,350",,2010,90,방화동,126.24,3,16,다가구,11500
"57,900",,2010,165,방화동,250.29,3,28,다가구,11500
"37,400",1979,2010,113,방화동,65.46,3,29,단독,11500
"53,500",,2010,172,방화동,105.79,3,31,단독,11500
"70,000",,2010,266,개화동,139.75,3,14,단독,11500
"81,000",1992,2010,189.1,등촌동,399.14,4,8,다가구,11500
"58,000",,2010,157,등촌동,223.99,4,15,단독,11500
"181,000",,2010,378.3,등촌동,286.24,4,16,단독,11500
"83,000",,2010,166.5,화곡동,350.35,4,1,다가구,11500
"60,500",,2010,140.7,화곡동,151.08,4,3,단독,11500
"24,000",,2010,129.7,화곡동,79.67,4,3,단독,11500
"134,000",,2010,172.2,화곡동,329.63,4,8,단독,11500
"65,000",,2010,167.5,화곡동,249.87,4,8,단독,11500
"45,000",,2010,127.9,화곡동,176.22,4,9,다가구,11500
"62,000",1990,2010,172.6,화곡동,245.01,4,14,단독,11500
"78,000",,2010,171.1,화곡동,174.88,4,15,단독,11500
"91,000",1985,2010,220,화곡동,253.08,4,15,단독,11500
"45,500",,2010,126.2,화곡동,197.16,4,20,다가구,11500
"67,840",,2010,175.5,화곡동,175.07,4,23,단독,11500
"60,242",,2010,181.8,화곡동,249.57,4,26,다가구,11500
"41,000",,2010,112,화곡동,187.66,4,26,다가구,11500
"49,500",1992,2010,116,공항동,195.87,4,3,단독,11500
"70,000",1999,2010,167.7,공항동,319.89,4,16,단독,11500
