거래금액,건축년도,년,대지면적,법정동,연면적,월,일,주택유형,지역코드
"37,700",2007,2010,89,구로동,153.36,1,5,단독,11530
"35,000",1995,2010,83,구로동,109.89,1,12,다가구,11530
"38,400",2006,2010,93,구로동,163.86,1,20,단독,11530
"125,000",1963,2010,145,구로동,153.58,1,20,다가구,11530
"50,000",,2010,141.5,개봉동,211.68,1,11,단독,11530
"55,000",1995,2010,171,개봉동,364.5,1,16,단독,11530
"16,000",,2010,69,궁동,28.76,1,23,단독,11530
"24,982",1961,2010,73,신도림동,43.55,2,8,단독,11530
"96,900",1983,2010,206.8,구로동,300.96,2,8,단독,11530
"21,450",,2010,66,구로동,32.79,2,11,단독,11530
"63,000",,2010,145,구로동,299.46,2,12,단독,11530
"141,500",,2010,180.05,구로동,272.97,2,22,단독,11530
"46,300",1997,2010,106,구로동,141.8,2,22,단독,11530
"47,500",,2010,109,구로동,187.06,2,23,다가구,11530
"51,900",,2010,150.4,개봉동,118.38,2,2,단독,11530
"4,950",1971,2010,42,개봉동,39.67,2,10,단독,11530
"44,000",,2010,76,개봉동,154.61,2,11,단독,11530
"30,000",,2010,99,오류동,106.7,2,1,단독,11530
"39,000",,2010,112,오류동,167.94,2,4,다가구,11530
"21,508",,2010,126.82,오류동,40.02,2,5,단독,11530
"51,000",,2010,165,오류동,200.22,2,22,단독,11530
"32,000",1972,2010,241,항동,45.92,2,20,단독,11530
"40,000",1986,2010,95.4,구로동,148.23,3,2,단독,11530
"17,800",1987,2010,42,구로동,82.78,3,8,단독,11530
"51,400",1992,2010,135,구로동,199.53,3,15,단독,11530
"31,800",1970,2010,76,구로동,44.3,3,18,단독,11530
"35,900",2007,2010,100,구로동,127.71,3,20,단독,11530
"50,000",1992,2010,116,구로동,238.32,3,22,단독,11530
"24,700",,2010,63,구로동,98.09,3,22,다가구,11530
"70,720",1989,2010,172,구로동,361.8,3,26,단독,11530
"13,000",1983,2010,44.39,구로동,31.05,3,31,단독,11530
"52,000",,2010,188,고척동,247.88,3,19,다가구,11530
"36,000",,2010,99.5,개봉동,98.23,3,20,단독,11530
"55,500",,2010,195,개봉동,247.17,3,23,다가구,11530
"46,500",,2010,132,오류동,301.33,3,26,단독,11530
"12,000",1972,2010,93,궁동,68.23,3,17,단독,11530
"22,450",1972,2010,83,궁동,57.77,3,17,단독,11530
"13,500",,2010,99,온수동,37.36,3,20,단독,11530
"31,000",,2010,83,구로동,119.1,4,2,다가구,11530
"47,250",,2010,116,구로동,139.8,4,3,다가구,11530
"78,000",1987,2010,160.3,구로동,240.57,4,15,단독,11530
"31,500",,2010,83,구로동,97.52,4,23,단독,11530
"40,000",,2010,73,가리봉동,117.27,4,3,다가구,11530
"12,800",2006,2010,54.35,고척동,82.84,4,1,단독,11530
"67,000",,2010,162,고척동,199.83,4,7,다가구,11530
"35,000",1974,2010,162,고척동,156.29,4,15,단독,11530
"54,200",1989,2010,208,고척동,260.55,4,17,단독,11530
"36,200",,2010,102,고척동,149.76,4,30,다가구,11530
"28,400",,2010,106,개봉동,133.23,4,5,단독,11530
"30,000",1986,2010,99,개봉동,140.01,4,15,다가구,11530
"58,000",,2010,179,개봉동,246.96,4,15,단독,11530
"55,600",,2010,155,개봉동,263.34,4,19,단독,11530
"76,000",1966,2010,165,오류동,79.01,4,3,단독,11530
"68,000",1970,2010,225,오류동,328.92,4,5,단독,11530
"51,200",,2010,106,오류동,36.69,4,8,단독,11530
"17,800",,2010,33,오류동,16.62,4,8,단독,11530
"69,000",,2010,241,오류동,72.1,4,12,단독,11530
"38,000",,2010,178,오류동,120.9,4,12,단독,11530
"47,000",,2010,129,오류동,242.39,4,22,다가구,11530
"26,000",,2010,79,오류동,115.2,4,26,단독,11530
"17,700",1991,2010,109,구로동,176.94,5,1,단독,11530
"47,600",1970,2010,99,구로동,107.11,5,3,단독,11530
"28,000",,2010,72,구로동,115.3,5,3,다가구,11530
"38,600",,2010,99,구로동,149.66,5,7,다가구,11530
"66,000",1986,2010,147.4,구로동,221.55,5,10,단독,11530
"180,000",,2010,369.6,구로동,435.78,5,10,다가구,11530
"79,950",,2010,176.2,구로동,247.08,5,20,다가구,11530
"51,500",2007,2010,108,구로동,224.67,5,24,다가구,11530
"31,000",,2010,86,구로동,129.96,5,24,다가구,11530
"20,800",2007,2010,53,구로동,101.22,5,30,단독,11530
"50,000",1976,2010,136,구로동,188.55,5,31,단독,11530
"50,000",,2010,101.5,가리봉동,193.23,5,15,다가구,11530
"50,000",1973,2010,99.5,가리봉동,111.63,5,28,단독,11530
"73,000",,2010,199,개봉동,130.32,5,7,단독,11530
"75,300",,2010,216.2,개봉동,161.26,5,25,단독,11530
"65,000",1977,2010,162.3,개봉동,267.71,5,27,단독,11530
"45,200",1978,2010,192.5,개봉동,128.59,5,30,단독,11530
"62,000",1977,2010,168,오류동,352.92,5,11,다가구,11530
"123,000",,2010,139,오류동,444.17,5,14,단독,11530
"12,000",,2010,99,궁동,51.22,5,17,단독,11530
"15,500",1968,2010,89,신도림동,28.1,6,15,단독,11530
"60,300",1987,2010,117.4,구로동,172.12,6,9,단독,11530
"11,400",,2010,33,구로동,13.22,6,15,단독,11530
"34,700",1987,2010,96,구로동,167.13,6,24,단독,11530
"45,500",1980,2010,115.7,가리봉동,186.62,6,8,단독,11530
"26,500",1980,2010,39.7,가리봉동,49.59,6,11,단독,11530
"50,000",1978,2010,245,고척동,105.79,6,1,단독,11530
"35,000",1994,2010,126,고척동,198.33,6,22,단독,11530
"48,900",1991,2010,142,고척동,226.89,6,25,다가구,11530
"40,000",1976,2010,132,고척동,193,6,26,단독,11530
"35,500",1974,2010,166.6,개봉동,92.8,6,11,단독,11530
"34,500",,2010,116,개봉동,191.88,6,24,다가구,11530
"46,200",1973,2010,139,개봉동,206.55,6,29,단독,11530
"29,000",,2010,99,오류동,170.53,6,15,다가구,11530
"17,000",,2010,89,오류동,45.36,6,29,단독,11530
"62,500",1974,2010,195,궁동,183.54,6,14,단독,11530
"41,000",1969,2010,194,궁동,107.28,6,30,단독,11530
"25,000",1997,2010,102,구로동,51.47,7,2,단독,11530
"12,000",,2010,39,구로동,13.22,7,2,단독,11530
"34,800",1975,2010,109,구로동,113.21,7,15,다가구,11530
"28,000",1988,2010,60,구로동,34.68,7,15,단독,11530
"21,300",1965,2010,60,구로동,37.84,7,17,단독,11530
"33,000",2007,2010,73,구로동,129.14,7,27,다가구,11530
"68,942",1978,2010,257,고척동,310.7,7,6,다가구,11530
"69,603",1990,2010,192.1,개봉동,287.46,7,6,단독,11530
"59,500",1988,2010,175,개봉동,261.75,7,18,단독,11530
"49,953",1998,2010,133.6,개봉동,199.95,7,22,다가구,11530
"95,000",1993,2010,423,오류동,318.58,7,12,다가구,11530
"37,500",1970,2010,99,오류동,50.58,7,14,단독,11530
"10,500",1997,2010,49,구로동,22.15,8,14,단독,11530
"22,700",1983,2010,152,고척동,198.72,8,10,단독,11530
"29,600",1975,2010,108,개봉동,129,8,6,다가구,11530
"20,000",1971,2010,99,개봉동,104.4,8,10,단독,11530
"49,500",1993,2010,131,개봉동,288.61,8,13,다가구,11530
"28,000",1974,2010,99,개봉동,167.22,8,24,다가구,11530
"25,000",1969,2010,84,오류동,51.24,8,19,단독,11530
"44,000",2008,2010,117,오류동,67.02,8,25,단독,11530
"27,000",1971,2010,99,구로동,139.32,9,10,단독,11530
"63,000",1990,2010,248,구로동,420.13,9,11,단독,11530
"33,000",1998,2010,78,구로동,138.24,9,11,다가구,11530
"14,500",1987,2010,133.9,구로동,227.22,9,20,단독,11530
"47,000",1973,2010,116.7,가리봉동,147.52,9,29,단독,11530
"45,000",1981,2010,210.5,고척동,155.7,9,20,단독,11530
"41,000",1986,2010,126,고척동,185.24,9,29,다가구,11530
"18,800",1973,2010,96,고척동,52.93,9,29,단독,11530
"49,000",1998,2010,128.6,고척동,294.23,9,30,다가구,11530
"42,000",1998,2010,132,오류동,138.91,9,1,단독,11530
"40,000",1983,2010,166,오류동,238.26,9,5,단독,11530
"31,500",1997,2010,97,오류동,149.82,9,15,다가구,11530
"60,000",1990,2010,100.2,구로동,148.2,10,1,단독,11530
"49,000",1980,2010,175,구로동,156.36,10,7,단독,11530
"54,000",1991,2010,119,구로동,206.76,10,23,단독,11530
"40,500",1990,2010,99,구로동,175.5,10,29,다가구,11530
"55,000",1984,2010,99.1,구로동,147.78,10,29,단독,11530
"152,000",1983,2010,266.1,구로동,224.63,10,30,단독,11530
"44,500",1996,2010,106,구로동,235.5,10,30,단독,11530
"40,733",1978,2010,175,고척동,81.65,10,8,단독,11530
"47,100",1985,2010,208,개봉동,249.06,10,1,단독,11530
"46,000",1997,2010,126.3,개봉동,125.44,10,6,단독,11530
"28,200",1994,2010,99,개봉동,152,10,12,다가구,11530
"67,000",2002,2010,171.6,개봉동,271.4,10,15,다가구,11530
"46,513",1978,2010,125.6,개봉동,199.44,10,27,다가구,11530
"29,610",1975,2010,109,오류동,72.63,10,1,단독,11530
"39,390",1989,2010,162,오류동,241.9,10,1,단독,11530
"13,000",1985,2010,40.32,오류동,29.4,10,6,단독,11530
"31,000",1970,2010,68,신도림동,31.74,11,20,단독,11530
"20,700",1984,2010,111.33,구로동,473.28,11,5,다가구,11530
"32,000",1992,2010,66,구로동,105.17,11,8,단독,11530
"37,500",1992,2010,83,구로동,139.14,11,12,다가구,11530
"40,700",1991,2010,102,구로동,174.33,11,16,다가구,11530
"56,500",1998,2010,109,구로동,151.58,11,17,단독,11530
"46,750",1994,2010,103,구로동,170.64,11,22,다가구,11530
"24,000",1989,2010,102,구로동,147.96,11,24,단독,11530
"30,000",1993,2010,79,구로동,112.44,11,24,단독,11530
"67,000",1983,2010,159,구로동,393.33,11,26,단독,11530
"35,200",1971,2010,106,구로동,43.6,11,27,단독,11530
