거래금액,건축년도,년,대지면적,법정동,연면적,월,일,주택유형,지역코드
"88,000",1991,2010,146,노량진동,248.04,1,18,단독,11590
"66,000",1975,2010,185,상도동,151.03,1,10,단독,11590
"32,400",,2010,86,상도동,63.47,1,10,단독,11590
"35,000",,2010,63.8,상도동,28.27,1,25,단독,11590
"105,000",1974,2010,319.1,상도1동,164.1,1,21,단독,11590
"150,000",,2010,276,상도1동,116.53,1,26,단독,11590
"46,000",1970,2010,99,흑석동,26.45,1,5,단독,11590
"19,000",,2010,35,흑석동,20.63,1,11,단독,11590
"24,007",1965,2010,175,흑석동,174.36,1,22,단독,11590
"47,000",,2010,69,흑석동,42.98,1,26,단독,11590
"38,200",,2010,50,흑석동,19.83,1,28,단독,11590
"60,000",1977,2010,155,동작동,119.01,1,9,단독,11590
"230,127",1975,2010,221,동작동,230.11,1,25,단독,11590
"50,989",1993,2010,86,사당동,143.46,1,4,단독,11590
"41,500",1985,2010,72,사당동,116.85,1,4,단독,11590
"70,000",,2010,136,사당동,324.04,1,7,다가구,11590
"56,000",,2010,132,사당동,196.8,1,8,단독,11590
"80,000",,2010,136.9,사당동,199.71,1,12,단독,11590
"50,200",,2010,96,사당동,143.37,1,12,단독,11590
"49,700",,2010,93,사당동,141.98,1,14,다가구,11590
"89,500",,2010,142,사당동,298.15,1,15,다가구,11590
"63,000",,2010,119,사당동,142.74,1,16,다가구,11590
"131,000",1977,2010,102,사당동,116.03,1,20,단독,11590
"57,650",,2010,129,사당동,137.32,1,26,단독,11590
"82,500",,2010,182,사당동,305.25,1,28,다가구,11590
"160,500",1978,2010,166.2,사당동,197.35,1,30,단독,11590
"60,000",1990,2010,106,대방동,191.58,1,4,단독,11590
"48,900",1967,2010,115.6,대방동,53.75,1,15,단독,11590
"25,000",1970,2010,116,대방동,66.45,1,20,단독,11590
"53,500",,2010,151.1,신대방동,226.17,1,14,단독,11590
"145,000",2009,2010,194,신대방동,327.71,1,22,단독,11590
"40,700",,2010,93,신대방동,108.18,1,25,단독,11590
"119,400",,2010,179,노량진동,246.6,2,2,다가구,11590
"109,200",,2010,139,노량진동,230.58,2,4,다가구,11590
"91,000",,2010,202,상도동,163.01,2,2,단독,11590
"60,000",,2010,155,상도동,128.96,2,10,단독,11590
"67,200",1975,2010,185,상도동,151.03,2,10,단독,11590
"80,000",,2010,103.1,상도동,217.43,2,11,다가구,11590
"12,000",1985,2010,50,상도동,31.08,2,12,단독,11590
"70,000",,2010,155,상도동,151.27,2,25,단독,11590
"61,600",,2010,93,흑석동,158.46,2,1,다가구,11590
"64,900",,2010,102,흑석동,173.32,2,1,다가구,11590
"55,700",,2010,46,흑석동,42.41,2,5,단독,11590
"47,000",1984,2010,69,흑석동,34.61,2,10,단독,11590
"52,000",,2010,69,흑석동,121.35,2,16,다가구,11590
"69,000",,2010,153.4,흑석동,235.64,2,16,다가구,11590
"64,000",1990,2010,96,흑석동,139.27,2,17,단독,11590
"81,000",,2010,149,흑석동,228.55,2,19,다가구,11590
"50,900",,2010,69,흑석동,112.06,2,20,다가구,11590
"33,500",,2010,49,흑석동,40.99,2,23,단독,11590
"58,000",,2010,79,흑석동,141.96,2,23,다가구,11590
"40,500",,2010,83,흑석동,56.2,2,23,단독,11590
"62,000",,2010,142,흑석동,108.49,2,26,단독,11590
"43,700",,2010,63,흑석동,36.36,2,26,단독,11590
"55,000",1976,2010,109,동작동,86.21,2,24,단독,11590
"85,500",,2010,155,사당동,345.92,2,2,다가구,11590
"59,000",1975,2010,101.7,사당동,135.68,2,2,단독,11590
"53,000",,2010,96,사당동,143.1,2,6,단독,11590
"84,500",,2010,179,사당동,249.57,2,8,다가구,11590
"85,500",,2010,112,사당동,127.01,2,8,다가구,11590
"115,000",,2010,218,사당동,249.48,2,12,단독,11590
