거래금액,건축년도,년,대지면적,법정동,연면적,월,일,주택유형,지역코드
"288,000",2000,2010,250,역삼동,749.14,1,4,다가구,11680
"105,500",1990,2010,168.9,개포동,247.68,1,27,다가구,11680
"180,000",,2010,225.4,청담동,455.91,1,8,다가구,11680
"329,000",,2010,253.5,청담동,185.95,1,25,단독,11680
"57,000",,2010,66.6,삼성동,48.2,1,19,단독,11680
"162,000",,2010,164.1,논현동,348.54,1,30,다가구,11680
"170,000",2001,2010,184.1,논현동,410.52,1,30,다가구,11680
"118,500",1985,2010,199.7,일원동,249.84,1,19,단독,11680
"201,000",,2010,231.4,도곡동,528.03,1,9,단독,11680
"165,000",1992,2010,234.9,역삼동,459.38,2,6,다가구,11680
"165,000",1989,2010,215,역삼동,249.16,2,16,단독,11680
"150,000",1986,2010,203.5,역삼동,305.5,2,26,단독,11680
"117,000",1988,2010,194.9,개포동,244.14,2,25,단독,11680
"113,000",,2010,169,삼성동,249.08,2,3,다가구,11680
"136,700",,2010,166.3,삼성동,353.12,2,5,다가구,11680
"66,000",1979,2010,74.6,삼성동,49.39,2,10,단독,11680
"230,000",1996,2010,255.6,대치동,550.88,2,9,다가구,11680
"162,500",,2010,232.7,대치동,159.17,2,18,다가구,11680
"300,000",1978,2010,197.7,신사동,243.8,2,17,단독,11680
"60,000",1983,2010,89.3,논현동,130.29,2,3,단독,11680
"140,000",1989,2010,308,율현동,199.77,2,20,단독,11680
"91,500",1989,2010,321,율현동,199.5,2,27,단독,11680
"212,500",2003,2010,251.2,역삼동,541.57,3,2,다가구,11680
"182,000",1988,2010,248,역삼동,326.74,3,2,단독,11680
"346,500",2002,2010,421,역삼동,628.8,3,17,단독,11680
"138,000",1990,2010,182,개포동,358.29,3,13,단독,11680
"135,000",1989,2010,154,청담동,332.82,3,19,단독,11680
"395,000",,2010,228.5,청담동,205.34,3,24,단독,11680
"178,000",1997,2010,202.6,청담동,457.5,3,31,다가구,11680
"201,000",1989,2010,204.3,삼성동,277.17,3,5,단독,11680
"219,000",2000,2010,240.7,대치동,683.12,3,14,다가구,11680
"205,000",,2010,279.5,대치동,532.04,3,15,다가구,11680
"162,500",1997,2010,180.7,대치동,400.44,3,17,다가구,11680
"248,000",1995,2010,307.4,신사동,627.21,3,2,단독,11680
"200,000",1995,2010,204.9,신사동,404.45,3,2,다가구,11680
"170,000",1995,2010,176.2,신사동,379.44,3,15,다가구,11680
"143,000",,2010,174.1,논현동,156.4,3,1,다가구,11680
"224,000",1996,2010,259.7,논현동,659.86,3,9,다가구,11680
"119,500",1987,2010,197.1,일원동,249.11,3,16,단독,11680
"105,000",,2010,197.7,일원동,246.63,3,30,단독,11680
"222,000",,2010,244.2,역삼동,557.97,4,9,다가구,11680
"250,000",,2010,274.3,역삼동,786.89,4,15,다가구,11680
"195,000",1988,2010,287.6,역삼동,323.73,4,28,다가구,11680
"388,000",1978,2010,361.4,역삼동,284.1,4,30,단독,11680
"235,000",1997,2010,346.9,청담동,659.68,4,15,다가구,11680
"90,000",1975,2010,93.7,청담동,73.35,4,30,단독,11680
"219,000",,2010,243.2,삼성동,251.65,4,10,단독,11680
"245,000",1981,2010,265.2,대치동,245.66,4,13,단독,11680
"390,000",1996,2010,235,신사동,559.92,4,1,다가구,11680
"139,000",,2010,180.5,논현동,382.84,4,16,다가구,11680
"200,000",1991,2010,159.8,논현동,432.57,4,16,단독,11680
"276,000",1978,2010,336.9,논현동,326.35,4,19,단독,11680
"300,000",,2010,306.6,논현동,286.65,4,29,단독,11680
"149,000",2010,2010,333,자곡동,199.44,4,15,단독,11680
"103,000",,2010,197.7,일원동,248.55,4,19,다가구,11680
"125,000",1989,2010,188.6,개포동,278.91,5,19,단독,11680
"206,000",1975,2010,124.7,청담동,151.34,5,28,단독,11680
"230,000",1976,2010,169.1,청담동,155.27,5,28,단독,11680
"249,000",1997,2010,201.1,대치동,573.04,5,13,다가구,11680
"180,000",1997,2010,158.1,신사동,345.17,5,2,다가구,11680
"146,000",1988,2010,211.7,논현동,313.23,5,12,다가구,11680
"172,500",,2010,263.5,논현동,274.74,5,14,다가구,11680
"191,500",1996,2010,239.4,논현동,539.34,5,21,다가구,11680
"143,581",1990,2010,240.9,논현동,332.6,5,28,다가구,11680
"112,500",1987,2010,203.9,일원동,249.87,5,14,단독,11680
"187,000",1991,2010,247.3,역삼동,300.07,6,15,다가구,11680
"150,000",2002,2010,221.8,역삼동,438.24,6,28,단독,11680
"310,000",1995,2010,293.4,청담동,422.43,6,9,다가구,11680
"121,000",,2010,187.8,논현동,152.13,6,4,단독,11680
"120,000",1975,2010,163.3,논현동,101.72,6,7,단독,11680
"158,312",1992,2010,216.2,논현동,421.9,6,21,단독,11680
"290,000",1975,2010,238.9,논현동,156.14,6,24,단독,11680
"170,000",,2010,315,세곡동,178.87,6,3,단독,11680
"152,000",1982,2010,335,세곡동,198.22,6,25,단독,11680
"118,000",1988,2010,177.7,일원동,249.93,6,3,단독,11680
"105,500",1986,2010,198.4,일원동,249.54,6,13,다가구,11680
"107,500",1987,2010,196.8,일원동,248.64,6,26,다가구,11680
"144,000",1996,2010,173.1,역삼동,299.62,7,22,다가구,11680
"140,200",1989,2010,188.7,개포동,480.84,7,29,다가구,11680
"190,000",1973,2010,271.7,청담동,164,7,1,단독,11680
"240,000",1978,2010,200.7,삼성동,215.28,7,30,단독,11680
"360,000",1979,2010,301.6,삼성동,177.68,7,30,단독,11680
"173,000",1994,2010,183.9,논현동,377.04,7,21,다가구,11680
"124,500",1985,2010,200.7,일원동,290.37,7,8,단독,11680
"176,000",1997,2010,216.3,청담동,402.96,8,3,다가구,11680
"240,000",1995,2010,178.7,청담동,418.02,8,6,단독,11680
"145,000",1999,2010,279.5,삼성동,586.46,8,20,단독,11680
