거래금액,년,대지면적,법정동,연면적,월,일,주택유형,지역코드,건축년도
"53,000",2010,112,풍납동,175.14,1,18,단독,11710,
"150,000",2010,233.9,풍납동,539.96,1,23,다가구,11710,
"54,250",2010,116,풍납동,177.12,1,25,단독,11710,
"19,500",2010,60,풍납동,39.9,1,28,단독,11710,
"76,150",2010,109,풍납동,72.79,1,29,단독,11710,1976
"86,200",2010,114,풍납동,146.94,1,29,단독,11710,1978
"74,650",2010,102,풍납동,66.48,1,29,단독,11710,1976
"60,000",2010,225.2,송파동,254.08,1,5,단독,11710,1982
"90,000",2010,176.6,가락동,288.41,1,19,다가구,11710,
"113,000",2010,193,가락동,243.72,1,26,단독,11710,
"99,500",2010,164.7,방이동,247.88,1,26,다가구,11710,
"23,200",2010,22,거여동,22.48,1,7,단독,11710,
"51,500",2010,102,거여동,170.59,1,7,다가구,11710,
"54,400",2010,112,마천동,69.62,1,27,단독,11710,1975
"57,900",2010,139,풍납동,193.68,2,2,단독,11710,
"58,000",2010,139,풍납동,207.99,2,5,단독,11710,
"70,000",2010,194.8,풍납동,221.23,2,5,단독,11710,
"39,500",2010,96,풍납동,150.78,2,10,다가구,11710,
"87,500",2010,126,풍납동,261.82,2,18,다가구,11710,
"64,000",2010,136,풍납동,231.84,2,22,단독,11710,
"71,350",2010,122,풍납동,194.73,2,22,단독,11710,
"52,200",2010,122,풍납동,182.37,2,26,다가구,11710,
"104,000",2010,185.1,송파동,219.49,2,1,단독,11710,
"170,000",2010,244.9,삼전동,538.32,2,2,다가구,11710,
"68,500",2010,117.5,가락동,173.22,2,18,단독,11710,
"133,000",2010,197.4,방이동,417.26,2,5,다가구,11710,
"24,000",2010,23,거여동,23.14,2,9,단독,11710,
"19,000",2010,22,거여동,23.14,2,11,단독,11710,
"70,000",2010,74,거여동,115.95,2,18,단독,11710,1989
"29,000",2010,63.3,마천동,77.16,2,8,단독,11710,1981
"50,000",2010,87.9,마천동,52.87,2,12,단독,11710,
"34,000",2010,32.03,마천동,51.71,2,23,단독,11710,
"46,800",2010,129,풍납동,81.62,3,6,단독,11710,
"40,000",2010,93,풍납동,144.69,3,8,다가구,11710,
"4,400",2010,12,풍납동,14.4,3,23,단독,11710,1979
"213,000",2010,322.7,석촌동,569.47,3,24,다가구,11710,
"139,000",2010,187.8,삼전동,419.44,3,7,다가구,11710,
"169,764",2010,258,가락동,539.1,3,9,단독,11710,1997
"92,277",2010,167.5,오금동,246.3,3,9,단독,11710,
"90,000",2010,170.9,오금동,249.2,3,17,다가구,11710,
"128,000",2010,219.6,오금동,452.73,3,23,다가구,11710,
"100,747",2010,172,거여동,366.79,3,25,다가구,11710,
"33,350",2010,47.3,마천동,20.72,3,5,단독,11710,
"90,000",2010,180.2,마천동,396.06,3,26,다가구,11710,1987
"179,000",2010,210.4,풍납동,503.35,4,22,단독,11710,1988
"226,500",2010,271.3,가락동,637.18,4,1,다가구,11710,
"90,000",2010,165.3,문정동,328.9,4,9,단독,11710,
"58,500",2010,116.9,문정동,172.8,4,12,단독,11710,
"152,000",2010,203.3,방이동,438.92,4,3,다가구,11710,
"44,500",2010,90.4,거여동,139.02,4,2,단독,11710,
"20,000",2010,22,거여동,22.48,4,9,단독,11710,
"140,000",2010,205.4,거여동,494.93,4,24,단독,11710,1990
"45,000",2010,136,마천동,199.08,4,1,단독,11710,1991
"250,000",2010,376,풍납동,887.28,5,3,단독,11710,
"102,000",2010,169.5,풍납동,392.72,5,20,다가구,11710,
"260,000",2010,343.3,석촌동,311.6,5,11,단독,11710,
"42,000",2010,116,마천동,135.46,5,19,단독,11710,
"120,000",2010,166.1,잠실동,237.75,6,15,단독,11710,1988
"93,000",2010,185,풍납동,433.53,6,30,다가구,11710,1996
"145,606",2010,213,송파동,478.92,6,1,다가구,11710,1997
"123,000",2010,173.6,삼전동,402.36,6,3,다가구,11710,1995
"110,000",2010,216.2,가락동,300.82,6,21,다가구,11710,1990
"120,000",2010,166.8,가락동,435.43,6,29,단독,11710,1988
"220,000",2010,232.8,잠실동,554.42,7,21,다가구,11710,2003
"41,000",2010,132,풍납동,88.83,7,5,단독,11710,1976
"38,500",2010,109,풍납동,65.16,7,28,단독,11710,1976
"161,000",2010,204.9,송파동,449.1,7,30,다가구,11710,1996
"102,750",2010,204.5,가락동,282.52,7,15,단독,11710,1988
"133,500",2010,205.5,문정동,500.5,7,6,다가구,11710,1988
"195,000",2010,242.6,방이동,498.24,7,7,다가구,11710,1993
"93,500",2010,170.2,방이동,369.8,7,23,다가구,11710,1988
"89,000",2010,177.2,오금동,405.43,7,15,다가구,11710,1994
"84,919",2010,206,마천동,267.27,7,23,다가구,11710,1992
"69,800",2010,136,풍납동,299.28,8,7,단독,11710,1995
"50,600",2010,112,풍납동,147,8,14,단독,11710,1988
"127,000",2010,185,풍납동,479.47,8,31,다가구,11710,1997
"97,206",2010,186,거여동,414.55,8,3,다가구,11710,1997
"33,000",2010,55.2,마천동,84.49,8,18,다가구,11710,1994
"94,000",2010,227.9,마천동,494.44,8,25,단독,11710,1997
"51,000",2010,112,풍납동,163.41,9,2,단독,11710,1987
"140,000",2010,258.2,송파동,281.35,9,11,단독,11710,1987
"22,000",2010,68,마천동,101.22,9,2,단독,11710,1985
"39,500",2010,112,마천동,164.16,9,21,단독,11710,1983
"59,000",2010,119,풍납동,168.12,10,28,다가구,11710,1986
"105,000",2010,175.5,삼전동,191.87,10,7,단독,11710,1982
"170,000",2010,238.4,삼전동,522.92,10,26,단독,11710,1996
"57,000",2010,116.5,문정동,227.44,10,18,다가구,11710,1987
"155,000",2010,270.8,오금동,719.5,10,5,단독,11710,1991
"28,000",2010,60.5,마천동,26.97,10,9,단독,11710,1983
"35,000",2010,46.3,마천동,29.59,10,14,단독,11710,1985
"70,000",2010,150,마천동,299.23,10,15,단독,11710,1997
"297,000",2010,272,잠실동,774,11,29,단독,11710,2004
"178,500",2010,201.6,가락동,593.27,11,22,단독,11710,1998
"189,200",2010,167.6,문정동,442.01,11,29,단독,11710,1988
"197,000",2010,224.5,잠실동,598.8,12,24,단독,11710,2000
"58,500",2010,129,풍납동,203.3,12,1,단독,11710,1990
"54,000",2010,119,풍납동,162.28,12,6,단독,11710,1988
"76,500",2010,234,풍납동,206.54,12,13,단독,11710,1978
"48,000",2010,102,풍납동,162.72,12,13,단독,11710,1988
"191,211",2010,351.4,풍납동,659.54,12,14,단독,11710,1998
"52,000",2010,114,풍납동,127.77,12,18,단독,11710,1976
"101,000",2010,168,풍납동,386.88,12,23,단독,11710,1997
"200,000",2010,204.8,삼전동,234.81,12,14,단독,11710,1982
