거래금액,년,대지면적,법정동,연면적,월,일,주택유형,지역코드,건축년도
"103,000",2010,176.1,명일동,369.71,1,9,단독,11740,
"120,000",2010,219.1,고덕동,292.8,1,21,다가구,11740,
"105,000",2010,220,고덕동,345.28,1,30,다가구,11740,
"139,500",2010,228.7,길동,627,1,4,다가구,11740,
"106,500",2010,197.6,길동,419.36,1,13,다가구,11740,
"133,000",2010,213.2,길동,451.9,1,13,다가구,11740,
"102,500",2010,189.7,길동,416.26,1,25,다가구,11740,1995
"87,000",2010,234,둔촌동,249.99,1,26,단독,11740,
"46,000",2010,100,둔촌동,69.32,1,28,단독,11740,1975
"87,700",2010,294,암사동,199.08,1,14,단독,11740,
"105,000",2010,330,암사동,197.7,1,25,단독,11740,
"49,900",2010,122,성내동,182.16,1,13,단독,11740,
"95,300",2010,165.8,성내동,285.08,1,13,다가구,11740,
"73,500",2010,99,성내동,71.08,1,21,단독,11740,
"55,800",2010,119,천호동,90.44,1,6,단독,11740,
"58,500",2010,129,천호동,230.76,1,6,단독,11740,1985
"60,000",2010,143,천호동,209.91,1,8,단독,11740,
"46,000",2010,183.3,천호동,246.69,1,15,단독,11740,1984
"104,000",2010,169.8,천호동,278.8,1,16,다가구,11740,
"27,700",2010,51.95,천호동,45.68,1,20,단독,11740,1984
"37,500",2010,155,천호동,46.18,1,20,단독,11740,
"189,960",2010,157,천호동,241.35,1,28,단독,11740,1989
"72,000",2010,139,천호동,299.88,1,29,다가구,11740,
"53,000",2010,106,천호동,141,1,29,단독,11740,1988
"140,000",2010,246.1,고덕동,84.87,2,19,단독,11740,
"103,000",2010,184.8,상일동,367.03,2,17,단독,11740,
"90,000",2010,166.3,길동,393.49,2,23,다가구,11740,1997
"78,000",2010,173.6,길동,355.77,2,26,다가구,11740,
"63,000",2010,167.3,길동,249.96,2,27,단독,11740,
"43,700",2010,112,둔촌동,170.97,2,1,단독,11740,
"56,500",2010,147,둔촌동,226.04,2,8,단독,11740,
"95,500",2010,205,둔촌동,391.68,2,22,다가구,11740,
"60,000",2010,109,둔촌동,246.48,2,23,단독,11740,
"57,500",2010,119.3,둔촌동,177.78,2,24,단독,11740,
"39,200",2010,109,암사동,166.44,2,1,단독,11740,
"90,000",2010,191.7,암사동,186.01,2,5,단독,11740,
"61,500",2010,135.5,암사동,206.5,2,25,단독,11740,
"48,000",2010,126.4,성내동,192.99,2,3,단독,11740,1986
"59,000",2010,122,성내동,178.78,2,8,다가구,11740,
"61,600",2010,146,성내동,215.85,2,9,다가구,11740,
"44,300",2010,112,천호동,146.3,2,1,다가구,11740,
"55,350",2010,122,천호동,185.28,2,2,단독,11740,
"34,000",2010,95.4,천호동,125.2,2,8,단독,11740,
"39,000",2010,93,천호동,97.62,2,19,단독,11740,
"32,000",2010,93,천호동,167.1,2,22,다가구,11740,1997
"68,800",2010,175,명일동,106.57,3,20,단독,11740,1977
"40,000",2010,105.7,길동,160.71,3,5,단독,11740,1988
"78,000",2010,200,길동,179.87,3,6,단독,11740,1983
"87,500",2010,165.4,길동,181.8,3,7,단독,11740,1983
"140,000",2010,355,암사동,198.2,3,6,단독,11740,
"60,000",2010,145,암사동,207.9,3,22,다가구,11740,
"81,250",2010,168.7,암사동,356.57,3,30,다가구,11740,
"71,500",2010,175.2,성내동,193.13,3,2,단독,11740,
"84,000",2010,173.5,성내동,188.39,3,3,단독,11740,1982
"47,000",2010,119,성내동,177.48,3,4,단독,11740,
"38,000",2010,86,성내동,160.94,3,5,단독,11740,1994
"130,000",2010,239.8,성내동,545.9,3,6,다가구,11740,1984
"169,000",2010,245.9,성내동,659.94,3,13,다가구,11740,
"102,000",2010,188.4,성내동,419.74,3,16,단독,11740,1996
"44,500",2010,99,성내동,119.96,3,30,다가구,11740,
"66,000",2010,160.6,천호동,224.1,3,2,단독,11740,
"116,500",2010,192.7,천호동,210.97,3,3,단독,11740,
"155,000",2010,176.8,천호동,353.42,3,4,다가구,11740,
"56,100",2010,109,천호동,172.62,3,7,단독,11740,
"71,500",2010,120,천호동,178.83,3,18,단독,11740,
"78,000",2010,172,천호동,249.75,3,24,다가구,11740,
"54,000",2010,99,천호동,46.38,3,26,단독,11740,1969
"38,200",2010,107.3,천호동,160.92,3,28,단독,11740,
"18,000",2010,62.75,천호동,86,3,30,단독,11740,1987
"60,000",2010,196.11,강일동,19.83,3,5,단독,11740,1980
"76,000",2010,142.2,상일동,204.09,4,2,단독,11740,
"84,000",2010,185.1,길동,299.98,4,20,단독,11740,
"95,000",2010,200.3,길동,494.12,4,23,단독,11740,
