거래금액,년,대지면적,법정동,연면적,월,일,주택유형,지역코드,건축년도
"73,500",2010,165.6,가산동,191.85,1,11,다가구,11545,
"72,300",2010,165.6,가산동,191.79,1,26,단독,11545,
"126,150",2010,288.5,가산동,446.39,1,28,단독,11545,1990
"40,500",2010,126.9,독산동,145.12,1,7,단독,11545,1978
"53,000",2010,175.4,독산동,247.83,1,25,다가구,11545,
"35,500",2010,113,시흥동,169.2,1,19,다가구,11545,
"169,119",2010,452.1,시흥동,506.59,1,20,단독,11545,1980
"44,400",2010,122.8,시흥동,220.05,1,24,단독,11545,1992
"39,000",2010,147,시흥동,197.64,1,27,단독,11545,
"89,000",2010,211.8,가산동,248.94,2,1,다가구,11545,
"60,000",2010,166.6,가산동,181.18,2,9,다가구,11545,
"100,000",2010,216.8,가산동,320.67,2,25,단독,11545,
"44,500",2010,114.7,독산동,239.65,2,1,단독,11545,
"99,000",2010,218.5,독산동,181.49,2,2,단독,11545,1979
"51,438",2010,172,독산동,169.92,2,4,단독,11545,1980
"28,100",2010,112.7,독산동,69.45,2,4,단독,11545,
"46,000",2010,117.7,독산동,228.27,2,9,단독,11545,1994
"34,000",2010,113.6,독산동,96.99,2,17,단독,11545,
"120,000",2010,312.8,독산동,655.71,2,18,단독,11545,1997
"52,500",2010,144.9,독산동,259.74,2,27,단독,11545,
"50,000",2010,129,시흥동,193.2,2,5,단독,11545,
"44,480",2010,127.9,시흥동,81.89,2,9,단독,11545,1976
"53,300",2010,175.9,시흥동,248.58,2,23,단독,11545,1986
"40,000",2010,126,시흥동,190.11,2,24,단독,11545,1993
"23,600",2010,62.6,시흥동,99.36,2,26,단독,11545,
"34,500",2010,114,시흥동,161.1,2,27,단독,11545,
"44,400",2010,124.4,시흥동,256.76,2,27,다가구,11545,
"109,500",2010,240.5,독산동,328.3,3,4,단독,11545,1988
"34,000",2010,129.4,독산동,87.53,3,5,단독,11545,
"70,000",2010,188.7,독산동,303.29,3,9,다가구,11545,
"62,800",2010,180.7,독산동,247.68,3,13,단독,11545,
"56,500",2010,183.2,독산동,282.07,3,14,다가구,11545,
"30,000",2010,119,독산동,128.92,3,15,단독,11545,
"73,000",2010,215.4,독산동,469.04,3,20,단독,11545,1997
"60,000",2010,192.8,독산동,288.09,3,23,단독,11545,
"32,000",2010,109,독산동,152.02,3,27,단독,11545,
"41,500",2010,145.5,시흥동,222.6,3,6,단독,11545,1991
"37,570",2010,102,시흥동,137.7,3,8,단독,11545,1988
"33,000",2010,109.4,시흥동,125.69,3,9,단독,11545,
"47,200",2010,116,시흥동,173.61,3,15,단독,11545,
"56,000",2010,169.9,시흥동,214.29,3,18,단독,11545,1986
"51,500",2010,165,시흥동,241.68,3,19,단독,11545,
"55,500",2010,157,시흥동,230.76,3,24,단독,11545,
"38,500",2010,122,시흥동,188.82,3,24,단독,11545,
"33,600",2010,106.6,시흥동,199.8,3,27,단독,11545,
"37,000",2010,111.2,시흥동,149.73,3,29,단독,11545,1993
"105,000",2010,165.5,가산동,329.3,4,8,단독,11545,
"63,500",2010,169.3,독산동,378.54,4,1,단독,11545,
"42,000",2010,141.4,독산동,208.26,4,1,단독,11545,
"48,000",2010,137.3,독산동,219.25,4,2,단독,11545,
"36,500",2010,119.3,독산동,139.57,4,9,단독,11545,
"16,500",2010,118.7,독산동,173.88,4,16,단독,11545,1990
"69,500",2010,202.4,독산동,290.34,4,17,단독,11545,1985
"51,500",2010,148.8,독산동,230.04,4,17,단독,11545,1993
"48,100",2010,119.2,독산동,201,4,25,단독,11545,1996
"29,500",2010,104.9,시흥동,128.59,4,7,단독,11545,
"35,000",2010,113.8,시흥동,168.84,4,10,단독,11545,1985
"30,700",2010,106.9,시흥동,104.36,4,10,단독,11545,1977
"38,000",2010,125,시흥동,186,4,12,다가구,11545,
"39,000",2010,143.9,시흥동,214.56,4,14,단독,11545,1985
"44,000",2010,124.2,시흥동,176.61,4,14,단독,11545,
"63,000",2010,209.5,시흥동,185.35,4,14,단독,11545,
"50,000",2010,172.3,시흥동,273.73,4,23,단독,11545,
"30,000",2010,123,시흥동,183.33,4,27,단독,11545,
"52,000",2010,166,시흥동,130.98,4,29,단독,11545,1974
"87,500",2010,154.4,가산동,242.28,5,7,단독,11545,
"34,000",2010,119,독산동,124.62,5,3,단독,11545,1978
"21,000",2010,119,독산동,178.2,5,4,단독,11545,1989
"40,000",2010,133.3,독산동,194.94,5,6,단독,11545,
"120,000",2010,243.5,독산동,328.3,5,13,단독,11545,1988
"37,500",2010,129.6,독산동,190.8,5,20,단독,11545,
"44,000",2010,143.3,독산동,212.76,5,26,단독,11545,1989
"37,000",2010,155.7,독산동,172.55,5,27,단독,11545,
"60,000",2010,178.5,독산동,108.34,5,29,단독,11545,
"42,450",2010,166.8,시흥동,245.28,5,1,단독,11545,1984
"33,700",2010,106,시흥동,241.02,5,12,단독,11545,1994
"38,600",2010,116.6,시흥동,199.83,5,29,단독,11545,
"50,000",2010,119,가산동,138.24,6,3,단독,11545,1993
"37,300",2010,122,독산동,197.64,6,17,단독,11545,
"81,000",2010,210.7,독산동,288.36,6,21,단독,11545,1985
"44,100",2010,115,시흥동,169.35,6,15,단독,11545,1986
"108,000",2010,183.7,시흥동,508.7,6,28,단독,11545,2004
"32,200",2010,43,가산동,61.52,7,12,단독,11545,1970
"39,450",2010,145.2,독산동,146.45,7,7,단독,11545,1978
"41,000",2010,137.5,독산동,149.58,7,19,단독,11545,1975
"50,000",2010,135,독산동,335.18,7,20,단독,11545,1989
"45,000",2010,139.3,독산동,198.18,7,21,단독,11545,1994
"59,500",2010,164,독산동,245.97,7,23,단독,11545,1990
"45,000",2010,167.3,독산동,247.41,7,27,단독,11545,1986
"45,500",2010,144.6,독산동,216.6,7,29,단독,11545,1990
"42,000",2010,114.7,시흥동,171.9,7,8,다가구,11545,1987
"55,000",2010,180,시흥동,247.48,7,9,단독,11545,1985
"27,500",2010,92.4,시흥동,138.24,7,14,단독,11545,1989
"18,000",2010,69,시흥동,92.52,7,21,단독,11545,1970
"32,000",2010,99.8,시흥동,166.48,7,30,단독,11545,1997
"94,000",2010,190.8,가산동,304.38,8,5,단독,11545,1987
"42,000",2010,134.7,독산동,226.26,8,17,단독,11545,1995
"29,800",2010,119,독산동,147.96,8,26,단독,11545,1983
"28,200",2010,99.6,시흥동,167.3,8,1,단독,11545,1991
"49,300",2010,109.7,시흥동,299.47,8,5,단독,11545,1995
"52,400",2010,180,시흥동,247.08,8,6,단독,11545,1985
"28,000",2010,119.5,시흥동,185.76,8,10,단독,11545,1992
"79,500",2010,145,시흥동,343.17,8,16,단독,11545,1992
"23,000",2010,196.4,시흥동,197.28,8,16,단독,11545,1984
"71,037",2010,208.3,시흥동,319.38,8,18,다가구,11545,1993
"44,500",2010,166.5,시흥동,246.99,8,18,단독,11545,1987
"35,934",2010,106,시흥동,174.3,8,26,단독,11545,1994
"73,500",2010,207.8,가산동,261.48,9,28,다가구,11545,1977
"18,500",2010,116.8,독산동,127.27,9,20,단독,11545,1979
"43,000",2010,136.7,시흥동,184.41,9,12,단독,11545,1986
"50,000",2010,154.5,시흥동,121.65,9,20,단독,11545,1978
"45,500",2010,164.7,시흥동,95.74,9,27,단독,11545,1975
"35,000",2010,116.7,가산동,168.15,10,7,단독,11545,1990
"38,000",2010,116,가산동,298.06,10,22,다가구,11545,2006
"44,500",2010,140.2,독산동,208.8,10,1,단독,11545,1987
"96,500",2010,222.6,독산동,462.8,10,6,단독,11545,1988
"44,200",2010,122.8,독산동,159,10,8,단독,11545,1978
"41,800",2010,131.6,독산동,195.75,10,12,단독,11545,1989
"90,000",2010,171.1,독산동,163.96,10,13,단독,11545,1982
"40,000",2010,133.6,독산동,204.26,10,14,단독,11545,1988
"45,000",2010,120,독산동,179.46,10,16,단독,11545,1984
"20,000",2010,121.1,독산동,179.46,10,19,단독,11545,1997
"86,000",2010,212.6,독산동,291.06,10,20,단독,11545,1987
"52,500",2010,160.3,독산동,244.83,10,27,단독,11545,1989
"42,300",2010,137.5,독산동,234.3,10,29,단독,11545,1993
"124,750",2010,199.1,시흥동,487.6,10,5,단독,11545,1982
"59,000",2010,172,시흥동,247.32,10,6,단독,11545,1983
"48,500",2010,168.4,시흥동,244.62,10,6,단독,11545,1983
"18,300",2010,83,시흥동,47.73,10,7,단독,11545,1970
"38,700",2010,141.7,시흥동,211.53,10,8,단독,11545,1983
"34,000",2010,131.1,시흥동,80.01,10,14,단독,11545,1976
"52,000",2010,178,시흥동,246.94,10,14,단독,11545,1982
"40,000",2010,112,시흥동,199.62,10,20,단독,11545,1991
"57,000",2010,162.2,시흥동,234.09,10,21,단독,11545,1985
"33,300",2010,119.4,시흥동,175.05,10,23,단독,11545,1987
"24,500",2010,94.2,시흥동,139.02,10,26,단독,11545,1987
"31,000",2010,116.7,가산동,168.15,11,2,단독,11545,1990
"65,000",2010,166.6,가산동,181.18,11,15,단독,11545,1976
"53,800",2010,152.4,독산동,265.47,11,2,다가구,11545,1994
"75,000",2010,151.9,독산동,188.46,11,4,단독,11545,1976
"61,000",2010,159.7,독산동,164.63,11,4,단독,11545,1974
"25,200",2010,108.9,독산동,168.08,11,6,단독,11545,1987
"70,000",2010,181.7,독산동,219.86,11,9,단독,11545,1977
"75,000",2010,172.5,독산동,256.8,11,10,단독,11545,1983
"60,000",2010,151.4,독산동,226.89,11,17,단독,11545,1990
"30,900",2010,119,독산동,133.74,11,22,단독,11545,1983
"40,000",2010,116.7,독산동,199.61,11,27,단독,11545,1993
"74,000",2010,126.3,독산동,156.03,11,29,단독,11545,1982
"47,000",2010,156.2,독산동,270.96,11,30,다가구,11545,1992
"54,000",2010,149.4,독산동,248.94,11,30,다가구,11545,1993
"36,000",2010,159.3,시흥동,152.45,11,1,단독,11545,1977
"48,000",2010,146.7,시흥동,218.16,11,11,단독,11545,1989
"59,300",2010,178.5,시흥동,247.2,11,13,단독,11545,1989
"30,000",2010,81.4,시흥동,89.83,11,19,다가구,11545,1993
"53,100",2010,163.2,시흥동,244.05,11,19,단독,11545,1985
"38,600",2010,128.6,시흥동,184.68,11,29,단독,11545,1985
"40,970",2010,106,시흥동,189.9,11,30,단독,11545,1992
"52,800",2010,159.6,독산동,234.12,12,4,단독,11545,1997
"38,500",2010,137.8,독산동,199.35,12,8,다가구,11545,1991
"81,000",2010,172.2,독산동,296.4,12,20,단독,11545,1997
"91,500",2010,207.8,독산동,395.64,12,22,단독,11545,1985
"46,800",2010,128.8,시흥동,141.62,12,10,단독,11545,1973
"37,300",2010,109.2,시흥동,188.46,12,15,다가구,11545,1992
"79,000",2010,203.9,시흥동,488.4,12,18,다가구,11545,1997
"67,100",2010,202.7,시흥동,326.79,12,27,다가구,11545,1996
"24,000",2011,29.5,가산동,37.5,1,27,단독,11545,1984
"66,000",2011,155.7,독산동,240.79,1,3,단독,11545,1978
"40,200",2011,140,독산동,96.86,1,4,단독,11545,1977
"26,000",2011,72.6,독산동,107.16,1,6,단독,11545,1986
"43,000",2011,127.3,독산동,199.98,1,22,다가구,11545,1991
"60,900",2011,187.3,독산동,249.48,1,24,다가구,11545,1991
"50,000",2011,143.5,독산동,200.71,1,26,다가구,11545,2000
"57,500",2011,168.3,독산동,283.23,1,29,다가구,11545,1993
