거래금액,년,대지면적,법정동,연면적,월,일,주택유형,지역코드,건축년도
"65,000",2010,119,영등포동5가,280.08,1,19,다가구,11560,
"74,200",2010,158.7,영등포동7가,57.85,1,28,단독,11560,1961
"102,700",2010,162,당산동6가,214.62,1,22,다가구,11560,
"25,270",2010,54,도림동,31.3,1,20,단독,11560,
"15,500",2010,29.8,양평동1가,8.99,1,19,단독,11560,1961
"55,000",2010,86.9,양평동2가,207,1,16,다가구,11560,
"44,800",2010,102,신길동,64.66,1,4,단독,11560,
"32,800",2010,49,신길동,82.8,1,4,다가구,11560,
"85,000",2010,172,신길동,166.28,1,6,단독,11560,
"35,000",2010,66,신길동,111.39,1,7,단독,11560,
"38,500",2010,116,신길동,74.21,1,10,단독,11560,1974
"27,500",2010,23.08,신길동,30.8,1,11,단독,11560,
"42,000",2010,97.4,신길동,184.1,1,14,다가구,11560,
"34,800",2010,99,신길동,54.21,1,14,단독,11560,
"44,000",2010,89,신길동,122.75,1,15,단독,11560,
"36,500",2010,96,신길동,93.74,1,15,다가구,11560,
"35,500",2010,53,신길동,29.09,1,15,단독,11560,
"39,600",2010,111,신길동,52.56,1,18,단독,11560,
"44,500",2010,109,신길동,128.58,1,18,다가구,11560,
"40,000",2010,106.5,신길동,183.3,1,19,다가구,11560,1980
"18,000",2010,96,신길동,122.25,1,20,단독,11560,1991
"40,000",2010,89,신길동,121.68,1,21,다가구,11560,
"57,000",2010,126,신길동,210.97,1,21,다가구,11560,
"30,000",2010,92,신길동,119.18,1,22,다가구,11560,2000
"66,000",2010,155,신길동,230.46,1,22,다가구,11560,
"58,500",2010,129,신길동,179.82,1,23,다가구,11560,
"51,500",2010,116,신길동,115.77,1,24,단독,11560,
"42,700",2010,83,신길동,133.84,1,25,다가구,11560,
"48,000",2010,94,신길동,136.86,1,25,단독,11560,
"41,500",2010,90.5,신길동,160.74,1,25,다가구,11560,
"56,000",2010,106,신길동,167.98,1,26,다가구,11560,
"53,700",2010,119,신길동,157.41,1,26,단독,11560,
"13,500",2010,17,신길동,16.53,1,26,단독,11560,
"63,500",2010,226.8,신길동,201.61,1,28,다가구,11560,
"66,900",2010,149,대림동,276.85,1,7,다가구,11560,
"113,000",2010,235.3,대림동,328.44,1,8,단독,11560,1986
"45,000",2010,120.3,대림동,175.74,1,16,다가구,11560,
"63,400",2010,146,대림동,216.57,1,16,다가구,11560,
"37,000",2010,159.8,대림동,203.04,1,17,단독,11560,1986
"37,150",2010,100.9,대림동,198,1,18,다가구,11560,1985
"61,000",2010,127,대림동,187.95,1,20,단독,11560,
"49,000",2010,111,대림동,164.94,1,29,다가구,11560,
"27,800",2010,93,영등포동,49.26,2,23,단독,11560,1969
"59,000",2010,112,당산동1가,196.96,2,5,다가구,11560,1995
"72,000",2010,119,당산동3가,55.21,2,11,단독,11560,1968
"15,148",2010,26.8,당산동3가,6.6,2,11,단독,11560,1968
"158,000",2010,326,당산동,279.8,2,3,단독,11560,
"42,700",2010,109,도림동,37.62,2,10,단독,11560,1971
"28,800",2010,73,도림동,39.34,2,17,단독,11560,
"28,000",2010,76,도림동,104.79,2,26,단독,11560,1970
"104,428",2010,176.2,양평동4가,246.6,2,20,다가구,11560,1990
"44,400",2010,122,신길동,137.01,2,3,다가구,11560,1988
"30,000",2010,61.1,신길동,151.2,2,5,다가구,11560,
"50,000",2010,126,신길동,170.46,2,6,단독,11560,
"50,500",2010,112,신길동,174.55,2,9,다가구,11560,
"28,500",2010,50,신길동,36.36,2,10,단독,11560,
"35,000",2010,86,신길동,118.44,2,15,단독,11560,
"40,000",2010,66.23,신길동,117.12,2,17,다가구,11560,
"50,400",2010,139,신길동,147.15,2,17,다가구,11560,
"68,700",2010,168,신길동,242.73,2,18,다가구,11560,
"41,000",2010,73,신길동,99.12,2,20,다가구,11560,
"41,500",2010,93,신길동,137.46,2,21,다가구,11560,
"45,000",2010,109.2,신길동,212.9,2,23,단독,11560,1981
"42,900",2010,129,신길동,80.33,2,23,단독,11560,1962
"31,000",2010,66,신길동,49.59,2,24,단독,11560,1961
"42,500",2010,89,신길동,132.72,2,26,다가구,11560,
"52,500",2010,116,신길동,73.09,2,27,단독,11560,
"29,700",2010,132,신길동,197.48,2,28,다가구,11560,1992
"40,500",2010,205,대림동,419.92,2,4,단독,11560,1996
"39,000",2010,101.7,대림동,155.72,2,8,단독,11560,
"26,000",2010,73,대림동,39.34,2,18,단독,11560,
"58,000",2010,126,대림동,191.79,2,19,단독,11560,1990
"40,750",2010,116,대림동,135.67,2,19,단독,11560,1974
"90,000",2010,206.1,대림동,293.94,2,19,다가구,11560,
"47,800",2010,96,대림동,142.65,2,20,단독,11560,1989
"42,000",2010,93,대림동,164.64,2,25,다가구,11560,
"155,000",2010,201,영등포동,479.72,3,24,단독,11560,1994
"52,500",2010,79,영등포동7가,43.24,3,8,단독,11560,
"3,800",2010,9.9,영등포동8가,6.4,3,5,단독,11560,
"14,200",2010,31.4,영등포동8가,27.27,3,5,단독,11560,
"30,000",2010,91.6,당산동1가,199.68,3,10,단독,11560,1991
"21,470",2010,35.4,당산동1가,14.88,3,12,단독,11560,
"53,100",2010,126.7,당산동1가,123.06,3,15,단독,11560,
"42,750",2010,76.4,당산동3가,124.96,3,29,다가구,11560,
"63,200",2010,106,당산동6가,200.42,3,31,다가구,11560,
"39,500",2010,99,당산동,104,3,4,단독,11560,
"34,500",2010,76,도림동,69.42,3,3,단독,11560,1961
"29,800",2010,69,도림동,119.12,3,11,다가구,11560,1992
"60,000",2010,137,도림동,325.2,3,19,다가구,11560,
"44,500",2010,83,도림동,159.97,3,19,다가구,11560,
"16,100",2010,30,도림동,39.01,3,22,단독,11560,
"35,500",2010,80,도림동,142.23,3,25,다가구,11560,
"35,000",2010,81,도림동,134.28,3,31,다가구,11560,
"43,700",2010,62.8,문래동4가,57.22,3,8,단독,11560,
"41,000",2010,105.8,양평동1가,33.05,3,3,단독,11560,1961
"57,000",2010,121.7,양평동4가,106.44,3,7,단독,11560,
"40,000",2010,93.6,양평동4가,73.72,3,31,단독,11560,
"41,000",2010,116,신길동,42.97,3,3,단독,11560,
"56,700",2010,116,신길동,178.81,3,8,단독,11560,
"56,000",2010,116,신길동,188.16,3,10,단독,11560,
"36,000",2010,67,신길동,43.7,3,10,단독,11560,
"54,000",2010,109,신길동,156.51,3,11,단독,11560,
"47,000",2010,80,신길동,151.29,3,13,단독,11560,1996
"45,900",2010,119,신길동,178.2,3,14,단독,11560,
"35,000",2010,56,신길동,28.22,3,15,단독,11560,1985
"25,000",2010,46,신길동,15.14,3,16,단독,11560,
"45,500",2010,112,신길동,153.88,3,22,단독,11560,1992
"14,000",2010,13,신길동,49.59,3,22,단독,11560,
"17,000",2010,66.1,신길동,41.53,3,23,단독,11560,1985
"55,500",2010,132,신길동,163.58,3,26,다가구,11560,
"93,000",2010,181,신길동,220.17,3,26,단독,11560,
"12,000",2010,36,신길동,17.37,3,31,단독,11560,
"19,000",2010,31.7,영등포동7가,41.58,4,6,단독,11560,
"190,000",2010,331,영등포동7가,146.85,4,7,단독,11560,1974
"28,000",2010,24.44,영등포동7가,23.13,4,15,단독,11560,
"95,000",2010,147.8,영등포동7가,82.65,4,27,단독,11560,
"34,000",2010,70,도림동,172.44,4,17,단독,11560,
"75,602",2010,150,도림동,255.62,4,20,단독,11560,1997
"81,356",2010,198,도림동,293.88,4,20,단독,11560,1970
"92,608",2010,187,도림동,299.7,4,20,단독,11560,1997
"97,000",2010,156.4,양평동4가,131.91,4,14,단독,11560,1968
"17,000",2010,53,신길동,60.17,4,1,단독,11560,1968
"36,000",2010,112,신길동,136.73,4,6,단독,11560,
"54,500",2010,112,신길동,161.94,4,7,단독,11560,
"24,000",2010,79,신길동,44.26,4,8,단독,11560,
"67,600",2010,172,신길동,297.96,4,10,다가구,11560,1996
"31,000",2010,53,신길동,23.14,4,15,단독,11560,
"32,000",2010,52,신길동,43.02,4,27,단독,11560,
"57,900",2010,139,대림동,144.83,4,6,단독,11560,1975
"10,000",2010,50,대림동,29.29,4,6,단독,11560,1971
"33,700",2010,66,대림동,35.27,4,6,단독,11560,1971
"89,000",2010,192,대림동,414.68,4,10,다가구,11560,
"28,600",2010,73,대림동,95.94,4,12,단독,11560,1993
"61,700",2010,129,대림동,295.8,4,16,다가구,11560,
"43,200",2010,106,대림동,171.28,4,20,다가구,11560,
"114,000",2010,286.6,대림동,327.52,4,21,단독,11560,
"60,000",2010,100.5,영등포동7가,70.71,5,3,단독,11560,1961
