거래금액,건축년도,년,대지면적,법정동,연면적,월,일,주택유형,지역코드
"52,000",1987,2010,142.8,봉천동,203.16,1,4,단독,11620
"42,000",,2010,102,봉천동,256.82,1,11,다가구,11620
"18,900",1970,2010,60,봉천동,33.06,1,13,단독,11620
"46,000",,2010,139.5,봉천동,82.68,1,15,단독,11620
"43,500",1988,2010,118,봉천동,177.15,1,20,단독,11620
"102,000",2009,2010,113.7,봉천동,236.16,1,20,단독,11620
"58,000",,2010,118.3,봉천동,118.68,1,21,단독,11620
"67,500",,2010,108.4,봉천동,240.85,1,21,다가구,11620
"73,500",1978,2010,143.3,봉천동,152.39,1,22,단독,11620
"148,000",,2010,162.8,봉천동,324.72,1,23,단독,11620
"66,000",1977,2010,146.8,봉천동,147.65,1,27,단독,11620
"54,000",,2010,113,봉천동,167.28,1,27,다가구,11620
"59,000",,2010,130.2,봉천동,123.64,1,29,단독,11620
"68,000",,2010,181.9,봉천동,230.46,1,30,단독,11620
"47,500",,2010,126,봉천동,109.29,1,30,단독,11620
"64,200",,2010,165,신림동,246.87,1,2,다가구,11620
"32,500",,2010,113.1,신림동,116.77,1,5,단독,11620
"88,000",,2010,228,신림동,248.26,1,6,다가구,11620
"128,000",1993,2010,169.3,신림동,348.36,1,7,단독,11620
"115,000",2001,2010,188,신림동,494.4,1,8,단독,11620
"84,000",1989,2010,181.8,신림동,383.42,1,8,단독,11620
"107,800",,2010,198,신림동,396.75,1,15,다가구,11620
"101,400",1983,2010,257.9,신림동,326.07,1,15,단독,11620
"49,200",1975,2010,165,신림동,150.38,1,15,단독,11620
"64,500",1992,2010,142.1,신림동,244.98,1,16,단독,11620
"23,000",,2010,60,신림동,30.41,1,18,단독,11620
"34,800",,2010,116,신림동,173.97,1,18,단독,11620
"100,000",,2010,140.5,신림동,247.29,1,18,다가구,11620
"66,000",1995,2010,161.7,신림동,267.14,1,19,단독,11620
"40,000",,2010,129,신림동,77.95,1,20,단독,11620
"37,000",,2010,112,신림동,184.41,1,20,다가구,11620
"25,000",1991,2010,96.2,신림동,199.92,1,27,단독,11620
"51,600",,2010,142,신림동,318.28,1,27,다가구,11620
"70,000",1989,2010,179.5,신림동,247.23,1,27,단독,11620
"50,000",,2010,129,신림동,184.56,1,28,다가구,11620
"50,000",1969,2010,182,신림동,125.29,1,28,단독,11620
"83,000",1987,2010,179.5,신림동,298.17,1,30,단독,11620
"50,000",,2010,137.9,봉천동,135.54,2,2,단독,11620
"45,500",,2010,105.5,봉천동,81.66,2,2,단독,11620
"83,000",,2010,143.1,봉천동,327.96,2,5,다가구,11620
"84,000",1984,2010,138.8,봉천동,190.41,2,9,단독,11620
"80,000",1994,2010,140.8,봉천동,310.74,2,12,단독,11620
"43,500",,2010,112,봉천동,167.58,2,19,단독,11620
"64,000",1978,2010,151.8,봉천동,190.08,2,19,단독,11620
"164,000",1996,2010,274.9,봉천동,553.97,2,22,단독,11620
"88,000",,2010,185,봉천동,310.43,2,24,다가구,11620
"87,100",1993,2010,155.4,신림동,388.67,2,1,단독,11620
"54,600",,2010,118,신림동,176.85,2,1,단독,11620
"71,000",,2010,215.9,신림동,172.13,2,1,단독,11620
"54,300",,2010,114,신림동,167.82,2,4,다가구,11620
"37,500",1972,2010,96.8,신림동,56.17,2,5,단독,11620
"41,000",,2010,108.2,신림동,151.43,2,9,단독,11620
"19,000",1978,2010,90,신림동,91.9,2,11,단독,11620
"44,800",,2010,106.4,신림동,173.31,2,11,다가구,11620
"56,550",,2010,124.6,신림동,188.94,2,12,단독,11620
"64,400",,2010,93.6,신림동,156.04,2,16,다가구,11620
"61,500",,2010,169,신림동,325.17,2,17,다가구,11620
"47,000",,2010,175,신림동,233.07,2,17,다가구,11620
"42,000",,2010,109,신림동,156.76,2,18,다가구,11620
"65,200",,2010,159,신림동,277.39,2,18,다가구,11620
"75,000",1986,2010,165.9,신림동,243.63,2,18,단독,11620
"57,000",,2010,149,신림동,66.12,2,20,단독,11620
"29,000",,2010,76,신림동,45.52,2,20,단독,11620
"59,392",1990,2010,135.4,신림동,202.56,2,22,단독,11620
"67,500",1999,2010,163.9,신림동,196.48,2,22,단독,11620
"90,000",,2010,188,신림동,313.02,2,22,단독,11620
"40,500",,2010,132,신림동,263.17,2,23,다가구,11620
"95,000",,2010,132.9,신림동,237.3,2,24,다가구,11620
"76,800",,2010,175.5,신림동,247.23,2,26,다가구,11620
"56,350",,2010,162,신림동,297.04,2,26,다가구,11620
"118,500",,2010,323.9,남현동,323.06,2,18,단독,11620
"52,100",,2010,113.1,봉천동,185.91,3,1,다가구,11620
"55,800",,2010,136.9,봉천동,170.54,3,2,단독,11620
"187,500",1997,2010,194.7,봉천동,584.34,3,3,단독,11620
"66,500",1969,2010,119,봉천동,126.67,3,3,단독,11620
"79,200",,2010,218,봉천동,196.36,3,5,단독,11620
"35,000",1991,2010,129,봉천동,195.96,3,8,다가구,11620
"77,000",1977,2010,162.3,봉천동,97.52,3,9,단독,11620
"130,000",2001,2010,185,봉천동,609.98,3,10,단독,11620
"30,500",1970,2010,125.7,봉천동,129.26,3,10,단독,11620
"43,500",,2010,96.4,봉천동,119.52,3,15,단독,11620
"112,000",,2010,153.9,봉천동,333.65,3,19,다가구,11620
"63,000",,2010,116.4,봉천동,198.75,3,22,단독,11620
"79,500",2007,2010,132.8,봉천동,199.03,3,22,단독,11620
"38,400",,2010,86,봉천동,140,3,23,단독,11620
"36,000",,2010,99,봉천동,142.83,3,24,단독,11620
"78,000",,2010,182,봉천동,386.7,3,29,다가구,11620
"43,900",,2010,132,봉천동,184.92,3,31,단독,11620
"80,000",,2010,255,봉천동,246.86,3,31,단독,11620
"83,000",1989,2010,165.3,신림동,210.93,3,1,단독,11620
"27,900",1990,2010,103.8,신림동,153.45,3,2,단독,11620
"104,000",,2010,157,신림동,244.08,3,3,단독,11620
"66,250",,2010,175,신림동,139.5,3,6,단독,11620
"67,000",,2010,140,신림동,208.83,3,7,단독,11620
"42,700",,2010,101,신림동,149.97,3,8,다가구,11620
"60,000",,2010,150.1,신림동,155.41,3,8,단독,11620
"34,000",,2010,142,신림동,136.17,3,8,단독,11620
"54,956",1993,2010,165,신림동,346.63,3,9,단독,11620
"73,587",1991,2010,168.6,신림동,249.84,3,9,단독,11620
"39,500",,2010,120,신림동,178.02,3,10,단독,11620
"62,750",1988,2010,175.2,신림동,247.44,3,12,단독,11620
"51,600",,2010,155,신림동,228.51,3,17,단독,11620
"79,421",,2010,215,신림동,328.5,3,17,다가구,11620
"57,600",2001,2010,150.1,신림동,196.56,3,18,단독,11620
"78,000",,2010,198.4,신림동,115.04,3,18,단독,11620
"63,000",1978,2010,172,신림동,130.9,3,22,단독,11620
"60,000",1970,2010,119,신림동,54.48,3,22,단독,11620
"37,200",,2010,116,신림동,149.15,3,23,다가구,11620
"54,900",1997,2010,136,신림동,285.21,3,23,단독,11620
"77,000",,2010,138.8,신림동,299.52,3,23,단독,11620
"76,250",,2010,144.1,신림동,215.82,3,25,단독,11620
"56,000",,2010,145,신림동,297.45,3,30,다가구,11620
"42,000",1989,2010,104.1,신림동,157.5,3,30,단독,11620
"45,500",,2010,97,신림동,55.6,3,30,단독,11620
"65,000",1997,2010,133.6,신림동,184.4,3,31,단독,11620
"89,000",,2010,145,남현동,232.84,3,3,다가구,11620
"74,000",,2010,136.3,남현동,243.54,3,15,다가구,11620
"113,000",,2010,178.6,남현동,247.05,3,23,단독,11620
"45,000",,2010,114,봉천동,168.3,4,2,단독,11620
"55,500",,2010,93.6,봉천동,175.91,4,4,다가구,11620
"80,000",,2010,255,봉천동,246.86,4,6,단독,11620
"50,500",,2010,122,봉천동,253.3,4,8,다가구,11620
"290,000",1996,2010,332.9,봉천동,657.54,4,9,단독,11620
"35,000",,2010,81,봉천동,111.98,4,13,다가구,11620
"83,000",1973,2010,132,봉천동,171.08,4,15,단독,11620
"66,600",,2010,112,봉천동,119.77,4,15,단독,11620
"56,000",1972,2010,106,봉천동,157.42,4,16,단독,11620
"123,000",,2010,214,봉천동,259.86,4,22,단독,11620
"48,500",,2010,155,봉천동,234.23,4,22,단독,11620
"89,000",2003,2010,106,봉천동,177.28,4,28,단독,11620
"18,000",,2010,49.55,봉천동,31.8,4,30,단독,11620
