거래금액,건축년도,년,대지면적,법정동,연면적,월,일,주택유형,지역코드
"188,051",1990,2010,177.9,방배동,249.6,1,19,단독,11650
"216,134",1996,2010,184.1,방배동,419.15,1,19,다가구,11650
"205,397",1983,2010,184.5,방배동,255.51,1,19,단독,11650
"271,694",1982,2010,254.9,방배동,286.25,1,19,단독,11650
"154,000",,2010,282,방배동,216.97,1,26,단독,11650
"130,000",,2010,398,내곡동,195.8,1,20,단독,11650
"175,000",,2010,367,염곡동,150.91,1,19,단독,11650
"77,000",2000,2010,60,신원동,129.3,1,7,단독,11650
"139,500",,2010,166.5,방배동,374.52,2,1,다가구,11650
"250,000",1977,2010,317,방배동,329.15,2,3,단독,11650
"61,500",,2010,91.8,방배동,132.11,2,3,단독,11650
"110,000",,2010,145,방배동,147.9,2,5,단독,11650
"62,400",,2010,129,방배동,66.71,2,19,단독,11650
"120,000",,2010,182.1,방배동,412.16,2,24,다가구,11650
"119,300",,2010,166.1,방배동,216.37,2,25,단독,11650
"155,000",,2010,221,반포동,298.56,2,19,다가구,11650
"115,000",,2010,166.9,반포동,173.33,2,19,단독,11650
"89,500",,2010,149,방배동,221.85,3,4,단독,11650
"97,000",,2010,149.1,방배동,163.97,3,16,단독,11650
"151,700",1977,2010,193.2,방배동,235.2,3,24,단독,11650
"127,500",,2010,183.4,방배동,418.82,3,27,다가구,11650
"78,500",1996,2010,214.5,양재동,513.68,3,31,다가구,11650
"250,000",1989,2010,248,반포동,650.72,3,11,다가구,11650
"100,000",,2010,251,내곡동,105.66,3,24,단독,11650
"149,468",1984,2010,145.5,방배동,221.63,4,8,단독,11650
"113,000",,2010,174.8,방배동,377.27,4,12,다가구,11650
"182,549",1983,2010,165.4,방배동,246.21,4,19,단독,11650
"79,000",,2010,119,방배동,199,4,24,단독,11650
"168,000",2003,2010,343,우면동,271.84,4,20,단독,11650
"265,000",,2010,261.6,잠원동,622.08,4,9,다가구,11650
"237,500",,2010,225.6,잠원동,651.44,4,26,다가구,11650
"147,500",1996,2010,191.4,반포동,404.75,4,10,다가구,11650
"235,000",,2010,401.3,서초동,314.37,4,6,단독,11650
"67,900",1980,2010,104.3,서초동,140.66,4,9,단독,11650
"220,000",1985,2010,464,내곡동,156.76,4,15,단독,11650
"127,900",,2010,307,신원동,215.54,4,21,단독,11650
"410,000",1977,2010,582,방배동,319.3,5,3,단독,11650
"290,310",1975,2010,218,방배동,204.04,5,14,단독,11650
"119,000",1994,2010,176.5,방배동,298.88,5,19,다가구,11650
"110,000",1996,2010,167.7,방배동,355.52,5,24,단독,11650
"118,000",1974,2010,165.3,잠원동,83.77,5,20,단독,11650
"517,000",,2010,521.5,반포동,659.1,5,3,다가구,11650
"147,500",,2010,208.1,반포동,148.7,5,27,단독,11650
"153,000",1996,2010,189.8,서초동,419.88,5,7,다가구,11650
"317,000",,2010,528.9,서초동,325.68,5,11,단독,11650
"105,000",1979,2010,144.7,방배동,186.12,6,18,단독,11650
"61,000",,2010,132,방배동,193.79,6,28,다가구,11650
"61,000",1974,2010,116,방배동,82.48,6,30,단독,11650
"217,000",1995,2010,239.4,양재동,521.43,6,28,다가구,11650
"170,000",1995,2010,238.5,양재동,527.36,6,30,다가구,11650
"170,000",,2010,181,서초동,374.2,6,17,다가구,11650
"263,000",1997,2010,301.8,방배동,579.62,7,2,다가구,11650
"136,500",1983,2010,178.2,방배동,256.39,7,8,다가구,11650
"109,000",1987,2010,158,방배동,241.38,7,21,단독,11650
"283,416",1982,2010,223.1,방배동,252.53,7,26,단독,11650
"147,000",1990,2010,198.7,방배동,563.2,7,27,다가구,11650
"132,000",1996,2010,180,잠원동,372.6,7,15,다가구,11650
"160,000",1974,2010,228.7,잠원동,168.4,7,28,단독,11650
"250,000",1974,2010,314.1,반포동,155.8,7,14,단독,11650
"157,850",1993,2010,179.6,서초동,540.8,7,8,다가구,11650
"188,000",1997,2010,181.5,서초동,418.08,7,29,다가구,11650
"114,000",1979,2010,335,신원동,197.3,7,15,단독,11650
"72,000",1988,2010,174.3,방배동,244.8,8,10,단독,11650
"70,000",1979,2010,172,방배동,105.45,8,17,단독,11650
"81,000",1986,2010,136.7,방배동,207.6,8,22,단독,11650
"145,000",1990,2010,325,방배동,199.34,8,25,단독,11650
"120,000",1990,2010,306,방배동,198.8,8,27,단독,11650
"129,000",1979,2010,170.3,방배동,208.26,8,30,단독,11650
"140,000",1978,2010,180.4,반포동,126.65,8,8,다가구,11650
"270,004",1982,2010,223.2,방배동,252.5,9,13,단독,11650
"269,760",1982,2010,223,방배동,248.16,9,13,단독,11650
"94,000",1978,2010,174,방배동,190.87,9,17,단독,11650
"125,000",1993,2010,178,방배동,323.55,9,28,다가구,11650
"50,000",1992,2010,120.8,양재동,193.26,9,8,다가구,11650
"87,800",1988,2010,128.4,반포동,176.19,9,28,단독,11650
"175,000",2004,2010,338.4,서초동,528.66,9,17,다가구,11650
"100,000",1982,2010,355,신원동,162.54,9,30,단독,11650
"100,000",1983,2010,182,방배동,225.45,10,15,단독,11650
"165,000",1990,2010,308,방배동,199.86,10,25,단독,11650
"194,000",1997,2010,327.2,방배동,659.67,10,25,다가구,11650
"243,354",1995,2010,212.5,방배동,416.52,10,26,다가구,11650
"358,621",1995,2010,336.2,방배동,657.14,10,26,다가구,11650
"143,715",,2010,198,방배동,145.79,10,27,단독,11650
"288,576",1980,2010,267.1,방배동,328.53,10,29,단독,11650
"187,200",1981,2010,325.9,방배동,298.47,10,29,단독,11650
"226,558",1982,2010,191.3,방배동,253.79,10,29,단독,11650
"164,500",1994,2010,213.4,방배동,437.43,10,30,다가구,11650
"52,000",1993,2010,80,잠원동,133.35,10,12,단독,11650
"130,500",1991,2010,169.4,반포동,322.62,10,11,다가구,11650
"216,061",2002,2010,330,서초동,567.82,10,28,다가구,11650
"149,500",1995,2010,185.3,방배동,429.6,11,1,다가구,11650
"179,000",2002,2010,178.8,방배동,441.86,11,1,다가구,11650
"122,000",1982,2010,171.9,방배동,240.4,11,4,단독,11650
"110,460",1977,2010,173.8,방배동,160.21,11,8,단독,11650
"143,000",1995,2010,190.1,방배동,419.22,11,12,다가구,11650
"117,500",1978,2010,164.5,방배동,151.74,11,19,단독,11650
"220,094",1997,2010,351.6,양재동,656.4,11,18,다가구,11650
"149,000",1980,2010,398,우면동,155.15,11,25,단독,11650
"320,000",1989,2010,497.36,서초동,317.7,11,16,단독,11650
"218,138",1983,2010,380,염곡동,164.2,11,1,단독,11650
"265,240",1982,2010,247.5,방배동,292.07,12,1,단독,11650
"61,245",2002,2010,51.13,방배동,129.59,12,2,단독,11650
