계약면적,년,법정동,보증금액,월,월세금액,일,지역코드,건축년도
50,2011,하왕십리동,"1,000",1,35,6,11200,
41.44,2011,하왕십리동,"5,300",1,0,13,11200,1987
23.93,2011,하왕십리동,"4,000",1,0,14,11200,1988
42.01,2011,하왕십리동,"6,500",1,0,18,11200,1989
50.6,2011,하왕십리동,"1,000",1,40,20,11200,1987
34.29,2011,하왕십리동,500,1,30,20,11200,
30.78,2011,하왕십리동,"8,000",1,0,21,11200,1988
23.93,2011,하왕십리동,"4,000",1,0,22,11200,1988
53.25,2011,하왕십리동,"5,500",1,0,25,11200,1988
39.94,2011,하왕십리동,"5,000",1,25,27,11200,1989
19.3,2011,홍익동,"2,000",1,40,8,11200,1992
49.23,2011,홍익동,"7,500",1,5,20,11200,1991
37.24,2011,홍익동,"8,000",1,0,29,11200,1990
33,2011,홍익동,"5,500",1,20,29,11200,1981
30,2011,홍익동,"6,000",1,0,29,11200,1997
26,2011,도선동,"6,000",1,0,5,11200,1972
47.52,2011,도선동,"2,000",1,25,7,11200,1952
25,2011,도선동,"4,000",1,0,8,11200,1993
38,2011,도선동,"5,000",1,0,8,11200,
14,2011,도선동,"2,000",1,0,12,11200,
37,2011,도선동,0,1,5,15,11200,1965
42.28,2011,마장동,"3,000",1,50,4,11200,1962
66.15,2011,마장동,"8,000",1,40,4,11200,1977
23,2011,마장동,"5,000",1,20,4,11200,2010
30,2011,마장동,"7,000",1,0,6,11200,2017
24,2011,마장동,"1,000",1,40,7,11200,1962
15,2011,마장동,"7,000",1,0,8,11200,2010
66,2011,마장동,"4,000",1,35,8,11200,1985
18,2011,마장동,"1,000",1,40,10,11200,
53.59,2011,마장동,"9,000",1,0,11,11200,1988
46,2011,마장동,"1,000",1,60,11,11200,1976
47,2011,마장동,"1,000",1,40,13,11200,1996
20,2011,마장동,"2,500",1,35,15,11200,1977
40.35,2011,마장동,"4,000",1,0,15,11200,1998
15.12,2011,마장동,"1,000",1,50,20,11200,1977
149.31,2011,마장동,"3,000",1,0,21,11200,1977
113.4,2011,마장동,"2,000",1,35,21,11200,1984
14,2011,마장동,"1,000",1,50,22,11200,1992
