건축년도,계약면적,년,법정동,보증금액,월,월세금액,일,지역코드
1995,26.4,2011,성북동,"6,000",1,0,6,11290
,66.12,2011,성북동,"3,000",1,0,10,11290
1949,50,2011,성북동,"5,000",1,30,10,11290
1992,40,2011,성북동,"7,000",1,0,14,11290
,33,2011,성북동,"1,000",1,0,14,11290
1993,65.19,2011,성북동,"4,000",1,0,14,11290
1995,81.9,2011,성북동,"11,000",1,0,14,11290
1956,30,2011,성북동,"5,000",1,0,15,11290
1954,20,2011,성북동,500,1,35,16,11290
,23.9,2011,성북동,300,1,25,17,11290
1996,112,2011,성북동,"9,500",1,0,18,11290
1997,76.03,2011,성북동,"10,000",1,0,21,11290
1957,29.19,2011,성북동,"5,000",1,0,22,11290
1995,35,2011,성북동,"4,000",1,0,25,11290
1970,82.6,2011,성북동,"4,500",1,0,25,11290
1998,88,2011,성북동,"13,000",1,0,27,11290
2010,16.8,2011,성북동1가,"2,000",1,30,4,11290
1993,47.01,2011,성북동1가,"5,000",1,20,5,11290
2010,23,2011,성북동1가,"3,000",1,35,5,11290
1968,84,2011,성북동1가,"3,000",1,80,6,11290
2010,16,2011,성북동1가,"2,000",1,30,7,11290
2010,20,2011,성북동1가,"2,000",1,30,8,11290
2010,18,2011,성북동1가,"5,500",1,0,11,11290
2007,35.6,2011,성북동1가,"2,500",1,60,17,11290
2010,18.2,2011,성북동1가,"6,000",1,10,22,11290
2000,27,2011,성북동1가,"2,000",1,30,24,11290
1994,21,2011,성북동1가,"6,000",1,0,27,11290
2009,26.4,2011,성북동1가,"3,000",1,25,28,11290
1997,32,2011,동소문동1가,"1,000",1,55,3,11290
1989,13,2011,동소문동1가,"5,000",1,0,7,11290
1993,33,2011,동소문동1가,"2,000",1,20,11,11290
2002,50,2011,동소문동1가,"15,000",1,0,13,11290
1989,15,2011,동소문동1가,"6,500",1,0,15,11290
2009,16,2011,동소문동1가,"4,500",1,0,19,11290
1993,74,2011,동소문동2가,"8,000",1,0,31,11290
2000,78.1,2011,동소문동4가,"1,000",1,50,3,11290
1984,50,2011,동소문동4가,"3,000",1,45,3,11290
2008,16,2011,동소문동4가,"6,000",1,0,3,11290
2004,52.89,2011,동소문동4가,"11,000",1,0,3,11290
2010,81.96,2011,동소문동4가,"2,500",1,42,8,11290
2009,17,2011,동소문동4가,500,1,45,8,11290
2008,23,2011,동소문동4가,"2,000",1,45,10,11290
2010,10.8,2011,동소문동4가,"2,500",1,39,13,11290
2008,23,2011,동소문동4가,"3,000",1,30,13,11290
1995,23,2011,동소문동4가,"5,000",1,0,14,11290
2001,29.7,2011,동소문동4가,"6,000",1,0,14,11290
2010,20,2011,동소문동4가,"2,000",1,45,16,11290
2010,23,2011,동소문동4가,"1,000",1,55,19,11290
2009,19.8,2011,동소문동4가,"2,000",1,30,21,11290
2000,33,2011,동소문동4가,"3,500",1,30,22,11290
1995,16.5,2011,동소문동4가,"3,000",1,25,25,11290
2010,20,2011,동소문동4가,500,1,52,27,11290
2010,33,2011,동소문동4가,"1,500",1,43,28,11290
2002,27,2011,동소문동4가,"2,000",1,35,31,11290
2003,30,2011,동소문동5가,"6,000",1,10,13,11290
,63.1,2011,동소문동6가,"10,000",1,0,10,11290
1992,20,2011,동소문동6가,"6,500",1,0,10,11290
1998,20,2011,동소문동6가,"5,000",1,0,13,11290
1994,77.6,2011,동소문동6가,"3,000",1,40,13,11290
1992,56.13,2011,동소문동6가,"10,000",1,0,15,11290
1997,20,2011,동소문동6가,"2,000",1,40,19,11290
1994,48.04,2011,동소문동6가,"9,000",1,0,25,11290
2011,20,2011,삼선동1가,500,1,55,3,11290
2007,59.52,2011,삼선동1가,"15,000",1,0,10,11290
1995,68,2011,삼선동1가,"3,000",1,0,10,11290
2010,15,2011,삼선동1가,"6,000",1,0,10,11290
1976,84,2011,삼선동1가,500,1,58,15,11290
1976,14,2011,삼선동1가,"1,000",1,45,15,11290
1984,21,2011,삼선동1가,"2,000",1,43,17,11290
1991,29,2011,삼선동1가,"8,000",1,0,20,11290
1970,45,2011,삼선동1가,"5,000",1,0,20,11290
2001,75,2011,삼선동1가,"2,000",1,40,24,11290
1987,108,2011,삼선동1가,"14,000",1,0,24,11290
1992,46,2011,삼선동1가,"2,000",1,50,25,11290
2011,20,2011,삼선동1가,"6,000",1,0,28,11290
1991,55,2011,삼선동1가,"2,000",1,30,29,11290
1991,18,2011,삼선동1가,300,1,20,29,11290
1997,35,2011,삼선동2가,"3,000",1,30,3,11290
1992,25,2011,삼선동2가,500,1,40,7,11290
1994,54,2011,삼선동2가,"6,500",1,0,11,11290
1993,68,2011,삼선동2가,"10,000",1,0,12,11290
1995,68,2011,삼선동2가,"7,000",1,0,19,11290
1996,30,2011,삼선동2가,"3,000",1,0,19,11290
1993,18,2011,삼선동2가,"4,000",1,10,19,11290
2003,30,2011,삼선동2가,"5,500",1,0,20,11290
2001,35,2011,삼선동2가,"6,500",1,0,21,11290
1990,33,2011,삼선동2가,"1,000",1,30,24,11290
2003,30,2011,삼선동2가,"1,000",1,40,25,11290
1996,51.31,2011,삼선동2가,"3,000",1,40,25,11290
1995,92.94,2011,삼선동2가,"2,000",1,45,26,11290
1989,39,2011,삼선동2가,"4,000",1,0,28,11290
1993,133,2011,삼선동3가,"8,000",1,0,11,11290
,22,2011,삼선동3가,"5,000",1,0,13,11290
,46,2011,삼선동3가,"5,000",1,0,27,11290
2001,36,2011,삼선동4가,"6,000",1,10,4,11290
,30,2011,삼선동4가,"5,500",1,0,9,11290
2009,18,2011,삼선동4가,"1,000",1,50,14,11290
2010,23,2011,삼선동4가,"6,000",1,0,16,11290
2001,15,2011,삼선동4가,500,1,39,19,11290
1993,51,2011,삼선동4가,"11,000",1,0,22,11290
2010,15,2011,삼선동4가,"2,000",1,33,25,11290
2010,24,2011,삼선동4가,"2,000",1,45,25,11290
2010,15,2011,삼선동4가,"2,000",1,30,25,11290
2008,30,2011,삼선동4가,"3,000",1,30,26,11290
2010,15,2011,삼선동4가,"6,000",1,0,28,11290
1993,24,2011,삼선동5가,500,1,35,3,11290
2008,24,2011,삼선동5가,"4,000",1,0,4,11290
,52,2011,삼선동5가,"3,000",1,50,5,11290
1995,30,2011,삼선동5가,"6,500",1,0,6,11290
2010,21,2011,삼선동5가,"1,000",1,40,8,11290
2010,21,2011,삼선동5가,"1,000",1,45,13,11290
2010,21,2011,삼선동5가,"6,800",1,0,15,11290
2010,24,2011,삼선동5가,500,1,60,17,11290
2010,23,2011,삼선동5가,"2,000",1,45,17,11290
2001,15,2011,삼선동5가,"4,500",1,0,21,11290
1997,33,2011,삼선동5가,500,1,42,21,11290
1997,129.46,2011,삼선동5가,"15,000",1,0,21,11290
1990,36,2011,삼선동5가,"1,000",1,45,26,11290
1987,33,2011,삼선동5가,500,1,45,28,11290
2010,15,2011,동선동1가,"6,000",1,0,3,11290
2010,15,2011,동선동1가,"6,000",1,0,18,11290
2010,20,2011,동선동1가,"3,000",1,30,20,11290
1993,45,2011,동선동1가,"8,000",1,0,20,11290
2008,119.2,2011,동선동2가,"2,000",1,35,5,11290
1994,27,2011,동선동2가,"3,000",1,0,6,11290
2010,23.4,2011,동선동2가,"2,000",1,42,6,11290
