건축년도,계약면적,년,법정동,보증금액,월,월세금액,일,지역코드
2010,13,2011,월계동,"5,000",1,0,2,11350
,51.41,2011,월계동,"4,000",1,0,2,11350
1997,64.41,2011,월계동,500,1,40,2,11350
1997,19.8,2011,월계동,"3,800",1,0,3,11350
2010,23,2011,월계동,"2,500",1,33,4,11350
1998,21,2011,월계동,"2,000",1,33,4,11350
2009,15,2011,월계동,"3,000",1,0,5,11350
1995,152.46,2011,월계동,"4,500",1,0,6,11350
1996,13,2011,월계동,"2,000",1,18,7,11350
2010,13,2011,월계동,"2,000",1,38,8,11350
1993,19.8,2011,월계동,500,1,40,8,11350
,66.42,2011,월계동,"8,000",1,0,8,11350
1991,23.1,2011,월계동,500,1,35,9,11350
1998,10.08,2011,월계동,500,1,43,10,11350
,96.66,2011,월계동,"2,800",1,0,12,11350
2001,52.2,2011,월계동,"9,000",1,0,13,11350
1985,48.02,2011,월계동,"8,000",1,0,18,11350
,40,2011,월계동,"5,000",1,0,19,11350
,26.4,2011,월계동,100,1,12,20,11350
,81.84,2011,월계동,"3,500",1,5,20,11350
2010,13,2011,월계동,"2,000",1,38,21,11350
2010,13,2011,월계동,"4,000",1,0,22,11350
1987,35,2011,월계동,"4,000",1,0,24,11350
1990,32,2011,월계동,"5,000",1,0,24,11350
1996,33,2011,월계동,500,1,30,25,11350
2010,16.5,2011,월계동,"3,000",1,30,25,11350
1986,40,2011,월계동,500,1,42,25,11350
2017,67.27,2011,월계동,"9,500",1,0,29,11350
2010,13,2011,월계동,"1,000",1,45,31,11350
1989,42.9,2011,공릉동,"7,500",1,0,3,11350
1977,67.04,2011,공릉동,"5,500",1,0,3,11350
2010,197.3,2011,공릉동,"6,000",1,0,3,11350
2009,25,2011,공릉동,"5,800",1,0,3,11350
1999,101.43,2011,공릉동,"4,000",1,15,3,11350
1992,76.8,2011,공릉동,"2,000",1,40,4,11350
1994,45.07,2011,공릉동,"8,000",1,0,5,11350
2010,26.4,2011,공릉동,"6,000",1,0,5,11350
2004,115.81,2011,공릉동,"1,000",1,50,5,11350
1993,66.03,2011,공릉동,"5,000",1,5,6,11350
1989,79.61,2011,공릉동,500,1,30,8,11350
1989,57.17,2011,공릉동,"5,000",1,0,8,11350
,33,2011,공릉동,"2,000",1,0,10,11350
1990,30,2011,공릉동,300,1,25,12,11350
2009,114.08,2011,공릉동,"6,000",1,0,12,11350
1989,30,2011,공릉동,"2,000",1,0,12,11350
2000,82.38,2011,공릉동,"4,000",1,50,12,11350
1993,40,2011,공릉동,"5,500",1,0,13,11350
2008,19.8,2011,공릉동,"5,000",1,0,13,11350
2010,98.66,2011,공릉동,"1,000",1,35,16,11350
2013,65.42,2011,공릉동,"6,000",1,0,16,11350
2009,20,2011,공릉동,"4,500",1,0,17,11350
2010,57.2,2011,공릉동,500,1,40,17,11350
2009,115.73,2011,공릉동,"5,800",1,0,17,11350
2004,103.62,2011,공릉동,"5,000",1,20,17,11350
2016,80.43,2011,공릉동,"5,800",1,0,18,11350
1992,33,2011,공릉동,"4,000",1,0,18,11350
2009,20,2011,공릉동,"5,000",1,0,18,11350
2009,21,2011,공릉동,"1,000",1,40,18,11350
,106.4,2011,공릉동,"11,000",1,0,19,11350
1993,40,2011,공릉동,"1,000",1,35,19,11350
2006,116.24,2011,공릉동,"1,000",1,44,19,11350
1978,23.1,2011,공릉동,200,1,15,19,11350
2010,20,2011,공릉동,"2,000",1,25,19,11350
2006,121.04,2011,공릉동,"6,000",1,0,19,11350
