건축년도,계약면적,년,법정동,보증금액,월,월세금액,일,지역코드
1993,56.63,2011,수색동,"5,500",1,0,7,11380
1969,66,2011,수색동,500,1,30,10,11380
1977,89.1,2011,수색동,500,1,40,11,11380
1993,49.8,2011,수색동,"1,000",1,35,12,11380
1974,79.34,2011,수색동,200,1,35,26,11380
,41.92,2011,수색동,"6,500",1,0,27,11380
,48,2011,수색동,"1,000",1,40,29,11380
,72.53,2011,녹번동,"10,000",1,10,1,11380
1960,16.5,2011,녹번동,300,1,32,2,11380
1993,47.15,2011,녹번동,"2,000",1,0,3,11380
1996,28,2011,녹번동,"4,000",1,0,5,11380
1992,75.82,2011,녹번동,"5,000",1,50,6,11380
1994,30,2011,녹번동,"1,000",1,30,8,11380
,36.98,2011,녹번동,"3,000",1,0,8,11380
2001,48,2011,녹번동,"8,500",1,0,10,11380
,41.16,2011,녹번동,"1,000",1,30,10,11380
,33.55,2011,녹번동,"2,300",1,0,11,11380
1995,34.72,2011,녹번동,"3,000",1,0,12,11380
,41.2,2011,녹번동,"7,000",1,0,13,11380
1994,68.04,2011,녹번동,"9,000",1,10,13,11380
2006,98.89,2011,녹번동,"15,000",1,0,14,11380
2009,28.8,2011,녹번동,500,1,0,15,11380
,34.22,2011,녹번동,"5,000",1,0,15,11380
1993,36.78,2011,녹번동,500,1,40,16,11380
1991,32,2011,녹번동,"4,500",1,0,17,11380
1994,36,2011,녹번동,"5,500",1,0,17,11380
1994,35.91,2011,녹번동,"6,000",1,0,18,11380
,78.84,2011,녹번동,"2,000",1,60,20,11380
1993,29,2011,녹번동,"1,000",1,20,20,11380
1992,47.75,2011,녹번동,"2,000",1,35,20,11380
2017,54.27,2011,녹번동,"2,500",1,45,21,11380
1984,59.36,2011,녹번동,"8,500",1,0,22,11380
1991,66.78,2011,녹번동,"3,500",1,0,24,11380
1993,40,2011,녹번동,"2,000",1,32,24,11380
1991,30,2011,녹번동,"1,200",1,0,24,11380
1993,18,2011,녹번동,"2,000",1,0,24,11380
1992,23.85,2011,녹번동,"3,000",1,0,26,11380
2017,20,2011,녹번동,"2,500",1,0,26,11380
1993,39.78,2011,녹번동,"2,000",1,25,27,11380
1994,80.91,2011,녹번동,"7,500",1,0,31,11380
1993,40.21,2011,불광동,"3,000",1,35,3,11380
1989,34.12,2011,불광동,"1,000",1,20,3,11380
2008,18,2011,불광동,"5,000",1,0,4,11380
1993,43.35,2011,불광동,"5,000",1,0,4,11380
1993,43.35,2011,불광동,"5,000",1,0,4,11380
1996,38,2011,불광동,"1,000",1,40,5,11380
1987,24.66,2011,불광동,"3,500",1,0,5,11380
1971,10,2011,불광동,"2,000",1,0,6,11380
1991,36,2011,불광동,"5,000",1,0,6,11380
1991,49.67,2011,불광동,"8,500",1,0,7,11380
1992,61.33,2011,불광동,"7,500",1,0,8,11380
1991,71.05,2011,불광동,"8,000",1,0,8,11380
1992,43.27,2011,불광동,"2,000",1,20,9,11380
1993,17,2011,불광동,500,1,25,9,11380
2007,79.05,2011,불광동,"16,000",1,0,10,11380
2002,54.74,2011,불광동,"7,000",1,0,10,11380
1989,59.22,2011,불광동,"6,000",1,0,11,11380
1989,66.12,2011,불광동,"8,500",1,0,11,11380
1995,30,2011,불광동,"3,500",1,0,12,11380
1978,68.1,2011,불광동,"9,000",1,0,14,11380
1993,41.58,2011,불광동,"3,700",1,0,14,11380
2010,83.22,2011,불광동,"14,000",1,0,15,11380
1994,29,2011,불광동,500,1,30,15,11380
,80.48,2011,불광동,"11,000",1,0,16,11380
1994,48.17,2011,불광동,"6,500",1,0,17,11380
1993,48,2011,불광동,"7,000",1,0,17,11380
1990,41.17,2011,불광동,"5,500",1,0,17,11380
1994,33.3,2011,불광동,"3,000",1,0,17,11380
1992,55.98,2011,불광동,"1,000",1,45,17,11380
2010,53.76,2011,불광동,"10,000",1,0,17,11380
1993,98.64,2011,불광동,"3,000",1,0,18,11380
,36,2011,불광동,"1,000",1,35,19,11380
,36.5,2011,불광동,"1,000",1,33,19,11380
1988,39,2011,불광동,"5,500",1,0,19,11380
1993,55.57,2011,불광동,"2,000",1,50,19,11380
1993,35,2011,불광동,"1,000",1,30,20,11380
1989,49.85,2011,불광동,"4,500",1,0,20,11380
1993,43.25,2011,불광동,"1,000",1,40,21,11380
1990,38,2011,불광동,"1,000",1,35,22,11380
2010,14,2011,불광동,"5,000",1,0,22,11380
,34.82,2011,불광동,"4,000",1,0,22,11380
1989,40,2011,불광동,"3,000",1,5,24,11380
1992,76.32,2011,불광동,"10,000",1,0,24,11380
1991,49.39,2011,불광동,"1,000",1,50,25,11380
2008,49.83,2011,불광동,"12,000",1,0,25,11380
2008,49.83,2011,불광동,"11,000",1,0,25,11380
1993,69.84,2011,불광동,"10,000",1,0,26,11380
1989,36.3,2011,불광동,"3,000",1,23,26,11380
2008,74.93,2011,불광동,"14,000",1,0,26,11380
2001,66.88,2011,불광동,"11,000",1,0,27,11380
1985,39.44,2011,불광동,"2,500",1,0,27,11380
1997,33,2011,불광동,"1,000",1,25,27,11380
,43.76,2011,불광동,"3,200",1,0,28,11380
1999,47.06,2011,불광동,"3,000",1,30,28,11380
2015,66.42,2011,불광동,"4,000",1,0,28,11380
2009,22.3,2011,불광동,"5,000",1,0,28,11380
1986,121.38,2011,불광동,"13,000",1,0,29,11380
1963,59.5,2011,불광동,"10,000",1,0,29,11380
1991,59.46,2011,불광동,"9,500",1,0,29,11380
1991,104.16,2011,불광동,"7,000",1,0,31,11380
1996,39,2011,불광동,"2,000",1,35,31,11380
,49.5,2011,불광동,"1,000",1,28,31,11380
1981,33.3,2011,불광동,500,1,25,31,11380
,158.46,2011,갈현동,"9,000",1,0,4,11380
1988,45,2011,갈현동,"1,000",1,40,5,11380
,40,2011,갈현동,"3,000",1,20,5,11380
1989,28.35,2011,갈현동,500,1,20,6,11380
2010,16,2011,갈현동,"5,500",1,0,6,11380
2000,69.94,2011,갈현동,"10,000",1,0,6,11380
1997,50.36,2011,갈현동,"6,000",1,0,7,11380
2015,34.33,2011,갈현동,"1,500",1,20,8,11380
1989,34,2011,갈현동,"8,000",1,0,13,11380
1994,36,2011,갈현동,"4,000",1,0,13,11380
1990,139,2011,갈현동,"6,000",1,0,14,11380
1989,39.2,2011,갈현동,500,1,32,14,11380
1977,33,2011,갈현동,200,1,40,14,11380
1987,59.46,2011,갈현동,"2,500",1,0,15,11380
2009,18,2011,갈현동,"1,000",1,33,15,11380
1989,65.1,2011,갈현동,"3,300",1,0,15,11380
1993,82.5,2011,갈현동,"7,000",1,0,16,11380
1991,55.54,2011,갈현동,"5,000",1,0,16,11380
1996,46.77,2011,갈현동,"7,000",1,0,17,11380
2010,40,2011,갈현동,"5,500",1,0,17,11380
1993,67.05,2011,갈현동,"9,000",1,0,18,11380
1991,36,2011,갈현동,"5,000",1,0,18,11380
1992,43.9,2011,갈현동,"1,000",1,50,18,11380
1990,33.92,2011,갈현동,"3,000",1,5,18,11380
1990,33.92,2011,갈현동,"3,000",1,5,18,11380
1997,62.3,2011,갈현동,"1,000",1,45,20,11380
1992,20,2011,갈현동,"2,500",1,12,20,11380
1989,35,2011,갈현동,"3,500",1,0,21,11380
1995,49.58,2011,갈현동,"6,000",1,0,22,11380
1991,49.29,2011,갈현동,"5,000",1,0,22,11380
,43.2,2011,갈현동,"5,000",1,0,24,11380
2010,75.6,2011,갈현동,"12,000",1,0,24,11380
1987,72.04,2011,갈현동,"8,000",1,0,24,11380
,43.2,2011,갈현동,"5,500",1,0,25,11380
1995,40,2011,갈현동,"3,000",1,30,25,11380
2001,88.47,2011,갈현동,"10,000",1,0,26,11380
1993,40,2011,갈현동,"2,500",1,10,27,11380
2010,20,2011,갈현동,"2,000",1,35,27,11380
,43.2,2011,갈현동,"5,500",1,0,28,11380
1991,81.74,2011,갈현동,"1,500",1,30,28,11380
1989,39.66,2011,갈현동,500,1,38,28,11380
1990,67.26,2011,갈현동,500,1,30,28,11380
1988,16.55,2011,갈현동,"2,000",1,40,29,11380
2010,23,2011,갈현동,"3,000",1,28,30,11380
1989,75.48,2011,갈현동,"10,000",1,0,31,11380
1988,70.58,2011,갈현동,"9,000",1,0,31,11380
1995,52.89,2011,갈현동,"1,000",1,45,31,11380
1992,42.5,2011,구산동,"5,500",1,0,5,11380
2001,63,2011,구산동,"1,000",1,35,6,11380
1992,70.5,2011,구산동,"7,000",1,0,6,11380
1994,45,2011,구산동,"1,000",1,40,10,11380
1978,97.38,2011,구산동,"2,000",1,20,10,11380
1999,79,2011,구산동,"12,500",1,0,12,11380
1989,35.88,2011,구산동,"4,500",1,0,19,11380
1986,71.04,2011,구산동,"8,000",1,0,19,11380
1996,46,2011,구산동,"2,000",1,0,21,11380
2014,90.45,2011,구산동,"16,000",1,0,27,11380
1993,35.2,2011,구산동,"1,000",1,30,28,11380
1988,81.51,2011,구산동,"2,000",1,60,29,11380
,18.88,2011,구산동,"8,000",1,0,29,11380
1990,42.9,2011,구산동,"1,600",1,0,30,11380
1991,82.35,2011,구산동,"4,000",1,0,30,11380
2010,22.8,2011,대조동,"7,000",1,0,1,11380
2010,169,2011,대조동,"2,000",1,35,3,11380
1989,33.96,2011,대조동,"5,000",1,0,3,11380
1994,40.89,2011,대조동,"6,000",1,0,4,11380
1991,62.74,2011,대조동,"9,000",1,0,4,11380
2014,72.4,2011,대조동,"5,000",1,0,5,11380
1992,45.42,2011,대조동,"6,000",1,10,5,11380
1993,51.31,2011,대조동,"1,500",1,50,8,11380
1994,103,2011,대조동,"2,500",1,35,8,11380
1996,36,2011,대조동,500,1,30,8,11380
1996,39.66,2011,대조동,"1,500",1,45,8,11380
1996,63.05,2011,대조동,"8,000",1,0,8,11380
1996,71.49,2011,대조동,"11,000",1,0,8,11380
2009,64.26,2011,대조동,"12,000",1,0,8,11380
1990,34.23,2011,대조동,"6,500",1,0,9,11380
1994,50,2011,대조동,"8,500",1,0,10,11380
2016,95.54,2011,대조동,"9,500",1,0,10,11380
1963,41,2011,대조동,"2,500",1,0,10,11380
1963,41,2011,대조동,"3,200",1,0,10,11380
2004,81.03,2011,대조동,"14,000",1,0,11,11380
2002,27,2011,대조동,"3,000",1,20,11,11380
1988,41,2011,대조동,"5,000",1,10,12,11380
2012,30.15,2011,대조동,"6,000",1,0,12,11380
1989,47.18,2011,대조동,"3,000",1,30,13,11380
2011,30,2011,대조동,"1,000",1,0,13,11380
2017,82.38,2011,대조동,"7,500",1,0,14,11380
1994,40.93,2011,대조동,"4,000",1,0,14,11380
1989,87.51,2011,대조동,400,1,40,14,11380
1991,54.15,2011,대조동,"2,000",1,30,15,11380
1997,33,2011,대조동,"5,000",1,5,22,11380
1990,74.88,2011,대조동,"3,500",1,45,22,11380
1989,33.6,2011,대조동,"2,000",1,20,23,11380
1993,33,2011,대조동,"5,500",1,0,24,11380
1989,39.6,2011,대조동,500,1,35,24,11380
2002,107.11,2011,대조동,"10,000",1,50,25,11380
1991,40,2011,대조동,"1,000",1,40,25,11380
1996,95.72,2011,대조동,"12,500",1,0,25,11380
1993,58.86,2011,대조동,"7,500",1,0,25,11380
1994,83.53,2011,대조동,"9,000",1,0,25,11380
1991,57.54,2011,대조동,"1,500",1,35,26,11380
1998,40,2011,대조동,"1,000",1,40,27,11380
1994,55,2011,대조동,"7,800",1,0,27,11380
1994,45,2011,대조동,"4,000",1,0,27,11380
,48,2011,대조동,"7,000",1,0,28,11380
1990,46,2011,대조동,"1,000",1,50,28,11380
1993,46.06,2011,대조동,"5,000",1,0,29,11380
2001,88.05,2011,대조동,"14,000",1,0,29,11380
1993,90,2011,대조동,"12,000",1,0,29,11380
1996,36,2011,대조동,"6,000",1,0,30,11380
1995,60,2011,대조동,"8,000",1,0,31,11380
1988,11,2011,응암동,400,1,30,1,11380
,39.78,2011,응암동,"1,000",1,18,3,11380
1984,84.96,2011,응암동,"4,500",1,0,3,11380
1993,51.23,2011,응암동,"1,000",1,45,3,11380
