건축년도,계약면적,년,법정동,보증금액,월,월세금액,일,지역코드
1992,29.1,2011,아현동,"3,000",1,0,3,11440
,79.2,2011,아현동,"10,000",1,0,5,11440
1993,20,2011,아현동,"5,500",1,0,5,11440
1989,66.8,2011,아현동,"9,000",1,0,7,11440
2001,46.17,2011,아현동,"6,500",1,0,7,11440
,15,2011,아현동,"2,000",1,5,9,11440
1964,19.8,2011,아현동,50,1,20,12,11440
,23,2011,아현동,"3,000",1,10,12,11440
,23,2011,아현동,"4,500",1,0,13,11440
,39.67,2011,아현동,"8,000",1,0,17,11440
1977,42.51,2011,아현동,"5,000",1,0,18,11440
1999,56.47,2011,아현동,"2,000",1,53,20,11440
1965,30.81,2011,공덕동,"6,000",1,0,5,11440
1997,53.98,2011,공덕동,"7,000",1,0,5,11440
1996,45.67,2011,공덕동,"5,000",1,20,8,11440
1981,70.12,2011,공덕동,"12,000",1,0,11,11440
1965,34,2011,공덕동,"7,000",1,0,11,11440
1987,26.45,2011,공덕동,"1,000",1,30,12,11440
,42.51,2011,공덕동,"8,000",1,0,14,11440
,42.51,2011,공덕동,"14,000",1,0,14,11440
,42.51,2011,공덕동,"8,000",1,0,14,11440
2007,45.09,2011,공덕동,"6,000",1,0,15,11440
1993,54.82,2011,공덕동,"6,500",1,0,17,11440
1993,54.85,2011,공덕동,"6,500",1,0,17,11440
1993,49.4,2011,공덕동,"8,500",1,0,17,11440
2010,23,2011,공덕동,"1,000",1,60,19,11440
2000,27.98,2011,공덕동,"3,500",1,0,21,11440
1995,45,2011,공덕동,"5,500",1,0,22,11440
1966,26.45,2011,공덕동,300,1,25,24,11440
1996,56.46,2011,공덕동,"4,000",1,40,24,11440
1996,12,2011,공덕동,"1,500",1,0,24,11440
1993,43,2011,공덕동,"5,000",1,0,25,11440
1995,36.11,2011,공덕동,"2,000",1,30,26,11440
1996,43.34,2011,공덕동,"6,000",1,0,26,11440
1995,36.11,2011,공덕동,"2,000",1,30,26,11440
1938,82,2011,공덕동,"7,000",1,0,28,11440
,91.8,2011,공덕동,"1,000",1,0,28,11440
2010,25.07,2011,공덕동,"1,000",1,60,29,11440
1996,51.3,2011,공덕동,"2,000",1,40,31,11440
1993,47.12,2011,신공덕동,"2,000",1,30,13,11440
1992,149.4,2011,신공덕동,"1,000",1,30,20,11440
2001,36.65,2011,도화동,"8,000",1,0,5,11440
1989,58.71,2011,도화동,"13,000",1,0,8,11440
1958,16.5,2011,도화동,100,1,20,8,11440
1989,28.98,2011,도화동,"4,500",1,0,12,11440
,33.06,2011,도화동,"1,000",1,35,12,11440
1997,38.12,2011,도화동,"5,000",1,0,15,11440
1991,33,2011,도화동,"4,000",1,30,17,11440
1995,54.18,2011,도화동,"1,500",1,55,19,11440
2001,26.01,2011,도화동,"6,000",1,0,20,11440
1989,39,2011,도화동,"7,000",1,0,21,11440
1989,79.68,2011,도화동,"7,000",1,0,21,11440
2001,26.01,2011,도화동,"1,000",1,50,22,11440
1994,37,2011,도화동,"8,000",1,0,23,11440
2003,26.5,2011,도화동,"8,000",1,0,27,11440
,42.98,2011,도화동,"5,000",1,0,28,11440
1993,77.02,2011,도화동,"5,000",1,0,29,11440
1990,51.87,2011,도화동,"6,500",1,10,29,11440
2002,118.17,2011,용강동,"8,000",1,0,4,11440
