°ÇÃà³âµµ,°è¾à¸éÀû,³â,¹ýÁ¤µ¿,º¸Áõ±Ý¾×,¿ù,¿ù¼¼±Ý¾×,ÀÏ,Áö¿ªÄÚµå
1998,96.9,2011,¿°Ã¢µ¿,"13,000",1,0,5,11500
1997,46.59,2011,¿°Ã¢µ¿,"9,500",1,0,8,11500
,51.84,2011,¿°Ã¢µ¿,"6,000",1,0,14,11500
1988,63.36,2011,¿°Ã¢µ¿,"11,000",1,0,22,11500
,72,2011,µîÃÌµ¿,"1,300",1,20,6,11500
1989,36.75,2011,µîÃÌµ¿,"1,500",1,15,8,11500
1989,36.75,2011,µîÃÌµ¿,"1,500",1,0,8,11500
1996,56.12,2011,µîÃÌµ¿,"11,000",1,0,8,11500
,80,2011,µîÃÌµ¿,"13,500",1,0,8,11500
1990,52.89,2011,µîÃÌµ¿,"7,000",1,0,8,11500
,33,2011,µîÃÌµ¿,"3,000",1,0,10,11500
1991,14,2011,µîÃÌµ¿,"3,500",1,0,10,11500
1991,82.11,2011,µîÃÌµ¿,"12,000",1,0,12,11500
1992,70.08,2011,µîÃÌµ¿,"9,000",1,0,12,11500
2011,47.44,2011,µîÃÌµ¿,"14,000",1,0,15,11500
1993,41.85,2011,µîÃÌµ¿,"1,000",1,45,20,11500
2011,96.85,2011,µîÃÌµ¿,"3,000",1,0,21,11500
1996,37.56,2011,µîÃÌµ¿,500,1,50,24,11500
1993,45.39,2011,µîÃÌµ¿,"4,600",1,0,24,11500
2017,36.23,2011,µîÃÌµ¿,"1,000",1,40,25,11500
1994,78.12,2011,µîÃÌµ¿,"13,000",1,0,25,11500
1993,42.9,2011,µîÃÌµ¿,"1,500",1,0,26,11500
1977,62.18,2011,µîÃÌµ¿,"8,000",1,0,26,11500
1991,36,2011,µîÃÌµ¿,"6,000",1,0,27,11500
2003,42.9,2011,µîÃÌµ¿,"2,000",1,40,31,11500
1995,27.5,2011,È­°îµ¿,"3,000",1,0,1,11500
1991,66.1,2011,È­°îµ¿,"1,000",1,30,1,11500
1998,91.66,2011,È­°îµ¿,"15,000",1,0,2,11500
1997,106.8,2011,È­°îµ¿,"4,000",1,0,3,11500
2015,20,2011,È­°îµ¿,"2,000",1,0,3,11500
1993,66.5,2011,È­°îµ¿,300,1,22,3,11500
1995,73.57,2011,È­°îµ¿,"3,000",1,50,3,11500
1988,33,2011,È­°îµ¿,500,1,35,3,11500
2010,20,2011,È­°îµ¿,"6,000",1,0,3,11500
2010,82.05,2011,È­°îµ¿,500,1,48,3,11500
1988,31.76,2011,È­°îµ¿,"4,000",1,0,4,11500
1988,31.76,2011,È­°îµ¿,"4,000",1,0,4,11500
1988,65.21,2011,È­°îµ¿,"4,000",1,0,4,11500
1996,78.4,2011,È­°îµ¿,"6,500",1,15,4,11500
2017,66.36,2011,È­°îµ¿,"3,000",1,20,5,11500
1994,45,2011,È­°îµ¿,"1,000",1,25,5,11500
2017,33.18,2011,È­°îµ¿,"3,500",1,0,5,11500
2010,142.08,2011,È­°îµ¿,"11,000",1,0,5,11500
2010,20,2011,È­°îµ¿,"3,000",1,20,5,11500
1989,25.35,2011,È­°îµ¿,"2,500",1,0,6,11500
1991,40,2011,È­°îµ¿,200,1,30,6,11500
,46.28,2011,È­°îµ¿,"1,000",1,35,7,11500
1990,38.7,2011,È­°îµ¿,"1,000",1,40,7,11500
,45.92,2011,È­°îµ¿,"6,000",1,0,7,11500
1997,80.55,2011,È­°îµ¿,"8,000",1,55,7,11500
2001,82.17,2011,È­°îµ¿,"6,500",1,0,7,11500
1991,30,2011,È­°îµ¿,500,1,30,7,11500
,25.6,2011,È­°îµ¿,"1,300",1,0,7,11500
2010,20,2011,È­°îµ¿,"1,000",1,30,7,11500
1990,71.28,2011,È­°îµ¿,"1,500",1,65,8,11500
1992,100.14,2011,È­°îµ¿,"4,000",1,0,8,11500
1988,87.7,2011,È­°îµ¿,"6,500",1,35,8,11500
2014,57.81,2011,È­°îµ¿,"6,000",1,0,8,11500
,62.4,2011,È­°îµ¿,"7,000",1,0,8,11500
,95.8,2011,È­°îµ¿,"1,000",1,35,8,11500
1989,26.14,2011,È­°îµ¿,"4,000",1,0,8,11500
1988,87.7,2011,È­°îµ¿,"6,500",1,35,8,11500
1992,43.51,2011,È­°îµ¿,"3,000",1,0,8,11500
1993,66.96,2011,È­°îµ¿,"2,000",1,40,10,11500
1997,30,2011,È­°îµ¿,500,1,0,10,11500
1990,111.1,2011,È­°îµ¿,"1,000",1,50,10,11500
1979,14,2011,È­°îµ¿,300,1,22,11,11500
1996,99.59,2011,È­°îµ¿,"5,000",1,15,11,11500
1983,28.65,2011,È­°îµ¿,"1,000",1,30,11,11500
,76.89,2011,È­°îµ¿,"6,500",1,0,11,11500
1988,35,2011,È­°îµ¿,500,1,25,11,11500
1990,161,2011,È­°îµ¿,"10,000",1,0,11,11500
2014,20,2011,È­°îµ¿,100,1,27,11,11500
1994,85.78,2011,È­°îµ¿,"5,500",1,0,11,11500
1993,48,2011,È­°îµ¿,"1,000",1,20,11,11500
,98.5,2011,È­°îµ¿,"3,000",1,0,11,11500
1994,40,2011,È­°îµ¿,"4,500",1,0,11,11500
1993,65,2011,È­°îµ¿,"8,500",1,0,12,11500
1985,83.93,2011,È­°îµ¿,"5,000",1,53,12,11500
1996,98.58,2011,È­°îµ¿,"4,000",1,0,12,11500
1992,68.48,2011,È­°îµ¿,"2,000",1,30,12,11500
1989,51.27,2011,È­°îµ¿,500,1,45,13,11500
,99.08,2011,È­°îµ¿,"9,000",1,0,13,11500
1991,70.8,2011,È­°îµ¿,500,1,30,13,11500
1985,40.7,2011,È­°îµ¿,"4,500",1,0,13,11500
1993,45,2011,È­°îµ¿,"5,700",1,0,13,11500
2004,59.74,2011,È­°îµ¿,"10,000",1,0,14,11500
2013,23,2011,È­°îµ¿,"2,000",1,0,14,11500
,49.83,2011,È­°îµ¿,"2,000",1,30,14,11500
1992,47,2011,È­°îµ¿,"1,500",1,0,14,11500
1991,22.3,2011,È­°îµ¿,200,1,30,15,11500
