건축년도,계약면적,년,법정동,보증금액,월,월세금액,일,지역코드
2008,18,2011,가산동,"4,800",1,0,2,11545
1974,20,2011,가산동,0,1,30,2,11545
1993,35.4,2011,가산동,"1,000",1,30,5,11545
1992,20,2011,가산동,"4,500",1,0,10,11545
1985,45,2011,가산동,"2,500",1,0,11,11545
1991,15,2011,가산동,200,1,25,12,11545
2006,29.7,2011,가산동,"6,500",1,0,12,11545
2000,45.69,2011,가산동,"6,500",1,0,12,11545
,15,2011,가산동,0,1,17,13,11545
,15,2011,가산동,400,1,40,13,11545
1976,20,2011,가산동,"1,500",1,30,13,11545
2002,49.5,2011,가산동,"3,000",1,40,13,11545
1985,15,2011,가산동,"5,500",1,0,15,11545
1992,40,2011,가산동,"3,800",1,10,17,11545
1975,30,2011,가산동,"2,000",1,40,17,11545
2008,11.5,2011,가산동,"2,500",1,0,19,11545
1991,15,2011,가산동,500,1,20,22,11545
1991,13.2,2011,가산동,200,1,23,22,11545
1992,75,2011,가산동,"7,000",1,0,26,11545
1991,16,2011,가산동,"3,500",1,2,27,11545
1988,15,2011,가산동,100,1,20,28,11545
,82,2011,가산동,300,1,30,28,11545
1991,15,2011,가산동,"3,000",1,6,29,11545
,33,2011,독산동,500,1,30,2,11545
1991,52.5,2011,독산동,"9,000",1,0,3,11545
1987,83.04,2011,독산동,500,1,40,3,11545
1996,78.44,2011,독산동,500,1,37,3,11545
1983,86.16,2011,독산동,"6,500",1,0,4,11545
2017,10,2011,독산동,"1,000",1,0,4,11545
1991,49.1,2011,독산동,"3,500",1,0,4,11545
,81.36,2011,독산동,"7,500",1,0,4,11545
1997,78.32,2011,독산동,"5,000",1,0,5,11545
2017,126.28,2011,독산동,"5,000",1,0,5,11545
1992,17,2011,독산동,"4,000",1,0,5,11545
2017,57.84,2011,독산동,"7,500",1,0,6,11545
1993,40,2011,독산동,"4,500",1,0,6,11545
1989,56.34,2011,독산동,"3,000",1,30,6,11545
1996,90,2011,독산동,"6,000",1,0,6,11545
1981,40,2011,독산동,"2,000",1,35,6,11545
1977,36,2011,독산동,"3,000",1,30,6,11545
2014,80.72,2011,독산동,"3,500",1,0,7,11545
1993,105.24,2011,독산동,"1,500",1,30,7,11545
1990,107.65,2011,독산동,"1,500",1,30,7,11545
2009,16.5,2011,독산동,"4,000",1,0,7,11545
1995,89.22,2011,독산동,"1,000",1,40,7,11545
1991,45.1,2011,독산동,"1,000",1,40,7,11545
2003,82.95,2011,독산동,"7,000",1,0,7,11545
1979,45.29,2011,독산동,"8,000",1,0,8,11545
1993,50,2011,독산동,"5,500",1,0,8,11545
2010,111.96,2011,독산동,800,1,40,8,11545
1991,66.44,2011,독산동,100,1,20,8,11545
1997,81,2011,독산동,"10,000",1,0,8,11545
1985,52.12,2011,독산동,"2,000",1,0,8,11545
1987,70.71,2011,독산동,200,1,20,9,11545
1997,39.6,2011,독산동,"3,500",1,25,10,11545
1996,75,2011,독산동,"9,300",1,0,10,11545
1983,89.34,2011,독산동,"1,000",1,20,10,11545
1991,35,2011,독산동,"4,000",1,0,10,11545
1988,16,2011,독산동,"2,300",1,0,10,11545
1992,45.1,2011,독산동,"3,500",1,0,10,11545
1989,98.02,2011,독산동,"1,500",1,30,11,11545
1993,66.09,2011,독산동,"10,000",1,0,11,11545
1993,40,2011,독산동,"5,000",1,0,12,11545
