건축년도,계약면적,년,법정동,보증금액,월,월세금액,일,지역코드
1993,50.55,2011,영등포동,"5,000",1,0,4,11560
2002,12,2011,영등포동,"3,000",1,0,9,11560
1997,30,2011,영등포동,500,1,30,11,11560
1997,61.27,2011,영등포동,500,1,30,11,11560
1990,13,2011,영등포동,"1,000",1,33,17,11560
,38,2011,영등포동,"6,000",1,0,19,11560
1992,50,2011,영등포동,"2,500",1,50,21,11560
,60,2011,영등포동,"5,000",1,40,22,11560
1990,33,2011,영등포동,"1,000",1,35,22,11560
,13,2011,영등포동,"6,000",1,0,25,11560
1955,42.9,2011,영등포동,500,1,30,30,11560
1993,26.4,2011,영등포동,"6,500",1,0,31,11560
1993,56.5,2011,영등포동,"13,000",1,0,31,11560
1992,110.42,2011,영등포동,"17,500",1,0,31,11560
2011,33,2011,영등포동1가,"6,500",1,24,20,11560
,49,2011,영등포동2가,"4,000",1,0,4,11560
,21.83,2011,영등포동2가,"4,000",1,0,17,11560
,41.95,2011,영등포동7가,"5,000",1,0,3,11560
1993,58.65,2011,영등포동7가,"8,000",1,0,5,11560
1970,29.7,2011,영등포동7가,"1,000",1,25,10,11560
2004,61.11,2011,영등포동7가,"2,000",1,60,13,11560
,16.5,2011,영등포동7가,"1,500",1,0,18,11560
,62.15,2011,영등포동7가,"5,500",1,0,29,11560
1988,33,2011,영등포동8가,"7,000",1,0,8,11560
1992,23,2011,영등포동8가,"1,700",1,20,25,11560
1994,33.67,2011,당산동1가,"7,000",1,0,6,11560
1996,56.8,2011,당산동1가,"6,000",1,15,14,11560
1991,59.7,2011,당산동1가,"5,900",1,0,15,11560
1991,59.7,2011,당산동1가,"5,800",1,0,15,11560
1999,100,2011,당산동1가,"3,000",1,80,18,11560
1993,42,2011,당산동1가,"1,500",1,43,22,11560
1994,33.67,2011,당산동1가,"6,500",1,0,24,11560
1990,70.8,2011,당산동1가,"9,500",1,0,28,11560
1992,39.03,2011,당산동2가,"7,000",1,0,15,11560
2001,36.27,2011,당산동3가,"1,600",1,37,8,11560
2011,18.84,2011,당산동3가,"4,000",1,30,11,11560
2011,21,2011,당산동3가,"6,000",1,11,16,11560
2011,18,2011,당산동3가,"5,900",1,0,16,11560
2011,21,2011,당산동3가,"6,600",1,0,17,11560
,15.2,2011,당산동3가,"5,800",1,0,17,11560
2011,20,2011,당산동3가,"4,900",1,0,19,11560
2011,18.84,2011,당산동3가,"7,000",1,0,20,11560
2011,14,2011,당산동3가,"4,900",1,0,20,11560
2011,22.47,2011,당산동3가,"6,700",1,0,20,11560
2011,21,2011,당산동3가,"6,700",1,0,22,11560
1994,40,2011,당산동3가,"3,000",1,30,23,11560
1991,10,2011,당산동3가,500,1,20,24,11560
2011,20,2011,당산동3가,"2,000",1,37,25,11560
2011,30.36,2011,당산동3가,"5,800",1,0,25,11560
2011,20,2011,당산동3가,"1,000",1,37,26,11560
2011,20,2011,당산동3가,"5,000",1,0,26,11560
1993,26,2011,당산동3가,"2,000",1,30,27,11560
2011,14,2011,당산동3가,"3,000",1,19,27,11560
2011,20,2011,당산동3가,"5,800",1,0,28,11560
2011,20,2011,당산동3가,"5,900",1,0,29,11560
2011,20,2011,당산동3가,"5,000",1,20,29,11560
2011,20,2011,당산동3가,"6,500",1,0,29,11560
2011,19.8,2011,당산동3가,"4,000",1,17,29,11560
2011,18,2011,당산동3가,"6,700",1,0,29,11560
2011,18,2011,당산동3가,"4,000",1,25,30,11560
2011,14,2011,당산동3가,"5,300",1,0,31,11560
2011,20,2011,당산동3가,"1,000",1,41,31,11560
1996,33,2011,당산동4가,"6,200",1,0,8,11560
1990,60,2011,당산동4가,"6,000",1,0,30,11560
1996,61.51,2011,당산동5가,"11,000",1,0,21,11560
1996,62.5,2011,당산동5가,"12,000",1,0,27,11560
1995,20.16,2011,당산동6가,"2,000",1,25,3,11560
2000,42.9,2011,당산동6가,"4,000",1,20,5,11560
1992,57.1,2011,당산동6가,"13,500",1,0,8,11560
