건축년도,계약면적,년,법정동,보증금액,월,월세금액,일,지역코드
1996,64,2011,방배동,"16,500",1,0,1,11650
1981,26.44,2011,방배동,"5,000",1,0,1,11650
1994,45,2011,방배동,"6,000",1,10,1,11650
1987,104.4,2011,방배동,"3,000",1,27,2,11650
1997,138.68,2011,방배동,"8,000",1,30,3,11650
1997,40,2011,방배동,"1,500",1,30,3,11650
1990,97.72,2011,방배동,"2,000",1,40,3,11650
1977,122.97,2011,방배동,"24,000",1,0,3,11650
2000,88.44,2011,방배동,"15,000",1,0,3,11650
2004,84,2011,방배동,"6,000",1,70,4,11650
1997,59.4,2011,방배동,"10,000",1,0,4,11650
,27,2011,방배동,"8,000",1,0,4,11650
2006,95.47,2011,방배동,"25,000",1,0,4,11650
1997,44,2011,방배동,"1,000",1,0,4,11650
1989,73.71,2011,방배동,"15,000",1,0,5,11650
1984,19.83,2011,방배동,"7,500",1,0,6,11650
1993,42,2011,방배동,"10,000",1,20,6,11650
1988,58.58,2011,방배동,"3,000",1,50,6,11650
1995,40,2011,방배동,"4,000",1,30,6,11650
1994,42.97,2011,방배동,"4,500",1,0,6,11650
1991,42.97,2011,방배동,"6,500",1,0,6,11650
1996,26.4,2011,방배동,"6,500",1,0,6,11650
1997,59.5,2011,방배동,"13,000",1,0,6,11650
1996,137.8,2011,방배동,"21,000",1,0,6,11650
,82,2011,방배동,"13,000",1,0,6,11650
1992,152.45,2011,방배동,"26,000",1,20,6,11650
1988,35,2011,방배동,"8,000",1,0,7,11650
1993,30.3,2011,방배동,"7,000",1,25,7,11650
1994,98.82,2011,방배동,"19,000",1,0,7,11650
1978,14.88,2011,방배동,500,1,25,7,11650
1988,66.11,2011,방배동,"5,500",1,10,7,11650
1990,46,2011,방배동,"5,500",1,0,7,11650
1997,33,2011,방배동,"3,000",1,50,8,11650
,81.81,2011,방배동,"16,000",1,0,8,11650
1996,40.16,2011,방배동,"4,500",1,15,8,11650
1992,64.5,2011,방배동,"3,300",1,14,8,11650
1996,42.9,2011,방배동,"9,500",1,0,8,11650
2004,109.85,2011,방배동,"25,000",1,0,9,11650
1997,56.88,2011,방배동,"15,000",1,0,10,11650
1981,33,2011,방배동,"5,500",1,0,10,11650
2012,63,2011,방배동,"3,000",1,30,10,11650
1995,25,2011,방배동,"2,000",1,50,10,11650
1977,56.53,2011,방배동,"10,000",1,80,10,11650
1996,66,2011,방배동,"10,000",1,40,10,11650
2014,26,2011,방배동,500,1,50,11,11650
1995,42,2011,방배동,"10,000",1,0,11,11650
1996,45,2011,방배동,"2,000",1,75,11,11650
1977,52.8,2011,방배동,"10,000",1,20,11,11650
,16.86,2011,방배동,"1,000",1,30,12,11650
1976,85.75,2011,방배동,"10,000",1,0,12,11650
2005,101.24,2011,방배동,"13,000",1,0,12,11650
1997,45,2011,방배동,"12,000",1,0,12,11650
1998,49.58,2011,방배동,"1,000",1,50,12,11650
1999,49.5,2011,방배동,"1,200",1,68,12,11650
2005,116.07,2011,방배동,"29,000",1,0,12,11650
,67.27,2011,방배동,"23,000",1,0,13,11650
1997,40,2011,방배동,"6,000",1,20,13,11650
1996,52.23,2011,방배동,"3,000",1,40,13,11650
1997,46.28,2011,방배동,"4,000",1,50,13,11650
1971,52.79,2011,방배동,"13,000",1,20,13,11650
1990,59.23,2011,방배동,"14,000",1,0,14,11650
2000,66.5,2011,방배동,"17,000",1,0,14,11650
1996,46.2,2011,방배동,"11,000",1,0,14,11650
1982,35,2011,방배동,"1,000",1,25,14,11650
1976,51.81,2011,방배동,"13,000",1,0,14,11650
1999,82.09,2011,방배동,"19,000",1,0,14,11650
1988,77.17,2011,방배동,"18,000",1,0,15,11650
,128.18,2011,방배동,"15,000",1,0,15,11650
1978,16,2011,방배동,500,1,35,15,11650
1984,67.42,2011,방배동,"15,000",1,0,15,11650
1983,66.06,2011,방배동,"18,000",1,0,15,11650
1980,76.62,2011,방배동,"12,000",1,0,17,11650
1995,48.43,2011,방배동,"3,000",1,35,17,11650
1996,42.9,2011,방배동,"8,000",1,20,17,11650
1995,31,2011,방배동,"1,000",1,45,17,11650
1995,47.79,2011,방배동,"10,000",1,0,17,11650
1996,55,2011,방배동,"16,000",1,0,18,11650
1996,55,2011,방배동,"16,000",1,0,18,11650
1988,40.25,2011,방배동,"1,000",1,45,18,11650
1995,48.3,2011,방배동,"4,000",1,55,19,11650
1995,96.22,2011,방배동,"10,000",1,0,19,11650
1995,47,2011,방배동,"1,000",1,70,19,11650
1980,82.78,2011,방배동,"6,000",1,0,20,11650
1989,60.15,2011,방배동,"10,000",1,0,20,11650
1978,151.74,2011,방배동,"7,000",1,0,20,11650
1989,41.5,2011,방배동,"4,000",1,15,20,11650
1995,55,2011,방배동,"14,000",1,0,20,11650
1996,51.5,2011,방배동,"6,000",1,50,20,11650
1997,71.21,2011,방배동,"10,000",1,70,20,11650
2000,34,2011,방배동,"3,000",1,20,20,11650
1983,36.19,2011,방배동,"6,000",1,0,21,11650
1997,40,2011,방배동,"7,000",1,20,21,11650
2001,26.44,2011,방배동,"3,000",1,50,21,11650
1979,39,2011,방배동,"4,500",1,0,21,11650
