건축년도,계약면적,년,법정동,보증금액,월,월세금액,일,지역코드
2000,19.8,2011,잠실동,"2,000",1,35,1,11710
2001,42.9,2011,잠실동,"9,000",1,10,2,11710
1990,35,2011,잠실동,"1,000",1,50,4,11710
2001,35,2011,잠실동,"10,000",1,0,4,11710
2017,47.85,2011,잠실동,"1,000",1,41,5,11710
1996,82.5,2011,잠실동,"14,000",1,0,6,11710
1991,82.5,2011,잠실동,"13,000",1,0,6,11710
1998,33,2011,잠실동,"4,500",1,0,7,11710
2017,69.93,2011,잠실동,"10,000",1,0,7,11710
1997,29.96,2011,잠실동,"5,500",1,0,8,11710
1996,42.9,2011,잠실동,"1,000",1,40,8,11710
1991,16.8,2011,잠실동,"6,000",1,0,8,11710
1994,43,2011,잠실동,"2,000",1,60,8,11710
1997,55.45,2011,잠실동,"15,000",1,0,10,11710
1997,30,2011,잠실동,"4,300",1,0,10,11710
1986,26.4,2011,잠실동,"3,000",1,20,10,11710
2000,101.6,2011,잠실동,"7,500",1,0,11,11710
,99.7,2011,잠실동,"8,500",1,0,12,11710
1995,23.1,2011,잠실동,"7,400",1,0,12,11710
1993,39,2011,잠실동,"8,500",1,0,13,11710
1993,60,2011,잠실동,"5,000",1,75,14,11710
,43,2011,잠실동,"7,400",1,0,15,11710
1996,95.29,2011,잠실동,"5,000",1,10,15,11710
1996,36.3,2011,잠실동,"6,000",1,0,15,11710
1995,26.4,2011,잠실동,"7,000",1,0,15,11710
2000,60,2011,잠실동,"16,500",1,0,18,11710
2017,20.52,2011,잠실동,500,1,35,18,11710
1995,66,2011,잠실동,"7,500",1,30,19,11710
1979,57.12,2011,잠실동,"11,000",1,0,19,11710
2001,40,2011,잠실동,"1,500",1,50,19,11710
1996,26.4,2011,잠실동,"6,000",1,0,20,11710
2001,39.66,2011,잠실동,"13,000",1,5,20,11710
2005,50.2,2011,잠실동,"12,000",1,0,20,11710
,56.1,2011,잠실동,"7,500",1,0,21,11710
2000,25,2011,잠실동,"1,000",1,40,21,11710
,60,2011,잠실동,"13,000",1,0,22,11710
,99,2011,잠실동,"6,500",1,0,22,11710
1996,56.7,2011,잠실동,500,1,35,22,11710
2001,33,2011,잠실동,"1,500",1,55,23,11710
,99.7,2011,잠실동,"8,500",1,0,24,11710
1996,45,2011,잠실동,"3,000",1,32,24,11710
1995,56.1,2011,잠실동,"3,000",1,60,24,11710
,33,2011,잠실동,500,1,45,25,11710
1995,49,2011,잠실동,"2,000",1,63,25,11710
,27.4,2011,잠실동,"4,500",1,0,26,11710
1996,33.78,2011,잠실동,500,1,40,27,11710
1996,42,2011,잠실동,"4,000",1,40,29,11710
1996,21,2011,잠실동,"1,500",1,25,29,11710
1989,30.15,2011,잠실동,"4,000",1,0,31,11710
1984,69.86,2011,풍납동,"2,000",1,0,3,11710
1994,22,2011,풍납동,"1,000",1,35,3,11710
1991,10,2011,풍납동,50,1,10,4,11710
1993,21,2011,풍납동,"9,000",1,0,5,11710
1989,28.77,2011,풍납동,"4,000",1,0,5,11710
