건축년도,계약면적,년,법정동,보증금액,월,월세금액,일,지역코드
1987,107.23,2011,명일동,"11,000",1,0,1,11740
1989,108,2011,명일동,"14,000",1,0,3,11740
1998,45,2011,명일동,"5,000",1,30,5,11740
1987,17,2011,명일동,200,1,30,5,11740
1991,52.8,2011,명일동,"5,000",1,40,5,11740
1999,71.63,2011,명일동,"8,000",1,0,11,11740
1997,56,2011,명일동,"6,250",1,0,12,11740
1997,125.46,2011,명일동,"14,000",1,0,14,11740
1993,41,2011,명일동,"8,000",1,0,15,11740
2002,65,2011,명일동,"6,000",1,50,17,11740
1994,70.59,2011,명일동,"5,500",1,0,18,11740
1997,66.92,2011,명일동,"12,000",1,0,18,11740
1989,56,2011,명일동,"11,000",1,0,18,11740
1988,105.6,2011,명일동,"1,000",1,40,21,11740
1992,23.1,2011,명일동,"1,000",1,40,22,11740
1984,58.69,2011,명일동,"8,000",1,13,22,11740
2011,86.32,2011,명일동,"20,000",1,0,24,11740
1992,87.33,2011,명일동,"4,000",1,15,25,11740
1986,43,2011,명일동,"3,500",1,0,27,11740
1996,60,2011,명일동,"9,000",1,0,28,11740
1985,79.74,2011,고덕동,"4,000",1,50,1,11740
1987,54.81,2011,고덕동,"4,000",1,0,5,11740
1987,34,2011,고덕동,"2,000",1,70,5,11740
1987,112.37,2011,고덕동,"2,000",1,95,5,11740
1987,81.38,2011,고덕동,"2,500",1,0,5,11740
1988,81.42,2011,고덕동,"7,000",1,0,6,11740
1988,48,2011,고덕동,"5,000",1,0,7,11740
1987,103.49,2011,고덕동,"15,000",1,0,7,11740
1991,129.9,2011,고덕동,"20,000",1,0,7,11740
1988,109.61,2011,고덕동,"4,000",1,15,7,11740
1987,106.7,2011,고덕동,100,1,24,8,11740
1988,18.75,2011,고덕동,"3,500",1,0,8,11740
1993,124.8,2011,고덕동,"3,000",1,0,8,11740
1985,59.4,2011,고덕동,"4,000",1,0,10,11740
1987,34,2011,고덕동,300,1,30,10,11740
1985,91.47,2011,고덕동,"2,500",1,0,10,11740
1988,51,2011,고덕동,"11,000",1,0,11,11740
1990,105.52,2011,고덕동,"6,500",1,0,12,11740
1986,66.12,2011,고덕동,"9,000",1,0,13,11740
1992,101.35,2011,고덕동,"10,000",1,0,14,11740
1992,101.35,2011,고덕동,"10,000",1,0,14,11740
1985,75.76,2011,고덕동,"10,000",1,0,15,11740
1988,93.64,2011,고덕동,"13,500",1,0,17,11740
1991,129.9,2011,고덕동,"4,000",1,0,18,11740
1989,53.5,2011,고덕동,"1,500",1,35,19,11740
1989,106.66,2011,고덕동,"3,000",1,20,20,11740
1987,84.11,2011,고덕동,"12,000",1,0,22,11740
1987,36,2011,고덕동,"5,000",1,0,24,11740
1988,112.14,2011,고덕동,"3,000",1,20,25,11740
1985,81.69,2011,고덕동,"11,000",1,0,26,11740
1987,40.5,2011,고덕동,"4,000",1,0,26,11740
1986,115.01,2011,고덕동,"1,000",1,35,27,11740
1988,106.72,2011,고덕동,"1,000",1,20,27,11740
1988,84.3,2011,고덕동,"1,000",1,50,27,11740
1988,81.52,2011,고덕동,"5,000",1,0,27,11740
1988,82.46,2011,고덕동,"1,000",1,0,29,11740
1989,50.19,2011,고덕동,100,1,18,30,11740
1988,95.55,2011,상일동,"7,000",1,0,3,11740
1988,44.1,2011,상일동,"3,700",1,0,5,11740
