거래금액,건축년도,년,단지,법정동,시군구,월,일,전용면적,지번,지역코드,층
"24,800",2008,2010,광화문 풍림스페이스본,사직동,종로구,1,12,39.54,9,11110,4
"25,200",2008,2010,광화문 풍림스페이스본,사직동,종로구,1,18,39.54,9,11110,8
"24,000",2008,2010,광화문 풍림스페이스본,사직동,종로구,1,21,39.54,9,11110,2
"24,800",2008,2010,광화문 풍림스페이스본,사직동,종로구,1,27,39.54,9,11110,4
"33,300",2004,2010,경희궁의 아침 2단지,내수동,종로구,1,14,51.02,71,11110,14
"22,400",2004,2010,경희궁의 아침 3단지,내수동,종로구,1,14,37.5,72,11110,12
"21,500",2004,2010,용비어천가,내수동,종로구,1,15,37.56,75,11110,16
"40,000",2004,2010,경희궁의 아침 2단지,내수동,종로구,1,19,57.8,71,11110,15
"21,000",2004,2010,광화문시대,내수동,종로구,1,21,34.9,74,11110,14
"24,250",2004,2010,용비어천가,내수동,종로구,1,22,37.56,75,11110,18
"23,000",2004,2010,경희궁의 아침 3단지,내수동,종로구,1,23,37.5,72,11110,14
"23,000",2004,2010,용비어천가,내수동,종로구,1,24,43.67,75,11110,2
"44,000",2004,2010,광화문시대,내수동,종로구,1,25,71.85,74,11110,16
"17,700",2004,2010,경희궁의 아침 4단지,내수동,종로구,1,27,28.24,73,11110,8
"20,500",2004,2010,용비어천가,내수동,종로구,1,30,37.56,75,11110,4
"29,500",2005,2010,광화문오피시아빌딩,신문로1가,종로구,1,7,41.71,163,11110,16
"36,300",2004,2010,두산위브파빌리온,수송동,종로구,1,6,74.84,58,11110,12
"42,000",2004,2010,두산위브파빌리온,수송동,종로구,1,11,81.53,58,11110,8
"18,953",2007,2010,르메이에르종로타운1,종로1가,종로구,1,20,34.59,24,11110,11
"22,900",2007,2010,르메이에르종로타운1,종로1가,종로구,1,22,36.23,24,11110,15
"7,100",2004,2010,BIZ-WELL 종로 오피스텔,익선동,종로구,1,21,17.2,34,11110,6
"18,800",2005,2010,운현궁 에스케이 허브,경운동,종로구,1,2,41.12,89-4,11110,5
"20,000",2005,2010,운현궁 에스케이 허브,경운동,종로구,1,12,42.22,89-4,11110,8
"17,000",2005,2010,운현궁 에스케이 허브,경운동,종로구,1,12,35.36,89-4,11110,3
"16,400",2005,2010,운현궁 에스케이 허브,경운동,종로구,1,13,31.77,89-4,11110,8
"19,500",2005,2010,운현궁 에스케이 허브,경운동,종로구,1,18,41.07,89-4,11110,6
"13,300",2005,2010,종로1번가,관철동,종로구,1,12,23.98,155,11110,6
"13,000",2005,2010,종로1번가,관철동,종로구,1,20,25.29,155,11110,11
"10,000",2003,2010,코윈 팔레스뷰 오피스텔,원남동,종로구,1,9,24.03,95,11110,5
"11,500",2003,2010,반도 보라 아이비 타워,효제동,종로구,1,12,30.7,45,11110,3
"9,000",2003,2010,반도 보라 아이비 타워,효제동,종로구,1,26,26.58,45,11110,3
"12,700",2003,2010,반도 보라 아이비 타워,효제동,종로구,1,30,32.22,45,11110,9
"9,000",2001,2010,대보마로니에텔,연건동,종로구,1,4,25.04,206,11110,11
"9,600",2005,2010,동양파라빌,숭인동,종로구,1,6,24.93,1388,11110,5
"9,850",2005,2010,동양파라빌,숭인동,종로구,1,6,24.93,1388,11110,9
"13,500",2004,2010,종로대우디오빌,숭인동,종로구,1,9,29.65,310,11110,8
"13,750",2004,2010,종로대우디오빌,숭인동,종로구,1,13,29.65,310,11110,10
"13,500",2004,2010,종로대우디오빌,숭인동,종로구,1,15,29.65,310,11110,15
"10,000",2005,2010,동양파라빌,숭인동,종로구,1,15,24.93,1388,11110,10
"9,000",2005,2010,동양파라빌,숭인동,종로구,1,15,24.93,1388,11110,2
"9,870",2005,2010,동양파라빌,숭인동,종로구,1,19,24.93,1388,11110,13
