거래금액,건축년도,년,단지,법정동,시군구,월,일,전용면적,지번,지역코드,층
"34,000",2008,2010,명동아르누보센텀,을지로2가,중구,1,12,44.3,199-40,11140,5
"33,000",2008,2010,명동아르누보센텀,을지로2가,중구,1,18,44.11,199-40,11140,6
"7,200",1991,2010,(171),남대문로5가,중구,1,30,18.97,171,11140,5
"16,400",2003,2010,스타빌딩,필동1가,중구,1,22,31.97,22-2,11140,11
"30,120",2009,2010,아도라타워,장충동2가,중구,1,21,49.8,173-2,11140,8
"6,300",1999,2010,광희동금호트윈 오피스텔,광희동1가,중구,1,25,19.8,89-1,11140,13
"7,300",1999,2010,광희동금호트윈 오피스텔,광희동1가,중구,1,27,22.14,89-1,11140,3
"6,700",1999,2010,광희동금호트윈 오피스텔,광희동1가,중구,1,27,21.96,89-1,11140,7
"14,400",2005,2010,대성을지로오피스텔,을지로5가,중구,1,6,33.95,77-2,11140,5
"13,400",2005,2010,대성을지로오피스텔,을지로5가,중구,1,14,25.49,77-2,11140,5
"13,000",2005,2010,대성을지로오피스텔,을지로5가,중구,1,14,25.49,77-2,11140,5
"14,400",2005,2010,대성을지로오피스텔,을지로5가,중구,1,18,33.95,77-2,11140,6
"12,436",2005,2010,대성을지로오피스텔,을지로5가,중구,1,27,25.49,77-2,11140,2
"15,000",2005,2010,남산정은스카이,신당동,중구,1,30,29.93,366-126,11140,2
"10,500",2004,2010,올리브1,황학동,중구,1,14,25.05,808,11140,12
"10,400",2004,2010,올리브1,황학동,중구,1,22,25.05,808,11140,5
"10,100",2004,2010,올리브1,황학동,중구,1,27,25.05,808,11140,9
"22,609",2005,2010,바비엥-2,의주로1가,중구,1,13,40.22,25-10,11140,7
"17,500",2005,2010,바비엥-2,의주로1가,중구,1,17,29.23,25-10,11140,8
"30,000",2006,2010,브라운스톤서울,중림동,중구,1,11,62.82,355,11140,22
"29,900",2006,2010,브라운스톤서울,중림동,중구,1,14,68.04,355,11140,17
"30,300",2006,2010,브라운스톤서울,중림동,중구,1,16,68.04,355,11140,20
"29,000",2006,2010,브라운스톤서울,중림동,중구,1,22,62.82,355,11140,4
"22,000",2005,2010,서울역 디오빌,만리동1가,중구,1,6,56.17,62-7,11140,5
"13,000",2005,2010,서울역 디오빌,만리동1가,중구,1,29,27.74,62-7,11140,3
"15,000",2004,2010,KCC 파크타운,만리동2가,중구,1,5,32.02,11-1,11140,2
"14,200",2004,2010,KCC 파크타운,만리동2가,중구,1,7,32.02,11-1,11140,1
"27,800",2004,2010,KCC 파크타운,만리동2가,중구,1,9,66.47,11-1,11140,11
"9,000",1999,2010,광희동금호트윈 오피스텔,광희동1가,중구,2,15,29.88,89-1,11140,5
"11,980",1999,2010,광희동금호트윈 오피스텔,광희동1가,중구,2,18,37.05,89-1,11140,6
"9,000",2004,2010,타임캐슬 오피스텔,을지로6가,중구,2,25,19.94,23,11140,7
"8,000",2003,2010,코업레지던스,을지로6가,중구,2,25,15.94,32,11140,11
"13,100",2005,2010,대성을지로오피스텔,을지로5가,중구,2,1,25.49,77-2,11140,14
"13,100",2005,2010,대성을지로오피스텔,을지로5가,중구,2,5,25.49,77-2,11140,6
"13,200",2005,2010,대성을지로오피스텔,을지로5가,중구,2,11,25.49,77-2,11140,11
"13,100",2005,2010,대성을지로오피스텔,을지로5가,중구,2,17,25.49,77-2,11140,10
"12,500",2005,2010,대성을지로오피스텔,을지로5가,중구,2,18,25.49,77-2,11140,13
"13,100",2005,2010,대성을지로오피스텔,을지로5가,중구,2,23,25.49,77-2,11140,9
"13,400",2005,2010,대성을지로오피스텔,을지로5가,중구,2,24,25.49,77-2,11140,8
"9,550",2003,2010,중앙시티빌,황학동,중구,2,12,24.99,805,11140,7
"10,500",2004,2010,올리브1,황학동,중구,2,27,25.05,808,11140,6
"23,782",2005,2010,바비엥-2,의주로1가,중구,2,19,40.22,25-10,11140,12
"30,500",2006,2010,브라운스톤서울,중림동,중구,2,1,62.82,355,11140,6
"31,000",2006,2010,브라운스톤서울,중림동,중구,2,4,62.82,355,11140,24
"32,000",2006,2010,브라운스톤서울,중림동,중구,2,5,68.04,355,11140,38
"53,000",2006,2010,브라운스톤서울,중림동,중구,2,22,113.2,355,11140,38
"28,000",2006,2010,브라운스톤서울,중림동,중구,2,22,62.82,355,11140,5
"32,000",2006,2010,브라운스톤서울,중림동,중구,2,24,62.82,355,11140,6
"50,500",2006,2010,브라운스톤서울,중림동,중구,2,25,107.96,355,11140,24
"23,000",2005,2010,서울역 디오빌,만리동1가,중구,2,1,56.17,62-7,11140,6
"24,800",2005,2010,서울역 디오빌,만리동1가,중구,2,18,56.17,62-7,11140,8
"15,500",2004,2010,KCC 파크타운,만리동2가,중구,2,10,32.02,11-1,11140,3
"16,500",2004,2010,KCC 파크타운,만리동2가,중구,2,11,32.02,11-1,11140,15
"7,100",1999,2010,광희동금호트윈 오피스텔,광희동1가,중구,3,5,21.96,89-1,11140,7
"12,000",1999,2010,광희동금호트윈 오피스텔,광희동1가,중구,3,12,29.88,89-1,11140,6
"8,400",1999,2010,광희동금호트윈 오피스텔,광희동1가,중구,3,13,24.84,89-1,11140,6
"14,000",2003,2010,정건벨라지오오피스텔,을지로5가,중구,3,1,32.57,20-1,11140,13
"7,800",2003,2010,정건벨라지오오피스텔,을지로5가,중구,3,3,21.94,20-1,11140,11
"11,500",2005,2010,대성을지로오피스텔,을지로5가,중구,3,3,21.65,77-2,11140,9
"13,050",2005,2010,대성을지로오피스텔,을지로5가,중구,3,15,25.49,77-2,11140,4
"15,500",2005,2010,대성을지로오피스텔,을지로5가,중구,3,16,33.95,77-2,11140,8
"13,000",2005,2010,대성을지로오피스텔,을지로5가,중구,3,19,25.49,77-2,11140,14
"14,000",2005,2010,대성을지로오피스텔,을지로5가,중구,3,29,25.49,77-2,11140,14
"12,000",2005,2010,대성을지로오피스텔,을지로5가,중구,3,29,21.65,77-2,11140,13
"17,000",2006,2010,디오트,신당동,중구,3,23,30.92,193-2,11140,7
"22,000",2006,2010,디오트,신당동,중구,3,25,37.58,193-2,11140,7
"10,500",2004,2010,신당역올리브2,황학동,중구,3,2,23.82,2484,11140,12
"10,000",2003,2010,중앙시티빌,황학동,중구,3,18,25,805,11140,3
"10,900",2004,2010,신당역올리브2,황학동,중구,3,20,23.82,2484,11140,13
"11,000",2004,2010,올리브1,황학동,중구,3,20,25.05,808,11140,11
"22,829",2005,2010,바비엥-2,의주로1가,중구,3,6,40.22,25-10,11140,8
"25,713",2005,2010,바비엥-2,의주로1가,중구,3,7,46.29,25-10,11140,5
"25,774",2005,2010,바비엥-2,의주로1가,중구,3,7,44.48,25-10,11140,12
"27,338",2005,2010,바비엥-2,의주로1가,중구,3,12,44.94,25-10,11140,17
"60,000",2003,2010,바비엥-1,의주로1가,중구,3,19,133.84,32-2,11140,9
"28,450",2005,2010,바비엥-2,의주로1가,중구,3,23,46.29,25-10,11140,15
"26,072",2005,2010,바비엥-2,의주로1가,중구,3,25,44.48,25-10,11140,18
"32,000",2006,2010,브라운스톤서울,중림동,중구,3,15,62.82,355,11140,33
"16,300",2006,2010,브라운스톤서울,중림동,중구,3,20,30.99,355,11140,6
"31,000",2006,2010,브라운스톤서울,중림동,중구,3,26,62.82,355,11140,20
"30,000",2006,2010,브라운스톤서울,중림동,중구,3,29,68.04,355,11140,13
"14,000",2005,2010,서울역 디오빌,만리동1가,중구,3,23,27.74,62-7,11140,2
"23,500",2005,2010,서울역 디오빌,만리동1가,중구,3,24,56.17,62-7,11140,7
"9,500",1999,2010,광희동금호트윈 오피스텔,광희동1가,중구,4,1,29.88,89-1,11140,13
"9,500",1999,2010,광희동금호트윈 오피스텔,광희동1가,중구,4,1,29.88,89-1,11140,13
"6,500",1999,2010,광희동금호트윈 오피스텔,광희동1가,중구,4,5,19.8,89-1,11140,2
"8,085",1999,2010,광희동금호트윈 오피스텔,광희동1가,중구,4,8,37.05,89-1,11140,3
"12,100",1999,2010,광희동금호트윈 오피스텔,광희동1가,중구,4,8,37.05,89-1,11140,8
"7,200",1999,2010,광희동금호트윈 오피스텔,광희동1가,중구,4,12,21.96,89-1,11140,5
"8,300",2003,2010,코업레지던스,을지로6가,중구,4,1,15.94,32,11140,14
"10,700",2004,2010,타임캐슬 오피스텔,을지로6가,중구,4,13,23.27,23,11140,8
"9,800",2004,2010,타임캐슬 오피스텔,을지로6가,중구,4,28,19.94,23,11140,12
"11,700",2005,2010,대성을지로오피스텔,을지로5가,중구,4,15,25.49,77-2,11140,7
"9,750",2004,2010,삼성골드캐슬,을지로5가,중구,4,19,22.82,273-2,11140,11
"11,200",2005,2010,대성을지로오피스텔,을지로5가,중구,4,23,25.49,77-2,11140,2
"8,200",2004,2010,삼성골드캐슬,을지로5가,중구,4,23,19.92,273-2,11140,5
"10,500",1997,2010,넥서스타워,오장동,중구,4,26,34.99,206-3,11140,10
"7,000",1997,2010,넥서스타워,오장동,중구,4,28,24.48,206-3,11140,5
"16,000",2005,2010,남산정은스카이,신당동,중구,4,2,29.93,366-126,11140,5
"20,000",2006,2010,디오트,신당동,중구,4,5,39.7,193-2,11140,6
"15,300",2005,2010,남산정은스카이,신당동,중구,4,12,29.93,366-126,11140,3
"7,500",1990,2010,(141),흥인동,중구,4,1,28.91,141,11140,8
"11,000",2004,2010,신당역올리브2,황학동,중구,4,5,23.82,2484,11140,5
"10,500",2003,2010,중앙시티빌,황학동,중구,4,12,25.5,805,11140,7
"11,100",2004,2010,신당역올리브2,황학동,중구,4,17,23.82,2484,11140,6
"11,800",2004,2010,신당역올리브2,황학동,중구,4,24,26.47,2484,11140,3
"23,452",2005,2010,바비엥-2,의주로1가,중구,4,6,37.1,25-10,11140,19
"23,538",2005,2010,바비엥-2,의주로1가,중구,4,8,40.22,25-10,11140,11
"42,500",2003,2010,바비엥-1,의주로1가,중구,4,22,83.05,32-2,11140,9
"51,000",2006,2010,브라운스톤서울,중림동,중구,4,2,113.2,355,11140,17
"33,300",2006,2010,브라운스톤서울,중림동,중구,4,29,62.82,355,11140,5
"32,700",2006,2010,브라운스톤서울,중림동,중구,4,30,62.82,355,11140,12
"13,500",2005,2010,서울역 디오빌,만리동1가,중구,4,15,27.74,62-7,11140,2
"27,000",2004,2010,KCC 파크타운,만리동2가,중구,4,20,66.47,11-1,11140,3
"16,000",2004,2010,KCC 파크타운,만리동2가,중구,4,24,32.02,11-1,11140,4
"16,900",2004,2010,KCC 파크타운,만리동2가,중구,4,26,32.02,11-1,11140,9
"29,500",2004,2010,KCC 파크타운,만리동2가,중구,4,27,66.47,11-1,11140,13
"16,800",2004,2010,KCC 파크타운,만리동2가,중구,4,29,32.02,11-1,11140,14
"9,910",2003,2010,코업레지던스,을지로6가,중구,5,7,15.94,32,11140,2
"10,000",2004,2010,타임캐슬 오피스텔,을지로6가,중구,5,12,19.94,23,11140,9
"9,200",2004,2010,타임캐슬 오피스텔,을지로6가,중구,5,26,19.94,23,11140,14
