거래금액,건축년도,년,단지,법정동,시군구,월,일,전용면적,지번,지역코드,층
"17,700",2004,2010,갈월동 에이트리움,갈월동,용산구,1,2,34.21,101-49,11170,5
"18,000",2004,2010,갈월동 에이트리움,갈월동,용산구,1,28,30.97,101-49,11170,11
"18,300",2004,2010,서울역풍림아이원플러스,서계동,용산구,1,15,27.95,219-17,11170,12
"23,000",2004,2010,서울역풍림아이원플러스,서계동,용산구,1,19,36.64,219-17,11170,10
"18,500",2004,2010,서울역풍림아이원플러스,서계동,용산구,1,24,28.11,219-17,11170,3
"13,000",2004,2010,디아뜨 센트럴,원효로1가,용산구,1,5,25.5,112-4,11170,5
"13,180",2004,2010,디아뜨 센트럴,원효로1가,용산구,1,8,25.5,112-4,11170,13
"13,500",2004,2010,디아뜨 센트럴,원효로1가,용산구,1,11,25.5,112-4,11170,6
"13,200",2004,2010,디아뜨 센트럴,원효로1가,용산구,1,12,25.19,112-4,11170,6
"13,800",2004,2010,디아뜨 센트럴,원효로1가,용산구,1,13,25.5,112-4,11170,15
"13,400",2004,2010,디아뜨 센트럴,원효로1가,용산구,1,13,25.19,112-4,11170,9
"13,400",2004,2010,디아뜨 센트럴,원효로1가,용산구,1,15,25.5,112-4,11170,9
"13,600",2004,2010,디아뜨 센트럴,원효로1가,용산구,1,18,25.5,112-4,11170,7
"13,000",2004,2010,디아뜨 센트럴,원효로1가,용산구,1,27,25.5,112-4,11170,10
"27,400",2007,2010,용산아크로타워,문배동,용산구,1,16,38.37,24-21,11170,4
"30,500",2005,2010,이안 용산1차(11-14),문배동,용산구,1,26,63.2,11-14,11170,6
"30,700",2005,2010,용산파크자이,한강로1가,용산구,1,5,37.26,50-1,11170,13
"26,000",2005,2010,용산파크자이,한강로1가,용산구,1,5,32.1,50-1,11170,15
"27,800",2005,2010,용산파크자이,한강로1가,용산구,1,13,37.26,50-1,11170,9
"31,300",2005,2010,용산파크자이,한강로1가,용산구,1,14,42.39,50-1,11170,6
"25,900",2005,2010,용산파크자이,한강로1가,용산구,1,18,32.1,50-1,11170,35
"30,500",2005,2010,용산파크자이,한강로1가,용산구,1,23,39.03,50-1,11170,34
