거래금액,건축년도,년,단지,법정동,시군구,월,일,전용면적,지번,지역코드,층
"10,400",2003,2010,노블리안,상왕십리동,성동구,1,11,25.74,750,11200,12
"13,000",2005,2010,동인 레반트 오피스텔,하왕십리동,성동구,1,11,30.32,903-3,11200,3
"12,500",2005,2010,동인 레반트 오피스텔,하왕십리동,성동구,1,15,27.54,903-3,11200,6
"12,500",2005,2010,동인 레반트 오피스텔,하왕십리동,성동구,1,19,27.54,903-3,11200,6
"10,000",1998,2010,신한넥스텔,도선동,성동구,1,11,32.22,14,11200,14
"18,840",2009,2010,다남매타워,도선동,성동구,1,14,43.05,22-1,11200,14
"5,700",1998,2010,신한넥스텔,도선동,성동구,1,21,19.63,14,11200,17
"16,900",2007,2010,마장동청계아르테미스,마장동,성동구,1,18,54.72,778-5,11200,5
"8,900",1988,2010,(797-16),마장동,성동구,1,23,24.6,797-16,11200,5
"19,000",2007,2010,마장동청계아르테미스,마장동,성동구,1,28,69.12,778-5,11200,4
"12,200",2004,2010,성동샤르망,행당동,성동구,1,4,24.84,192-29,11200,8
"12,980",2006,2010,왕십리역이스타빌,행당동,성동구,1,6,26.01,287-15,11200,5
"15,500",2006,2010,왕십리역이스타빌,행당동,성동구,1,7,29.43,287-15,11200,8
"12,050",2004,2010,성동샤르망,행당동,성동구,1,12,24.84,192-29,11200,7
"12,000",2004,2010,성동샤르망,행당동,성동구,1,13,24.84,192-29,11200,7
"11,900",2004,2010,성동샤르망,행당동,성동구,1,21,24.84,192-29,11200,4
"13,500",2006,2010,왕십리역이스타빌,행당동,성동구,1,27,26.22,287-15,11200,7
"12,950",2006,2010,왕십리역이스타빌,행당동,성동구,1,29,21.91,287-15,11200,8
"18,500",2004,2010,이에스에이리버하우스,성수동1가,성동구,1,4,39.15,13-12,11200,11
"18,000",2004,2010,이에스에이리버하우스,성수동1가,성동구,1,11,39.15,13-12,11200,8
"11,500",2003,2010,성수동 뉴타운오피스텔,성수동1가,성동구,1,13,32.76,72-69,11200,9
"18,000",2004,2010,이에스에이리버하우스,성수동1가,성동구,1,13,39.15,13-12,11200,7
"26,850",2004,2010,이에스에이리버하우스,성수동1가,성동구,1,15,63.74,13-12,11200,10
"13,400",2003,2010,성수동 뉴타운오피스텔,성수동1가,성동구,1,15,30.02,72-69,11200,4
"13,500",2003,2010,성수동 뉴타운오피스텔,성수동1가,성동구,1,21,30.81,72-69,11200,2
"17,000",2004,2010,이에스에이리버하우스,성수동1가,성동구,1,21,39.15,13-12,11200,5
"13,400",2003,2010,성수동 뉴타운오피스텔,성수동1가,성동구,1,25,29.23,72-69,11200,3
"17,500",2004,2010,이에스에이리버하우스,성수동1가,성동구,1,25,39.15,13-12,11200,5
"18,400",2004,2010,이에스에이리버하우스,성수동1가,성동구,1,26,39.15,13-12,11200,9
"17,200",2004,2010,이에스에이리버하우스,성수동1가,성동구,1,30,39.15,13-12,11200,4
"10,400",2003,2010,성원상떼뷰오피스텔,성수동2가,성동구,1,9,24.84,277-37,11200,6
"11,900",2003,2010,성원상떼뷰오피스텔,성수동2가,성동구,1,9,28.08,277-37,11200,6
"10,500",2003,2010,성원상떼뷰오피스텔,성수동2가,성동구,1,12,24.84,277-37,11200,5
"10,800",2003,2010,성원상떼뷰오피스텔,성수동2가,성동구,1,14,24.84,277-37,11200,7
"12,000",2003,2010,성원상떼뷰오피스텔,성수동2가,성동구,1,19,28.08,277-37,11200,8
"13,500",2003,2010,성원상떼뷰오피스텔,성수동2가,성동구,1,22,34.32,277-37,11200,8
"12,000",1998,2010,성수아카데미타워,성수동2가,성동구,1,25,33.45,277-17,11200,10
"12,000",2003,2010,노블리안,상왕십리동,성동구,2,26,30.81,750,11200,3
"13,000",2005,2010,동인 레반트 오피스텔,하왕십리동,성동구,2,5,27.54,903-3,11200,11
"13,000",2009,2010,다남매타워,도선동,성동구,2,10,41.82,22-1,11200,11
"13,750",1998,2010,신한넥스텔,도선동,성동구,2,19,44.86,14,11200,11
"12,000",1998,2010,신한넥스텔,도선동,성동구,2,24,39.26,14,11200,9
"17,500",2007,2010,마장동청계아르테미스,마장동,성동구,2,5,54.72,778-5,11200,6
"8,500",1988,2010,(797-16),마장동,성동구,2,16,24.6,797-16,11200,5
"12,250",2004,2010,성동샤르망,행당동,성동구,2,4,24.84,192-29,11200,11
"12,800",2006,2010,왕십리역이스타빌,행당동,성동구,2,12,21.91,287-15,11200,6
"12,900",2006,2010,왕십리역이스타빌,행당동,성동구,2,16,21.91,287-15,11200,9
"13,500",2006,2010,왕십리역이스타빌,행당동,성동구,2,18,26.22,287-15,11200,5
"12,600",2006,2010,왕십리역이스타빌,행당동,성동구,2,23,21.91,287-15,11200,13
"13,500",2006,2010,왕십리역이스타빌,행당동,성동구,2,23,26.22,287-15,11200,5
"13,450",2004,2010,성동샤르망,행당동,성동구,2,24,27.6,192-29,11200,5
"15,500",2006,2010,왕십리역이스타빌,행당동,성동구,2,25,29.43,287-15,11200,5
"12,300",2004,2010,성동샤르망,행당동,성동구,2,26,24.84,192-29,11200,11
"12,500",2004,2010,성원상떼뷰,옥수동,성동구,2,3,27.01,475,11200,5
"13,300",2004,2010,성원상떼뷰,옥수동,성동구,2,9,27.01,475,11200,9
"18,750",2004,2010,이에스에이리버하우스,성수동1가,성동구,2,1,39.15,13-12,11200,12
"13,200",2003,2010,성수동 뉴타운오피스텔,성수동1가,성동구,2,1,29.23,72-69,11200,2
"18,800",2004,2010,이에스에이리버하우스,성수동1가,성동구,2,4,39.15,13-12,11200,11
"18,000",2004,2010,이에스에이리버하우스,성수동1가,성동구,2,6,39.15,13-12,11200,5
"26,000",2004,2010,이에스에이리버하우스,성수동1가,성동구,2,10,63.74,13-12,11200,5
"13,000",2003,2010,성수동 뉴타운오피스텔,성수동1가,성동구,2,17,32.39,72-69,11200,2
"17,800",2004,2010,이에스에이리버하우스,성수동1가,성동구,2,18,39.15,13-12,11200,2
"17,000",2004,2010,이에스에이리버하우스,성수동1가,성동구,2,19,39.15,13-12,11200,4
"14,000",2005,2010,뚝섬리버빌,성수동1가,성동구,2,19,29,13-117,11200,3
"12,500",2005,2010,뚝섬리버빌,성수동1가,성동구,2,23,26.26,13-117,11200,7
"16,450",2004,2010,이에스에이리버하우스,성수동1가,성동구,2,25,39.15,13-12,11200,2
"20,000",2002,2010,백산오피스텔,성수동1가,성동구,2,25,23.65,671-23,11200,7
"12,300",1998,2010,성수아카데미타워,성수동2가,성동구,2,5,33.45,277-17,11200,11
"11,000",2003,2010,성원상떼뷰오피스텔,성수동2가,성동구,2,6,28.08,277-37,11200,2
"14,500",2003,2010,성원상떼뷰오피스텔,성수동2가,성동구,2,11,40.94,277-37,11200,7
"11,800",2003,2010,성원상떼뷰오피스텔,성수동2가,성동구,2,12,28.08,277-37,11200,5
"11,650",2003,2010,성원상떼뷰오피스텔,성수동2가,성동구,2,22,28.08,277-37,11200,9
"10,500",2003,2010,성원상떼뷰오피스텔,성수동2가,성동구,2,22,24.84,277-37,11200,5
"11,900",2003,2010,성원상떼뷰오피스텔,성수동2가,성동구,2,23,28.08,277-37,11200,9
"23,000",2006,2010,신창비바패밀리,용답동,성동구,2,2,70.12,232-1,11200,7
"22,500",2006,2010,신창비바패밀리,용답동,성동구,2,26,65.01,232-1,11200,7
"12,600",2003,2010,노블리안,상왕십리동,성동구,3,27,30.81,750,11200,14
"6,750",1998,2010,신한넥스텔,도선동,성동구,3,5,19.63,14,11200,5
"8,750",1998,2010,신한넥스텔,도선동,성동구,3,8,30.18,14,11200,10
"7,000",1998,2010,신한넥스텔,도선동,성동구,3,18,19.63,14,11200,8
"16,250",1998,2010,신한넥스텔,도선동,성동구,3,18,55.76,14,11200,7
"11,500",1998,2010,신한넥스텔,도선동,성동구,3,19,41.96,14,11200,6
"12,000",1998,2010,신한넥스텔,도선동,성동구,3,19,39.26,14,11200,10
"31,909",2009,2010,다남매타워,도선동,성동구,3,30,77.02,22-1,11200,9
"15,952",2007,2010,마장동청계아르테미스,마장동,성동구,3,3,54.72,778-5,11200,3
"10,300",2007,2010,마장동청계아르테미스,마장동,성동구,3,19,39.36,778-5,11200,5
"12,900",2006,2010,왕십리역이스타빌,행당동,성동구,3,5,21.91,287-15,11200,10
"13,000",2004,2010,성동샤르망,행당동,성동구,3,19,27.6,192-29,11200,11
"8,000",2002,2010,금호힐오피스텔,금호동1가,성동구,3,12,27.35,1755,11200,3
"8,200",2002,2010,금호힐오피스텔,금호동1가,성동구,3,27,29.97,1755,11200,4
"13,700",2004,2010,성원상떼뷰,옥수동,성동구,3,4,27.01,475,11200,13
"13,000",2004,2010,성원상떼뷰,옥수동,성동구,3,15,27.01,475,11200,13
"12,800",2004,2010,성원상떼뷰,옥수동,성동구,3,24,27.01,475,11200,4
"13,300",2004,2010,성원상떼뷰,옥수동,성동구,3,25,27.01,475,11200,7
"13,800",2004,2010,성원상떼뷰,옥수동,성동구,3,30,25.6,475,11200,7
"17,000",2004,2010,이에스에이리버하우스,성수동1가,성동구,3,5,39.15,13-12,11200,3
"17,500",2004,2010,이에스에이리버하우스,성수동1가,성동구,3,8,39.15,13-12,11200,3
"19,000",2004,2010,이에스에이리버하우스,성수동1가,성동구,3,31,39.15,13-12,11200,11
"12,500",1998,2010,성수아카데미타워,성수동2가,성동구,3,5,33.45,277-17,11200,9
"11,700",2003,2010,성원상떼뷰오피스텔,성수동2가,성동구,3,15,28.47,277-37,11200,5
"12,000",1998,2010,성수아카데미타워,성수동2가,성동구,3,25,33.45,277-17,11200,10
"10,700",2003,2010,성원상떼뷰오피스텔,성수동2가,성동구,3,29,24.84,277-37,11200,8
"12,400",2005,2010,동인 레반트 오피스텔,하왕십리동,성동구,4,16,27.54,903-3,11200,3
"31,773",2009,2010,다남매타워,도선동,성동구,4,1,77.02,22-1,11200,9
"7,000",1998,2010,신한넥스텔,도선동,성동구,4,12,19.63,14,11200,12
