거래금액,건축년도,년,단지,법정동,시군구,월,일,전용면적,지번,지역코드,층
"14,000",2002,2010,다성리버텔,구의동,광진구,1,7,34.88,218-12,11215,5
"12,500",2002,2010,다성리버텔,구의동,광진구,1,10,29.97,218-12,11215,2
"12,500",2002,2010,다성리버텔,구의동,광진구,1,10,29.97,218-12,11215,2
"16,200",1991,2010,(547-8),구의동,광진구,1,14,33.06,547-8,11215,7
"13,000",2006,2010,크레신타워3차,구의동,광진구,1,15,25.35,246-14,11215,11
"11,800",2004,2010,베스트 트레드빌,구의동,광진구,1,20,26.84,243-2,11215,13
"12,000",2004,2010,베스트 트레드빌,구의동,광진구,1,21,26.84,243-2,11215,12
"10,200",2003,2010,와이엔 오피스텔,구의동,광진구,1,21,26.82,218-15,11215,3
"15,100",2002,2010,다성리버텔,구의동,광진구,1,22,33.97,218-12,11215,5
"12,000",2003,2010,센트럴빌,구의동,광진구,1,25,32.19,253-19,11215,7
"13,600",2006,2010,크레신타워3차,구의동,광진구,1,28,25.35,246-14,11215,14
"10,000",1991,2010,학산코스모스텔,광장동,광진구,1,5,95.33,110,11215,3
"11,450",2003,2010,효성리버카운티,광장동,광진구,1,8,27.8,108,11215,4
"10,900",2003,2010,효성리버카운티,광장동,광진구,1,11,27.8,108,11215,8
"10,550",2003,2010,효성리버카운티,광장동,광진구,1,12,27.8,108,11215,3
"10,000",1993,2010,리버힐오피스텔,광장동,광진구,1,26,41.76,127,11215,3
"11,000",2003,2010,효성리버카운티,광장동,광진구,1,29,28.75,108,11215,6
"13,000",2002,2010,(224-12),자양동,광진구,1,4,33.35,224-12,11215,4
"11,500",2002,2010,대양리버빌,자양동,광진구,1,14,30.45,601-3,11215,8
"13,000",2004,2010,제이원하이텔,자양동,광진구,1,28,27.09,608-21,11215,4
"16,000",2006,2010,한림타워,화양동,광진구,1,2,30.3,7-3,11215,6
"17,300",2006,2010,브라운스톤 화양,화양동,광진구,1,6,51.7,21-2,11215,3
"14,100",2006,2010,한림타워,화양동,광진구,1,8,24.55,7-3,11215,6
"14,000",2005,2010,KCC파크타운,화양동,광진구,1,12,25.79,527,11215,3
"16,700",2006,2010,브라운스톤 화양,화양동,광진구,1,14,51.7,21-2,11215,5
"17,500",2006,2010,한림타워,화양동,광진구,1,14,33.1,7-3,11215,14
"16,200",2006,2010,한림타워,화양동,광진구,1,15,30.3,7-3,11215,8
"17,500",2006,2010,한림타워,화양동,광진구,1,16,33.1,7-3,11215,12
"16,100",2006,2010,한림타워,화양동,광진구,1,18,30.3,7-3,11215,7
"14,900",2005,2010,KCC파크타운,화양동,광진구,1,27,25.79,527,11215,5
"22,500",2006,2010,브라운스톤 화양,화양동,광진구,1,30,64.86,21-2,11215,5
"13,500",2006,2010,크레신타워3차,구의동,광진구,2,1,26.91,246-14,11215,11
"12,700",2003,2010,신도브래뉴오피스텔,구의동,광진구,2,3,31.2,251-34,11215,9
"12,000",2003,2010,신도브래뉴오피스텔,구의동,광진구,2,5,33.15,251-34,11215,8
"12,300",2003,2010,신도브래뉴오피스텔,구의동,광진구,2,8,31.2,251-34,11215,4
"11,970",2003,2010,센트럴빌,구의동,광진구,2,10,32.19,253-19,11215,10
"13,100",2002,2010,다성리버텔,구의동,광진구,2,22,29.97,218-12,11215,2
"13,000",2003,2010,신도브래뉴오피스텔,구의동,광진구,2,23,33.15,251-34,11215,3
"12,000",2003,2010,센트럴빌,구의동,광진구,2,25,32.19,253-19,11215,10
"11,700",1997,2010,성지하이츠,구의동,광진구,2,26,36.63,252-14,11215,9
"30,900",2005,2010,광장동 이노빌 오피스텔,광장동,광진구,2,4,83,530-7,11215,8
"26,000",2003,2010,효성리버카운티,광장동,광진구,2,12,62.47,108,11215,12
"9,700",1991,2010,현대골든텔(102-0),광장동,광진구,2,19,26.73,102,11215,2
"31,000",2006,2010,광진트라팰리스,자양동,광진구,2,17,61.76,854,11215,5
"7,000",2002,2010,(224-12),자양동,광진구,2,22,20.52,224-12,11215,4
"12,000",2004,2010,제이원하이텔,자양동,광진구,2,26,23.94,608-21,11215,5
"13,000",2006,2010,한림타워,화양동,광진구,2,1,20.76,7-3,11215,6
"18,000",2006,2010,한림타워,화양동,광진구,2,3,33.1,7-3,11215,17
"17,900",2006,2010,한림타워,화양동,광진구,2,17,33.1,7-3,11215,6
"15,000",2005,2010,KCC파크타운,화양동,광진구,2,19,25.79,527,11215,12
"15,000",2005,2010,KCC파크타운,화양동,광진구,2,20,25.79,527,11215,9
"8,400",2003,2010,신도브래뉴오피스텔,구의동,광진구,3,1,20.08,251-34,11215,7
"15,000",2002,2010,다성리버텔,구의동,광진구,3,2,33.97,218-12,11215,7
"12,950",2003,2010,센트럴빌,구의동,광진구,3,6,32.19,253-19,11215,10
"15,000",2003,2010,센트럴빌,구의동,광진구,3,10,32.19,253-19,11215,8
"15,500",2002,2010,다성리버텔,구의동,광진구,3,12,33.97,218-12,11215,6
"14,000",2003,2010,센트럴빌,구의동,광진구,3,15,41.29,253-19,11215,2
"12,200",2004,2010,베스트 트레드빌,구의동,광진구,3,17,26.84,243-2,11215,10
"13,330",2006,2010,크레신타워3차,구의동,광진구,3,17,26.91,246-14,11215,8
"12,500",2004,2010,베스트 트레드빌,구의동,광진구,3,19,26.84,243-2,11215,9
"13,000",2006,2010,크레신타워3차,구의동,광진구,3,23,25.35,246-14,11215,9
"10,800",2003,2010,와이엔 오피스텔,구의동,광진구,3,27,26.83,218-15,11215,2
"11,250",2003,2010,와이엔 오피스텔,구의동,광진구,3,27,25.76,218-15,11215,8
