거래금액,건축년도,년,단지,법정동,시군구,월,일,전용면적,지번,지역코드,층
"6,800",2002,2010,서일타운,면목동,중랑구,1,29,28.18,68-2,11260,6
"12,100",2003,2010,한일써너스빌,상봉동,중랑구,1,11,32.48,81-5,11260,9
"8,500",2000,2010,시네마시티,상봉동,중랑구,1,18,38.88,92-2,11260,12
"8,500",2000,2010,시네마시티,상봉동,중랑구,1,25,38.88,92-2,11260,13
"15,000",2004,2010,(128-5),상봉동,중랑구,1,26,43.49,128-5,11260,3
"14,500",2003,2010,한일써너스빌,상봉동,중랑구,1,31,42.04,81-5,11260,23
"20,000",2004,2010,묵동신도주상복합,묵동,중랑구,1,10,37.67,169-10,11260,4
"7,900",2003,2010,엘리어트하우스,신내동,중랑구,1,6,18.59,644,11260,4
"12,970",2003,2010,디아뜨갤러리,신내동,중랑구,1,7,35.1,648,11260,4
"8,700",2003,2010,엘리어트하우스,신내동,중랑구,1,19,23.93,644,11260,5
"13,000",2003,2010,디아뜨갤러리,신내동,중랑구,1,23,35.1,648,11260,4
"12,500",2003,2010,한일써너스빌,상봉동,중랑구,2,12,32.48,81-5,11260,21
"9,300",1988,2010,상봉오피스텔,상봉동,중랑구,2,21,35.64,137-15,11260,5
"12,800",2003,2010,금강리빙스텔,신내동,중랑구,2,1,35.1,646,11260,5
"12,700",2003,2010,금강리빙스텔,신내동,중랑구,2,4,35.1,646,11260,4
"8,000",2003,2010,엘리어트하우스,신내동,중랑구,2,20,18.59,644,11260,4
"12,500",2003,2010,디아뜨갤러리,신내동,중랑구,2,21,35.1,648,11260,2
"8,500",2003,2010,엘리어트하우스,신내동,중랑구,2,22,23.93,644,11260,4
"13,000",2003,2010,금강리빙스텔,신내동,중랑구,2,22,35.1,646,11260,3
"7,100",2002,2010,서일타운,면목동,중랑구,3,4,26.57,68-2,11260,6
"11,500",2003,2010,한일써너스빌,상봉동,중랑구,3,12,27.53,81-5,11260,3
"12,500",2003,2010,한일써너스빌,상봉동,중랑구,3,13,32.48,81-5,11260,14
"9,100",1988,2010,상봉오피스텔,상봉동,중랑구,3,23,35.64,137-15,11260,2
"12,500",2003,2010,한일써너스빌,상봉동,중랑구,3,26,32.48,81-5,11260,10
"6,800",2004,2010,묵동신도주상복합,묵동,중랑구,3,10,26.45,169-10,11260,4
"12,770",2003,2010,금강리빙스텔,신내동,중랑구,3,1,35.1,646,11260,4
"13,500",2003,2010,디아뜨갤러리,신내동,중랑구,3,11,35.1,648,11260,5
"12,900",2003,2010,디아뜨갤러리,신내동,중랑구,3,12,35.1,648,11260,3
"13,000",2003,2010,금강리빙스텔,신내동,중랑구,3,15,33.3,646,11260,4
"12,600",2003,2010,디아뜨갤러리,신내동,중랑구,3,29,35.1,648,11260,4
"6,500",2002,2010,서일타운,면목동,중랑구,4,13,28.35,68-2,11260,4
"13,000",2003,2010,한일써너스빌,상봉동,중랑구,4,1,32.48,81-5,11260,12
"14,500",2003,2010,한일써너스빌,상봉동,중랑구,4,3,42.04,81-5,11260,25
"9,000",2000,2010,시네마시티,상봉동,중랑구,4,23,38.88,92-2,11260,7
"9,100",1988,2010,상봉오피스텔,상봉동,중랑구,4,23,35.64,137-15,11260,5
"9,600",2004,2010,묵동신도주상복합,묵동,중랑구,4,1,37.67,169-10,11260,4
"12,000",2004,2010,묵동신도주상복합,묵동,중랑구,4,3,28.51,169-10,11260,3
"15,000",2004,2010,묵동신도주상복합,묵동,중랑구,4,15,37.67,169-10,11260,4
"21,200",2008,2010,한일써너스빌리젠시 2단지,망우동,중랑구,4,8,59.29,495,11260,7
"12,800",2003,2010,디아뜨갤러리,신내동,중랑구,4,9,36.66,648,11260,2
"20,800",2003,2010,디아뜨갤러리,신내동,중랑구,4,23,54,648,11260,4
"12,500",2003,2010,디아뜨갤러리,신내동,중랑구,4,28,35.1,648,11260,3
"12,950",2003,2010,디아뜨갤러리,신내동,중랑구,4,28,35.1,648,11260,4
