거래금액,건축년도,년,단지,법정동,시군구,월,일,전용면적,지번,지역코드,층
"12,000",2003,2010,돈암동 메트로빌,동소문동6가,성북구,1,23,28.47,121,11290,4
"9,750",2003,2010,광남 제니텔,삼선동5가,성북구,1,20,27.69,298-10,11290,3
"14,850",2003,2010,해피엔딩 오피스텔,동소문동6가,성북구,2,10,34.85,143-5,11290,7
"12,000",2003,2010,돈암동 메트로빌,동소문동6가,성북구,2,18,28.47,121,11290,4
"10,500",2003,2010,광남 제니텔,삼선동5가,성북구,2,20,30.42,298-10,11290,12
"10,950",2003,2010,광남 제니텔,삼선동5가,성북구,2,27,27.69,298-10,11290,10
"8,000",2003,2010,씨엠오스빌,장위동,성북구,2,5,25.43,50-35,11290,2
"8,000",2003,2010,씨엠오스빌,장위동,성북구,2,12,23.84,50-35,11290,2
"9,700",2002,2010,성북리시온오피스텔,성북동1가,성북구,3,15,26.22,35-18,11290,6
"9,250",2002,2010,성북리시온오피스텔,성북동1가,성북구,3,18,26.22,35-18,11290,4
"15,000",2003,2010,돈암동 메트로빌,동소문동6가,성북구,3,3,33.97,121,11290,7
"13,000",2003,2010,해피엔딩 오피스텔,동소문동6가,성북구,3,8,34.03,143-5,11290,10
"11,000",2003,2010,광남 제니텔,삼선동5가,성북구,3,11,35.88,298-10,11290,13
"10,600",2003,2010,광남 제니텔,삼선동5가,성북구,3,18,27.69,298-10,11290,13
"13,300",2005,2010,골든타워,동선동4가,성북구,3,6,24.46,111-1,11290,11
"13,000",2005,2010,골든타워,동선동4가,성북구,3,12,24.46,111-1,11290,10
"13,000",2005,2010,골든타워,동선동4가,성북구,3,25,25.18,111-1,11290,11
"5,800",2005,2010,고향빌딩,석관동,성북구,3,5,22.09,124-21,11290,2
"25,000",2006,2010,흥화브라운 동소문빌딩,동소문동4가,성북구,4,29,79.34,75,11290,12
"11,200",2003,2010,돈암동 메트로빌,동소문동6가,성북구,4,13,28.47,121,11290,6
"13,000",2005,2010,골든타워,동선동4가,성북구,4,6,24.64,111-1,11290,12
"12,000",2005,2010,골든타워,동선동4가,성북구,4,29,23.09,111-1,11290,12
"12,000",2005,2010,골든타워,동선동4가,성북구,4,29,24.46,111-1,11290,12
"8,765",2002,2010,이-파크,보문동2가,성북구,4,17,24.94,111,11290,5
"7,500",2003,2010,모아 뉴캐슬,장위동,성북구,4,27,20.93,50-33,11290,4
"12,500",2003,2010,돈암동 메트로빌,동소문동6가,성북구,5,31,28.47,121,11290,6
"8,300",2003,2010,씨엠오스빌,장위동,성북구,5,10,25.26,50-35,11290,4
"5,800",2005,2010,고향빌딩,석관동,성북구,5,26,22.09,124-21,11290,2
"12,700",2003,2010,돈암동 메트로빌,동소문동6가,성북구,6,16,28.47,121,11290,7
"9,700",2008,2010,동선동 한양수자인,동선동4가,성북구,6,9,24.88,295-1,11290,2
"20,000",2005,2010,골든타워,동선동4가,성북구,6,12,50.89,111-1,11290,12
"10,000",2002,2010,성북리시온오피스텔,성북동1가,성북구,7,5,30.63,35-18,11290,4
"10,000",2002,2010,성북리시온오피스텔,성북동1가,성북구,7,10,26.22,35-18,11290,4
"10,600",2002,2010,성북리시온오피스텔,성북동1가,성북구,7,19,26.22,35-18,11290,6
"9,700",2002,2010,성북리시온오피스텔,성북동1가,성북구,8,10,26.22,35-18,11290,4
"13,000",2003,2010,해피엔딩 오피스텔,동소문동6가,성북구,8,10,29.47,143-5,11290,5
"15,000",2003,2010,해피엔딩 오피스텔,동소문동6가,성북구,9,6,34.03,143-5,11290,6
"15,300",2003,2010,돈암동 메트로빌,동소문동6가,성북구,9,11,33.97,121,11290,3
"10,500",2003,2010,광남 제니텔,삼선동5가,성북구,9,10,27.69,298-10,11290,13
"10,500",2003,2010,광남 제니텔,삼선동5가,성북구,9,27,27.69,298-10,11290,8
"18,900",2005,2010,골든타워,동선동4가,성북구,9,27,50.89,111-1,11290,10
"18,500",2007,2010,성북힐스테이트,하월곡동,성북구,9,30,41.62,88-64,11290,4
"11,500",2003,2010,광남 제니텔,삼선동5가,성북구,10,5,30.81,298-10,11290,5
"13,900",2005,2010,골든타워,동선동4가,성북구,10,11,24.46,111-1,11290,10
"8,750",2002,2010,이-파크,보문동2가,성북구,10,16,24.94,111,11290,6
"8,450",2002,2010,이-파크,보문동2가,성북구,10,18,23.18,111,11290,5
"7,900",2003,2010,모아 뉴캐슬,장위동,성북구,10,17,24.85,50-33,11290,3
"13,000",2003,2010,광남 제니텔,삼선동5가,성북구,11,16,35.88,298-10,11290,10
