거래금액,건축년도,년,단지,법정동,시군구,월,일,전용면적,지번,지역코드,층
"7,400",2003,2010,강북중앙드림빌,번동,강북구,1,8,32.49,448-7,11305,7
"7,400",2003,2010,강북중앙드림빌,번동,강북구,1,8,32.49,448-7,11305,4
"7,400",2003,2010,강북중앙드림빌,번동,강북구,1,8,32.49,448-7,11305,5
"7,400",2003,2010,강북중앙드림빌,번동,강북구,1,8,32.49,448-7,11305,6
"6,500",2003,2010,강북중앙드림빌,번동,강북구,1,8,25.53,448-7,11305,4
"6,500",2003,2010,강북중앙드림빌,번동,강북구,1,8,25.53,448-7,11305,6
"6,500",2003,2010,강북중앙드림빌,번동,강북구,1,8,25.53,448-7,11305,7
"6,500",2003,2010,강북중앙드림빌,번동,강북구,1,8,28.71,448-7,11305,2
"6,500",2003,2010,강북중앙드림빌,번동,강북구,1,8,28.71,448-7,11305,3
"6,500",2003,2010,강북중앙드림빌,번동,강북구,1,8,28.71,448-7,11305,5
"6,500",2003,2010,강북중앙드림빌,번동,강북구,1,8,28.71,448-7,11305,6
"6,500",2003,2010,강북중앙드림빌,번동,강북구,1,8,28.71,448-7,11305,7
"6,500",2003,2010,강북중앙드림빌,번동,강북구,1,8,28.97,448-7,11305,2
"6,500",2003,2010,강북중앙드림빌,번동,강북구,1,8,28.97,448-7,11305,3
"6,500",2003,2010,강북중앙드림빌,번동,강북구,1,8,28.97,448-7,11305,4
"6,500",2003,2010,강북중앙드림빌,번동,강북구,1,8,28.97,448-7,11305,5
"6,500",2003,2010,강북중앙드림빌,번동,강북구,1,8,28.97,448-7,11305,6
"6,500",2003,2010,강북중앙드림빌,번동,강북구,1,8,28.97,448-7,11305,7
"7,400",2003,2010,강북중앙드림빌,번동,강북구,1,8,32.49,448-7,11305,2
"8,000",1991,2010,가든타워오피스텔,번동,강북구,1,14,35.1,446-13,11305,11
"12,000",2005,2010,효성네오인텔리안,번동,강북구,1,16,32.97,418-3,11305,4
"8,800",1991,2010,가든타워오피스텔,번동,강북구,1,23,36.9,446-13,11305,17
"11,000",2005,2010,효성네오인텔리안,번동,강북구,1,31,32.97,418-3,11305,5
"10,900",2005,2010,효성 인텔리안 오피스텔,수유동,강북구,1,6,30.49,230-7,11305,15
"10,670",2005,2010,효성 인텔리안 오피스텔,수유동,강북구,1,14,27.76,230-7,11305,18
"10,600",2005,2010,효성 인텔리안 오피스텔,수유동,강북구,1,15,28.82,230-7,11305,18
"12,150",2005,2010,수유동이테크밸리오피스텔,수유동,강북구,1,19,40.93,95-7,11305,10
"8,500",2005,2010,수유동이테크밸리오피스텔,수유동,강북구,1,19,27.81,95-7,11305,10
"8,400",2005,2010,수유동이테크밸리오피스텔,수유동,강북구,1,19,27.81,95-7,11305,14
"11,000",2005,2010,효성 인텔리안 오피스텔,수유동,강북구,1,21,30.19,230-7,11305,8
"10,000",2003,2010,두온오피스텔,수유동,강북구,1,21,33.2,223-1,11305,8
"10,300",2005,2010,수유동이테크밸리오피스텔,수유동,강북구,1,25,34.23,95-7,11305,5
"9,000",2005,2010,수유동이테크밸리오피스텔,수유동,강북구,1,29,27.81,95-7,11305,17
"12,900",2005,2010,효성 인텔리안 오피스텔,수유동,강북구,1,31,34.51,230-7,11305,6
"11,000",2005,2010,효성네오인텔리안,번동,강북구,2,10,29.1,418-3,11305,4
"9,900",2005,2010,효성네오인텔리안,번동,강북구,2,12,32.97,418-3,11305,4
"7,950",2003,2010,북한산드림캐슬,번동,강북구,2,25,24.09,448-2,11305,15
"7,200",2001,2010,밀레니엄 오피스텔,번동,강북구,2,25,24.95,465-4,11305,8
"9,950",2005,2010,수유동이테크밸리오피스텔,수유동,강북구,2,8,34.23,95-7,11305,16
