거래금액,건축년도,년,단지,법정동,시군구,월,일,전용면적,지번,지역코드,층
"12,000",2004,2010,북한산현대렉시온오피스텔,방학동,도봉구,1,7,26.4,719-2,11320,12
"12,000",2004,2010,북한산현대렉시온오피스텔,방학동,도봉구,1,20,26.4,719-2,11320,5
"13,500",2004,2010,북한산현대렉시온오피스텔,방학동,도봉구,1,26,32.1,719-2,11320,12
"13,000",2004,2010,북한산현대렉시온오피스텔,방학동,도봉구,1,27,32.1,719-2,11320,7
"12,300",2004,2010,삼성쉐르빌퍼스티,창동,도봉구,1,6,33.59,659-29,11320,4
"12,400",2004,2010,삼성쉐르빌퍼스티,창동,도봉구,1,6,33.59,659-29,11320,4
"11,100",2003,2010,창동 SR스타빌,창동,도봉구,1,13,28.5,135-28,11320,8
"8,000",2003,2010,플러스 오피스텔,창동,도봉구,1,14,41.18,181-46,11320,4
"18,500",2005,2010,북한산현대홈시티(647-11),창동,도봉구,1,16,60.97,647-11,11320,9
"16,250",2005,2010,북한산현대홈시티(647-11),창동,도봉구,1,18,60.97,647-11,11320,2
"18,500",2005,2010,북한산현대홈시티(647-1),창동,도봉구,1,21,64.09,647-1,11320,9
"19,750",2005,2010,북한산현대홈시티(624-1),창동,도봉구,1,21,60.97,624-1,11320,15
"10,700",2003,2010,창동 SR스타빌,창동,도봉구,1,22,28.5,135-28,11320,4
"17,100",2005,2010,북한산현대홈시티(647-11),창동,도봉구,1,28,60.97,647-11,11320,7
"12,200",2004,2010,삼성쉐르빌퍼스티,창동,도봉구,1,29,33.59,659-29,11320,8
"13,500",2004,2010,북한산현대렉시온오피스텔,방학동,도봉구,2,10,32.1,719-2,11320,8
"9,367",2004,2010,EQ빌딩,창동,도봉구,2,1,28.35,13-2,11320,9
"11,002",2004,2010,EQ빌딩,창동,도봉구,2,1,33.24,13-2,11320,9
"8,226",2004,2010,EQ빌딩,창동,도봉구,2,1,25.83,13-2,11320,6
"8,351",2004,2010,EQ빌딩,창동,도봉구,2,1,25.83,13-2,11320,7
"8,460",2004,2010,EQ빌딩,창동,도봉구,2,1,25.83,13-2,11320,9
"8,468",2004,2010,EQ빌딩,창동,도봉구,2,1,25.83,13-2,11320,10
"8,468",2004,2010,EQ빌딩,창동,도봉구,2,1,25.83,13-2,11320,11
"8,476",2004,2010,EQ빌딩,창동,도봉구,2,1,25.83,13-2,11320,13
"9,066",2004,2010,EQ빌딩,창동,도봉구,2,1,28.35,13-2,11320,6
"9,068",2004,2010,EQ빌딩,창동,도봉구,2,1,28.35,13-2,11320,6
"9,108",2004,2010,EQ빌딩,창동,도봉구,2,1,28.35,13-2,11320,6
