거래금액,건축년도,년,단지,법정동,시군구,월,일,전용면적,지번,지역코드,층
"10,000",2002,2010,그랑디오피스텔,월계동,노원구,1,8,41.57,635-4,11350,3
"10,000",2003,2010,카펠라오피스텔,월계동,노원구,1,22,30,366-3,11350,3
"10,000",2002,2010,그랑디오피스텔,월계동,노원구,1,27,40.31,635-4,11350,3
"8,700",2004,2010,로우폴리스,공릉동,노원구,1,19,27.6,670-11,11350,10
"9,000",2004,2010,로우폴리스,공릉동,노원구,1,21,27.6,670-11,11350,9
"10,000",2003,2010,삼정 이오니아,하계동,노원구,1,15,26.91,256-13,11350,6
"22,000",2005,2010,토마토파르코,상계동,노원구,1,7,72.76,1267,11350,12
"22,000",2005,2010,토마토파르코,상계동,노원구,1,7,72.76,1267,11350,12
"12,000",2005,2010,토마토파르코,상계동,노원구,1,7,36.77,1267,11350,3
"9,200",2004,2010,오피앙,상계동,노원구,1,8,23.37,1258,11350,13
"13,500",2005,2010,토마토파르코,상계동,노원구,1,10,36.77,1267,11350,10
"9,000",2004,2010,오피앙,상계동,노원구,1,11,23.37,1258,11350,6
"12,000",2004,2010,노빌리안골드,상계동,노원구,1,11,26.64,734-3,11350,12
"12,400",2005,2010,토마토파르코,상계동,노원구,1,13,36.77,1267,11350,9
"12,500",2005,2010,토마토파르코,상계동,노원구,1,13,36.77,1267,11350,4
"9,000",2004,2010,오피앙,상계동,노원구,1,19,23.37,1258,11350,7
"9,250",2004,2010,오피앙,상계동,노원구,1,21,23.37,1258,11350,14
"12,000",2003,2010,하이베라스,상계동,노원구,1,22,39.29,1262,11350,5
"13,000",2005,2010,토마토파르코,상계동,노원구,1,25,32.97,1267,11350,11
"22,000",2005,2010,토마토파르코,상계동,노원구,1,28,72.76,1267,11350,15
"10,500",2005,2010,토마토파르코,상계동,노원구,1,29,36.77,1267,11350,3
"10,500",2005,2010,토마토파르코,상계동,노원구,1,29,36.77,1267,11350,3
"25,600",2005,2010,(506),중계동,노원구,1,4,80.96,506,11350,11
"15,500",2004,2010,씨앤미,중계동,노원구,1,11,50.35,509-1,11350,5
"27,400",2005,2010,(506),중계동,노원구,1,12,83.62,506,11350,6
"23,000",2005,2010,(506),중계동,노원구,1,18,72.45,506,11350,4
"21,000",2005,2010,(506),중계동,노원구,1,19,59.64,506,11350,8
"23,500",2005,2010,(506),중계동,노원구,1,19,69.03,506,11350,11
"15,000",2004,2010,씨앤미,중계동,노원구,1,21,50.35,509-1,11350,5
"22,000",2005,2010,(506),중계동,노원구,1,26,59.64,506,11350,11
"10,000",2002,2010,그랑디오피스텔,월계동,노원구,2,4,40.31,635-4,11350,3
"11,000",2003,2010,카펠라오피스텔,월계동,노원구,2,5,33.75,366-3,11350,6
"8,300",2004,2010,로우폴리스,공릉동,노원구,2,18,22.99,670-11,11350,9
"6,600",2004,2010,로우폴리스,공릉동,노원구,2,28,22.99,670-11,11350,7
"11,850",2005,2010,토마토파르코,상계동,노원구,2,1,36.77,1267,11350,11
"11,400",2003,2010,마블러스2,상계동,노원구,2,1,25.62,341-15,11350,7
"9,280",2004,2010,오피앙,상계동,노원구,2,1,23.37,1258,11350,9
"11,800",2003,2010,마블러스1,상계동,노원구,2,1,25.53,341-7,11350,9
"22,000",2005,2010,토마토파르코,상계동,노원구,2,2,70.16,1267,11350,15
"11,000",2003,2010,하이베라스,상계동,노원구,2,3,37.57,1262,11350,8
"9,200",2004,2010,오피앙,상계동,노원구,2,3,23.37,1258,11350,4
"11,100",2005,2010,토마토파르코,상계동,노원구,2,4,31.07,1267,11350,8
"22,000",2005,2010,토마토파르코,상계동,노원구,2,5,72.76,1267,11350,15
"9,150",2004,2010,오피앙,상계동,노원구,2,8,23.37,1258,11350,4
"9,300",2004,2010,오피앙,상계동,노원구,2,9,23.37,1258,11350,12
"13,300",2005,2010,토마토파르코,상계동,노원구,2,10,36.77,1267,11350,7
"13,500",2005,2010,토마토파르코,상계동,노원구,2,10,36.77,1267,11350,7
"11,500",2003,2010,하이베라스,상계동,노원구,2,11,38.28,1262,11350,6
"9,300",2004,2010,오피앙,상계동,노원구,2,11,23.37,1258,11350,9
"9,300",2004,2010,오피앙,상계동,노원구,2,23,23.37,1258,11350,6
"11,000",2003,2010,하이베라스,상계동,노원구,2,23,41.35,1262,11350,4
"11,000",2003,2010,하이베라스,상계동,노원구,2,24,39.29,1262,11350,9
"9,300",2004,2010,오피앙,상계동,노원구,2,25,23.37,1258,11350,15
"9,200",2004,2010,오피앙,상계동,노원구,2,25,23.37,1258,11350,6
"21,900",2005,2010,(506),중계동,노원구,2,6,66.09,506,11350,13
"21,800",2005,2010,(506),중계동,노원구,2,10,66.09,506,11350,12
"12,800",2004,2010,씨앤미,중계동,노원구,2,12,34.67,509-1,11350,7
"19,200",2004,2010,씨앤미,중계동,노원구,2,12,59,509-1,11350,9
"28,500",2005,2010,(506),중계동,노원구,2,19,83.62,506,11350,13
"24,000",2005,2010,(506),중계동,노원구,2,22,69.03,506,11350,4
"8,800",2003,2010,우암에이스타워,중계동,노원구,2,26,33.06,143,11350,8
"6,700",2002,2010,그랑디오피스텔,월계동,노원구,3,19,19.81,635-4,11350,6
"11,200",2003,2010,카펠라오피스텔,월계동,노원구,3,25,33.75,366-3,11350,6
"6,700",2002,2010,그랑디오피스텔,월계동,노원구,3,31,19.81,635-4,11350,5
"6,900",2002,2010,그랑디오피스텔,월계동,노원구,3,31,19.81,635-4,11350,5
"9,470",2004,2010,로우폴리스,공릉동,노원구,3,4,29.07,670-11,11350,6
"8,500",2004,2010,로우폴리스,공릉동,노원구,3,15,27.6,670-11,11350,8
"9,000",2004,2010,로우폴리스,공릉동,노원구,3,22,28.69,670-11,11350,10
"9,000",2004,2010,오피앙,상계동,노원구,3,4,23.37,1258,11350,15
"13,500",2005,2010,토마토파르코,상계동,노원구,3,4,36.77,1267,11350,6
"10,700",2003,2010,하이베라스,상계동,노원구,3,5,41.35,1262,11350,7
"11,000",2005,2010,토마토파르코,상계동,노원구,3,8,36.77,1267,11350,11
"12,500",2005,2010,토마토파르코,상계동,노원구,3,10,32.97,1267,11350,9
"10,900",2003,2010,하이베라스,상계동,노원구,3,10,41.35,1262,11350,5
"9,300",2004,2010,오피앙,상계동,노원구,3,11,23.37,1258,11350,14
"11,000",2003,2010,하이베라스,상계동,노원구,3,15,36.29,1262,11350,8
"10,200",2003,2010,수락네스트죤,상계동,노원구,3,18,29.97,1132-28,11350,5
"9,500",2004,2010,오피앙,상계동,노원구,3,19,23.37,1258,11350,13
"13,900",2005,2010,토마토파르코,상계동,노원구,3,20,36.77,1267,11350,11
"9,300",2004,2010,오피앙,상계동,노원구,3,22,23.37,1258,11350,5
"11,500",2003,2010,하이베라스,상계동,노원구,3,25,39.29,1262,11350,5
"12,500",2005,2010,토마토파르코,상계동,노원구,3,26,36.77,1267,11350,8
"9,500",2004,2010,오피앙,상계동,노원구,3,26,23.37,1258,11350,10
"9,400",2004,2010,오피앙,상계동,노원구,3,26,23.37,1258,11350,11
"13,300",2005,2010,토마토파르코,상계동,노원구,3,31,36.77,1267,11350,8
"23,900",2005,2010,(506),중계동,노원구,3,5,72.55,506,11350,12
"8,700",2003,2010,우암에이스타워,중계동,노원구,3,11,33.06,143,11350,7
"14,100",2000,2010,중계동 두타빌,중계동,노원구,3,18,33.96,360-9,11350,3
"14,000",2005,2010,(506),중계동,노원구,3,30,41.68,506,11350,12
"6,700",2002,2010,그랑디오피스텔,월계동,노원구,4,10,19.81,635-4,11350,4
"6,800",2002,2010,그랑디오피스텔,월계동,노원구,4,13,19.81,635-4,11350,3
"13,500",2005,2010,토마토파르코,상계동,노원구,4,5,36.77,1267,11350,7
"12,500",2005,2010,토마토파르코,상계동,노원구,4,8,32.97,1267,11350,9
"11,900",2003,2010,마블러스1,상계동,노원구,4,13,25.53,341-7,11350,6
"13,900",2005,2010,토마토파르코,상계동,노원구,4,13,36.77,1267,11350,11
"9,350",2004,2010,오피앙,상계동,노원구,4,15,23.37,1258,11350,5
"13,000",2005,2010,토마토파르코,상계동,노원구,4,17,36.77,1267,11350,6
"13,350",2004,2010,노빌리안골드,상계동,노원구,4,17,33.77,734-3,11350,14
"13,500",2005,2010,토마토파르코,상계동,노원구,4,19,36.77,1267,11350,8
"12,000",2004,2010,노빌리안골드,상계동,노원구,4,21,28.32,734-3,11350,11
"11,200",2004,2010,오피앙,상계동,노원구,4,22,27.78,1258,11350,10
"13,500",2004,2010,노빌리안골드,상계동,노원구,4,23,33.77,734-3,11350,8
"11,500",2003,2010,하이베라스,상계동,노원구,4,26,38.28,1262,11350,5
"11,000",2003,2010,하이베라스,상계동,노원구,4,27,39.29,1262,11350,3
"9,300",2004,2010,오피앙,상계동,노원구,4,30,23.37,1258,11350,6
"15,500",2004,2010,씨앤미,중계동,노원구,4,1,47.75,509-1,11350,6
"15,000",2005,2010,(506),중계동,노원구,4,2,41.68,506,11350,9
"31,500",2005,2010,(506),중계동,노원구,4,3,80.96,506,11350,10
"27,000",2005,2010,(506),중계동,노원구,4,3,80.96,506,11350,9
"31,000",2005,2010,(506),중계동,노원구,4,5,80.96,506,11350,3
"15,000",2004,2010,씨앤미,중계동,노원구,4,5,50.35,509-1,11350,4
"11,500",2000,2010,중계동 두타빌,중계동,노원구,4,6,27.85,360-9,11350,4
"14,500",2005,2010,(506),중계동,노원구,4,15,41.68,506,11350,10
"27,700",2005,2010,(506),중계동,노원구,4,15,83.62,506,11350,8
"14,400",2005,2010,(506),중계동,노원구,4,17,41.68,506,11350,7
"12,300",2004,2010,씨앤미,중계동,노원구,4,24,36.25,509-1,11350,5
"10,000",2002,2010,그랑디오피스텔,월계동,노원구,5,27,40.31,635-4,11350,3
"22,100",2004,2010,북부포커스빌,공릉동,노원구,5,4,74.2,661-3,11350,7
"9,400",2003,2010,삼정 이오니아,하계동,노원구,5,20,26.91,256-13,11350,6
"9,400",2003,2010,삼정 이오니아,하계동,노원구,5,20,26.91,256-13,11350,7
"11,600",2005,2010,토마토파르코,상계동,노원구,5,1,32.97,1267,11350,5
"10,800",2003,2010,하이베라스,상계동,노원구,5,6,34.95,1262,11350,7
"11,000",2003,2010,하이베라스,상계동,노원구,5,6,39.29,1262,11350,3
"11,500",2005,2010,토마토파르코,상계동,노원구,5,11,31.07,1267,11350,5
"9,500",2004,2010,오피앙,상계동,노원구,5,12,23.37,1258,11350,9
"10,700",2003,2010,수락네스트죤,상계동,노원구,5,14,29.97,1132-28,11350,7
"11,600",2004,2010,노빌리안골드,상계동,노원구,5,14,26.64,734-3,11350,14
"22,000",2005,2010,토마토파르코,상계동,노원구,5,14,70.16,1267,11350,14
"9,500",2004,2010,오피앙,상계동,노원구,5,20,23.37,1258,11350,9
"13,300",2005,2010,토마토파르코,상계동,노원구,5,20,36.77,1267,11350,8
"11,000",2004,2010,오피앙,상계동,노원구,5,21,27.78,1258,11350,6
"11,900",2003,2010,하이베라스,상계동,노원구,5,24,41.35,1262,11350,4
"10,450",2004,2010,오피앙,상계동,노원구,5,25,27.78,1258,11350,11
"9,500",2004,2010,오피앙,상계동,노원구,5,25,23.37,1258,11350,14
"9,500",2003,2010,우암에이스타워,중계동,노원구,5,7,33.06,143,11350,6
"15,000",2004,2010,씨앤미,중계동,노원구,5,10,50.35,509-1,11350,5
"10,300",2002,2010,새롬스타빌,중계동,노원구,5,11,28.2,360-12,11350,2
"15,100",2004,2010,씨앤미,중계동,노원구,5,13,50.35,509-1,11350,9
"15,450",2004,2010,씨앤미,중계동,노원구,5,14,50.35,509-1,11350,7
"31,000",2005,2010,(506),중계동,노원구,5,17,80.96,506,11350,10
"11,400",2000,2010,중계동 두타빌,중계동,노원구,5,19,27.85,360-9,11350,6
"11,500",2004,2010,씨앤미,중계동,노원구,5,20,34.67,509-1,11350,9
"17,050",2004,2010,씨앤미,중계동,노원구,5,20,59,509-1,11350,9
"15,000",2005,2010,(506),중계동,노원구,5,24,41.68,506,11350,7
"15,500",2005,2010,(506),중계동,노원구,5,26,80.96,506,11350,5
"14,000",2005,2010,(506),중계동,노원구,5,27,41.68,506,11350,4
"13,500",2000,2010,중계동 두타빌,중계동,노원구,5,28,33.96,360-9,11350,2
"10,500",2002,2010,그랑디오피스텔,월계동,노원구,6,4,40.31,635-4,11350,4
"10,420",2003,2010,카펠라오피스텔,월계동,노원구,6,10,30,366-3,11350,6
"8,300",2004,2010,로우폴리스,공릉동,노원구,6,1,22.99,670-11,11350,9
"8,000",2003,2010,엘네스트빌 오피스텔,공릉동,노원구,6,2,24,653-5,11350,5
"7,650",2004,2010,로우폴리스,공릉동,노원구,6,5,22.99,670-11,11350,12
"23,250",2005,2010,토마토파르코,상계동,노원구,6,5,70.16,1267,11350,14
"13,000",2005,2010,토마토파르코,상계동,노원구,6,7,36.77,1267,11350,10
"13,750",2005,2010,토마토파르코,상계동,노원구,6,7,32.97,1267,11350,8
"12,000",2003,2010,하이베라스,상계동,노원구,6,10,39.29,1262,11350,4
"11,000",2004,2010,오피앙,상계동,노원구,6,15,27.78,1258,11350,4
"9,350",2004,2010,오피앙,상계동,노원구,6,17,23.37,1258,11350,7
"11,500",2003,2010,하이베라스,상계동,노원구,6,21,41.35,1262,11350,4
"22,000",2005,2010,토마토파르코,상계동,노원구,6,24,72.76,1267,11350,14
