거래금액,건축년도,년,단지,법정동,시군구,월,일,전용면적,지번,지역코드,층
"8,900",2003,2010,녹번동메카오피스텔,녹번동,은평구,1,30,20.51,35-21,11380,8
"8,500",2003,2010,하나테크빌,응암동,은평구,1,5,30.2,111-13,11380,13
"10,500",2003,2010,송원하이본,응암동,은평구,1,7,34.84,111-1,11380,11
"9,740",2003,2010,송원하이본,응암동,은평구,1,12,31.28,111-1,11380,5
"9,540",2003,2010,송원하이본,응암동,은평구,1,12,31.06,111-1,11380,8
"8,950",2003,2010,하나테크빌,응암동,은평구,1,12,29.56,111-13,11380,12
"10,840",2003,2010,송원하이본,응암동,은평구,1,12,35.62,111-1,11380,8
"10,740",2003,2010,송원하이본,응암동,은평구,1,12,34.84,111-1,11380,5
"8,000",2004,2010,CJ드림시티(91-8),응암동,은평구,1,13,23.04,91-8,11380,6
"8,000",2004,2010,CJ드림시티(91-8),응암동,은평구,1,13,22.88,91-8,11380,13
"9,000",2003,2010,백명TRENDY,응암동,은평구,1,13,28.88,111-14,11380,2
"8,000",2004,2010,CJ드림시티(91-7),응암동,은평구,1,13,24.84,91-7,11380,4
"8,000",2004,2010,CJ드림시티(91-7),응암동,은평구,1,13,22.68,91-7,11380,15
"6,500",2002,2010,미성드림투유,응암동,은평구,1,13,17.05,116-15,11380,8
"11,000",2003,2010,백명 TRENDY,응암동,은평구,1,14,37.84,111-61,11380,12
"8,450",2004,2010,CJ드림시티(91-8),응암동,은평구,1,15,23.04,91-8,11380,2
"8,500",2004,2010,CJ드림시티(91-8),응암동,은평구,1,17,20.28,91-8,11380,3
"6,600",2002,2010,미성드림투유,응암동,은평구,1,19,17.05,116-15,11380,5
"8,800",2003,2010,백명TRENDY,응암동,은평구,1,20,28.88,111-14,11380,7
"9,300",2004,2010,CJ드림시티(91-8),응암동,은평구,1,20,23.04,91-8,11380,7
"6,700",2002,2010,미성드림투유,응암동,은평구,1,23,16.2,116-15,11380,5
"10,380",2003,2010,래디앙,응암동,은평구,1,24,35.5,109-12,11380,5
"8,981",2004,2010,CJ드림시티(91-7),응암동,은평구,1,25,24.84,91-7,11380,4
"10,000",2002,2010,네오라이프,응암동,은평구,1,26,35.51,113-23,11380,6
"9,200",2004,2010,CJ드림시티(91-8),응암동,은평구,1,27,23.04,91-8,11380,15
"6,000",2002,2010,미성오피스텔,응암동,은평구,1,30,23.52,111-50,11380,4
"10,100",2002,2010,백운오피스텔,불광동,은평구,2,17,18.45,272-22,11380,4
"20,000",2010,2010,플러스빌(1-9),구산동,은평구,2,3,66.58,1-9,11380,4
"13,000",2010,2010,플러스빌(2-16),구산동,은평구,2,21,37.03,2-16,11380,3
"6,100",2002,2010,미성드림투유,응암동,은평구,2,5,17.05,116-15,11380,7
"9,300",2004,2010,CJ드림시티(91-7),응암동,은평구,2,9,22.68,91-7,11380,14
"9,500",2002,2010,(20-2),응암동,은평구,2,9,38.54,20-2,11380,4
"9,000",2003,2010,송원하이본,응암동,은평구,2,17,26.33,111-1,11380,14
"10,000",2003,2010,송원하이본,응암동,은평구,2,20,31.28,111-1,11380,12
"9,014",2004,2010,CJ드림시티(91-8),응암동,은평구,2,23,23.04,91-8,11380,2
"9,083",2004,2010,CJ드림시티(91-8),응암동,은평구,2,23,21.68,91-8,11380,9
"9,191",2004,2010,CJ드림시티(91-8),응암동,은평구,2,23,23.04,91-8,11380,5
"9,300",2003,2010,백명TRENDY,응암동,은평구,2,25,28.88,111-14,11380,3
"9,600",2002,2010,(20-2),응암동,은평구,2,25,39.81,20-2,11380,2
"9,500",2002,2010,(20-2),응암동,은평구,2,26,38.54,20-2,11380,5
"9,500",2004,2010,CJ드림시티(91-7),응암동,은평구,2,27,24.84,91-7,11380,6
"23,000",2008,2010,벽계화이트파크,응암동,은평구,2,28,74.8,111-18,11380,2
"9,200",2003,2010,녹번동메카오피스텔,녹번동,은평구,3,8,21.26,35-21,11380,7
"9,170",2003,2010,녹번동메카오피스텔,녹번동,은평구,3,30,20.51,35-21,11380,7
"9,200",2003,2010,(484-72),불광동,은평구,3,19,18.17,484-72,11380,7
"9,200",2003,2010,(484-72),불광동,은평구,3,19,18.17,484-72,11380,8
"11,000",2003,2010,(484-72),불광동,은평구,3,19,21.42,484-72,11380,5
"11,000",2003,2010,(484-72),불광동,은평구,3,19,21.42,484-72,11380,5
"11,000",2003,2010,(484-72),불광동,은평구,3,19,21.42,484-72,11380,5
"11,000",2003,2010,(484-72),불광동,은평구,3,19,21.42,484-72,11380,6
"11,000",2003,2010,(484-72),불광동,은평구,3,19,21.42,484-72,11380,6
"11,000",2003,2010,(484-72),불광동,은평구,3,19,21.42,484-72,11380,6
"11,000",2003,2010,(484-72),불광동,은평구,3,19,21.42,484-72,11380,7
"11,000",2003,2010,(484-72),불광동,은평구,3,19,21.42,484-72,11380,7
"11,000",2003,2010,(484-72),불광동,은평구,3,19,21.42,484-72,11380,7
"11,000",2003,2010,(484-72),불광동,은평구,3,19,21.42,484-72,11380,8
"11,000",2003,2010,(484-72),불광동,은평구,3,19,21.42,484-72,11380,8
"9,200",2003,2010,(484-72),불광동,은평구,3,19,18.17,484-72,11380,6
"9,200",2003,2010,(484-72),불광동,은평구,3,19,18.17,484-72,11380,5
"11,000",2003,2010,(484-72),불광동,은평구,3,19,21.42,484-72,11380,8
"12,000",2010,2010,플러스빌(2-16),구산동,은평구,3,5,36.79,2-16,11380,3
"16,950",2010,2010,플러스빌(1-9),구산동,은평구,3,14,54.47,1-9,11380,4
"9,000",2002,2010,네오라이프,응암동,은평구,3,2,31.16,113-23,11380,5
"10,700",2003,2010,래디앙,응암동,은평구,3,3,35.23,109-12,11380,6
"6,200",2003,2010,(678-3),응암동,은평구,3,4,16.35,678-3,11380,6
"9,200",2004,2010,CJ드림시티(91-8),응암동,은평구,3,4,23.04,91-8,11380,12
"9,300",2002,2010,네오라이프,응암동,은평구,3,5,31.16,113-23,11380,10
"9,750",2004,2010,CJ드림시티(91-7),응암동,은평구,3,8,22.68,91-7,11380,6
"9,900",2002,2010,(20-2),응암동,은평구,3,9,39.81,20-2,11380,5
"10,200",2003,2010,래디앙,응암동,은평구,3,10,36.11,109-12,11380,6
"6,500",2003,2010,래디앙,응암동,은평구,3,10,18.26,109-12,11380,9
"10,300",2003,2010,송원하이본,응암동,은평구,3,10,34.65,111-1,11380,14
"9,290",2004,2010,CJ드림시티(91-8),응암동,은평구,3,11,23.04,91-8,11380,4
"5,000",2002,2010,(116-20),응암동,은평구,3,16,19.89,116-20,11380,6
"10,200",2003,2010,래디앙,응암동,은평구,3,18,36.11,109-12,11380,9
"23,000",2008,2010,벽계화이트파크,응암동,은평구,3,20,74.8,111-18,11380,4
"9,500",2002,2010,(20-2),응암동,은평구,3,28,37.05,20-2,11380,8
"10,000",2001,2010,녹번동오피스텔,녹번동,은평구,4,23,35.42,35-75,11380,7
"12,200",2010,2010,태경쉐르빌,구산동,은평구,4,4,35.2,2-17,11380,3
"9,700",2003,2010,래디앙,응암동,은평구,4,1,34.23,109-12,11380,9
"10,588",2003,2010,래디앙,응암동,은평구,4,3,36.11,109-12,11380,7
"8,800",2004,2010,CJ드림시티(91-8),응암동,은평구,4,6,20.28,91-8,11380,11
"10,600",2003,2010,래디앙,응암동,은평구,4,8,35.23,109-12,11380,3
"9,200",2003,2010,백명TRENDY,응암동,은평구,4,8,25.8,111-14,11380,6
"9,700",2004,2010,CJ드림시티(91-7),응암동,은평구,4,11,24.84,91-7,11380,13
"7,800",2004,2010,대원아크로빌,응암동,은평구,4,13,24.78,113-9,11380,2
"7,000",2003,2010,래디앙,응암동,은평구,4,15,17.98,109-12,11380,8
"9,500",2004,2010,CJ드림시티(91-7),응암동,은평구,4,19,24.84,91-7,11380,7
"10,380",2003,2010,래디앙,응암동,은평구,4,21,35.5,109-12,11380,3
"11,500",2003,2010,백명 TRENDY,응암동,은평구,4,21,37.84,111-61,11380,13
"10,800",2003,2010,백명 TRENDY,응암동,은평구,4,22,37.84,111-61,11380,11
"10,000",2002,2010,(20-2),응암동,은평구,4,24,39.72,20-2,11380,6
"9,950",2002,2010,(20-2),응암동,은평구,4,24,37.05,20-2,11380,4
"9,000",2002,2010,네오라이프,응암동,은평구,4,26,31.16,113-23,11380,7
"6,750",2002,2010,미성오피스텔,응암동,은평구,4,29,21.06,111-50,11380,3
"7,300",2004,2010,대상오피스텔,역촌동,은평구,4,2,19.68,8-15,11380,3
"10,000",2001,2010,녹번동오피스텔,녹번동,은평구,5,3,35.42,35-75,11380,8
"8,000",2002,2010,(224-11),대조동,은평구,5,10,40.33,224-11,11380,5
"8,400",2004,2010,대원아크로빌,응암동,은평구,5,1,24.78,113-9,11380,6
"9,500",2004,2010,CJ드림시티(91-8),응암동,은평구,5,3,21.68,91-8,11380,14
"7,200",2002,2010,미성드림투유,응암동,은평구,5,8,17.05,116-15,11380,6
"10,380",2003,2010,래디앙,응암동,은평구,5,8,35.53,109-12,11380,5
"9,000",2003,2010,백명TRENDY,응암동,은평구,5,17,28.05,111-14,11380,6
"6,500",2002,2010,미성드림투유,응암동,은평구,5,18,16.2,116-15,11380,9
"10,000",2003,2010,래디앙,응암동,은평구,5,19,35.5,109-12,11380,7
"7,300",2002,2010,미성드림투유,응암동,은평구,5,20,17.05,116-15,11380,5
"9,580",2004,2010,CJ드림시티(91-8),응암동,은평구,5,25,23.04,91-8,11380,5
"9,063",2004,2010,첼라오피스텔,응암동,은평구,5,25,28.44,601-9,11380,2
"9,063",2004,2010,첼라오피스텔,응암동,은평구,5,25,29.94,601-9,11380,5
"9,063",2004,2010,첼라오피스텔,응암동,은평구,5,25,29.94,601-9,11380,4
"9,063",2004,2010,첼라오피스텔,응암동,은평구,5,25,29.94,601-9,11380,3
"7,000",2004,2010,첼라오피스텔,응암동,은평구,5,25,28.44,601-9,11380,1
