거래금액,건축년도,년,단지,법정동,시군구,월,일,전용면적,지번,지역코드,층
"11,200",2004,2010,충정리시온,충정로3가,서대문구,1,22,29.56,465,11410,4
"17,000",2005,2010,SK리쳄블,합동,서대문구,1,14,41.57,116,11410,10
"14,000",2006,2010,충정로대우디오빌,합동,서대문구,1,18,29.26,117,11410,2
"14,200",2006,2010,충정로대우디오빌,합동,서대문구,1,18,30.86,117,11410,8
"14,900",2006,2010,충정로대우디오빌,합동,서대문구,1,18,29.29,117,11410,13
"26,000",2006,2010,충정로대우디오빌,합동,서대문구,1,19,59.02,117,11410,14
"17,000",2005,2010,SK리쳄블,합동,서대문구,1,19,34.22,116,11410,15
"17,000",2005,2010,SK리쳄블,합동,서대문구,1,20,34.22,116,11410,15
"17,000",2005,2010,SK리쳄블,합동,서대문구,1,21,41.57,116,11410,7
"16,000",2005,2010,SK리쳄블,합동,서대문구,1,22,34.22,116,11410,8
"14,200",2006,2010,충정로대우디오빌,합동,서대문구,1,25,30.86,117,11410,2
"15,000",2006,2010,충정로대우디오빌,합동,서대문구,1,26,29.26,117,11410,12
"16,600",2005,2010,SK리쳄블,합동,서대문구,1,26,41.57,116,11410,4
"15,000",2006,2010,충정로대우디오빌,합동,서대문구,1,28,29.25,117,11410,12
"11,500",2004,2010,이화인비따레오피스텔,대현동,서대문구,1,19,24.29,45-5,11410,4
"12,200",2001,2010,신촌현대캠퍼빌,대현동,서대문구,1,22,28.9,110-20,11410,14
"12,200",2001,2010,신촌현대캠퍼빌,대현동,서대문구,1,29,33.8,110-20,11410,13
"9,500",2004,2010,경선파인 오피스텔,창천동,서대문구,1,2,20.52,97-64,11410,6
"8,500",2000,2010,신촌르메이에르타운3,창천동,서대문구,1,11,28.49,20-26,11410,14
"13,300",2005,2010,신촌 르메이에르타운5,창천동,서대문구,1,18,26.67,29-81,11410,11
"15,000",2005,2010,신촌 르메이에르타운5,창천동,서대문구,1,22,29.13,29-81,11410,8
"8,500",2000,2010,신촌르메이에르타운3,창천동,서대문구,1,23,31.19,20-26,11410,8
"6,480",2002,2010,창천오피스텔,창천동,서대문구,1,25,13.33,92-7,11410,4
"15,600",2007,2010,브라운스톤 연희,연희동,서대문구,1,6,31.96,194-30,11410,6
"15,530",2007,2010,브라운스톤 연희,연희동,서대문구,1,6,31.96,194-30,11410,4
"9,700",2005,2010,연희체스트빌,연희동,서대문구,1,11,16.83,218-1,11410,4
"6,800",2002,2010,오벨리스크,연희동,서대문구,1,12,20.39,121-4,11410,4
"9,800",2003,2010,정연지오빌ll,연희동,서대문구,1,13,22.8,88-11,11410,6
"6,500",2002,2010,오벨리스크,연희동,서대문구,1,14,20.39,121-4,11410,5
"8,600",2002,2010,정연 지오빌,연희동,서대문구,1,14,19.44,122-3,11410,6
"6,800",2004,2010,시아 루비움,연희동,서대문구,1,15,19.25,78-4,11410,3
"8,800",2002,2010,정연 지오빌,연희동,서대문구,1,20,24.38,122-3,11410,4
"16,600",2007,2010,브라운스톤 연희,연희동,서대문구,1,25,31.96,194-30,11410,6
"16,500",2006,2010,충정로대우디오빌,합동,서대문구,2,9,37.15,117,11410,11
"19,000",2005,2010,SK리쳄블,합동,서대문구,2,9,41.08,116,11410,14
"24,800",2005,2010,SK리쳄블,합동,서대문구,2,17,60.06,116,11410,17
"16,900",2005,2010,SK리쳄블,합동,서대문구,2,23,41.57,116,11410,10
"16,000",2005,2010,SK리쳄블,합동,서대문구,2,23,34.22,116,11410,4
"14,200",2006,2010,충정로대우디오빌,합동,서대문구,2,23,30.86,117,11410,2
"24,700",2006,2010,충정로대우디오빌,합동,서대문구,2,24,61.22,117,11410,12
"22,400",2006,2010,충정로대우디오빌,합동,서대문구,2,26,61.22,117,11410,4
"12,000",2001,2010,신촌현대캠퍼빌,대현동,서대문구,2,2,28.9,110-20,11410,14
"12,500",2001,2010,신촌현대캠퍼빌,대현동,서대문구,2,8,33.8,110-20,11410,3
"18,200",2005,2010,신촌가이아,대현동,서대문구,2,18,35.44,27-20,11410,14
"13,000",2004,2010,이화인비따레오피스텔,대현동,서대문구,2,26,24.29,45-5,11410,4
"14,500",2005,2010,신촌 르메이에르타운5,창천동,서대문구,2,1,26.22,29-81,11410,13
"20,500",2005,2010,신촌 르메이에르타운5,창천동,서대문구,2,4,26.22,29-81,11410,15
"9,400",2000,2010,신촌르메이에르타운3,창천동,서대문구,2,5,29.65,20-26,11410,17
"10,600",2000,2010,신촌르메이에르타운3,창천동,서대문구,2,5,32.41,20-26,11410,15
"9,000",2000,2010,신촌르메이에르타운3,창천동,서대문구,2,8,31.19,20-26,11410,6
"16,000",2005,2010,신촌 르메이에르타운5,창천동,서대문구,2,10,31.41,29-81,11410,7
"16,500",2005,2010,신촌 르메이에르타운5,창천동,서대문구,2,23,31.41,29-81,11410,13
"9,350",2004,2010,경선파인 오피스텔,창천동,서대문구,2,24,19.38,97-64,11410,6
"8,300",2000,2010,신촌르메이에르타운3,창천동,서대문구,2,27,29.65,20-26,11410,5
"6,450",2003,2010,파라다이스텔에스비,연희동,서대문구,2,7,15.94,80-7,11410,6
"5,000",2003,2010,파라다이스텔에스비,연희동,서대문구,2,9,15.94,80-7,11410,3
"5,600",2003,2010,파라다이스텔에스비,연희동,서대문구,2,9,19.24,80-7,11410,3
"32,000",2007,2010,현대싱그런,연희동,서대문구,2,11,86.17,340-27,11410,7
"8,700",2001,2010,연희소프트빌,연희동,서대문구,2,25,16.2,212-2,11410,9
"15,800",2007,2010,브라운스톤 연희,연희동,서대문구,2,28,31.96,194-30,11410,5
"19,000",2009,2010,코지펠리스,홍은동,서대문구,2,4,56.12,165-2,11410,9
"19,800",2009,2010,코지펠리스,홍은동,서대문구,2,10,56.12,165-2,11410,5
"18,500",2009,2010,코지펠리스,홍은동,서대문구,2,23,56.12,165-2,11410,7
"15,000",2009,2010,서대문 디오빌 오피스텔,충정로2가,서대문구,3,20,28.82,192,11410,9
"15,350",2005,2010,SK리쳄블,합동,서대문구,3,2,34.22,116,11410,2
"15,500",2006,2010,충정로대우디오빌,합동,서대문구,3,4,30.86,117,11410,10
"16,500",2005,2010,SK리쳄블,합동,서대문구,3,6,34.22,116,11410,16
"17,600",2006,2010,충정로대우디오빌,합동,서대문구,3,8,37.15,117,11410,14
"16,450",2005,2010,SK리쳄블,합동,서대문구,3,9,34.22,116,11410,8
"24,000",2006,2010,충정로대우디오빌,합동,서대문구,3,10,59.02,117,11410,12
"17,000",2006,2010,충정로대우디오빌,합동,서대문구,3,11,61.22,117,11410,3
"22,000",2005,2010,SK리쳄블,합동,서대문구,3,13,49.83,116,11410,14
"17,900",2006,2010,충정로대우디오빌,합동,서대문구,3,15,37.15,117,11410,15
"24,500",2006,2010,충정로대우디오빌,합동,서대문구,3,16,58.53,117,11410,10
"18,000",2005,2010,SK리쳄블,합동,서대문구,3,17,41.57,116,11410,4
"18,000",2005,2010,SK리쳄블,합동,서대문구,3,19,41.57,116,11410,11
"16,700",2005,2010,SK리쳄블,합동,서대문구,3,19,34.22,116,11410,11
"21,000",2005,2010,신촌가이아,대현동,서대문구,3,2,42.38,27-20,11410,14
"13,000",2004,2010,이화인비따레오피스텔,대현동,서대문구,3,2,24.29,45-5,11410,10
"13,000",2004,2010,이화인비따레오피스텔,대현동,서대문구,3,8,24.29,45-5,11410,6
"13,500",2001,2010,신촌현대캠퍼빌,대현동,서대문구,3,11,30.6,110-20,11410,17
"16,000",2005,2010,신촌가이아,대현동,서대문구,3,13,32.6,27-20,11410,12
"12,000",2004,2010,이화인비따레오피스텔,대현동,서대문구,3,13,22.08,45-5,11410,3
"12,700",2004,2010,이화인비따레오피스텔,대현동,서대문구,3,13,24.29,45-5,11410,3
"21,000",2005,2010,신촌가이아,대현동,서대문구,3,18,44.25,27-20,11410,15
