거래금액,건축년도,년,단지,법정동,시군구,월,일,전용면적,지번,지역코드,층
"15,400",2006,2010,마포 에스케이 허브 블루,아현동,마포구,1,15,30.06,737,11440,6
"16,000",2006,2010,마포 에스케이 허브 블루,아현동,마포구,1,16,34.95,737,11440,20
"17,200",2006,2010,마포 에스케이 허브 블루,아현동,마포구,1,19,33.19,737,11440,17
"17,000",2005,2010,효성인텔리안,아현동,마포구,1,20,35.91,733,11440,8
"18,600",2004,2010,마포 신영 지웰,공덕동,마포구,1,5,28.5,461,11440,7
"18,000",2004,2010,마포 신영 지웰,공덕동,마포구,1,6,27.37,461,11440,18
"19,200",2005,2010,마포공덕파크팰리스Ⅱ,공덕동,마포구,1,12,42.5,462,11440,8
"11,000",2002,2010,(15-3),공덕동,마포구,1,18,19.72,15-3,11440,6
"18,500",2004,2010,마포 신영 지웰,공덕동,마포구,1,20,28.95,461,11440,15
"12,000",2002,2010,미네뜨오피스텔,공덕동,마포구,1,23,19.08,29-5,11440,10
"9,500",1990,2010,풍림브이아이피텔,공덕동,마포구,1,28,30.02,404,11440,8
"16,650",2005,2010,마포현대하이엘,공덕동,마포구,1,29,31.38,463,11440,13
"17,200",2005,2010,마포현대하이엘,공덕동,마포구,1,29,31.38,463,11440,12
"17,300",2005,2010,마포공덕파크팰리스Ⅱ,공덕동,마포구,1,30,33.01,462,11440,13
"20,500",2005,2010,메트로디오빌,신공덕동,마포구,1,6,40.3,167,11440,14
"17,000",2005,2010,메트로디오빌,신공덕동,마포구,1,15,26.74,167,11440,18
"26,400",2006,2010,신공덕동 오피스텔,신공덕동,마포구,1,29,74.6,15-63,11440,10
"6,200",1988,2010,고려아카데미텔,도화동,마포구,1,6,20.25,36,11440,15
"15,000",2005,2010,에스케이허브그린,도화동,마포구,1,8,27.79,556,11440,10
"35,000",2006,2010,마포트라팰리스,도화동,마포구,1,8,55.92,559,11440,29
"6,300",1988,2010,고려아카데미텔,도화동,마포구,1,8,20.25,36,11440,5
"7,000",1987,2010,삼창주택,도화동,마포구,1,11,22.53,173,11440,14
"7,600",2000,2010,마스터즈타워,도화동,마포구,1,11,23.78,553,11440,19
"6,300",1988,2010,고려아카데미텔,도화동,마포구,1,12,20.25,36,11440,16
"19,000",2004,2010,마포 한화 오벨리스크,도화동,마포구,1,14,31.41,555,11440,8
"18,800",2005,2010,에스케이허브그린,도화동,마포구,1,15,38.51,556,11440,19
"21,400",2005,2010,에스케이허브그린,도화동,마포구,1,15,47.78,556,11440,4
"40,000",2006,2010,마포트라팰리스,도화동,마포구,1,16,73.72,559,11440,14
"18,900",2005,2010,에스케이허브그린,도화동,마포구,1,16,38.51,556,11440,17
"18,500",2004,2010,마포 한화 오벨리스크,도화동,마포구,1,16,28.71,555,11440,17
"19,300",2005,2010,에스케이허브그린,도화동,마포구,1,17,38.51,556,11440,20
"18,500",2005,2010,에스케이허브그린,도화동,마포구,1,19,38.51,556,11440,9
"27,000",2004,2010,마포 한화 오벨리스크,도화동,마포구,1,21,42.28,555,11440,36
"13,000",2000,2010,마스터즈타워,도화동,마포구,1,22,36.85,553,11440,24
"4,850",1987,2010,삼창주택,도화동,마포구,1,22,23.4,173,11440,15
"6,300",1988,2010,고려아카데미텔,도화동,마포구,1,26,20.25,36,11440,5
"23,300",2004,2010,마포 한화 오벨리스크,도화동,마포구,1,30,33.93,555,11440,22
"15,000",2005,2010,에스케이허브그린,도화동,마포구,1,30,27.79,556,11440,8
"5,500",1992,2010,강변한신코아,마포동,마포구,1,4,23.76,350,11440,2
"6,000",1986,2010,현대빌딩,마포동,마포구,1,15,22.97,35-1,11440,11
"6,100",1986,2010,현대빌딩,마포동,마포구,1,21,23.5,35-1,11440,9
"12,250",1992,2010,강변한신코아,마포동,마포구,1,25,51.48,350,11440,12
"7,950",1987,2010,한신오피스텔,마포동,마포구,1,28,37.17,136-1,11440,2
"12,500",2000,2010,캠프21오피스텔,대흥동,마포구,1,11,37.08,12-33,11440,11
"17,000",2003,2010,뷰이십일 오피스텔,대흥동,마포구,1,14,16.56,3-59,11440,3
"10,100",2000,2010,캠프21오피스텔,대흥동,마포구,1,28,31.68,12-33,11440,15
"15,000",2003,2010,삼부골든타워,염리동,마포구,1,8,32.5,164-4,11440,5
"18,400",2003,2010,삼부골든타워,염리동,마포구,1,18,40.5,164-4,11440,7
"16,000",2004,2010,신촌아이스페이스오피스텔,노고산동,마포구,1,2,38.02,57-46,11440,5
"10,500",2006,2010,아이비타워,노고산동,마포구,1,4,17.65,106-5,11440,14
"8,500",1999,2010,신촌르·메이에르타운(Ⅱ),노고산동,마포구,1,8,26.07,31-90,11440,10
"11,500",2006,2010,우정마샹스 오피스텔,노고산동,마포구,1,12,18.72,107-17,11440,13
"12,500",1999,2010,신촌르·메이에르타운(I),노고산동,마포구,1,13,38.04,57-18,11440,5
"24,000",2006,2010,아이비타워,노고산동,마포구,1,13,65.52,106-5,11440,13
"17,000",2006,2010,아이비타워,노고산동,마포구,1,13,37.42,106-5,11440,9
"13,500",2006,2010,(주)HTC 까사빌,노고산동,마포구,1,13,22.12,57-26,11440,7
"15,700",2004,2010,신촌아이스페이스오피스텔,노고산동,마포구,1,14,35.22,57-46,11440,14
"8,800",1999,2010,신촌르·메이에르타운(Ⅱ),노고산동,마포구,1,19,26.07,31-90,11440,6
"13,700",2006,2010,(주)HTC 까사빌,노고산동,마포구,1,19,22.12,57-26,11440,10
"9,000",1999,2010,신촌르·메이에르타운(I),노고산동,마포구,1,20,23.85,57-18,11440,12
"11,800",2006,2010,우정마샹스 오피스텔,노고산동,마포구,1,21,18.72,107-17,11440,12
"8,500",1999,2010,신촌르·메이에르타운(I),노고산동,마포구,1,22,23.85,57-18,11440,8
"13,200",2006,2010,아이비타워,노고산동,마포구,1,24,30.65,106-5,11440,9
"9,000",2006,2010,우정마샹스 오피스텔,노고산동,마포구,1,30,13.52,107-17,11440,12
"11,800",2006,2010,우정마샹스 오피스텔,노고산동,마포구,1,30,18.72,107-17,11440,14
"15,000",2002,2010,오벨리스크,상수동,마포구,1,14,20.08,339-15,11440,2
"10,000",2001,2010,eG PLUS 오피스텔,서교동,마포구,1,6,20.46,338-39,11440,7
"9,400",1989,2010,서교오피스텔,서교동,마포구,1,16,32.6,357-1,11440,5
"15,200",2004,2010,동양한강트레벨,서교동,마포구,1,20,29.09,394-25,11440,9
"13,500",2005,2010,명지한강빌드웰,서교동,마포구,1,28,24.73,394-45,11440,4
"13,500",2002,2010,마젤란21 오피스텔,동교동,마포구,1,11,40.32,156-2,11440,18
"15,000",1999,2010,LG팰리스빌딩,동교동,마포구,1,14,43.58,165-8,11440,16
"15,300",1999,2010,LG팰리스빌딩,동교동,마포구,1,15,43.58,165-8,11440,12
"16,500",2004,2010,효성홍익인간오피스텔,동교동,마포구,1,18,35.26,155-27,11440,14
"15,000",1999,2010,LG팰리스빌딩,동교동,마포구,1,21,43.58,165-8,11440,16
"15,000",2003,2010,파라다이스텔,동교동,마포구,1,22,35.69,159-6,11440,4
"12,100",2002,2010,마젤란21 오피스텔,동교동,마포구,1,27,32.76,156-2,11440,8
"16,000",2004,2010,효성홍익인간오피스텔,동교동,마포구,1,30,32.25,155-27,11440,3
"34,000",2006,2010,KCC엠파이어리버,합정동,마포구,1,6,63.89,381-16,11440,4
"35,000",2006,2010,KCC엠파이어리버,합정동,마포구,1,29,63.39,381-16,11440,4
"7,000",2004,2010,금창타워,성산동,마포구,1,11,17.91,123-8,11440,5
"22,500",2005,2010,이안상암Ⅱ,성산동,마포구,1,11,60.46,592-6,11440,9
"26,469",2007,2010,대명비첸시티오피스텔,성산동,마포구,1,13,71.58,591-4,11440,6
"8,000",2002,2010,(36-43),성산동,마포구,1,22,24.15,36-43,11440,1
"8,200",2002,2010,(36-43),성산동,마포구,1,22,28.43,36-43,11440,3
