거래금액,건축년도,년,단지,법정동,시군구,월,일,전용면적,지번,지역코드,층
"11,900",2003,2010,이스타빌 3차,신정동,양천구,1,6,33.6,323-9,11470,11
"19,500",2004,2010,목동2차아크로텔,신정동,양천구,1,6,56.19,324,11470,3
"10,300",2003,2010,문창 오피스텔,신정동,양천구,1,7,32.4,1006-1,11470,6
"14,250",2003,2010,문창 오피스텔,신정동,양천구,1,9,51.92,1006-1,11470,4
"25,000",2004,2010,신정동대우미래사랑5차,신정동,양천구,1,12,93.06,1290-4,11470,2
"24,000",2004,2010,우림필유,신정동,양천구,1,16,76.35,319,11470,2
"13,500",2003,2010,이스타빌 3차,신정동,양천구,1,18,37.6,323-9,11470,17
"19,300",2004,2010,신정동대우미래사랑5차,신정동,양천구,1,18,75.09,1290-4,11470,8
"26,000",2004,2010,목동대림아크로텔,신정동,양천구,1,19,74.5,318-1,11470,3
"45,000",2004,2010,제이월드빌,신정동,양천구,1,26,102.99,318-17,11470,12
"20,500",2004,2010,목동대림아크로텔,신정동,양천구,1,30,56.5,318-1,11470,11
"29,500",2004,2010,우림필유,신정동,양천구,1,30,76.35,319,11470,11
"11,230",2000,2010,현대드림타워,목동,양천구,1,4,37.37,923-14,11470,17
"15,800",2004,2010,현대파리지앙,목동,양천구,1,5,37.78,907-10,11470,15
"18,700",2001,2010,현대41타워,목동,양천구,1,6,47.19,917-9,11470,30
"12,800",2003,2010,하이베라스,목동,양천구,1,7,35.27,908-29,11470,6
"12,200",2004,2010,목동 성우네트빌,목동,양천구,1,8,43.17,919,11470,2
"12,500",2003,2010,하이베라스,목동,양천구,1,9,37.01,908-29,11470,5
"13,000",2004,2010,향도 드림네스트,목동,양천구,1,9,26,909-4,11470,4
"16,000",2004,2010,현대파리지앙,목동,양천구,1,9,37.78,907-10,11470,11
"14,800",2004,2010,현대파리지앙,목동,양천구,1,11,33.88,907-10,11470,12
"13,000",2000,2010,현대드림타워,목동,양천구,1,11,41.89,923-14,11470,19
"14,050",2004,2010,목동 성우네트빌,목동,양천구,1,12,48.06,919,11470,10
"11,700",1999,2010,현대월드타워,목동,양천구,1,12,38.22,907,11470,13
"14,200",2004,2010,목동 성우네트빌,목동,양천구,1,12,43.17,919,11470,17
"14,500",2004,2010,목동 성우네트빌,목동,양천구,1,13,48.06,919,11470,14
"13,850",2001,2010,현대41타워,목동,양천구,1,14,47.1,917-9,11470,15
