거래금액,건축년도,년,단지,법정동,시군구,월,일,전용면적,지번,지역코드,층
"17,900",2005,2010,트라비하우스,등촌동,강서구,1,4,50.16,628-18,11500,3
"12,200",2004,2010,대룡드림타워-1,등촌동,강서구,1,5,31.3,684-3,11500,4
"17,800",2004,2010,등촌동두산위브센티움,등촌동,강서구,1,5,43.11,631,11500,10
"13,800",2004,2010,등촌동두산위브센티움,등촌동,강서구,1,6,28.45,631,11500,10
"12,900",2004,2010,비원오피스텔,등촌동,강서구,1,10,40.37,648-6,11500,4
"11,800",2004,2010,대룡드림타워-1,등촌동,강서구,1,12,30.32,684-3,11500,9
"26,500",2005,2010,ACE A-ZONE,등촌동,강서구,1,13,77.2,639-8,11500,12
"18,000",2005,2010,트라비하우스,등촌동,강서구,1,16,50.16,628-18,11500,10
"13,400",2004,2010,비원오피스텔,등촌동,강서구,1,16,36.99,648-6,11500,6
"24,250",2005,2010,ACE A-ZONE,등촌동,강서구,1,16,77.2,639-8,11500,6
"21,000",2005,2010,강변샤르망1단지,등촌동,강서구,1,19,63.16,628-16,11500,6
"7,500",1999,2010,현대프린스텔,등촌동,강서구,1,22,21.66,628-13,11500,10
"25,000",2005,2010,ACE A-ZONE,등촌동,강서구,1,22,77.2,639-8,11500,5
"23,000",2005,2010,강변샤르망3단지,등촌동,강서구,1,24,63.16,628-17,11500,5
"17,300",2004,2010,등촌동두산위브센티움,등촌동,강서구,1,27,43.11,631,11500,10
"12,350",2004,2010,우림보보카운티뷰,등촌동,강서구,1,27,27.36,649-14,11500,6
"19,300",2005,2010,효성인텔리안,등촌동,강서구,1,28,58.91,681-3,11500,7
"18,500",2004,2010,대룡드림타워-1,등촌동,강서구,1,30,62.6,684-3,11500,10
"22,000",2005,2010,강변샤르망1단지,등촌동,강서구,1,30,63.16,628-16,11500,6
"5,000",1997,2010,대흥오피스텔,화곡동,강서구,1,2,30.42,24-53,11500,2
"6,700",2001,2010,일성스카이빌,화곡동,강서구,1,7,37.22,914-3,11500,2
"22,000",2006,2010,서광프리메라,화곡동,강서구,1,7,89.99,981-1,11500,4
"7,500",1997,2010,(918-15),화곡동,강서구,1,13,34.79,918-15,11500,8
"6,800",2001,2010,일성스카이빌,화곡동,강서구,1,18,35.23,914-3,11500,2
"22,900",2006,2010,서광프리메라,화곡동,강서구,1,19,80.99,981-1,11500,3
"7,050",1997,2010,(918-15),화곡동,강서구,1,28,34.79,918-15,11500,2
"7,500",1997,2010,(918-15),화곡동,강서구,1,28,34.79,918-15,11500,10
"7,500",1997,2010,(918-15),화곡동,강서구,1,29,33.37,918-15,11500,2
"8,550",1998,2010,강서포스텔,화곡동,강서구,1,29,33,1065-6,11500,5
"10,700",2002,2010,이스타빌1차,가양동,강서구,1,7,27,1480-5,11500,14
"10,000",2003,2010,동양 트레벨 스카이 오피스텔,가양동,강서구,1,8,26.96,1479-8,11500,3
"9,500",2003,2010,동양 트레벨 스카이 오피스텔,가양동,강서구,1,12,26.96,1479-8,11500,5
"8,500",2003,2010,동양 트레벨 스카이 오피스텔,가양동,강서구,1,13,22.08,1479-8,11500,10
"10,000",2004,2010,휴먼빌,가양동,강서구,1,13,25.64,1479-9,11500,13
"10,700",2004,2010,휴먼빌,가양동,강서구,1,14,25.64,1479-9,11500,8
"10,500",2004,2010,휴먼빌,가양동,강서구,1,14,25.64,1479-9,11500,13
"12,700",2003,2010,이스타빌2차,가양동,강서구,1,15,34,1480-1,11500,7
"9,000",2002,2010,이스타빌1차,가양동,강서구,1,15,32.4,1480-5,11500,14
"10,800",2004,2010,휴먼빌,가양동,강서구,1,16,25.64,1479-9,11500,6
"12,850",2003,2010,이스타빌2차,가양동,강서구,1,19,34,1480-1,11500,9
"12,800",2003,2010,이스타빌2차,가양동,강서구,1,29,34,1480-1,11500,8
"9,000",2005,2010,대룡드림타워-Ⅱ,공항동,강서구,1,25,23.06,45-19,11500,8
"7,100",2003,2010,방화샤르먕2오피스텔,방화동,강서구,1,4,17.64,830-5,11500,6
"7,800",1999,2010,에어뷰21-2오피스텔,방화동,강서구,1,4,26.22,830-1,11500,12
"8,100",2002,2010,벤처오피스텔(620-52),방화동,강서구,1,7,26.4,620-52,11500,5
"7,600",1999,2010,에어뷰21-2오피스텔,방화동,강서구,1,13,26.22,830-1,11500,4
