거래금액,건축년도,년,단지,법정동,시군구,월,일,전용면적,지번,지역코드,층
"29,000",2006,2010,신도림 에스케이뷰,신도림동,구로구,1,4,85.92,432-1,11530,23
"28,500",2006,2010,신도림 에스케이뷰,신도림동,구로구,1,5,86.17,432-1,11530,24
"27,000",2007,2010,신도림1차푸르지오,신도림동,구로구,1,8,50.68,337,11530,30
"31,500",2007,2010,신도림1차푸르지오,신도림동,구로구,1,9,70.71,337,11530,19
"19,700",2005,2010,신도림월드메르디앙오피스텔,신도림동,구로구,1,9,62.84,387-3,11530,7
"29,000",2007,2010,신도림3차푸르지오,신도림동,구로구,1,9,99.84,435-10,11530,4
"27,800",2007,2010,신도림1차푸르지오,신도림동,구로구,1,11,53.48,337,11530,23
"34,000",2007,2010,신도림1차푸르지오,신도림동,구로구,1,15,86.79,337,11530,16
"23,000",2007,2010,신도림1차푸르지오,신도림동,구로구,1,15,50.68,337,11530,19
"35,500",2007,2010,신도림1차푸르지오,신도림동,구로구,1,17,78.03,337,11530,24
"7,150",2003,2010,태천대,구로동,구로구,1,4,28.95,1131-8,11530,10
"7,180",2003,2010,태천대,구로동,구로구,1,4,28.95,1131-8,11530,7
"5,300",1990,2010,현대오피스텔,구로동,구로구,1,5,28.44,98-16,11530,8
"10,800",2004,2010,구로하우비,구로동,구로구,1,5,36.48,110-5,11530,11
"19,350",2005,2010,SK 허브수,구로동,구로구,1,5,59.12,650-4,11530,10
"7,500",2003,2010,태천대,구로동,구로구,1,7,30.51,1131-8,11530,8
"9,500",2004,2010,구로동복합건물OPUS1,구로동,구로구,1,7,31.2,611-26,11530,6
"14,700",2005,2010,SK 허브수,구로동,구로구,1,8,76.9,650-4,11530,8
"19,000",2005,2010,SK 허브수,구로동,구로구,1,8,59.12,650-4,11530,13
"12,000",2003,2010,한라빌리언스 오피스텔,구로동,구로구,1,9,25.99,182-6,11530,7
"15,900",2004,2010,신도림포스빌,구로동,구로구,1,10,33.69,26,11530,7
"17,500",2005,2010,예성유토피아(186-7),구로동,구로구,1,10,64.24,186-7,11530,4
"14,950",2005,2010,SK 허브수,구로동,구로구,1,11,37.53,650-4,11530,15
"7,950",1997,2010,도림두산베어스타워,구로동,구로구,1,12,39.91,110-4,11530,8
"12,800",2004,2010,구로동복합건물OPUS1,구로동,구로구,1,12,31.2,611-26,11530,12
"22,200",2006,2010,구로에스케이뷰,구로동,구로구,1,13,70.68,567-4,11530,9
"19,950",2005,2010,SK 허브수,구로동,구로구,1,13,59.12,650-4,11530,11
"9,609",2002,2010,하나가드리움(186-17),구로동,구로구,1,14,25.92,186-17,11530,5
"11,500",2006,2010,한솔로이젠트,구로동,구로구,1,14,29.4,103-11,11530,12
"10,300",2002,2010,하나가드리움(186-17),구로동,구로구,1,15,25.92,186-17,11530,10
"20,000",2005,2010,예성유토피아(186-7),구로동,구로구,1,15,56.44,186-7,11530,4
"11,200",2006,2010,한솔로이젠트,구로동,구로구,1,16,29.4,103-11,11530,6
"18,450",2004,2010,신도림포스빌,구로동,구로구,1,16,43.51,26,11530,19
"20,300",2004,2010,구로하우비,구로동,구로구,1,16,82.12,110-5,11530,8
