거래금액,건축년도,년,단지,법정동,시군구,월,일,전용면적,지번,지역코드,층
"7,000",2004,2010,삼부르네상스플러스,독산동,금천구,1,6,18.81,953,11545,13
"8,100",2004,2010,삼부르네상스플러스,독산동,금천구,1,18,20.31,953,11545,11
"11,000",2004,2010,(333-2),독산동,금천구,1,21,44.19,333-2,11545,5
"8,900",2004,2010,삼부르네상스플러스,독산동,금천구,1,27,23.25,953,11545,7
"10,500",2004,2010,(333-2),독산동,금천구,1,30,28.93,333-2,11545,7
"11,500",2003,2010,백운매트로엔,시흥동,금천구,1,2,36.5,935-1,11545,3
"12,800",2004,2010,(333-2),독산동,금천구,2,24,32.7,333-2,11545,7
"10,300",2003,2010,백운매트로엔,시흥동,금천구,2,25,33.39,935-1,11545,2
"8,325",2004,2010,삼부르네상스플러스,독산동,금천구,3,13,21.54,953,11545,13
"7,200",2004,2010,삼부르네상스플러스,독산동,금천구,3,18,18.81,953,11545,7
"8,250",2004,2010,삼부르네상스플러스,독산동,금천구,3,19,21.54,953,11545,6
"8,380",2004,2010,삼부르네상스플러스,독산동,금천구,3,25,21.54,953,11545,7
"8,800",2004,2010,삼부르네상스플러스,독산동,금천구,4,2,23.07,953,11545,9
"8,800",2004,2010,삼부르네상스플러스,독산동,금천구,4,2,23.07,953,11545,10
"7,800",2004,2010,삼부르네상스플러스,독산동,금천구,4,3,18.81,953,11545,11
"8,000",2004,2010,(333-2),독산동,금천구,4,6,32.7,333-2,11545,5
"8,700",2001,2010,독산동주상복합,독산동,금천구,4,7,35.55,303-1,11545,4
"7,000",2004,2010,(333-2),독산동,금천구,4,9,44.24,333-2,11545,6
"11,000",2004,2010,(333-2),독산동,금천구,4,15,44.19,333-2,11545,4
"7,300",2004,2010,삼부르네상스플러스,독산동,금천구,4,16,18.81,953,11545,4
"7,700",2004,2010,삼부르네상스플러스,독산동,금천구,4,16,21.36,953,11545,9
"7,300",2004,2010,삼부르네상스플러스,독산동,금천구,4,17,18.81,953,11545,4
"11,000",2001,2010,독산동주상복합,독산동,금천구,4,30,60.75,303-1,11545,4
"7,900",2004,2010,삼부르네상스플러스,독산동,금천구,5,6,23.07,953,11545,13
"7,550",2004,2010,삼부르네상스플러스,독산동,금천구,5,14,18.81,953,11545,13
"9,000",2004,2010,삼부르네상스플러스,독산동,금천구,5,20,23.25,953,11545,14
"9,000",2004,2010,삼부르네상스플러스,독산동,금천구,5,22,23.25,953,11545,10
"8,450",2004,2010,삼부르네상스플러스,독산동,금천구,5,27,21.54,953,11545,12
"8,300",2004,2010,삼부르네상스플러스,독산동,금천구,5,28,21.54,953,11545,8
"8,500",2001,2010,독산동주상복합,독산동,금천구,5,28,35.55,303-1,11545,3
"14,000",2005,2010,그린하이클라스빌,시흥동,금천구,5,3,71.68,989-10,11545,5
"8,300",2004,2010,삼부르네상스플러스,독산동,금천구,6,1,21.54,953,11545,4
"8,300",2004,2010,삼부르네상스플러스,독산동,금천구,6,1,21.54,953,11545,4
"7,300",2004,2010,삼부르네상스플러스,독산동,금천구,6,2,18.81,953,11545,4
"10,600",2004,2010,(333-2),독산동,금천구,6,8,44.24,333-2,11545,5
"9,000",2004,2010,삼부르네상스플러스,독산동,금천구,6,12,21.54,953,11545,15
"7,000",2004,2010,(333-2),독산동,금천구,6,21,44.19,333-2,11545,5
"7,000",2004,2010,(333-2),독산동,금천구,6,21,44.24,333-2,11545,5
"7,000",2004,2010,(333-2),독산동,금천구,6,21,44.24,333-2,11545,5
"8,850",2004,2010,삼부르네상스플러스,독산동,금천구,6,29,23.25,953,11545,8
"8,900",2004,2010,삼부르네상스플러스,독산동,금천구,7,5,20.31,953,11545,14
"8,000",2004,2010,삼부르네상스플러스,독산동,금천구,7,15,20.31,953,11545,7
"7,300",2004,2010,삼부르네상스플러스,독산동,금천구,7,19,18.81,953,11545,6
"9,000",2004,2010,삼부르네상스플러스,독산동,금천구,7,26,21.54,953,11545,6
"9,250",2004,2010,삼부르네상스플러스,독산동,금천구,7,26,23.25,953,11545,9
"11,000",2008,2010,해찬행복드림,가산동,금천구,8,11,29.31,153-9,11545,3
"11,500",2008,2010,해찬행복드림,가산동,금천구,8,11,28.79,153-9,11545,2
"13,000",2008,2010,해찬행복드림,가산동,금천구,8,11,29.31,153-9,11545,2
"11,500",2008,2010,해찬행복드림,가산동,금천구,8,11,26.73,153-9,11545,3
"11,300",2008,2010,해찬행복드림,가산동,금천구,8,11,26.73,153-9,11545,3
"10,600",2008,2010,해찬행복드림,가산동,금천구,8,11,26.73,153-9,11545,2
"9,800",2008,2010,해찬행복드림,가산동,금천구,8,11,18.95,153-9,11545,3
"9,900",2008,2010,해찬행복드림,가산동,금천구,8,11,23.88,153-9,11545,2
"11,500",2008,2010,해찬행복드림,가산동,금천구,8,11,23.88,153-9,11545,3
