거래금액,건축년도,년,단지,법정동,시군구,월,일,전용면적,지번,지역코드,층
"8,000",2003,2010,폴라리스오피스텔,영등포동1가,영등포구,1,29,20.14,27-1,11560,6
"4,000",1992,2010,(94-119),영등포동2가,영등포구,1,8,21.48,94-119,11560,8
"12,500",2003,2010,민족통일 대통령 리빙텔,여의도동,영등포구,1,4,27.65,13-24,11560,8
"89,757",2007,2010,여의도파크센터,여의도동,영등포구,1,5,114.97,28-3,11560,3
"89,197",2009,2010,S-TRENUE,여의도동,영등포구,1,11,108.88,26,11560,6
"125,075",2007,2010,여의도파크센터,여의도동,영등포구,1,13,128.06,28-3,11560,12
"17,500",2005,2010,진미파라곤,여의도동,영등포구,1,13,34.21,13,11560,4
"17,700",2003,2010,엘지여의도에클라트,여의도동,영등포구,1,14,35.42,14-21,11560,12
"10,700",2001,2010,맨하탄21리빙텔,여의도동,영등포구,1,15,36.54,13-21,11560,4
"15,000",2005,2010,KCC파크타운,여의도동,영등포구,1,16,35.34,13-22,11560,4
"147,105",2007,2010,여의도파크센터,여의도동,영등포구,1,18,128.06,28-3,11560,17
"22,500",2005,2010,진미파라곤,여의도동,영등포구,1,19,47.54,13,11560,11
"9,170",1991,2010,(61-3),여의도동,영등포구,1,22,23,61-3,11560,3
"10,000",1999,2010,포레스텔빌딩,여의도동,영등포구,1,22,29.19,45-13,11560,11
"14,000",2001,2010,여의도아크로폴리스,여의도동,영등포구,1,22,37.34,14-5,11560,11
"17,500",2003,2010,엘지여의도에클라트,여의도동,영등포구,1,22,38.01,14-21,11560,11
"15,500",2005,2010,KCC파크타운,여의도동,영등포구,1,25,33.82,13-22,11560,7
"12,500",2005,2010,KCC파크타운,여의도동,영등포구,1,25,26.98,13-22,11560,9
"57,800",2008,2010,여의도자이,여의도동,영등포구,1,25,80.05,47,11560,23
"22,500",2005,2010,진미파라곤,여의도동,영등포구,1,26,40.4,13,11560,10
"13,700",1994,2010,콤비빌딩,여의도동,영등포구,1,26,50.02,61-4,11560,5
"49,500",2005,2010,진미파라곤,여의도동,영등포구,1,27,73.46,13,11560,5
"19,180",1991,2010,(61-3),여의도동,영등포구,1,27,45.99,61-3,11560,10
"41,500",2003,2010,여의도금호리첸시아,여의도동,영등포구,1,27,59.66,61,11560,7
"16,000",2003,2010,엘지여의도에클라트,여의도동,영등포구,1,28,36.53,14-21,11560,11
"30,000",2004,2010,문래역 대우미래사랑3차,당산동2가,영등포구,1,16,86.58,15-1,11560,9
"31,900",2004,2010,문래역 대우미래사랑3차,당산동2가,영등포구,1,28,89.7,15-1,11560,13
"21,000",2007,2010,THE PARK 365,당산동3가,영등포구,1,6,58.84,558-3,11560,2
"25,044",2007,2010,THE PARK 365,당산동3가,영등포구,1,13,58.84,558-3,11560,6
"19,292",2007,2010,THE PARK 365,당산동3가,영등포구,1,13,94.17,558-3,11560,13
"17,935",2007,2010,THE PARK 365,당산동3가,영등포구,1,13,94.17,558-3,11560,5
"17,838",2007,2010,THE PARK 365,당산동3가,영등포구,1,13,94.17,558-3,11560,4
"19,292",2007,2010,THE PARK 365,당산동3가,영등포구,1,13,94.17,558-3,11560,13
"19,636",2007,2010,THE PARK 365,당산동3가,영등포구,1,13,62.81,558-3,11560,4
"18,032",2007,2010,THE PARK 365,당산동3가,영등포구,1,19,94.5,558-3,11560,6
"26,455",2007,2010,THE PARK 365,당산동3가,영등포구,1,19,62.81,558-3,11560,6
"9,000",1998,2010,(416),당산동3가,영등포구,1,20,30.15,416,11560,2
"15,600",2005,2010,코오롱 스타폴리스,당산동4가,영등포구,1,11,40.28,1-2,11560,4
"15,000",2005,2010,코오롱 스타폴리스,당산동4가,영등포구,1,14,40.28,1-2,11560,5
"15,900",2005,2010,코오롱 스타폴리스,당산동4가,영등포구,1,27,40.28,1-2,11560,14
"16,000",2005,2010,코오롱 스타폴리스,당산동4가,영등포구,1,28,40.28,1-2,11560,6
"16,000",2005,2010,코오롱 스타폴리스,당산동4가,영등포구,1,29,47.63,1-2,11560,2
"12,000",2005,2010,당산역 한강포스빌,당산동5가,영등포구,1,5,30.43,33-1,11560,9
"15,400",2005,2010,당산역 한강포스빌,당산동5가,영등포구,1,13,27.76,33-1,11560,12
"15,000",2005,2010,당산역 한강포스빌,당산동5가,영등포구,1,21,30.43,33-1,11560,4
"5,300",1997,2010,(121-126),당산동,영등포구,1,7,21,121-126,11560,3
"9,900",2004,2010,대우미래사랑,도림동,영등포구,1,4,29.38,819,11560,17
"9,900",2004,2010,대우미래사랑,도림동,영등포구,1,4,29.57,819,11560,17
"9,800",2004,2010,대우미래사랑,도림동,영등포구,1,5,29.57,819,11560,6
"23,000",2006,2010,쌍용플래티넘시티1단지,도림동,영등포구,1,7,62.88,820,11560,13
"13,800",2003,2010,도림동 하나 아파텔(2차),도림동,영등포구,1,9,30.87,265-8,11560,13
"23,400",2006,2010,쌍용플래티넘시티1단지,도림동,영등포구,1,9,62.88,820,11560,3
"27,500",2006,2010,쌍용플래티넘시티1단지,도림동,영등포구,1,11,86.54,820,11560,5
"24,500",2006,2010,쌍용플래티넘시티1단지,도림동,영등포구,1,11,62.42,820,11560,14
"24,900",2006,2010,쌍용플래티넘시티1단지,도림동,영등포구,1,12,86.54,820,11560,14
"28,000",2006,2010,쌍용플래티넘시티1단지,도림동,영등포구,1,12,86.54,820,11560,7
"13,500",2004,2010,타원벨라움,도림동,영등포구,1,13,35.78,266-2,11560,6
"10,300",2004,2010,대우미래사랑,도림동,영등포구,1,16,29.38,819,11560,13
"24,700",2006,2010,쌍용플래티넘시티2단지,도림동,영등포구,1,18,62.34,269-1,11560,10
"26,400",2006,2010,쌍용플래티넘시티1단지,도림동,영등포구,1,21,86.54,820,11560,14
"23,500",2006,2010,쌍용플래티넘시티1단지,도림동,영등포구,1,24,62.88,820,11560,6
"9,650",2004,2010,대우미래사랑,도림동,영등포구,1,25,29.57,819,11560,2
"34,000",2006,2010,쌍용플래티넘시티1단지,도림동,영등포구,1,25,93.57,820,11560,15
"25,000",2006,2010,쌍용플래티넘시티1단지,도림동,영등포구,1,25,86.54,820,11560,15
"10,100",2004,2010,대우미래사랑,도림동,영등포구,1,26,29.57,819,11560,9
"10,100",2004,2010,대우미래사랑,도림동,영등포구,1,26,29.57,819,11560,9
"24,500",2006,2010,쌍용플래티넘시티2단지,도림동,영등포구,1,27,62.34,269-1,11560,4
"24,200",2006,2010,쌍용플래티넘시티2단지,도림동,영등포구,1,28,62.34,269-1,11560,10
"10,250",2004,2010,대우미래사랑,도림동,영등포구,1,29,29.57,819,11560,8
"79,323",2007,2010,영등포 SK 리더스뷰,문래동3가,영등포구,1,11,138.28,55-16,11560,36
"8,000",1998,2010,문래동대동오피스텔,문래동3가,영등포구,1,11,30.02,83-3,11560,4
"8,170",1998,2010,문래동대동오피스텔,문래동3가,영등포구,1,13,30.88,83-3,11560,6
"8,500",1998,2010,문래동대동오피스텔,문래동3가,영등포구,1,20,30.88,83-3,11560,8
"8,450",1998,2010,문래동대동오피스텔,문래동3가,영등포구,1,20,30.02,83-3,11560,5
"8,700",1998,2010,문래동대동오피스텔,문래동3가,영등포구,1,25,30.88,83-3,11560,4
"48,000",2004,2010,문래동메가트리움,문래동3가,영등포구,1,29,99.53,55-4,11560,29
"8,000",1998,2010,문래동대동오피스텔,문래동3가,영등포구,1,29,30.88,83-3,11560,6
"48,000",2004,2010,문래동메가트리움,문래동3가,영등포구,1,31,99.53,55-4,11560,12
"6,800",1992,2010,대륭오피스텔,문래동5가,영등포구,1,18,38.76,2,11560,7
"8,200",2004,2010,명지 페르마타,문래동5가,영등포구,1,22,25.93,23-4,11560,3
"16,800",2004,2010,문래동 대우 이안,문래동6가,영등포구,1,7,56.1,26,11560,2
"22,511",2005,2010,문래임광그대가,문래동6가,영등포구,1,8,87.07,8,11560,10
"19,516",2005,2010,문래임광그대가,문래동6가,영등포구,1,8,75.53,8,11560,13
"17,854",2005,2010,문래임광그대가,문래동6가,영등포구,1,8,75.53,8,11560,3
"19,338",2005,2010,문래임광그대가,문래동6가,영등포구,1,8,75.53,8,11560,12
"18,628",2005,2010,문래임광그대가,문래동6가,영등포구,1,8,75.53,8,11560,4
"17,000",2004,2010,문래동 대우 이안,문래동6가,영등포구,1,9,56.1,26,11560,3
"17,000",2004,2010,문래동 대우 이안,문래동6가,영등포구,1,11,56.1,26,11560,9
"18,983",2005,2010,문래임광그대가,문래동6가,영등포구,1,13,75.53,8,11560,8
"16,900",2004,2010,문래동 대우 이안,문래동6가,영등포구,1,14,56.1,26,11560,3
"19,880",2004,2010,문래동 현대홈시티2,문래동6가,영등포구,1,15,57.06,2-2,11560,13
"25,500",2005,2010,신일아르디세,문래동6가,영등포구,1,16,100.25,29,11560,4
"24,600",2005,2010,신일아르디세,문래동6가,영등포구,1,17,82.91,29,11560,15
"23,200",2005,2010,문래임광그대가,문래동6가,영등포구,1,18,87.07,8,11560,5
"18,983",2005,2010,문래임광그대가,문래동6가,영등포구,1,18,75.53,8,11560,7
"28,000",2005,2010,문래파라곤 101동,문래동6가,영등포구,1,18,87.85,16-2,11560,6
"17,300",2004,2010,문래동 현대홈시티1,문래동6가,영등포구,1,18,52.87,1-1,11560,13
"24,200",2005,2010,문래임광그대가,문래동6가,영등포구,1,18,87.07,8,11560,14
"19,400",2004,2010,문래동 현대홈시티2,문래동6가,영등포구,1,19,57.76,2-2,11560,13
"19,338",2005,2010,문래임광그대가,문래동6가,영등포구,1,20,75.53,8,11560,11
"18,806",2005,2010,문래임광그대가,문래동6가,영등포구,1,20,75.53,8,11560,6
"18,806",2005,2010,문래임광그대가,문래동6가,영등포구,1,20,75.53,8,11560,5
"29,700",2005,2010,문래파라곤 101동,문래동6가,영등포구,1,21,87.85,16-2,11560,11
