거래금액,건축년도,년,단지,법정동,시군구,월,일,전용면적,지번,지역코드,층
"7,500",2003,2010,(394-5),대방동,동작구,1,15,21.84,394-5,11590,5
"8,000",2003,2010,대방오피스텔,대방동,동작구,1,23,20.52,337-1,11590,5
"17,200",2006,2010,동작상떼빌,신대방동,동작구,1,21,40.17,719,11590,6
"16,800",2006,2010,동작상떼빌,신대방동,동작구,1,26,41.48,719,11590,5
"8,000",2004,2010,백명트렌디타워,노량진동,동작구,2,10,21.4,194-3,11590,11
"10,000",2004,2010,백명트렌디타워,노량진동,동작구,2,10,28.39,194-3,11590,11
"9,950",2003,2010,(219-11),사당동,동작구,2,6,25.89,219-11,11590,3
"7,900",2003,2010,대방오피스텔,대방동,동작구,2,6,22.23,337-1,11590,7
"17,200",2006,2010,동작상떼빌,신대방동,동작구,2,2,40.17,719,11590,7
"18,700",2006,2010,동작상떼빌,신대방동,동작구,2,4,52.49,719,11590,5
"16,550",2006,2010,동작상떼빌,신대방동,동작구,2,5,38.07,719,11590,23
"16,900",2006,2010,동작상떼빌,신대방동,동작구,2,7,40.17,719,11590,20
"17,300",2006,2010,동작상떼빌,신대방동,동작구,2,9,41.48,719,11590,4
"17,200",2006,2010,동작상떼빌,신대방동,동작구,2,18,41.48,719,11590,4
"17,300",2006,2010,동작상떼빌,신대방동,동작구,2,23,41.48,719,11590,4
"17,200",2006,2010,동작상떼빌,신대방동,동작구,2,25,41.48,719,11590,4
"10,300",2003,2010,(219-11),사당동,동작구,3,16,26.45,219-11,11590,3
"8,250",2003,2010,대방오피스텔,대방동,동작구,3,23,22.23,337-1,11590,5
"8,000",2003,2010,대방오피스텔,대방동,동작구,3,25,22.23,337-1,11590,5
"26,100",2006,2010,동작상떼빌,신대방동,동작구,3,5,86.39,719,11590,16
"23,000",2006,2010,동작상떼빌,신대방동,동작구,3,15,61.37,719,11590,13
"22,000",2006,2010,동작상떼빌,신대방동,동작구,3,16,61.37,719,11590,22
"17,300",2006,2010,동작상떼빌,신대방동,동작구,3,19,41.48,719,11590,16
"17,000",2006,2010,동작상떼빌,신대방동,동작구,3,19,41.48,719,11590,5
"16,700",2006,2010,동작상떼빌,신대방동,동작구,3,19,41.48,719,11590,7
"29,750",2006,2010,동작상떼빌,신대방동,동작구,3,30,86.39,719,11590,24
"17,300",2006,2010,동작상떼빌,신대방동,동작구,4,5,41.48,719,11590,4
"22,000",2006,2010,동작상떼빌,신대방동,동작구,4,5,61.37,719,11590,11
"17,300",2006,2010,동작상떼빌,신대방동,동작구,4,10,41.48,719,11590,4
"17,300",2006,2010,동작상떼빌,신대방동,동작구,4,12,41.48,719,11590,5
"29,200",2006,2010,동작상떼빌,신대방동,동작구,4,23,90.63,719,11590,9
"17,800",2006,2010,동작상떼빌,신대방동,동작구,4,26,41.48,719,11590,10
"17,000",2006,2010,동작상떼빌,신대방동,동작구,4,29,40.17,719,11590,14
"9,400",2003,2010,(219-11),사당동,동작구,5,11,21.46,219-11,11590,2
"16,100",2006,2010,동작상떼빌,신대방동,동작구,5,7,38.07,719,11590,8
"30,000",2006,2010,동작상떼빌,신대방동,동작구,5,11,86.39,719,11590,6
"23,000",2006,2010,동작상떼빌,신대방동,동작구,5,12,61.37,719,11590,23
"15,000",2006,2010,동작상떼빌,신대방동,동작구,5,13,40.17,719,11590,21
"14,000",2006,2010,동작상떼빌,신대방동,동작구,5,14,38.07,719,11590,22
"14,300",2006,2010,동작상떼빌,신대방동,동작구,5,14,41.48,719,11590,20
"24,000",2006,2010,동작상떼빌,신대방동,동작구,5,25,61.37,719,11590,24
"8,600",2003,2010,대방오피스텔,대방동,동작구,6,23,27.5,337-1,11590,3
"8,600",2003,2010,대방오피스텔,대방동,동작구,6,30,27.5,337-1,11590,3
"22,000",2006,2010,동작상떼빌,신대방동,동작구,6,8,61.37,719,11590,17
"16,800",2006,2010,동작상떼빌,신대방동,동작구,6,11,38.07,719,11590,16
"17,400",2006,2010,동작상떼빌,신대방동,동작구,6,14,40.17,719,11590,15
"24,000",2006,2010,동작상떼빌,신대방동,동작구,6,14,65.53,719,11590,18
"31,800",2006,2010,동작상떼빌,신대방동,동작구,6,16,90.63,719,11590,21
"17,600",2006,2010,동작상떼빌,신대방동,동작구,6,28,40.17,719,11590,17
"7,700",2003,2010,(219-11),사당동,동작구,7,28,17.39,219-11,11590,6
"7,000",2003,2010,(394-5),대방동,동작구,7,15,21.84,394-5,11590,7
"7,000",2003,2010,(394-5),대방동,동작구,7,15,22.68,394-5,11590,6
"21,200",2006,2010,동작상떼빌,신대방동,동작구,7,12,62.43,719,11590,12
"22,500",2006,2010,동작상떼빌,신대방동,동작구,7,21,62.43,719,11590,15
"16,300",2006,2010,동작상떼빌,신대방동,동작구,7,30,38.07,719,11590,7
"8,109",2003,2010,(394-5),대방동,동작구,8,13,22.68,394-5,11590,5
"10,750",2003,2010,(336-6),대방동,동작구,8,24,27.3,336-6,11590,6
"8,500",2003,2010,대방오피스텔,대방동,동작구,8,30,22.23,337-1,11590,2
"22,900",2006,2010,동작상떼빌,신대방동,동작구,8,9,65.53,719,11590,20
"17,000",2006,2010,동작상떼빌,신대방동,동작구,8,13,40.17,719,11590,9
"24,000",2006,2010,동작상떼빌,신대방동,동작구,8,25,62.43,719,11590,7
"21,500",2006,2010,동작상떼빌,신대방동,동작구,8,28,61.37,719,11590,25
"17,000",2006,2010,동작상떼빌,신대방동,동작구,9,2,41.48,719,11590,9
"21,800",2006,2010,동작상떼빌,신대방동,동작구,9,3,61.37,719,11590,18
"18,000",2006,2010,동작상떼빌,신대방동,동작구,9,6,40.17,719,11590,23
"17,250",2006,2010,동작상떼빌,신대방동,동작구,9,7,41.48,719,11590,6
"9,500",2003,2010,대방오피스텔,대방동,동작구,10,18,27.5,337-1,11590,2
"8,000",2003,2010,(394-5),대방동,동작구,10,19,22.65,394-5,11590,2
"24,000",2006,2010,동작상떼빌,신대방동,동작구,10,2,61.37,719,11590,15
"24,200",2006,2010,동작상떼빌,신대방동,동작구,10,5,61.37,719,11590,23
"29,000",2006,2010,동작상떼빌,신대방동,동작구,10,11,86.39,719,11590,18
"18,650",2006,2010,동작상떼빌,신대방동,동작구,10,14,40.17,719,11590,22
"17,900",2006,2010,동작상떼빌,신대방동,동작구,10,16,40.17,719,11590,23
"25,000",2006,2010,동작상떼빌,신대방동,동작구,10,19,65.53,719,11590,23
"29,000",2006,2010,동작상떼빌,신대방동,동작구,10,19,86.39,719,11590,25
"24,000",2006,2010,동작상떼빌,신대방동,동작구,10,26,65.53,719,11590,5
"7,000",2003,2010,(219-11),사당동,동작구,11,10,21.46,219-11,11590,4
"7,000",2003,2010,(219-11),사당동,동작구,11,10,21.46,219-11,11590,5
"17,000",2006,2010,동작상떼빌,신대방동,동작구,11,12,38.07,719,11590,14
"23,900",2006,2010,동작상떼빌,신대방동,동작구,11,16,65.53,719,11590,14
"17,400",2006,2010,동작상떼빌,신대방동,동작구,11,23,41.48,719,11590,6
"9,000",2003,2010,(219-11),사당동,동작구,12,14,25.9,219-11,11590,5
"7,800",2003,2010,(394-5),대방동,동작구,12,22,21.84,394-5,11590,7
"7,900",2003,2010,(394-5),대방동,동작구,12,22,22.68,394-5,11590,6
"7,900",2003,2010,(394-5),대방동,동작구,12,23,21.84,394-5,11590,3
"7,900",2003,2010,(394-5),대방동,동작구,12,23,22.68,394-5,11590,4
"8,000",2003,2010,(394-5),대방동,동작구,12,28,21.84,394-5,11590,5
"8,000",2003,2010,(394-5),대방동,동작구,12,28,22.65,394-5,11590,8
"17,000",2006,2010,동작상떼빌,신대방동,동작구,12,1,38.07,719,11590,9
"27,900",2006,2010,동작상떼빌,신대방동,동작구,12,6,86.39,719,11590,15
"17,400",2006,2010,동작상떼빌,신대방동,동작구,12,6,38.07,719,11590,25
"22,500",2006,2010,동작상떼빌,신대방동,동작구,12,7,62.43,719,11590,15
"17,500",2006,2010,동작상떼빌,신대방동,동작구,12,9,41.48,719,11590,13
"17,500",2006,2010,동작상떼빌,신대방동,동작구,12,9,41.48,719,11590,4
"17,200",2006,2010,동작상떼빌,신대방동,동작구,12,10,40.17,719,11590,5
"23,000",2006,2010,동작상떼빌,신대방동,동작구,12,15,62.43,719,11590,5
"18,500",2006,2010,동작상떼빌,신대방동,동작구,12,18,41.48,719,11590,12
"17,000",2006,2010,동작상떼빌,신대방동,동작구,12,18,38.07,719,11590,6
"17,500",2006,2010,동작상떼빌,신대방동,동작구,12,20,41.48,719,11590,4
"29,000",2006,2010,동작상떼빌,신대방동,동작구,12,21,86.39,719,11590,24
"23,800",2006,2010,동작상떼빌,신대방동,동작구,12,21,65.53,719,11590,4
"18,000",2006,2010,동작상떼빌,신대방동,동작구,12,23,41.48,719,11590,5
"18,000",2006,2010,동작상떼빌,신대방동,동작구,12,23,41.48,719,11590,4
"27,900",2006,2010,동작상떼빌,신대방동,동작구,12,26,86.39,719,11590,15
"23,800",2006,2010,동작상떼빌,신대방동,동작구,12,31,65.53,719,11590,17
"12,100",2003,2011,(219-11),사당동,동작구,1,10,26.45,219-11,11590,5
"21,500",2006,2011,동작상떼빌,신대방동,동작구,1,3,52.49,719,11590,7
"30,500",2006,2011,동작상떼빌,신대방동,동작구,1,7,90.63,719,11590,14
"23,500",2006,2011,동작상떼빌,신대방동,동작구,1,8,61.37,719,11590,8
"23,500",2006,2011,동작상떼빌,신대방동,동작구,1,8,61.37,719,11590,7
"18,900",2006,2011,동작상떼빌,신대방동,동작구,1,16,41.48,719,11590,6
"19,000",2006,2011,동작상떼빌,신대방동,동작구,1,16,40.17,719,11590,20
"18,150",2006,2011,동작상떼빌,신대방동,동작구,1,17,38.07,719,11590,14
"23,750",2006,2011,동작상떼빌,신대방동,동작구,1,20,62.43,719,11590,19
"20,000",2006,2011,동작상떼빌,신대방동,동작구,1,22,40.17,719,11590,11
"21,300",2006,2011,동작상떼빌,신대방동,동작구,1,24,51.21,719,11590,4
"18,200",2006,2011,동작상떼빌,신대방동,동작구,1,26,38.07,719,11590,19
"31,500",2006,2011,동작상떼빌,신대방동,동작구,1,31,90.63,719,11590,20
"12,600",2003,2011,(219-11),사당동,동작구,2,28,27.3,219-11,11590,4
"6,500",2003,2011,(394-5),대방동,동작구,2,7,21.84,394-5,11590,2
"8,500",2003,2011,(394-5),대방동,동작구,2,24,21.84,394-5,11590,3
"23,800",2006,2011,동작상떼빌,신대방동,동작구,2,1,62.43,719,11590,8
"29,500",2006,2011,동작상떼빌,신대방동,동작구,2,9,86.39,719,11590,22
"26,000",2006,2011,동작상떼빌,신대방동,동작구,2,14,65.53,719,11590,9
"18,850",2006,2011,동작상떼빌,신대방동,동작구,2,18,41.48,719,11590,7
"49,000",2006,2011,동작상떼빌,신대방동,동작구,2,21,84.98,719,11590,12
"9,500",2003,2011,대방오피스텔,대방동,동작구,3,4,27.5,337-1,11590,3
"6,600",2003,2011,(394-5),대방동,동작구,3,30,22.68,394-5,11590,5
"20,700",2006,2011,동작상떼빌,신대방동,동작구,3,2,51.21,719,11590,4
"19,000",2006,2011,동작상떼빌,신대방동,동작구,3,8,41.48,719,11590,22
"18,839",2006,2011,동작상떼빌,신대방동,동작구,3,11,51.21,719,11590,6
"19,000",2006,2011,동작상떼빌,신대방동,동작구,3,24,40.17,719,11590,24
"32,000",2006,2011,동작상떼빌,신대방동,동작구,3,31,86.39,719,11590,21
"11,500",2003,2011,(219-11),사당동,동작구,4,16,25.9,219-11,11590,6
"17,000",2006,2011,동작상떼빌,신대방동,동작구,4,5,41.48,719,11590,14
"17,000",2006,2011,동작상떼빌,신대방동,동작구,4,5,41.48,719,11590,25
"17,000",2006,2011,동작상떼빌,신대방동,동작구,4,5,41.48,719,11590,15
