거래금액,건축년도,년,단지,법정동,시군구,월,일,전용면적,지번,지역코드,층
"22,900",2004,2010,에스케이허브 오피스텔,역삼동,강남구,1,4,37.36,708-26,11680,6
"16,900",2002,2010,메가시티오피스텔,역삼동,강남구,1,7,33.42,824-12,11680,7
"16,900",2004,2010,엘지역삼에클라트,역삼동,강남구,1,7,28.64,736-24,11680,5
"9,300",1991,2010,황화빌딩,역삼동,강남구,1,7,27.9,832-7,11680,11
"12,400",2006,2010,메이플라워멤버스빌오피스텔,역삼동,강남구,1,7,20.1,736-22,11680,4
"23,850",2004,2010,목화밀라트,역삼동,강남구,1,8,31.33,822-7,11680,15
"9,500",1991,2010,황화빌딩,역삼동,강남구,1,8,27.9,832-7,11680,11
"17,900",2004,2010,성우스타우스오피스텔,역삼동,강남구,1,9,32.03,832-33,11680,15
"11,000",1999,2010,삼성애니텔,역삼동,강남구,1,9,29.6,837-17,11680,9
"21,500",2004,2010,대우디오빌플러스,역삼동,강남구,1,11,38.96,824-25,11680,5
"27,000",2000,2010,아남타워 현대오피스텔,역삼동,강남구,1,12,58.29,702-10,11680,12
"17,000",2000,2010,아남타워 현대오피스텔,역삼동,강남구,1,12,40.2,702-10,11680,14
"12,500",2006,2010,메이플라워멤버스빌오피스텔,역삼동,강남구,1,13,20.1,736-22,11680,8
"22,500",2004,2010,대우디오빌플러스,역삼동,강남구,1,13,38.96,824-25,11680,12
"18,000",2004,2010,에스케이허브 오피스텔,역삼동,강남구,1,14,27.83,708-26,11680,9
"16,500",2004,2010,능현오피스텔,역삼동,강남구,1,15,29.65,708-16,11680,13
"14,000",2004,2010,네스빌,역삼동,강남구,1,15,23.68,830-41,11680,3
"22,750",2004,2010,대우디오빌플러스,역삼동,강남구,1,15,38.96,824-25,11680,17
"22,000",2004,2010,대우디오빌플러스,역삼동,강남구,1,15,35.16,824-25,11680,12
"14,200",2003,2010,삼환 아르누보,역삼동,강남구,1,15,26.38,769-1,11680,3
"9,750",1998,2010,르-메이에르 타운,역삼동,강남구,1,16,25.2,837-19,11680,11
"21,400",2004,2010,엘지역삼에클라트,역삼동,강남구,1,18,36.24,736-24,11680,4
"16,800",2004,2010,능현오피스텔,역삼동,강남구,1,18,29.6,708-16,11680,6
"17,200",2004,2010,능현오피스텔,역삼동,강남구,1,18,29.65,708-16,11680,4
"22,900",2004,2010,에스케이허브 오피스텔,역삼동,강남구,1,19,37.36,708-26,11680,8
