거래금액,건축년도,년,단지,법정동,시군구,월,일,전용면적,지번,지역코드,층
"8,300",1997,2010,세종프라자,명일동,강동구,1,5,32,47-1,11740,5
"9,900",1991,2010,(47-4),명일동,강동구,1,5,42.67,47-4,11740,5
"11,000",1993,2010,일성하이츠오피스텔,길동,강동구,1,4,45.54,454-1,11740,10
"7,800",2002,2010,탑스위트,길동,강동구,1,5,22.71,413-1,11740,7
"6,200",2002,2010,탑스위트,길동,강동구,1,5,17.29,413-1,11740,10
"12,250",2004,2010,길동쎈스빌주상복합,길동,강동구,1,14,50.35,352-4,11740,2
"7,500",1990,2010,(386-8),길동,강동구,1,16,33.2,386-8,11740,8
"12,500",2005,2010,광남캐스빌,길동,강동구,1,20,32.59,389-9,11740,4
"11,000",2002,2010,탑스위트,길동,강동구,1,21,40.74,413-1,11740,8
"13,000",2004,2010,광남벨라스,길동,강동구,1,25,46.19,385-3,11740,2
"6,300",1993,2010,일성하이츠오피스텔,길동,강동구,1,27,22.77,454-1,11740,14
"15,050",2006,2010,강동역에스케이허브,길동,강동구,1,31,30.68,445-1,11740,2
"10,000",2003,2010,한강시티라이프,암사동,강동구,1,21,27.63,441,11740,5
"16,000",2007,2010,브라운스톤천호,성내동,강동구,1,9,30.09,64-13,11740,8
"10,000",2003,2010,(199-21),성내동,강동구,1,15,30.25,199-21,11740,6
"20,000",2003,2010,(199-21),성내동,강동구,1,15,60.5,199-21,11740,8
"10,000",2003,2010,(199-21),성내동,강동구,1,15,30.25,199-21,11740,7
"10,000",2003,2010,(199-21),성내동,강동구,1,15,30.25,199-21,11740,7
"10,000",2003,2010,(199-21),성내동,강동구,1,15,30.25,199-21,11740,6
"10,000",2003,2010,(199-21),성내동,강동구,1,15,30.25,199-21,11740,5
"10,000",2003,2010,(199-21),성내동,강동구,1,15,30.25,199-21,11740,5
"10,000",2003,2010,(199-21),성내동,강동구,1,15,30.25,199-21,11740,4
"10,000",2003,2010,(199-21),성내동,강동구,1,15,30.25,199-21,11740,4
"10,000",2003,2010,(199-21),성내동,강동구,1,15,30.25,199-21,11740,3
"10,000",2003,2010,(199-21),성내동,강동구,1,15,30.25,199-21,11740,3
"10,000",2003,2010,(199-21),성내동,강동구,1,15,30.25,199-21,11740,2
"10,000",2003,2010,(199-21),성내동,강동구,1,15,30.25,199-21,11740,2
"16,000",2007,2010,브라운스톤천호,성내동,강동구,1,18,30.09,64-13,11740,11
"16,000",2007,2010,브라운스톤천호,성내동,강동구,1,26,30.09,64-13,11740,7
"17,100",2007,2010,브라운스톤천호,성내동,강동구,1,31,30.09,64-13,11740,11
"10,500",2003,2010,오피스텔 트레벨,천호동,강동구,1,4,26.33,451-20,11740,10
"10,950",2003,2010,오피스텔 트레벨,천호동,강동구,1,4,28.43,451-20,11740,10
"13,300",2004,2010,두산위브센티움,천호동,강동구,1,4,31.37,414,11740,22
"10,950",2003,2010,오피스텔 트레벨,천호동,강동구,1,6,28.43,451-20,11740,9
