건축년도,년,단지,법정동,보증금,시군구,월,월세,일,전용면적,지번,지역코드,층
2009,2011,대우오피스텔,면목동,"7,000",중랑구,1,10,13,38.58,72-36,11260,8
2002,2011,서일타운,면목동,"4,000",중랑구,1,5,15,26.57,68-2,11260,6
2009,2011,성진빌딩,면목동,"3,000",중랑구,1,30,15,23,105-43,11260,3
2009,2011,성진빌딩,면목동,"2,000",중랑구,1,50,19,23.92,105-43,11260,8
2006,2011,성원빌,상봉동,"5,500",중랑구,1,0,10,21.83,115-70,11260,2
2004,2011,라메즈오피스텔(104-32),상봉동,"5,000",중랑구,1,15,13,26.6,104-32,11260,7
2006,2011,오피스텔 리움,상봉동,"1,000",중랑구,1,55,15,24.14,128-9,11260,4
2003,2011,한일써너스빌,상봉동,"7,500",중랑구,1,0,17,30.88,81-5,11260,3
2004,2011,경운오피스텔,상봉동,"6,000",중랑구,1,0,19,28.82,88-46,11260,4
2004,2011,라메즈오피스텔(104-32),상봉동,"2,500",중랑구,1,46,23,26.6,104-32,11260,7
2006,2011,오피스텔 리움,상봉동,500,중랑구,1,55,24,23.32,128-9,11260,3
2004,2011,미래오피스텔,상봉동,"6,000",중랑구,1,0,25,12.03,106-4,11260,6
2004,2011,묵동신도주상복합,묵동,"9,000",중랑구,1,0,24,28.51,169-10,11260,4
2008,2011,한일써너스빌리젠시 2단지,망우동,"14,000",중랑구,1,0,16,59.63,495,11260,22
2008,2011,한일써너스빌리젠시 2단지,망우동,"14,000",중랑구,1,0,19,59.61,495,11260,3
2003,2011,금강리빙스텔,신내동,"8,500",중랑구,1,0,3,33.3,646,11260,5
2003,2011,디아뜨갤러리,신내동,"8,500",중랑구,1,0,10,35.1,648,11260,3
2007,2011,리더스빌딩,면목동,"1,500",중랑구,2,45,7,24.38,633-9,11260,8
2009,2011,대우오피스텔,면목동,"6,000",중랑구,2,0,11,18.97,72-36,11260,5
2002,2011,서일타운,면목동,"5,500",중랑구,2,0,12,27.41,68-2,11260,4
2009,2011,대우오피스텔,면목동,"7,000",중랑구,2,10,12,38.58,72-36,11260,4
2002,2011,서일타운,면목동,"5,000",중랑구,2,0,13,26.57,68-2,11260,5
2009,2011,대우오피스텔,면목동,"3,000",중랑구,2,30,22,18.97,72-36,11260,3
2006,2011,성원빌,상봉동,"5,500",중랑구,2,0,9,21.35,115-70,11260,3
2003,2011,한일써너스빌,상봉동,"7,500",중랑구,2,0,15,32.48,81-5,11260,22
2002,2011,갑을 오피스텔,상봉동,"4,500",중랑구,2,0,16,25.75,84-5,11260,3
2003,2011,한일써너스빌,상봉동,"1,500",중랑구,2,50,19,30.88,81-5,11260,4
2004,2011,경운오피스텔,상봉동,"5,000",중랑구,2,0,20,23.5,88-46,11260,2
2000,2011,시네마시티,상봉동,"3,000",중랑구,2,0,24,31.68,92-2,11260,12
2004,2011,성은오피스텔,상봉동,"5,000",중랑구,2,0,26,17.6,101-29,11260,5
2004,2011,삼호오피스텔,묵동,500,중랑구,2,35,8,20.79,176-12,11260,1
2004,2011,스파텔,묵동,"3,000",중랑구,2,20,12,23.52,176-11,11260,2
2003,2011,엘리어트하우스,신내동,"1,000",중랑구,2,50,9,37.19,644,11260,4
2003,2011,금강리빙스텔,신내동,"1,000",중랑구,2,60,24,35.1,646,11260,5
2007,2011,리더스빌딩,면목동,"1,000",중랑구,3,50,2,24.38,633-9,11260,5
2002,2011,서일타운,면목동,500,중랑구,3,40,2,25.76,68-2,11260,7
2007,2011,리더스빌딩,면목동,"1,000",중랑구,3,50,3,24.38,633-9,11260,4
